date,klwiki (100+),klwiki (5+),klwiki (all)
2015/11/06,,,10
2015/11/07,,,10
2015/11/08,,,9
2015/11/09,,,9
2015/11/10,,1,10
2015/11/11,,1,10
2015/11/12,,1,10
2015/11/13,,1,9
2015/11/14,,1,8
2015/11/15,,1,8
2015/11/16,,1,8
2015/11/17,,1,8
2015/11/18,,1,8
2015/11/19,,,8
2015/11/20,,,9
2015/11/21,,,9
2015/11/22,,,9
2015/11/23,,,9
2015/11/24,,,9
2015/11/25,,,9
2015/11/26,,,10
2015/11/27,,,11
2015/11/28,,,11
2015/11/29,,,11
2015/11/30,,,11
2015/12/01,,,11
2015/12/02,,,10
2015/12/03,,1,10
2015/12/04,,1,9
2015/12/05,,1,9
2015/12/06,,1,11
2015/12/07,,1,11
2015/12/08,,1,12
2015/12/09,,1,12
2015/12/10,,1,11
2015/12/11,,1,11
2015/12/12,,1,11
2015/12/13,,1,10
2015/12/14,,1,10
2015/12/15,,1,10
2015/12/16,,1,10
2015/12/17,,1,10
2016/01/18,,1,8
2016/01/19,,,8
2016/01/20,,,9
2016/01/21,,,9
2016/01/22,,,9
2016/01/23,,,9
2016/01/24,,,9
2016/01/25,,,9
2016/01/26,,,8
2016/01/27,,,8
2016/01/28,,,7
2016/01/29,,,6
2016/01/30,,,6
2016/01/31,,,6
2016/02/01,,,6
2016/02/02,,,8
2016/02/03,,,8
2016/02/04,,,7
2016/02/05,,,5
2016/02/06,,,5
2016/02/07,,,5
2016/02/08,,,5
2016/02/09,,,5
2016/02/10,,,5
2016/02/11,,,5
2016/02/12,,,5
2016/02/13,,,5
2016/02/14,,,5
2016/02/15,,,5
2016/02/16,,,5
2016/02/17,,,5
2016/02/18,,,5
2016/02/19,,,4
2016/02/20,,,5
2016/02/21,,,4
2016/02/22,,,4
2016/02/23,,,4
