date,euwiki (100+),euwiki (5+),euwiki (all)
2015/07/27,16,54,221
2015/07/28,16,54,222
2015/07/29,15,55,220
2015/07/30,14,55,218
2015/07/31,14,54,215
2015/08/01,14,54,213
2015/08/02,14,55,211
2015/08/03,14,55,213
2015/08/04,15,53,210
2015/08/05,15,53,211
2015/08/06,15,53,211
2015/08/07,15,55,215
2015/08/08,15,55,213
2015/08/09,15,55,213
2015/08/10,15,52,215
2015/08/11,14,52,218
2015/08/12,14,51,212
2015/08/13,14,51,207
2015/08/14,14,51,206
2015/08/15,14,51,205
2015/08/16,14,53,204
2015/08/17,14,52,203
2015/08/18,14,52,208
2015/08/19,14,51,205
2015/08/20,14,53,204
2015/08/21,14,50,204
2015/08/22,13,51,208
2015/08/23,14,52,205
2015/08/24,14,50,201
2015/08/25,15,51,199
2015/08/26,15,52,198
2015/08/27,15,52,193
2015/08/28,15,52,192
2015/08/29,15,52,194
2015/08/30,15,52,195
2015/08/31,15,53,198
2015/09/01,15,52,200
2015/09/02,15,52,204
2015/09/03,15,53,201
2015/09/04,14,52,201
2015/09/05,14,52,205
2015/09/06,15,52,202
2015/09/07,14,53,202
2015/09/08,14,56,201
2015/09/09,14,56,202
2015/09/10,14,57,206
2015/09/11,14,58,206
2015/09/12,14,57,213
2015/09/13,14,56,207
2015/09/14,15,57,205
2015/09/15,15,55,204
2015/09/16,15,55,203
2015/09/17,15,55,204
2015/09/18,15,55,202
2015/09/19,15,55,204
2015/09/20,14,56,207
2015/09/21,15,54,200
2015/09/22,15,54,202
2015/09/23,15,55,206
2015/09/24,15,56,209
2015/09/25,15,51,210
2015/09/26,15,54,212
2015/09/27,15,56,211
2015/09/28,15,57,207
2015/09/29,14,54,212
2015/09/30,14,53,211
2015/10/01,14,54,216
2015/10/02,14,55,219
2015/10/03,14,56,225
2015/10/04,14,58,227
2015/10/05,14,57,227
2015/10/06,14,61,229
2015/10/07,14,61,225
2015/10/08,15,61,228
2015/10/09,15,60,225
2015/10/10,14,60,227
2015/10/11,14,60,227
2015/10/12,14,62,226
2015/10/13,14,61,224
2015/10/14,13,62,232
2015/10/15,13,64,235
2015/10/16,13,65,233
2015/10/17,13,64,230
2015/10/18,13,62,232
2015/10/19,13,64,232
2015/10/20,13,65,227
2015/10/21,13,67,233
2015/10/22,13,66,239
2015/10/23,13,65,236
2015/10/24,13,66,240
2015/10/25,13,67,245
2015/10/26,13,67,246
2015/10/27,12,67,255
2015/10/28,12,67,257
2015/10/29,12,67,253
2015/10/30,12,67,250
2015/10/31,12,68,245
2015/11/01,13,69,245
2015/11/02,13,68,248
2015/11/03,14,69,249
2015/11/04,13,68,252
2015/11/05,14,70,261
2015/11/06,15,69,267
2015/11/07,15,71,268
2015/11/08,13,71,270
2015/11/09,15,70,264
2015/11/10,14,73,266
2015/11/11,15,74,265
2015/11/12,15,76,276
2015/11/13,15,71,269
2015/11/14,15,70,267
2015/11/15,16,71,271
2015/11/16,16,73,274
2015/11/17,15,71,272
2015/11/18,15,72,270
2015/11/19,16,72,270
2015/11/20,16,72,273
2015/11/21,17,71,265
2015/11/22,17,71,269
2015/11/23,17,69,260
2015/11/24,17,72,260
2015/11/25,17,73,261
2015/11/26,17,69,259
2015/11/27,17,69,256
2015/11/28,17,67,255
2015/11/29,18,66,261
2015/11/30,18,64,263
2015/12/01,17,63,266
2015/12/02,18,65,263
2015/12/03,18,65,262
2015/12/04,18,68,261
2015/12/05,17,66,248
2015/12/06,17,66,250
2015/12/07,17,68,247
2015/12/08,16,68,245
2015/12/09,16,68,244
2015/12/10,16,67,251
2015/12/11,16,66,254
2015/12/12,17,70,248
2015/12/13,17,78,256
2015/12/14,16,81,259
2015/12/15,16,89,272
2015/12/16,16,91,278
2015/12/17,16,95,284
2016/01/18,17,66,232
2016/01/19,17,67,228
2016/01/20,17,65,228
2016/01/21,17,64,227
2016/01/22,18,62,229
2016/01/23,17,62,224
2016/01/24,17,62,228
2016/01/25,18,62,235
2016/01/26,18,63,242
2016/01/27,18,63,243
2016/01/28,18,64,245
2016/01/29,19,65,242
2016/01/30,18,65,244
2016/01/31,19,65,244
2016/02/01,18,66,249
2016/02/02,18,68,253
2016/02/03,18,65,255
2016/02/04,19,67,254
2016/02/05,20,68,247
2016/02/06,20,68,253
2016/02/07,20,68,256
2016/02/08,20,69,257
2016/02/09,21,68,257
2016/02/10,21,71,260
2016/02/11,21,70,258
2016/02/12,20,70,256
2016/02/13,20,70,255
2016/02/14,21,68,249
2016/02/15,20,71,249
2016/02/16,20,72,248
2016/02/17,20,70,248
2016/02/18,20,70,245
2016/02/19,21,70,241
2016/02/20,21,72,240
2016/02/21,21,72,240
2016/02/22,20,69,242
2016/02/23,20,71,241
2016/02/24,20,72,235
2016/02/25,21,72,232
2016/02/26,21,70,232
2016/02/27,21,71,237
2016/02/28,21,71,238
2016/02/29,21,74,240
2016/03/01,20,76,244
2016/03/02,20,78,243
2016/03/03,20,78,245
2016/03/04,20,83,256
2016/03/05,20,85,260
2016/03/06,20,86,261
2016/03/07,20,86,253
2016/03/08,19,84,252
2016/03/09,19,81,249
2016/03/10,19,82,251
2016/03/11,19,94,264
2016/03/12,18,100,261
2016/03/13,18,103,265
2016/03/14,18,102,264
2016/03/15,19,107,267
2016/03/16,19,111,270
2016/03/17,18,112,278
2016/03/18,17,118,283
2016/03/19,17,117,282
2016/03/20,17,116,282
2016/03/21,18,115,287
2016/03/22,18,119,287
2016/03/23,18,121,288
2016/03/24,18,121,289
2016/03/25,17,121,293
2016/03/26,19,119,290
2016/03/27,18,115,293
2016/03/28,19,115,292
2016/03/29,19,116,292
2016/03/30,19,115,296
2016/03/31,19,112,291
2016/04/01,20,110,285
2016/04/02,21,107,281
2016/04/03,20,104,278
2016/04/04,20,98,277
2016/04/05,19,100,278
2016/04/06,20,102,280
2016/04/07,20,103,278
2016/04/08,22,111,277
2016/04/09,22,116,277
2016/04/10,20,107,267
2016/04/11,20,101,266
2016/04/12,20,101,265
2016/04/13,20,102,271
2016/04/14,20,102,269
2016/04/15,19,104,273
2016/04/16,18,108,268
2016/04/17,19,98,264
2016/04/18,19,100,269
2016/04/19,19,102,271
2016/04/20,19,105,271
2016/04/21,18,106,272
2016/04/22,18,107,271
2016/04/23,18,106,272
2016/04/24,18,108,270
2016/04/25,17,110,270
2016/04/26,18,110,274
2016/04/27,18,112,286
2016/04/28,16,113,289
2016/04/29,16,114,285
2016/04/30,17,114,289
2016/05/01,17,114,291
2016/05/02,16,115,291
2016/05/03,16,118,291
2016/05/04,17,119,292
2016/05/05,16,115,290
2016/05/06,16,123,286
2016/05/07,16,123,288
2016/05/08,16,111,284
2016/05/09,16,111,284
