date,kuwiki (100+),kuwiki (5+),kuwiki (all)
2015/07/29,3,15,68
2015/07/30,3,17,68
2015/07/31,3,17,68
2015/08/01,3,17,61
2015/08/02,3,16,59
2015/08/03,3,15,57
2015/08/04,3,15,57
2015/08/05,3,14,58
2015/08/06,3,15,60
2015/08/07,3,15,60
2015/08/08,3,15,61
2015/08/09,3,16,60
2015/08/10,4,17,60
2015/08/11,4,18,61
2015/08/12,4,18,58
2015/08/13,4,18,55
2015/08/14,4,18,57
2015/08/15,4,17,55
2015/08/16,4,17,52
2015/08/17,4,17,52
2015/08/18,5,18,56
2015/08/19,5,18,55
2015/08/20,4,20,55
2015/08/21,4,22,55
2015/08/22,5,23,53
2015/08/23,5,22,53
2015/08/24,5,22,56
2015/08/25,5,23,58
2015/08/26,5,24,58
2015/08/27,5,24,55
2015/08/28,5,24,55
2015/08/29,5,23,57
2015/08/30,5,24,57
2015/08/31,5,24,59
2015/09/01,5,24,61
2015/09/02,5,23,60
2015/09/03,5,23,61
2015/09/04,5,23,58
2015/09/05,5,23,59
2015/09/06,5,23,60
2015/09/07,5,23,64
2015/09/08,5,23,64
2015/09/09,4,22,63
2015/09/10,4,21,64
2015/09/11,4,20,65
2015/09/12,4,21,66
2015/09/13,4,21,66
2015/09/14,4,22,67
2015/09/15,4,22,67
2015/09/16,4,22,67
2015/09/17,4,22,66
2015/09/18,4,23,67
2015/09/19,3,22,68
2015/09/20,3,21,70
2015/09/21,3,22,74
2015/09/22,3,22,71
2015/09/23,4,21,71
2015/09/24,3,21,70
2015/09/25,3,20,68
2015/09/26,3,20,68
2015/09/27,3,19,68
2015/09/28,3,18,65
2015/09/29,3,18,67
2015/09/30,3,18,67
2015/10/01,3,18,66
2015/10/02,3,18,65
2015/10/03,3,17,64
2015/10/04,3,17,65
2015/10/05,3,17,64
2015/10/06,4,17,64
2015/10/07,4,17,59
2015/10/08,4,17,58
2015/10/09,4,17,60
2015/10/10,4,16,58
2015/10/11,4,16,58
2015/10/12,4,16,58
2015/10/13,4,15,57
2015/10/14,4,15,61
2015/10/15,4,15,60
2015/10/16,4,16,62
2015/10/17,4,16,61
2015/10/18,4,16,61
2015/10/19,4,16,58
2015/10/20,4,15,55
2015/10/21,4,14,53
2015/10/22,4,14,53
2015/10/23,4,14,51
2015/10/24,3,14,53
2015/10/25,2,14,54
2015/10/26,3,14,54
2015/10/27,3,14,54
2015/10/28,3,14,56
2015/10/29,3,15,54
2015/10/30,3,16,55
2015/10/31,2,17,56
2015/11/01,2,17,58
2015/11/02,3,17,59
2015/11/03,2,17,60
2015/11/04,4,17,63
2015/11/05,4,18,63
2015/11/06,5,19,65
2015/11/07,5,19,66
2015/11/08,5,19,65
2015/11/09,5,18,65
2015/11/10,5,18,63
2015/11/11,5,18,62
2015/11/12,5,17,61
2015/11/13,5,18,57
2015/11/14,5,18,60
2015/11/15,5,20,61
2015/11/16,5,19,61
2015/11/17,6,19,61
2015/11/18,6,18,60
2015/11/19,6,18,61
2015/11/20,6,18,62
2015/11/21,6,18,62
2015/11/22,6,19,64
2015/11/23,6,20,61
2015/11/24,6,21,64
2015/11/25,6,21,64
2015/11/26,6,22,65
2015/11/27,7,23,63
2015/11/28,7,23,66
2015/11/29,7,23,63
2015/11/30,8,22,62
2015/12/01,8,22,60
2015/12/02,8,23,59
2015/12/03,8,23,58
2015/12/04,7,22,58
2015/12/05,7,22,59
2015/12/06,6,22,60
2015/12/07,6,22,59
2015/12/08,6,22,58
2015/12/09,6,21,60
2015/12/10,6,21,60
2015/12/11,6,21,60
2015/12/12,5,20,61
2015/12/13,3,20,61
2015/12/14,3,21,61
2015/12/15,3,19,59
2015/12/16,3,20,60
2015/12/17,3,20,60
2016/01/18,2,16,40
2016/01/19,2,16,43
2016/01/20,2,16,44
2016/01/21,2,15,44
2016/01/22,2,16,47
2016/01/23,2,16,46
2016/01/24,2,16,51
2016/01/25,2,20,58
2016/01/26,2,19,59
2016/01/27,2,19,60
2016/01/28,2,19,60
2016/01/29,4,19,58
2016/01/30,4,20,57
2016/01/31,4,21,58
2016/02/01,4,21,60
2016/02/02,4,21,61
2016/02/03,4,22,61
2016/02/04,4,22,65
2016/02/05,4,22,69
2016/02/06,4,22,69
2016/02/07,4,22,71
2016/02/08,4,22,73
2016/02/09,3,22,75
2016/02/10,3,23,75
2016/02/11,3,23,74
2016/02/12,3,23,75
2016/02/13,3,23,75
2016/02/14,3,23,75
2016/02/15,3,24,76
2016/02/16,3,24,75
2016/02/17,3,24,76
2016/02/18,2,25,73
2016/02/19,2,25,71
2016/02/20,2,25,71
2016/02/21,2,24,70
2016/02/22,2,24,70
2016/02/23,2,24,67
2016/02/24,2,23,62
2016/02/25,2,22,60
2016/02/26,2,23,61
2016/02/27,2,23,62
2016/02/28,2,22,62
2016/02/29,2,23,63
2016/03/01,2,23,63
2016/03/02,2,23,63
2016/03/03,2,21,61
2016/03/04,2,21,61
2016/03/05,2,20,59
2016/03/06,2,18,56
2016/03/07,2,18,59
2016/03/08,2,17,58
2016/03/09,2,17,57
2016/03/10,2,17,54
2016/03/11,2,16,53
2016/03/12,2,17,54
2016/03/13,2,17,52
2016/03/14,2,18,54
2016/03/15,2,19,56
2016/03/16,2,17,53
2016/03/17,2,17,52
2016/03/18,2,17,53
2016/03/19,1,17,52
2016/03/20,1,17,55
2016/03/21,1,18,53
2016/03/22,1,19,52
2016/03/23,1,18,51
2016/03/24,1,17,51
2016/03/25,1,19,51
2016/03/26,1,19,52
