date,uzwiki (100+),uzwiki (5+),uzwiki (all)
2015/07/27,2,32,94
2015/07/28,2,31,96
2015/07/29,2,31,96
2015/07/30,2,30,98
2015/07/31,1,30,97
2015/08/01,2,29,99
2015/08/02,1,27,100
2015/08/03,1,27,97
2015/08/04,1,27,97
2015/08/05,2,28,102
2015/08/06,2,28,98
2015/08/07,2,28,97
2015/08/08,2,27,98
2015/08/09,2,27,97
2015/08/10,2,28,96
2015/08/11,2,28,99
2015/08/12,3,28,100
2015/08/13,3,30,99
2015/08/14,3,29,102
2015/08/15,3,28,101
2015/08/16,3,28,100
2015/08/17,3,27,100
2015/08/18,2,27,100
2015/08/19,2,26,101
2015/08/20,2,25,97
2015/08/21,3,23,93
2015/08/22,3,24,92
2015/08/23,3,23,87
2015/08/24,3,21,84
2015/08/25,3,21,84
2015/08/26,3,21,84
2015/08/27,3,21,85
2015/08/28,3,20,81
2015/08/29,3,20,80
2015/08/30,3,20,82
2015/08/31,3,20,79
2015/09/01,3,20,85
2015/09/02,3,20,84
2015/09/03,3,20,83
2015/09/04,2,19,81
2015/09/05,2,18,84
2015/09/06,2,18,84
2015/09/07,2,18,85
2015/09/08,1,17,83
2015/09/09,1,16,82
2015/09/10,1,16,78
2015/09/11,2,18,77
2015/09/12,1,17,76
2015/09/13,1,16,72
2015/09/14,1,17,72
2015/09/15,1,16,73
2015/09/16,1,16,72
2015/09/17,1,16,73
2015/09/18,1,16,72
2015/09/19,1,17,72
2015/09/20,1,20,77
2015/09/21,1,20,75
2015/09/22,1,20,73
2015/09/23,1,21,74
2015/09/24,1,20,73
2015/09/25,,20,72
2015/09/26,,20,73
2015/09/27,,21,74
2015/09/28,,21,71
2015/09/29,,21,71
2015/09/30,,22,72
2015/10/01,,23,69
2015/10/02,1,23,67
2015/10/03,1,22,68
2015/10/04,1,22,72
2015/10/05,1,22,71
2015/10/06,1,22,74
2015/10/07,2,22,71
2015/10/08,2,23,74
2015/10/09,2,24,75
2015/10/10,2,25,77
2015/10/11,2,26,79
2015/10/12,2,25,80
2015/10/13,2,25,79
2015/10/14,2,23,78
2015/10/15,1,24,79
2015/10/16,2,21,77
2015/10/17,2,20,77
2015/10/18,1,20,83
2015/10/19,1,20,83
2015/10/20,1,19,78
2015/10/21,,18,79
2015/10/22,,18,79
2015/10/23,,19,79
2015/10/24,,20,79
2015/10/25,,21,80
2015/10/26,,21,77
2015/10/27,,23,78
2015/10/28,,23,79
2015/10/29,1,23,81
2015/10/30,1,24,81
2015/10/31,1,23,82
2015/11/01,1,23,82
2015/11/02,1,23,83
2015/11/03,1,24,84
2015/11/04,1,25,84
2015/11/05,1,25,85
2015/11/06,1,26,86
2015/11/07,1,26,88
2015/11/08,1,26,90
2015/11/09,1,26,89
2015/11/10,1,26,91
2015/11/11,1,26,91
2015/11/12,2,26,89
2015/11/13,2,26,88
2015/11/14,2,25,84
2015/11/15,2,26,86
2015/11/16,3,27,84
2015/11/17,3,28,78
2015/11/18,3,28,76
2015/11/19,4,28,75
2015/11/20,4,28,75
2015/11/21,4,28,75
2015/11/22,4,26,74
2015/11/23,4,26,74
2015/11/24,4,25,69
2015/11/25,4,25,74
2015/11/26,4,25,78
2015/11/27,4,24,77
2015/11/28,4,24,78
2015/11/29,3,25,81
2015/11/30,3,25,82
2015/12/01,3,25,83
2015/12/02,3,25,82
2015/12/03,3,24,80
2015/12/04,3,24,80
2015/12/05,3,23,82
2015/12/06,4,22,82
2015/12/07,4,22,81
2015/12/08,4,22,79
2015/12/09,4,22,78
2015/12/10,4,21,76
2015/12/11,4,22,77
2015/12/12,4,22,83
2015/12/13,4,23,85
2015/12/14,6,23,88
2015/12/15,5,23,86
2015/12/16,4,21,87
2015/12/17,5,20,91
2016/01/18,6,18,87
2016/01/19,6,19,86
2016/01/20,5,19,85
2016/01/21,5,21,91
2016/01/22,6,21,89
2016/01/23,6,22,89
2016/01/24,6,24,91
2016/01/25,6,24,93
2016/01/26,5,24,93
2016/01/27,6,23,95
2016/01/28,6,23,92
2016/01/29,6,24,91
2016/01/30,6,24,94
2016/01/31,6,24,96
2016/02/01,6,24,100
2016/02/02,4,23,97
2016/02/03,4,22,93
2016/02/04,4,22,94
2016/02/05,4,22,96
2016/02/06,3,22,95
2016/02/07,3,22,97
2016/02/08,3,22,98
2016/02/09,3,22,97
2016/02/10,3,22,96
2016/02/11,4,21,93
2016/02/12,4,21,91
2016/02/13,4,21,90
2016/02/14,4,20,91
2016/02/15,4,20,92
2016/02/16,4,20,92
2016/02/17,3,20,93
2016/02/18,3,20,93
2016/02/19,3,20,93
2016/02/20,5,18,91
2016/02/21,5,19,94
2016/02/22,5,18,95
2016/02/23,4,17,95
2016/02/24,4,17,91
2016/02/25,4,17,91
2016/02/26,4,17,91
2016/02/27,4,17,91
2016/02/28,4,17,91
2016/02/29,3,17,94
2016/03/01,3,17,94
2016/03/02,3,18,94
2016/03/03,3,20,98
2016/03/04,3,21,95
2016/03/05,3,21,94
2016/03/06,3,21,93
2016/03/07,3,23,93
2016/03/08,3,22,91
2016/03/09,3,21,88
2016/03/10,3,21,89
2016/03/11,4,21,87
2016/03/12,3,20,86
2016/03/13,3,21,93
2016/03/14,3,21,95
2016/03/15,3,22,93
2016/03/16,3,21,94
2016/03/17,3,21,97
2016/03/18,3,22,95
2016/03/19,2,21,97
2016/03/20,2,21,96
2016/03/21,2,18,90
2016/03/22,2,18,87
2016/03/23,2,19,88
2016/03/24,2,19,89
2016/03/25,2,19,91
2016/03/26,2,19,91
2016/03/27,2,19,94
2016/03/28,2,21,98
2016/03/29,2,22,100
2016/03/30,2,25,99
2016/03/31,2,25,97
2016/04/01,2,24,96
2016/04/02,2,24,94
2016/04/03,2,25,95
2016/04/04,2,25,94
2016/04/05,2,25,93
2016/04/06,4,24,94
2016/04/07,3,24,93
2016/04/08,3,24,95
2016/04/09,3,24,93
2016/04/10,3,24,93
2016/04/11,4,24,94
2016/04/12,3,22,89
2016/04/13,3,22,88
2016/04/14,3,22,90
2016/04/15,3,22,89
2016/04/16,3,24,89
2016/04/17,3,24,93
2016/04/18,3,23,92
2016/04/19,3,24,94
2016/04/20,4,25,93
2016/04/21,4,25,97
2016/04/22,4,24,95
2016/04/23,5,25,94
2016/04/24,5,25,95
2016/04/25,5,24,91
2016/04/26,5,26,89
2016/04/27,5,25,91
2016/04/28,5,24,90
2016/04/29,4,24,88
2016/04/30,4,25,88
2016/05/01,4,25,86
2016/05/02,4,24,87
2016/05/03,4,24,85
2016/05/04,4,24,86
2016/05/05,4,24,86
2016/05/06,4,22,85
2016/05/07,4,23,89
2016/05/08,4,24,90
2016/05/09,4,24,93
2016/05/10,4,24,101
2016/05/11,4,24,101
2016/05/12,4,24,104
2016/05/13,4,24,102
2016/05/14,4,22,103
2016/05/15,5,24,104
2016/05/16,5,23,103
2016/05/17,5,24,105
2016/05/18,5,27,104
2016/05/19,5,27,106
2016/05/20,5,27,111
2016/05/21,5,26,111
2016/05/22,5,26,109
2016/05/23,4,25,108
2016/05/24,4,26,108
2016/05/25,3,26,113
2016/05/26,3,26,118
2016/05/27,3,26,119
2016/05/28,3,25,119
2016/05/29,3,25,120
2016/05/30,2,26,121
2016/05/31,1,26,121
2016/06/01,1,26,121
2016/06/02,1,27,121
2016/06/03,1,26,124
2016/06/04,1,27,127
2016/06/05,1,27,127
2016/06/06,1,27,125
2016/06/07,1,26,122
2016/06/08,1,27,121
2016/06/09,1,28,118
2016/06/10,1,28,118
2016/06/11,1,27,116
2016/06/12,1,27,116
2016/06/13,1,28,118
2016/06/14,1,26,116
2016/06/15,1,26,114
2016/06/16,1,26,109
2016/06/17,2,24,106
2016/06/18,2,24,103
2016/06/19,2,23,102
2016/06/20,2,21,98
2016/06/21,2,21,100
2016/06/22,2,20,99
2016/06/23,3,19,97
2016/06/24,4,20,93
2016/06/25,4,20,83
2016/06/26,3,20,81
2016/06/27,3,19,79
2016/06/28,3,20,79
2016/06/29,3,20,78
2016/06/30,3,19,76
2016/07/01,3,19,76
2016/07/02,3,19,77
2016/07/03,3,19,78
2016/07/04,4,18,77
2016/07/05,4,18,77
2016/07/06,4,17,74
2016/07/07,4,17,75
2016/07/08,4,16,77
2016/07/09,4,16,77
2016/07/10,4,16,77
2016/07/11,4,16,77
2016/07/12,3,17,81
2016/07/13,3,17,79
2016/07/14,3,17,81
2016/07/15,3,17,82
2016/07/16,3,17,83
2016/07/17,3,16,88
2016/07/18,3,17,87
2016/07/19,3,17,86
2016/07/20,3,17,86
2016/07/21,3,17,86
2016/07/22,3,18,88
2016/07/23,3,18,88
2016/07/24,3,18,86
2016/07/25,3,17,84
2016/07/26,3,16,83
2016/07/27,3,17,84
2016/07/28,3,16,82
2016/07/29,3,16,84
2016/07/30,3,15,83
2016/07/31,3,16,81
2016/08/01,3,16,82
2016/08/02,3,16,81
2016/08/03,4,16,79
2016/08/04,4,16,79
2016/08/05,4,17,78
2016/08/06,4,16,78
2016/08/07,4,16,75
2016/08/08,4,16,74
2016/08/09,4,16,72
2016/08/10,4,15,69
2016/08/11,3,14,63
2016/08/12,3,13,63
2016/08/13,3,13,64
2016/08/14,3,12,63
2016/08/15,3,12,63
2016/08/16,4,12,58
2016/08/17,4,13,57
2016/08/18,4,14,58
2016/08/19,3,14,59
2016/08/20,3,13,59
2016/08/21,3,12,58
2016/08/22,3,12,59
2016/08/23,4,12,62
2016/08/24,4,12,63
2016/08/25,4,13,61
2016/08/26,4,12,60
2016/08/27,3,11,60
2016/08/28,3,11,60
2016/08/29,3,12,60
2016/08/30,3,11,59
2016/08/31,4,11,63
2016/09/01,4,11,63
