date,bewiki (100+),bewiki (5+),bewiki (all)
2015/07/27,22,75,235
2015/07/28,21,75,233
2015/07/29,22,75,230
2015/07/30,22,76,230
2015/07/31,22,77,237
2015/08/01,22,76,242
2015/08/02,22,77,239
2015/08/03,22,76,241
2015/08/04,22,75,238
2015/08/05,22,76,245
2015/08/06,21,78,246
2015/08/07,21,78,247
2015/08/08,21,82,248
2015/08/09,22,84,248
2015/08/10,20,84,246
2015/08/11,20,83,243
2015/08/12,20,82,242
2015/08/13,20,80,242
2015/08/14,20,79,242
2015/08/15,20,78,244
2015/08/16,21,78,238
2015/08/17,20,77,242
2015/08/18,20,78,245
2015/08/19,21,79,242
2015/08/20,20,77,237
2015/08/21,20,74,231
2015/08/22,20,75,228
2015/08/23,19,76,223
2015/08/24,18,78,224
2015/08/25,20,81,225
2015/08/26,20,79,218
2015/08/27,20,78,215
2015/08/28,18,80,215
2015/08/29,19,81,221
2015/08/30,20,81,219
2015/08/31,21,81,215
2015/09/01,22,81,217
2015/09/02,20,81,222
2015/09/03,21,78,222
2015/09/04,22,81,223
2015/09/05,23,82,221
2015/09/06,23,83,224
2015/09/07,24,87,231
2015/09/08,23,88,225
2015/09/09,24,89,229
2015/09/10,23,90,231
2015/09/11,23,89,231
2015/09/12,22,89,232
2015/09/13,22,87,233
2015/09/14,22,86,234
2015/09/15,23,83,238
2015/09/16,23,84,233
2015/09/17,22,88,238
2015/09/18,23,83,237
2015/09/19,23,85,241
2015/09/20,22,86,241
2015/09/21,22,87,240
2015/09/22,23,87,241
2015/09/23,23,87,242
2015/09/24,23,85,241
2015/09/25,23,84,243
2015/09/26,23,86,244
2015/09/27,21,87,248
2015/09/28,21,85,244
2015/09/29,22,85,237
2015/09/30,22,84,239
2015/10/01,21,85,241
2015/10/02,22,84,236
2015/10/03,21,86,236
2015/10/04,21,84,234
2015/10/05,19,82,233
2015/10/06,19,77,233
2015/10/07,19,73,233
2015/10/08,18,71,233
2015/10/09,18,69,230
2015/10/10,18,70,229
2015/10/11,19,72,227
2015/10/12,19,69,225
2015/10/13,19,69,221
2015/10/14,19,68,221
2015/10/15,19,69,218
2015/10/16,18,69,215
2015/10/17,17,67,208
2015/10/18,19,70,213
2015/10/19,19,69,206
2015/10/20,20,69,209
2015/10/21,19,69,214
2015/10/22,19,68,210
2015/10/23,19,68,210
2015/10/24,19,67,205
2015/10/25,18,67,200
2015/10/26,18,69,201
2015/10/27,17,67,202
2015/10/28,17,69,205
2015/10/29,18,68,204
2015/10/30,18,67,203
2015/10/31,18,67,197
2015/11/01,17,67,199
2015/11/02,19,66,198
2015/11/03,18,65,201
2015/11/04,18,66,196
2015/11/05,17,66,194
2015/11/06,17,66,189
2015/11/07,17,66,190
2015/11/08,17,66,186
2015/11/09,17,66,184
2015/11/10,17,64,189
2015/11/11,18,65,189
2015/11/12,17,65,195
2015/11/13,17,62,196
2015/11/14,17,63,197
2015/11/15,18,63,199
2015/11/16,19,63,198
2015/11/17,18,61,192
2015/11/18,18,63,190
2015/11/19,18,64,193
2015/11/20,18,62,195
2015/11/21,18,61,198
2015/11/22,18,60,198
2015/11/23,18,61,202
2015/11/24,18,60,205
2015/11/25,18,60,206
2015/11/26,17,59,201
2015/11/27,17,59,203
2015/11/28,18,55,201
2015/11/29,18,57,205
2015/11/30,19,57,209
2015/12/01,19,59,208
2015/12/02,19,58,205
2015/12/03,19,55,204
2015/12/04,19,57,203
2015/12/05,18,58,201
2015/12/06,18,59,199
2015/12/07,18,60,203
2015/12/08,18,60,202
2015/12/09,17,60,198
2015/12/10,17,59,197
2015/12/11,17,62,192
2015/12/12,17,63,194
2015/12/13,17,62,193
2015/12/14,18,63,193
2015/12/15,18,62,193
2015/12/16,18,64,194
2015/12/17,17,65,197
2016/01/18,19,77,240
2016/01/19,19,79,241
2016/01/20,19,78,240
2016/01/21,19,77,241
2016/01/22,19,78,242
2016/01/23,18,79,241
2016/01/24,19,78,238
2016/01/25,19,78,233
2016/01/26,19,78,235
2016/01/27,21,78,237
2016/01/28,20,80,235
2016/01/29,20,80,230
2016/01/30,22,78,232
2016/01/31,23,75,229
2016/02/01,23,74,222
2016/02/02,22,75,220
2016/02/03,22,75,222
2016/02/04,21,74,225
2016/02/05,20,74,221
2016/02/06,20,71,222
2016/02/07,20,72,223
2016/02/08,19,71,222
2016/02/09,19,71,225
2016/02/10,18,72,225
2016/02/11,18,71,219
2016/02/12,19,72,220
2016/02/13,19,74,224
2016/02/14,19,70,220
2016/02/15,19,71,219
2016/02/16,19,75,224
2016/02/17,18,72,222
2016/02/18,19,70,218
2016/02/19,19,71,219
2016/02/20,19,72,214
2016/02/21,19,71,212
2016/02/22,18,73,217
2016/02/23,18,75,222
2016/02/24,17,75,222
2016/02/25,18,76,225
2016/02/26,18,79,225
2016/02/27,18,78,221
2016/02/28,18,80,222
2016/02/29,17,81,222
2016/03/01,18,82,221
2016/03/02,18,83,222
2016/03/03,18,81,223
2016/03/04,17,79,214
2016/03/05,18,79,213
2016/03/06,18,78,210
2016/03/07,18,81,212
2016/03/08,17,76,214
2016/03/09,17,77,215
2016/03/10,16,76,212
2016/03/11,16,77,214
2016/03/12,16,76,214
2016/03/13,17,78,218
2016/03/14,17,80,217
2016/03/15,17,81,217
2016/03/16,17,79,220
2016/03/17,15,76,216
2016/03/18,15,78,213
2016/03/19,15,77,215
2016/03/20,15,73,215
2016/03/21,15,80,222
2016/03/22,14,82,221
2016/03/23,14,84,221
2016/03/24,14,84,223
2016/03/25,15,88,224
2016/03/26,16,90,224
2016/03/27,16,91,226
2016/03/28,16,91,228
2016/03/29,17,91,230
2016/03/30,16,91,231
2016/03/31,17,91,232
2016/04/01,16,92,233
2016/04/02,16,91,233
2016/04/03,16,89,235
2016/04/04,16,91,233
2016/04/05,16,91,233
2016/04/06,16,87,232
2016/04/07,16,87,234
2016/04/08,16,88,232
2016/04/09,16,88,233
2016/04/10,16,87,226
2016/04/11,16,86,231
2016/04/12,16,81,226
2016/04/13,16,82,228
2016/04/14,16,85,228
2016/04/15,16,85,226
2016/04/16,17,85,227
2016/04/17,16,88,226
2016/04/18,16,86,225
2016/04/19,16,91,226
2016/04/20,16,87,221
2016/04/21,15,86,223
2016/04/22,17,82,221
2016/04/23,17,78,223
2016/04/24,17,77,221
2016/04/25,16,75,219
2016/04/26,16,75,218
2016/04/27,16,78,219
2016/04/28,16,74,218
2016/04/29,17,74,216
2016/04/30,17,73,216
2016/05/01,17,74,214
2016/05/02,17,73,217
2016/05/03,17,77,219
2016/05/04,17,73,220
2016/05/05,17,73,218
2016/05/06,17,71,219
2016/05/07,17,70,216
2016/05/08,16,68,217
2016/05/09,16,69,217
2016/05/10,17,70,220
2016/05/11,18,72,212
2016/05/12,18,71,211
2016/05/13,18,71,208
2016/05/14,19,69,210
2016/05/15,19,70,211
2016/05/16,18,70,209
2016/05/17,18,68,208
2016/05/18,18,67,206
2016/05/19,18,64,204
2016/05/20,18,63,204
2016/05/21,18,64,205
2016/05/22,16,63,204
2016/05/23,17,64,202
2016/05/24,19,65,207
2016/05/25,18,67,202
2016/05/26,19,64,205
2016/05/27,18,64,198
2016/05/28,17,65,197
2016/05/29,17,63,197
2016/05/30,17,61,197
2016/05/31,17,59,194
2016/06/01,17,59,193
2016/06/02,17,57,193
2016/06/03,18,58,189
2016/06/04,18,64,193
2016/06/05,17,63,196
2016/06/06,19,62,202
2016/06/07,19,64,199
2016/06/08,18,67,198
2016/06/09,19,67,197
2016/06/10,19,66,199
2016/06/11,16,67,197
2016/06/12,18,68,193
2016/06/13,18,68,194
2016/06/14,19,67,192
2016/06/15,19,67,190
2016/06/16,19,67,190
2016/06/17,19,69,199
2016/06/18,19,75,204
2016/06/19,19,76,206
2016/06/20,20,79,207
2016/06/21,19,80,211
2016/06/22,18,78,216
2016/06/23,18,77,212
2016/06/24,18,79,210
2016/06/25,18,81,210
2016/06/26,19,80,210
2016/06/27,18,81,210
2016/06/28,18,82,207
2016/06/29,18,83,210
2016/06/30,19,86,216
2016/07/01,19,84,218
2016/07/02,20,83,221
2016/07/03,19,82,225
2016/07/04,18,79,221
2016/07/05,19,79,223
2016/07/06,17,78,215
2016/07/07,17,75,216
2016/07/08,17,76,218
2016/07/09,17,76,226
2016/07/10,16,78,223
2016/07/11,16,79,226
2016/07/12,14,78,229
2016/07/13,15,77,225
2016/07/14,15,77,221
2016/07/15,15,75,222
2016/07/16,15,75,222
2016/07/17,14,74,215
2016/07/18,14,68,208
2016/07/19,14,67,205
2016/07/20,14,68,206
2016/07/21,14,68,202
2016/07/22,14,68,203
2016/07/23,13,67,203
2016/07/24,13,66,200
2016/07/25,14,66,198
2016/07/26,14,65,201
2016/07/27,14,66,206
2016/07/28,14,67,210
2016/07/29,14,69,210
2016/07/30,15,70,209
2016/07/31,14,70,205
2016/08/01,15,70,207
2016/08/02,15,71,212
2016/08/03,16,72,216
2016/08/04,15,68,217
2016/08/05,15,69,214
2016/08/06,15,66,207
2016/08/07,15,66,210
2016/08/08,14,67,205
2016/08/09,14,69,210
2016/08/10,15,66,209
2016/08/11,15,64,207
2016/08/12,15,67,211
2016/08/13,14,65,213
2016/08/14,14,64,205
2016/08/15,14,61,207
2016/08/16,14,64,206
2016/08/17,14,63,207
2016/08/18,14,62,211
2016/08/19,14,60,211
2016/08/20,14,63,215
2016/08/21,14,63,212
2016/08/22,15,63,208
2016/08/23,15,61,210
2016/08/24,14,61,215
2016/08/25,14,63,212
2016/08/26,14,63,212
2016/08/27,14,61,213
2016/08/28,14,60,215
2016/08/29,12,58,218
2016/08/30,13,62,220
2016/08/31,12,65,223
2016/09/01,12,65,222
2016/09/02,12,68,218
2016/09/03,12,67,214
2016/09/04,12,68,211
2016/09/05,12,70,211
2016/09/06,14,72,211
2016/09/07,14,73,211
2016/09/08,15,75,201
2016/09/09,15,76,201
2016/09/10,14,77,199
2016/09/11,14,78,203
2016/09/12,13,80,204
2016/09/13,12,82,203
2016/09/14,12,82,201
2016/09/15,13,80,203
2016/09/16,14,83,204
2016/09/17,14,84,203
2016/09/18,14,83,198
2016/09/19,14,81,197
2016/09/20,14,81,197
2016/09/21,14,79,198
2016/09/22,14,80,197
2016/09/23,14,80,197
2016/09/24,14,78,194
2016/09/25,14,79,194
2016/09/26,14,78,189
2016/09/27,14,77,184
2016/09/28,14,77,183
2016/09/29,14,75,182
2016/09/30,16,75,181
2016/10/01,16,75,182
2016/10/02,17,73,183
2016/10/03,17,74,187
2016/10/04,17,76,190
2016/10/05,17,75,188
2016/10/06,17,74,194
2016/10/07,17,73,192
2016/10/08,17,74,191
2016/10/09,17,75,193
2016/10/10,17,80,201
2016/10/11,17,82,198
2016/10/12,17,80,199
2016/10/13,17,81,200
2016/10/14,16,78,202
2016/10/15,17,80,202
2016/10/16,16,79,204
2016/10/17,16,79,202
2016/10/18,16,79,202
2016/10/19,16,77,203
2016/10/20,16,78,202
2016/10/21,15,80,201
2016/10/22,15,78,198
2016/10/23,15,80,201
2016/10/24,16,83,199
2016/10/25,16,83,201
2016/10/26,17,83,202
2016/10/27,17,84,203
2016/10/28,17,83,206
2016/10/29,17,82,207
2016/10/30,17,80,213
2016/10/31,17,82,204
2016/11/01,17,79,208
2016/11/02,17,78,213
2016/11/03,15,77,213
2016/11/04,14,75,212
2016/11/05,13,75,212
2016/11/06,14,76,217
2016/11/07,14,76,216
2016/11/08,14,75,216
2016/11/09,14,68,210
2016/11/10,14,67,208
2016/11/11,14,67,205
2016/11/12,14,65,200
2016/11/13,14,66,200
2016/11/14,14,63,202
2016/11/15,14,63,194
2016/11/16,14,63,198
2016/11/17,14,66,204
2016/11/18,14,65,198
2016/11/19,14,66,199
2016/11/20,14,63,202
2016/11/21,14,64,205
2016/11/22,14,67,207
2016/11/23,14,64,210
2016/11/24,14,65,208
2016/11/25,14,66,207
2016/11/26,14,66,206
2016/11/27,14,66,204
2016/11/28,15,68,208
2016/11/29,16,71,206
2016/11/30,16,69,208
2016/12/01,16,72,208
2016/12/02,17,71,204
2016/12/03,17,70,199
2016/12/04,17,69,196
2016/12/05,16,73,195
2016/12/06,16,71,190
2016/12/07,16,70,192
2016/12/08,17,73,201
2016/12/09,17,74,211
2016/12/10,19,76,212
2016/12/11,21,78,215
2016/12/12,23,81,220
2016/12/13,22,83,230
2016/12/14,22,86,229
2016/12/15,22,88,238
2016/12/16,22,89,239
2016/12/17,22,89,236
2016/12/18,22,89,240
2016/12/19,22,92,246
2016/12/20,21,95,241
2016/12/21,22,95,237
2016/12/22,23,95,238
2016/12/23,23,96,234
2016/12/24,23,94,233
2016/12/25,23,95,235
2016/12/26,24,98,241
2016/12/27,24,100,245
2016/12/28,24,107,245
2016/12/29,23,107,244
2016/12/30,25,106,248
2016/12/31,26,105,247
2017/01/01,26,106,249
2017/01/02,26,107,254
2017/01/03,27,111,257
2017/01/04,26,111,257
2017/01/05,26,108,259
2017/01/06,26,115,264
2017/01/07,26,115,259
2017/01/08,26,116,254
2017/01/09,25,116,259
2017/01/10,25,113,260
2017/01/11,24,110,254
2017/01/12,23,108,248
2017/01/13,23,105,249
2017/01/14,21,100,243
2017/01/15,22,100,235
2017/01/16,21,99,232
2017/01/17,21,95,230
2017/01/18,21,93,226
2017/01/19,21,92,223
2017/01/20,21,92,226
2017/01/21,22,91,220
2017/01/22,23,92,224
2017/01/23,23,92,226
2017/01/24,22,92,226
2017/01/25,22,92,225
2017/01/26,23,90,218
2017/01/27,23,84,212
2017/01/28,22,86,216
2017/01/29,21,86,215
2017/01/30,21,87,216
2017/01/31,21,89,212
2017/02/01,21,91,217
2017/02/02,21,91,215
2017/02/03,21,92,212
2017/02/04,21,90,210
2017/02/05,21,86,200
2017/02/06,20,85,204
2017/02/07,20,83,203
2017/02/08,21,84,199
2017/02/09,21,83,201
2017/02/10,21,83,201
2017/02/11,21,82,200
2017/02/12,21,82,199
2017/02/13,21,86,200
2017/02/14,21,87,202
2017/02/15,23,89,210
2017/02/16,23,89,207
2017/02/17,23,89,207
2017/02/18,23,87,208
2017/02/19,23,88,208
2017/02/20,22,89,213
2017/02/21,22,88,216
2017/02/22,22,88,215
2017/02/23,22,87,215
2017/02/24,21,86,219
2017/02/25,21,85,216
2017/02/26,21,85,221
2017/02/27,22,90,219
2017/02/28,22,90,219
2017/03/01,22,90,217
2017/03/02,22,88,223
2017/03/03,22,89,223
2017/03/04,21,89,225
2017/03/05,21,90,223
2017/03/06,21,92,222
2017/03/07,21,90,225
2017/03/08,22,90,224
2017/03/09,22,91,227
