date,mrwiki (100+),mrwiki (5+),mrwiki (all)
2015/07/27,4,32,77
2015/07/28,3,31,77
2015/07/29,3,32,76
2015/07/30,3,33,76
2015/07/31,4,33,78
2015/08/01,4,32,78
2015/08/02,4,32,76
2015/08/03,5,31,77
2015/08/04,5,31,79
2015/08/05,5,31,80
2015/08/06,5,31,80
2015/08/07,5,32,79
2015/08/08,4,33,82
2015/08/09,4,32,83
2015/08/10,4,32,85
2015/08/11,6,31,81
2015/08/12,6,30,84
2015/08/13,5,28,81
2015/08/14,6,27,81
2015/08/15,6,26,82
2015/08/16,5,25,80
2015/08/17,5,25,83
2015/08/18,5,25,83
2015/08/19,4,24,79
2015/08/20,5,21,83
2015/08/21,6,28,95
2015/08/22,6,27,96
2015/08/23,5,31,99
2015/08/24,5,30,99
2015/08/25,6,31,103
2015/08/26,8,32,104
2015/08/27,8,34,105
2015/08/28,8,36,104
2015/08/29,8,35,104
2015/08/30,8,36,105
2015/08/31,8,37,108
2015/09/01,8,37,108
2015/09/02,8,36,110
2015/09/03,7,37,109
2015/09/04,8,37,105
2015/09/05,9,37,105
2015/09/06,9,36,106
2015/09/07,9,38,109
2015/09/08,9,40,109
2015/09/09,9,40,107
2015/09/10,8,41,111
2015/09/11,8,42,111
2015/09/12,8,43,112
2015/09/13,8,44,115
2015/09/14,8,45,116
2015/09/15,8,45,121
2015/09/16,8,44,119
2015/09/17,8,44,121
2015/09/18,8,45,121
2015/09/19,8,45,120
2015/09/20,7,43,118
2015/09/21,7,39,115
2015/09/22,6,37,113
2015/09/23,6,36,111
2015/09/24,6,37,110
2015/09/25,6,35,110
2015/09/26,6,36,107
2015/09/27,5,34,107
2015/09/28,5,34,108
2015/09/29,5,34,105
2015/09/30,5,33,102
2015/10/01,5,36,101
2015/10/02,6,36,102
2015/10/03,6,34,100
2015/10/04,6,32,101
2015/10/05,6,32,102
2015/10/06,6,30,104
2015/10/07,6,29,99
2015/10/08,6,30,98
2015/10/09,6,28,98
2015/10/10,6,28,97
2015/10/11,5,28,96
2015/10/12,5,29,92
2015/10/13,5,28,88
2015/10/14,6,27,89
2015/10/15,6,29,88
2015/10/16,6,31,90
2015/10/17,6,31,90
2015/10/18,6,31,87
2015/10/19,6,31,85
2015/10/20,6,31,82
2015/10/21,6,30,81
2015/10/22,6,31,81
2015/10/23,6,31,83
2015/10/24,6,31,82
2015/10/25,6,28,80
2015/10/26,6,27,80
2015/10/27,5,28,81
2015/10/28,5,28,88
2015/10/29,5,31,91
2015/10/30,5,32,92
2015/10/31,5,32,95
2015/11/01,5,36,100
2015/11/02,5,37,103
2015/11/03,5,38,106
2015/11/04,5,38,104
2015/11/05,5,38,103
2015/11/06,5,38,105
2015/11/07,5,38,106
2015/11/08,5,38,107
2015/11/09,5,38,106
2015/11/10,5,36,106
2015/11/11,5,35,107
2015/11/12,5,36,110
2015/11/13,4,35,108
2015/11/14,4,35,107
2015/11/15,4,34,104
2015/11/16,4,34,105
2015/11/17,5,32,105
2015/11/18,5,31,104
2015/11/19,5,31,103
2015/11/20,5,32,105
2015/11/21,5,31,104
2015/11/22,5,32,109
2015/11/23,4,32,107
2015/11/24,4,32,105
2015/11/25,4,32,106
2015/11/26,4,33,106
2015/11/27,4,34,103
2015/11/28,4,32,101
2015/11/29,4,32,104
2015/11/30,4,33,102
2015/12/01,4,28,98
2015/12/02,4,28,95
2015/12/03,5,29,92
2015/12/04,4,37,99
2015/12/05,5,37,98
2015/12/06,5,37,98
2015/12/07,6,37,98
2015/12/08,6,39,99
2015/12/09,6,41,97
2015/12/10,6,41,98
2015/12/11,6,41,97
2015/12/12,6,41,100
2015/12/13,6,42,99
2015/12/14,6,42,96
2015/12/15,6,43,98
2015/12/16,6,44,99
2015/12/17,6,62,125
2016/01/18,5,38,101
2016/01/19,5,38,101
2016/01/20,5,38,101
2016/01/21,4,39,97
2016/01/22,4,40,96
2016/01/23,4,42,95
2016/01/24,4,41,98
2016/01/25,4,39,96
2016/01/26,4,38,96
2016/01/27,4,39,98
2016/01/28,4,42,96
2016/01/29,4,41,93
2016/01/30,4,42,94
2016/01/31,4,41,95
2016/02/01,4,41,97
2016/02/02,4,41,97
2016/02/03,4,41,96
2016/02/04,4,41,97
2016/02/05,4,40,95
2016/02/06,5,43,99
2016/02/07,5,45,105
2016/02/08,5,44,102
2016/02/09,5,42,100
2016/02/10,5,44,102
2016/02/11,5,44,104
2016/02/12,4,43,105
2016/02/13,4,44,102
2016/02/14,4,45,105
2016/02/15,4,44,104
2016/02/16,4,42,103
2016/02/17,4,42,103
2016/02/18,4,41,100
2016/02/19,4,47,105
2016/02/20,4,46,105
2016/02/21,4,46,105
2016/02/22,4,46,108
2016/02/23,4,45,103
2016/02/24,4,45,104
2016/02/25,4,45,104
2016/02/26,4,47,105
2016/02/27,4,44,102
2016/02/28,4,43,100
2016/02/29,4,45,98
2016/03/01,4,44,97
2016/03/02,4,43,94
2016/03/03,4,44,94
2016/03/04,4,44,92
2016/03/05,4,43,89
2016/03/06,4,43,91
2016/03/07,4,42,89
2016/03/08,4,41,88
2016/03/09,4,41,88
2016/03/10,4,41,89
2016/03/11,4,41,87
2016/03/12,4,40,86
2016/03/13,4,43,89
2016/03/14,4,43,91
2016/03/15,4,43,91
2016/03/16,4,41,91
2016/03/17,4,39,88
2016/03/18,4,39,87
2016/03/19,4,39,86
2016/03/20,4,38,86
2016/03/21,4,35,87
2016/03/22,4,36,86
2016/03/23,5,35,83
2016/03/24,5,35,83
2016/03/25,5,35,81
2016/03/26,5,36,83
2016/03/27,5,35,81
2016/03/28,5,35,84
2016/03/29,5,36,85
2016/03/30,5,35,84
2016/03/31,6,36,87
2016/04/01,7,37,88
2016/04/02,7,37,86
2016/04/03,8,38,91
2016/04/04,8,39,93
2016/04/05,8,42,94
2016/04/06,8,42,94
2016/04/07,10,42,93
2016/04/08,10,42,90
2016/04/09,10,41,88
2016/04/10,10,42,88
2016/04/11,10,41,87
2016/04/12,7,40,88
2016/04/13,7,41,86
2016/04/14,7,41,87
2016/04/15,7,43,87
2016/04/16,7,43,88
2016/04/17,7,41,87
2016/04/18,7,41,87
2016/04/19,7,41,86
2016/04/20,7,41,85
2016/04/21,7,41,84
2016/04/22,7,40,85
2016/04/23,8,42,89
2016/04/24,8,43,90
2016/04/25,8,43,90
2016/04/26,8,43,91
2016/04/27,8,43,92
2016/04/28,8,44,94
2016/04/29,9,44,93
2016/04/30,9,43,90
2016/05/01,9,38,86
2016/05/02,9,38,86
2016/05/03,9,38,81
2016/05/04,9,37,79
2016/05/05,8,37,77
2016/05/06,7,36,77
2016/05/07,6,35,77
2016/05/08,6,37,80
2016/05/09,7,38,80
2016/05/10,6,37,85
2016/05/11,6,37,85
2016/05/12,5,40,89
2016/05/13,5,40,90
2016/05/14,5,41,89
2016/05/15,6,39,89
2016/05/16,5,39,87
