date,itwiki (100+),itwiki (5+),itwiki (all)
2015/03/06,389,3037,8654
2015/03/07,390,3031,8616
2015/03/08,387,3003,8572
2015/03/09,391,3005,8572
2015/03/10,393,2985,8604
2015/03/11,391,2972,8584
2015/03/12,394,2962,8543
2015/03/13,384,2943,8496
2015/03/14,380,2941,8443
2015/03/15,382,2931,8432
2015/03/16,387,2969,8458
2015/03/17,383,2970,8475
2015/03/18,384,2951,8461
2015/03/19,376,2942,8404
2015/03/20,379,2914,8377
2015/03/21,383,2901,8349
2015/03/22,383,2884,8308
2015/03/23,392,2885,8277
2015/03/24,391,2868,8261
2015/03/25,394,2848,8258
2015/03/26,392,2829,8229
2015/03/27,390,2830,8215
2015/03/28,393,2807,8149
2015/03/29,392,2800,8126
2015/03/30,389,2770,8152
2015/03/31,395,2784,8195
2015/04/01,393,2770,8208
2015/04/02,387,2774,8217
2015/04/03,387,2780,8201
2015/04/04,380,2784,8173
2015/04/05,383,2769,8144
2015/04/06,377,2765,8118
2015/04/07,375,2772,8126
2015/04/08,379,2781,8170
2015/04/09,379,2785,8156
2015/04/10,382,2777,8128
2015/04/11,383,2762,8105
2015/04/12,387,2758,8092
2015/04/13,384,2749,8111
2015/04/14,381,2757,8143
2015/04/15,383,2734,8105
2015/04/16,372,2724,8102
2015/04/17,374,2705,8114
2015/04/18,371,2699,8079
2015/04/19,376,2697,8048
2015/04/20,375,2688,8083
2015/04/21,381,2680,8100
2015/04/22,378,2692,8089
2015/04/23,373,2689,8076
2015/04/24,370,2695,8050
2015/04/25,370,2676,8024
2015/04/26,369,2666,7987
2015/04/27,364,2677,8018
2015/04/28,369,2703,8066
2015/04/29,369,2702,8036
2015/04/30,369,2686,7986
2015/05/01,365,2667,7938
2015/05/02,364,2656,7898
2015/05/03,368,2654,7914
2015/05/04,370,2653,7908
2015/05/05,378,2671,7946
2015/05/06,372,2681,7983
2015/05/07,372,2668,7993
2015/05/08,368,2664,7974
2015/05/09,372,2655,7898
2015/05/10,374,2642,7853
2015/05/11,378,2643,7850
2015/05/12,373,2648,7836
2015/05/13,376,2658,7838
2015/05/14,380,2661,7805
2015/05/15,378,2651,7797
2015/05/16,379,2641,7768
2015/05/17,380,2655,7734
2015/05/18,385,2653,7721
2015/05/19,384,2632,7731
2015/05/20,379,2660,7713
2015/05/21,379,2671,7710
2015/05/22,376,2669,7693
2015/05/23,375,2659,7687
2015/05/24,377,2642,7660
2015/05/25,380,2639,7676
2015/05/26,381,2667,7757
2015/05/27,384,2656,7743
2015/05/28,381,2629,7724
2015/05/29,378,2631,7727
2015/05/30,376,2625,7690
2015/05/31,379,2626,7673
2015/06/01,383,2635,7672
2015/06/02,391,2649,7705
2015/06/03,390,2643,7682
2015/06/04,389,2623,7670
2015/06/05,390,2616,7625
2015/06/06,386,2616,7613
2015/06/07,381,2606,7551
2015/06/08,379,2611,7568
2015/06/09,371,2607,7627
2015/06/10,367,2611,7631
2015/06/11,373,2606,7686
2015/06/12,373,2594,7686
2015/06/13,374,2591,7668
2015/06/14,372,2614,7673
2015/06/15,374,2642,7694
2015/06/16,374,2656,7734
2015/06/17,377,2676,7745
2015/06/18,380,2672,7773
2015/06/19,379,2669,7796
2015/06/20,371,2665,7777
2015/06/21,371,2652,7814
2015/06/22,370,2673,7834
2015/06/23,366,2696,7941
2015/06/24,367,2720,7989
2015/06/25,372,2730,8000
2015/06/26,367,2755,7996
2015/06/27,368,2757,8009
2015/06/28,377,2747,7978
2015/06/29,373,2734,7972
2015/06/30,373,2750,7980
2015/07/01,369,2764,8010
2015/07/02,366,2747,7973
2015/07/03,365,2753,7973
2015/07/04,368,2761,7993
2015/07/05,362,2764,7979
2015/07/06,356,2753,7976
2015/07/07,359,2761,8004
2015/07/08,364,2764,8024
2015/07/09,367,2759,8023
2015/07/10,365,2769,8030
2015/07/11,368,2767,8016
2015/07/12,361,2757,7977
2015/07/13,363,2776,7993
2015/07/14,368,2770,7984
2015/07/15,362,2767,7962
2015/07/16,368,2760,7935
2015/07/17,370,2740,7916
2015/07/18,367,2736,7875
2015/07/19,366,2716,7846
2015/07/20,366,2684,7805
2015/07/21,371,2688,7784
2015/07/22,366,2681,7760
2015/07/23,363,2644,7695
2015/07/24,363,2621,7635
2015/07/25,357,2614,7577
2015/07/26,358,2581,7502
2015/07/27,361,2570,7465
2015/07/28,369,2581,7478
2015/07/29,369,2597,7537
2015/07/30,362,2590,7540
2015/07/31,360,2611,7493
2015/08/01,362,2623,7507
2015/08/02,365,2616,7447
2015/08/03,363,2588,7387
2015/08/04,368,2586,7394
2015/08/05,374,2583,7380
2015/08/06,372,2601,7392
2015/08/07,371,2591,7386
2015/08/08,369,2603,7337
2015/08/09,373,2598,7271
2015/08/10,374,2601,7241
2015/08/11,369,2611,7239
2015/08/12,371,2593,7239
2015/08/13,373,2587,7187
2015/08/14,373,2569,7167
2015/08/15,369,2569,7110
2015/08/16,368,2576,7084
2015/08/17,366,2563,7096
2015/08/18,371,2580,7120
2015/08/19,375,2587,7136
2015/08/20,374,2588,7125
2015/08/21,368,2574,7140
2015/08/22,369,2571,7132
2015/08/23,374,2559,7090
2015/08/24,372,2548,7104
2015/08/25,371,2554,7178
2015/08/26,379,2566,7271
2015/08/27,378,2565,7297
2015/08/28,385,2574,7320
2015/08/29,383,2580,7316
2015/08/30,381,2566,7325
2015/08/31,381,2567,7312
2015/09/01,391,2582,7400
2015/09/02,390,2609,7468
2015/09/03,388,2630,7500
2015/09/04,386,2626,7536
2015/09/05,382,2613,7569
2015/09/06,381,2615,7562
2015/09/07,383,2624,7562
2015/09/08,385,2609,7621
2015/09/09,386,2634,7651
2015/09/10,388,2637,7683
2015/09/11,393,2647,7696
2015/09/12,387,2643,7697
2015/09/13,384,2637,7684
2015/09/14,383,2646,7716
2015/09/15,388,2665,7746
2015/09/16,388,2672,7769
2015/09/17,385,2670,7781
2015/09/18,378,2665,7782
2015/09/19,374,2671,7769
2015/09/20,377,2668,7762
2015/09/21,386,2672,7757
2015/09/22,381,2688,7779
2015/09/23,382,2678,7747
2015/09/24,384,2655,7730
2015/09/25,383,2637,7674
2015/09/26,381,2626,7673
2015/09/27,379,2627,7607
2015/09/28,383,2626,7591
2015/09/29,383,2621,7564
2015/09/30,374,2620,7576
2015/10/01,375,2590,7509
2015/10/02,377,2595,7444
2015/10/03,378,2587,7396
2015/10/04,374,2577,7327
2015/10/05,382,2587,7320
2015/10/06,381,2596,7339
2015/10/07,377,2593,7337
2015/10/08,378,2584,7302
2015/10/09,376,2569,7277
2015/10/10,379,2562,7281
2015/10/11,376,2546,7263
2015/10/12,375,2560,7238
2015/10/13,377,2565,7243
2015/10/14,380,2547,7266
2015/10/15,374,2550,7246
2015/10/16,376,2536,7247
2015/10/17,377,2518,7219
2015/10/18,381,2510,7186
2015/10/19,380,2512,7173
2015/10/20,378,2501,7208
2015/10/21,379,2489,7198
2015/10/22,379,2460,7178
2015/10/23,381,2468,7182
2015/10/24,375,2464,7164
2015/10/25,378,2484,7129
2015/10/26,373,2492,7147
2015/10/27,377,2493,7149
2015/10/28,382,2507,7179
2015/10/29,388,2507,7220
2015/10/30,391,2509,7217
2015/10/31,396,2497,7200
2015/11/01,401,2487,7213
2015/11/02,406,2498,7253
2015/11/03,411,2535,7284
2015/11/04,407,2528,7282
2015/11/05,409,2532,7313
2015/11/06,405,2514,7316
2015/11/07,403,2521,7340
2015/11/08,407,2524,7291
2015/11/09,397,2514,7302
2015/11/10,400,2521,7349
2015/11/11,400,2525,7364
2015/11/12,397,2526,7346
2015/11/13,399,2512,7336
2015/11/14,398,2497,7340
2015/11/15,400,2500,7304
2015/11/16,400,2510,7329
2015/11/17,404,2512,7346
2015/11/18,401,2527,7377
2015/11/19,402,2528,7381
2015/11/20,400,2515,7354
2015/11/21,401,2511,7352
2015/11/22,406,2515,7339
2015/11/23,405,2538,7382
2015/11/24,396,2527,7452
2015/11/25,400,2516,7460
2015/11/26,398,2525,7500
2015/11/27,399,2521,7500
2015/11/28,398,2515,7458
2015/11/29,399,2509,7414
2015/11/30,403,2520,7414
2015/12/01,396,2522,7431
2015/12/02,392,2528,7431
2015/12/03,394,2497,7383
2015/12/04,392,2491,7391
2015/12/05,387,2480,7360
2015/12/06,391,2476,7349
2015/12/07,394,2467,7335
2015/12/08,392,2475,7353
2015/12/09,394,2477,7347
2015/12/10,387,2465,7319
2015/12/11,382,2456,7350
2015/12/12,376,2450,7346
2015/12/13,381,2453,7322
2015/12/14,380,2458,7328
2015/12/15,378,2472,7374
2015/12/16,383,2464,7374
2015/12/17,383,2485,7381
2016/01/18,408,2717,7937
2016/01/19,411,2751,8009
2016/01/20,413,2782,8065
2016/01/21,410,2786,8105
2016/01/22,408,2799,8127
2016/01/23,410,2814,8189
2016/01/24,412,2826,8224
2016/01/25,419,2847,8302
2016/01/26,423,2868,8357
2016/01/27,429,2870,8400
2016/01/28,428,2874,8413
2016/01/29,426,2880,8437
2016/01/30,427,2899,8428
2016/01/31,424,2926,8444
2016/02/01,426,2947,8478
2016/02/02,424,2958,8491
2016/02/03,417,2954,8463
2016/02/04,418,2961,8452
2016/02/05,417,2940,8439
2016/02/06,416,2941,8409
2016/02/07,413,2930,8397
2016/02/08,412,2919,8357
2016/02/09,407,2923,8385
2016/02/10,407,2905,8352
2016/02/11,404,2897,8316
2016/02/12,403,2894,8299
2016/02/13,403,2890,8310
2016/02/14,403,2878,8231
2016/02/15,410,2877,8241
2016/02/16,410,2869,8259
2016/02/17,409,2868,8238
2016/02/18,409,2861,8271
2016/02/19,404,2855,8273
2016/02/20,401,2845,8256
2016/02/21,399,2835,8227
2016/02/22,393,2834,8215
2016/02/23,388,2848,8287
2016/02/24,387,2846,8298
2016/02/25,383,2856,8314
2016/02/26,387,2854,8288
2016/02/27,388,2824,8274
2016/02/28,385,2810,8213
2016/02/29,380,2795,8246
2016/03/01,385,2789,8279
2016/03/02,387,2789,8281
2016/03/03,384,2763,8224
2016/03/04,382,2758,8200
2016/03/05,379,2757,8180
2016/03/06,385,2748,8175
2016/03/07,385,2743,8213
2016/03/08,384,2730,8220
2016/03/09,382,2720,8188
2016/03/10,381,2717,8157
2016/03/11,381,2706,8170
2016/03/12,375,2696,8136
2016/03/13,380,2684,8078
2016/03/14,386,2695,8086
2016/03/15,379,2688,8120
2016/03/16,386,2683,8086
2016/03/17,386,2672,8082
2016/03/18,379,2661,8072
2016/03/19,382,2628,8035
2016/03/20,382,2608,7981
2016/03/21,374,2614,7946
2016/03/22,376,2602,7960
2016/03/23,387,2591,7938
2016/03/24,384,2581,7890
2016/03/25,381,2585,7888
2016/03/26,391,2547,7821
2016/03/27,391,2550,7813
2016/03/28,385,2548,7767
2016/03/29,386,2548,7783
2016/03/30,377,2539,7775
2016/03/31,371,2547,7807
2016/04/01,376,2541,7841
2016/04/02,380,2536,7832
2016/04/03,381,2524,7808
2016/04/04,384,2512,7812
2016/04/05,383,2519,7830
2016/04/06,387,2519,7802
2016/04/07,391,2521,7829
2016/04/08,383,2517,7792
2016/04/09,385,2513,7796
2016/04/10,389,2517,7786
2016/04/11,388,2513,7773
2016/04/12,390,2527,7827
2016/04/13,384,2520,7806
2016/04/14,378,2511,7795
2016/04/15,378,2512,7746
2016/04/16,373,2498,7726
2016/04/17,373,2494,7672
2016/04/18,371,2499,7645
2016/04/19,370,2510,7676
2016/04/20,368,2517,7666
2016/04/21,369,2503,7656
2016/04/22,368,2492,7648
2016/04/23,370,2478,7653
2016/04/24,365,2471,7661
2016/04/25,371,2487,7661
2016/04/26,374,2485,7652
2016/04/27,373,2496,7718
2016/04/28,378,2503,7734
2016/04/29,374,2503,7709
2016/04/30,369,2472,7621
2016/05/01,366,2468,7567
2016/05/02,368,2491,7593
2016/05/03,370,2522,7669
2016/05/04,376,2535,7681
2016/05/05,372,2536,7675
2016/05/06,369,2552,7696
2016/05/07,367,2562,7698
2016/05/08,366,2571,7659
2016/05/09,366,2569,7654
2016/05/10,369,2562,7687
2016/05/11,371,2551,7717
2016/05/12,376,2582,7737
2016/05/13,377,2595,7725
2016/05/14,372,2608,7745
2016/05/15,375,2610,7755
2016/05/16,375,2630,7800
2016/05/17,372,2637,7862
2016/05/18,373,2651,7898
2016/05/19,378,2669,7914
2016/05/20,371,2681,7975
2016/05/21,369,2698,7983
2016/05/22,374,2684,7957
2016/05/23,382,2688,7956
2016/05/24,383,2705,7976
2016/05/25,380,2696,7992
2016/05/26,380,2687,8010
2016/05/27,374,2691,7985
2016/05/28,371,2691,7970
2016/05/29,373,2684,7936
2016/05/30,382,2689,7967
2016/05/31,383,2677,8001
2016/06/01,385,2674,7972
2016/06/02,388,2664,7927
2016/06/03,383,2692,7932
2016/06/04,384,2698,7935
2016/06/05,384,2692,7900
2016/06/06,383,2676,7897
2016/06/07,386,2707,7979
2016/06/08,385,2716,8012
2016/06/09,387,2717,7996
2016/06/10,388,2715,8002
2016/06/11,387,2702,7975
2016/06/12,391,2692,7964
2016/06/13,396,2708,7974
2016/06/14,392,2722,8049
2016/06/15,394,2719,8039
2016/06/16,391,2718,7992
2016/06/17,391,2715,8014
2016/06/18,388,2694,7987
2016/06/19,384,2707,7950
2016/06/20,385,2716,7974
2016/06/21,395,2746,8032
2016/06/22,402,2762,8081
2016/06/23,404,2755,8059
2016/06/24,394,2745,8054
2016/06/25,392,2739,8038
2016/06/26,391,2713,8016
2016/06/27,392,2714,8003
2016/06/28,388,2725,8030
2016/06/29,387,2720,8023
2016/06/30,385,2720,8005
2016/07/01,386,2725,8040
2016/07/02,386,2728,8062
2016/07/03,387,2693,8010
2016/07/04,390,2689,7968
2016/07/05,392,2686,7962
2016/07/06,394,2662,7951
2016/07/07,389,2664,7894
2016/07/08,386,2651,7863
2016/07/09,385,2643,7849
2016/07/10,388,2626,7761
2016/07/11,387,2625,7714
2016/07/12,384,2633,7702
2016/07/13,381,2615,7681
2016/07/14,375,2610,7662
2016/07/15,372,2607,7603
2016/07/16,371,2594,7592
2016/07/17,367,2586,7538
2016/07/18,369,2601,7491
2016/07/19,369,2580,7495
2016/07/20,371,2574,7465
2016/07/21,368,2555,7389
2016/07/22,361,2561,7336
2016/07/23,361,2541,7283
2016/07/24,360,2530,7258
2016/07/25,357,2518,7251
2016/07/26,357,2514,7297
2016/07/27,364,2530,7329
2016/07/28,360,2544,7301
2016/07/29,363,2543,7299
2016/07/30,370,2537,7253
2016/07/31,365,2522,7171
2016/08/01,362,2510,7133
2016/08/02,357,2545,7192
2016/08/03,357,2540,7225
2016/08/04,360,2535,7188
2016/08/05,362,2541,7189
2016/08/06,357,2530,7176
2016/08/07,362,2516,7132
2016/08/08,356,2508,7085
2016/08/09,356,2514,7093
2016/08/10,358,2501,7111
2016/08/11,365,2485,7102
2016/08/12,366,2475,7124
2016/08/13,368,2474,7090
2016/08/14,367,2464,7048
2016/08/15,368,2465,7023
2016/08/16,363,2486,7033
2016/08/17,363,2485,7068
2016/08/18,355,2490,7055
2016/08/19,355,2493,7049
2016/08/20,355,2482,7055
2016/08/21,354,2474,7033
