date,bnwiki (100+),bnwiki (5+),bnwiki (all)
2015/07/27,18,138,422
2015/07/28,19,136,419
2015/07/29,19,136,417
2015/07/30,21,140,421
2015/07/31,19,142,408
2015/08/01,19,140,405
2015/08/02,19,137,401
2015/08/03,19,134,393
2015/08/04,19,133,395
2015/08/05,20,136,394
2015/08/06,21,137,390
2015/08/07,22,135,389
2015/08/08,22,133,374
2015/08/09,21,132,372
2015/08/10,21,130,369
2015/08/11,21,129,358
2015/08/12,21,132,359
2015/08/13,21,130,358
2015/08/14,22,132,362
2015/08/15,21,133,371
2015/08/16,21,138,381
2015/08/17,22,136,379
2015/08/18,23,136,382
2015/08/19,24,134,382
2015/08/20,24,137,385
2015/08/21,23,141,393
2015/08/22,21,141,394
2015/08/23,21,139,405
2015/08/24,21,138,400
2015/08/25,21,143,410
2015/08/26,19,143,410
2015/08/27,17,144,416
2015/08/28,17,142,410
2015/08/29,18,138,410
2015/08/30,18,138,423
2015/08/31,18,142,424
2015/09/01,19,145,436
2015/09/02,18,148,440
2015/09/03,18,147,440
2015/09/04,18,143,443
2015/09/05,18,143,449
2015/09/06,19,139,452
2015/09/07,19,143,458
2015/09/08,20,140,459
2015/09/09,19,143,463
2015/09/10,19,142,464
2015/09/11,17,139,463
2015/09/12,17,137,465
2015/09/13,17,137,463
2015/09/14,17,134,454
2015/09/15,17,131,452
2015/09/16,17,133,454
2015/09/17,18,134,456
2015/09/18,18,140,457
2015/09/19,17,140,456
2015/09/20,17,144,459
2015/09/21,17,146,456
2015/09/22,18,148,456
2015/09/23,19,146,450
2015/09/24,19,140,443
2015/09/25,18,139,438
2015/09/26,18,138,427
2015/09/27,19,141,428
2015/09/28,19,141,418
2015/09/29,18,138,411
2015/09/30,20,136,411
2015/10/01,22,132,397
2015/10/02,22,135,405
2015/10/03,22,135,394
2015/10/04,21,132,388
2015/10/05,19,128,379
2015/10/06,19,128,383
2015/10/07,19,122,390
2015/10/08,19,127,390
2015/10/09,19,127,390
2015/10/10,19,125,386
2015/10/11,18,123,381
2015/10/12,18,122,374
2015/10/13,19,124,365
2015/10/14,19,126,365
2015/10/15,20,124,366
2015/10/16,20,125,369
2015/10/17,18,127,365
2015/10/18,19,123,360
2015/10/19,18,126,362
2015/10/20,18,124,355
2015/10/21,17,122,357
2015/10/22,17,120,353
2015/10/23,15,119,355
2015/10/24,15,119,360
2015/10/25,15,121,363
2015/10/26,16,123,368
2015/10/27,16,124,383
2015/10/28,18,124,388
2015/10/29,18,124,385
2015/10/30,18,123,388
2015/10/31,18,123,389
2015/11/01,19,123,391
2015/11/02,17,125,390
2015/11/03,16,127,397
2015/11/04,17,127,393
2015/11/05,18,127,392
2015/11/06,18,128,395
2015/11/07,18,123,395
2015/11/08,19,122,393
2015/11/09,20,121,400
2015/11/10,19,124,404
2015/11/11,21,126,410
2015/11/12,22,127,418
2015/11/13,23,125,412
2015/11/14,24,121,410
2015/11/15,26,122,411
2015/11/16,27,124,413
2015/11/17,27,122,413
2015/11/18,27,127,423
2015/11/19,24,130,430
2015/11/20,25,129,442
2015/11/21,25,136,447
2015/11/22,27,140,457
2015/11/23,30,145,464
2015/11/24,32,150,473
2015/11/25,32,148,473
2015/11/26,33,150,473
2015/11/27,32,151,482
2015/11/28,31,153,477
2015/11/29,32,154,478
2015/11/30,32,157,494
2015/12/01,32,157,488
2015/12/02,32,161,492
2015/12/03,32,164,497
2015/12/04,32,171,503
2015/12/05,31,172,514
2015/12/06,31,177,519
2015/12/07,30,182,527
2015/12/08,30,181,530
2015/12/09,29,186,537
2015/12/10,31,188,539
2015/12/11,33,191,536
2015/12/12,30,191,550
2015/12/13,30,196,550
2015/12/14,30,201,558
2015/12/15,30,210,564
2015/12/16,29,211,570
2015/12/17,30,214,576
2016/01/18,27,201,498
2016/01/19,27,204,501
2016/01/20,27,203,504
2016/01/21,27,202,504
2016/01/22,28,202,507
2016/01/23,28,201,507
2016/01/24,28,200,509
2016/01/25,27,196,512
2016/01/26,29,196,497
2016/01/27,30,195,500
2016/01/28,28,196,497
2016/01/29,27,192,491
2016/01/30,27,188,482
2016/01/31,28,187,481
2016/02/01,29,178,478
2016/02/02,28,176,474
2016/02/03,29,173,473
2016/02/04,30,171,476
2016/02/05,29,175,479
2016/02/06,30,171,482
2016/02/07,30,170,478
2016/02/08,29,172,480
2016/02/09,28,169,472
2016/02/10,28,161,465
2016/02/11,28,159,464
2016/02/12,29,158,470
2016/02/13,29,155,474
2016/02/14,29,150,471
2016/02/15,29,149,470
2016/02/16,29,151,476
2016/02/17,30,156,481
2016/02/18,31,157,479
2016/02/19,29,156,469
2016/02/20,30,160,470
2016/02/21,30,161,467
2016/02/22,30,163,465
2016/02/23,29,163,464
2016/02/24,28,165,464
2016/02/25,27,162,464
2016/02/26,27,161,470
2016/02/27,27,162,476
2016/02/28,26,164,479
2016/02/29,25,171,482
2016/03/01,25,172,479
2016/03/02,22,172,478
2016/03/03,22,174,474
2016/03/04,23,174,464
2016/03/05,19,173,459
2016/03/06,19,170,455
2016/03/07,19,168,448
2016/03/08,19,164,449
2016/03/09,18,167,444
2016/03/10,19,163,442
2016/03/11,19,166,445
2016/03/12,19,166,446
2016/03/13,19,166,442
2016/03/14,19,166,444
2016/03/15,19,170,440
2016/03/16,19,169,437
2016/03/17,21,166,436
2016/03/18,21,165,434
2016/03/19,21,159,431
2016/03/20,20,156,429
2016/03/21,20,157,432
2016/03/22,19,156,435
2016/03/23,20,153,438
2016/03/24,18,155,440
2016/03/25,18,154,435
2016/03/26,18,157,440
2016/03/27,19,157,431
2016/03/28,20,153,436
2016/03/29,19,150,438
2016/03/30,21,149,436
2016/03/31,21,151,443
2016/04/01,21,156,452
2016/04/02,21,156,446
2016/04/03,21,156,453
2016/04/04,21,160,464
2016/04/05,22,162,462
2016/04/06,23,162,473
2016/04/07,23,162,472
2016/04/08,23,159,466
2016/04/09,23,162,465
2016/04/10,23,158,464
2016/04/11,23,154,462
2016/04/12,22,153,463
2016/04/13,21,151,458
2016/04/14,21,151,461
2016/04/15,21,152,462
2016/04/16,21,152,461
2016/04/17,21,151,458
2016/04/18,21,153,452
2016/04/19,21,150,453
2016/04/20,22,143,439
2016/04/21,22,139,438
2016/04/22,22,137,437
2016/04/23,22,135,431
2016/04/24,22,137,431
2016/04/25,22,138,439
2016/04/26,19,138,438
2016/04/27,19,139,432
2016/04/28,20,135,428
2016/04/29,20,138,428
2016/04/30,20,135,424
2016/05/01,19,135,429
2016/05/02,19,136,431
2016/05/03,18,138,428
2016/05/04,18,138,417
2016/05/05,18,139,427
2016/05/06,18,139,426
2016/05/07,19,141,432
2016/05/08,19,142,432
2016/05/09,19,137,428
2016/05/10,19,138,427
2016/05/11,20,141,432
2016/05/12,20,142,441
2016/05/13,20,140,439
2016/05/14,20,140,443
2016/05/15,20,142,451
2016/05/16,20,144,447
2016/05/17,19,140,447
2016/05/18,20,136,444
2016/05/19,20,139,443
2016/05/20,22,139,452
2016/05/21,22,136,446
2016/05/22,22,137,452
2016/05/23,22,139,459
2016/05/24,23,141,457
2016/05/25,22,138,451
2016/05/26,23,141,451
2016/05/27,24,141,447
2016/05/28,23,146,449
2016/05/29,22,145,444
2016/05/30,22,149,448
2016/05/31,22,146,448
2016/06/01,23,148,448
2016/06/02,24,148,444
2016/06/03,23,148,445
2016/06/04,23,151,447
2016/06/05,23,149,441
2016/06/06,23,149,427
2016/06/07,23,148,425
2016/06/08,22,146,411
2016/06/09,22,145,414
2016/06/10,22,148,415
2016/06/11,21,146,415
2016/06/12,22,150,414
2016/06/13,21,154,417
2016/06/14,21,154,417
2016/06/15,20,153,417
2016/06/16,20,154,422
2016/06/17,20,155,424
2016/06/18,21,157,420
2016/06/19,22,157,416
2016/06/20,22,161,422
2016/06/21,22,161,421
2016/06/22,19,160,417
2016/06/23,19,156,413
2016/06/24,18,156,409
2016/06/25,20,152,402
2016/06/26,18,151,401
2016/06/27,16,154,408
2016/06/28,17,152,414
2016/06/29,18,158,414
2016/06/30,17,153,417
2016/07/01,18,154,417
2016/07/02,18,156,424
2016/07/03,17,154,426
2016/07/04,17,156,418
2016/07/05,17,155,422
2016/07/06,16,158,426
2016/07/07,18,157,423
2016/07/08,17,158,420
2016/07/09,14,154,414
2016/07/10,15,155,406
2016/07/11,17,162,404
2016/07/12,20,159,401
2016/07/13,20,156,397
2016/07/14,21,153,394
2016/07/15,20,153,404
2016/07/16,22,154,401
2016/07/17,22,151,407
2016/07/18,22,150,402
2016/07/19,22,150,408
2016/07/20,22,144,414
2016/07/21,20,144,410
2016/07/22,20,146,410
2016/07/23,21,146,411
2016/07/24,21,152,423
2016/07/25,22,150,428
2016/07/26,21,153,436
2016/07/27,21,152,439
2016/07/28,21,147,427
2016/07/29,22,147,430
2016/07/30,21,143,434
2016/07/31,22,141,432
2016/08/01,23,142,438
2016/08/02,23,145,439
2016/08/03,22,143,442
2016/08/04,21,144,443
2016/08/05,21,146,449
2016/08/06,20,150,450
2016/08/07,20,153,459
2016/08/08,20,155,471
2016/08/09,21,158,483
2016/08/10,21,155,481
2016/08/11,21,158,488
2016/08/12,23,160,496
2016/08/13,23,165,496
2016/08/14,26,165,496
2016/08/15,26,169,493
2016/08/16,25,169,495
2016/08/17,25,164,495
2016/08/18,26,166,490
2016/08/19,27,167,495
2016/08/20,30,170,501
2016/08/21,30,170,504
2016/08/22,30,169,509
2016/08/23,29,169,506
2016/08/24,29,174,512
2016/08/25,30,175,510
2016/08/26,31,176,507
2016/08/27,31,176,518
2016/08/28,30,175,515
2016/08/29,29,174,520
2016/08/30,32,180,529
2016/08/31,31,180,527
2016/09/01,32,179,535
2016/09/02,31,179,533
2016/09/03,30,178,540
2016/09/04,28,180,544
2016/09/05,28,179,545
2016/09/06,28,182,539
2016/09/07,27,181,543
2016/09/08,25,177,535
2016/09/09,26,180,536
2016/09/10,27,180,536
2016/09/11,27,179,524
2016/09/12,27,180,523
2016/09/13,28,183,516
2016/09/14,29,181,507
2016/09/15,28,183,500
2016/09/16,27,180,499
2016/09/17,27,181,492
2016/09/18,27,177,486
2016/09/19,26,179,491
2016/09/20,29,181,488
2016/09/21,29,182,489
2016/09/22,26,192,492
2016/09/23,26,191,492
2016/09/24,28,191,495
2016/09/25,28,190,494
2016/09/26,28,193,487
2016/09/27,28,192,485
2016/09/28,29,190,482
2016/09/29,29,187,476
2016/09/30,32,185,474
2016/10/01,32,184,470
2016/10/02,30,184,467
2016/10/03,27,183,457
2016/10/04,26,186,456
2016/10/05,26,188,463
2016/10/06,28,189,467
2016/10/07,28,194,467
2016/10/08,29,194,469
2016/10/09,29,195,475
2016/10/10,30,193,472
2016/10/11,29,193,476
2016/10/12,27,193,479
2016/10/13,25,189,482
2016/10/14,25,188,488
2016/10/15,24,186,496
2016/10/16,23,188,495
2016/10/17,23,188,496
2016/10/18,26,193,501
2016/10/19,26,193,502
2016/10/20,26,193,500
2016/10/21,25,193,515
2016/10/22,25,188,512
2016/10/23,25,192,520
2016/10/24,23,191,522
2016/10/25,19,192,521
2016/10/26,19,190,519
2016/10/27,21,197,523
2016/10/28,20,194,529
2016/10/29,19,189,527
2016/10/30,20,193,526
2016/10/31,21,193,516
2016/11/01,21,190,513
2016/11/02,21,185,518
2016/11/03,20,185,516
2016/11/04,19,182,511
2016/11/05,23,185,522
2016/11/06,23,187,516
2016/11/07,24,185,520
2016/11/08,25,188,518
2016/11/09,25,191,514
2016/11/10,24,188,509
2016/11/11,24,189,512
2016/11/12,26,192,521
2016/11/13,27,192,518
2016/11/14,29,190,513
2016/11/15,29,190,509
2016/11/16,31,192,513
2016/11/17,31,189,507
2016/11/18,30,182,493
2016/11/19,28,184,495
2016/11/20,30,182,481
2016/11/21,29,185,480
2016/11/22,31,188,474
2016/11/23,33,188,468
2016/11/24,31,190,473
2016/11/25,31,194,487
2016/11/26,30,193,489
2016/11/27,31,190,476
2016/11/28,32,187,483
2016/11/29,33,189,484
2016/11/30,33,188,480
2016/12/01,33,188,479
2016/12/02,34,191,475
2016/12/03,35,191,473
2016/12/04,35,192,474
2016/12/05,35,188,474
2016/12/06,34,191,480
2016/12/07,34,187,477
2016/12/08,34,188,475
2016/12/09,34,193,480
2016/12/10,36,195,479
2016/12/11,36,194,475
2016/12/12,36,192,475
2016/12/13,37,196,482
2016/12/14,37,194,480
2016/12/15,38,190,473
2016/12/16,36,189,466
2016/12/17,36,190,467
2016/12/18,36,190,460
2016/12/19,36,186,464
2016/12/20,35,184,455
2016/12/21,35,182,457
2016/12/22,35,185,462
2016/12/23,35,189,468
2016/12/24,35,192,463
2016/12/25,35,195,465
2016/12/26,34,193,456
2016/12/27,34,198,460
2016/12/28,33,198,456
2016/12/29,33,195,457
2016/12/30,33,194,457
2016/12/31,32,193,462
2017/01/01,31,190,460
2017/01/02,32,190,455
2017/01/03,32,191,457
2017/01/04,32,189,459
2017/01/05,31,186,451
2017/01/06,32,185,448
2017/01/07,33,184,453
2017/01/08,31,178,445
2017/01/09,31,181,444
2017/01/10,31,180,452
2017/01/11,31,178,451
2017/01/12,29,181,447
2017/01/13,29,185,450
2017/01/14,32,184,457
2017/01/15,31,186,472
2017/01/16,31,186,476
2017/01/17,32,188,487
2017/01/18,29,189,488
2017/01/19,33,192,485
2017/01/20,32,188,482
2017/01/21,31,185,486
2017/01/22,30,183,493
2017/01/23,30,179,493
2017/01/24,32,178,489
2017/01/25,31,175,487
2017/01/26,31,174,498
