date,roa_rupwiki (100+),roa_rupwiki (5+),roa_rupwiki (all)
2015/10/05,1,3,5
2015/10/06,1,3,5
2015/10/07,1,3,5
2015/10/08,1,3,5
2015/10/09,1,3,5
2015/10/10,1,3,5
2015/10/11,1,3,5
2015/10/12,1,3,5
2015/10/13,1,3,5
2015/10/14,1,2,4
2015/10/15,1,2,4
2015/10/16,1,2,5
2015/10/17,1,2,5
2015/10/18,1,2,5
2015/10/19,,2,5
2015/10/20,,1,4
2015/10/21,,1,5
2015/10/22,,1,5
2015/10/23,,1,5
2015/10/24,,1,6
2015/10/25,,1,6
2015/10/26,,1,7
2015/10/27,,1,6
2015/10/28,,1,6
2015/10/29,,1,6
2015/10/30,,1,6
2015/10/31,,1,7
2015/11/01,,1,7
2015/11/02,,,6
2015/11/03,,,7
2015/11/04,,,7
2015/11/05,,,7
2015/11/06,,,7
2015/11/07,,,7
2015/11/08,,,8
2015/11/09,,,7
2015/11/10,,,7
2015/11/11,,,7
2015/11/12,,,7
2015/11/13,,,7
2015/11/14,,1,8
2015/11/15,,1,7
2015/11/16,,1,7
2015/11/17,,1,7
2015/11/18,,1,7
2015/11/19,,1,8
2015/11/20,,1,7
2015/11/21,,1,7
2015/11/22,,1,7
2015/11/23,,1,8
2015/11/24,,1,8
2015/11/25,,1,7
2015/11/26,,1,8
2015/11/27,,1,8
2015/11/28,,1,8
2015/11/29,,1,8
2015/11/30,,1,8
2015/12/01,,1,9
2015/12/02,,2,9
2015/12/03,,2,8
2015/12/04,,2,8
2015/12/05,,2,8
2015/12/06,,3,9
2015/12/07,,3,9
2015/12/08,,3,8
2015/12/09,,3,8
2015/12/10,,3,9
2015/12/11,,3,9
2015/12/12,,3,9
2015/12/13,,4,11
2015/12/14,,3,10
2015/12/15,,3,10
2015/12/16,,4,10
2015/12/17,,4,10
2016/01/18,,3,11
2016/01/19,,3,11
2016/01/20,,3,11
2016/01/21,,3,11
2016/01/22,,3,11
2016/01/23,,3,10
2016/01/24,,4,12
2016/01/25,,4,12
2016/01/26,,4,12
2016/01/27,,4,11
2016/01/28,,4,12
2016/01/29,,4,13
2016/01/30,,4,12
2016/01/31,,4,12
2016/02/01,,4,13
2016/02/02,,5,13
2016/02/03,,5,12
2016/02/04,,5,12
2016/02/05,,5,12
2016/02/06,,5,12
2016/02/07,,5,12
2016/02/08,,4,12
2016/02/09,,4,12
2016/02/10,,4,12
2016/02/11,,4,11
2016/02/12,,4,11
2016/02/13,,4,11
2016/02/14,,4,10
2016/02/15,,4,10
2016/02/16,,4,10
2016/02/17,,3,10
2016/02/18,,3,10
2016/02/19,,3,10
2016/02/20,,3,11
2016/02/21,,3,11
2016/02/22,,3,11
2016/02/23,,3,11
2016/02/24,,3,11
2016/02/25,,3,11
2016/02/26,,3,10
2016/02/27,,3,9
2016/02/28,,2,10
2016/02/29,,2,10
2016/03/01,,2,10
2016/03/02,,2,11
2016/03/03,,1,9
2016/03/04,,1,8
2016/03/05,,1,8
2016/03/06,,1,8
2016/03/07,,1,8
2016/03/08,,1,10
2016/03/09,,1,9
2016/03/10,,1,9
2016/03/11,,1,8
2016/03/12,,,9
2016/03/13,,,9
2016/03/14,,,9
2016/03/15,,,10
2016/03/16,,,10
2016/03/17,,,11
2016/03/18,,,11
2016/03/19,,,11
2016/03/20,,,11
2016/03/21,,,10
2016/03/22,,,10
2016/03/23,,1,10
2016/03/24,,1,9
2016/03/25,,1,9
2016/03/26,,2,10
2016/03/27,,2,10
2016/03/28,,2,10
2016/03/29,,2,9
2016/03/30,,2,9
2016/03/31,1,3,10
2016/04/01,1,3,9
2016/04/02,1,3,9
2016/04/03,1,3,9
2016/04/04,1,3,9
2016/04/05,1,3,9
2016/04/06,1,3,9
2016/04/07,1,3,7
2016/04/08,1,3,7
2016/04/09,1,3,7
2016/04/10,1,3,6
2016/04/11,1,3,6
2016/04/12,1,3,7
2016/04/13,1,3,7
2016/04/14,1,3,6
2016/04/15,1,3,7
2016/04/16,1,3,7
2016/04/17,1,3,8
2016/04/18,1,3,8
2016/04/19,1,3,8
2016/04/20,1,3,8
2016/04/21,1,3,8
2016/04/22,1,2,8
2016/04/23,1,2,8
2016/04/24,1,2,8
2016/04/25,1,1,7
2016/04/26,1,1,7
2016/04/27,1,1,7
2016/04/28,1,1,7
2016/04/29,1,1,8
2016/04/30,,,7
2016/05/01,,,7
2016/05/02,,,7
2016/05/03,,,7
2016/05/04,,,7
2016/05/05,,,7
2016/05/06,,,7
2016/05/07,,,7
2016/05/08,,,7
2016/05/09,,,7
2016/05/10,,,7
2016/05/11,,,7
2016/05/12,,,5
2016/05/13,,,5
2016/05/14,,,6
2016/05/15,,,5
2016/05/16,,,4
2016/05/17,,,3
2016/05/18,,,2
2016/05/19,,1,5
2016/05/20,,1,5
2016/05/21,,1,5
2016/05/22,,1,5
2016/05/23,,1,5
2016/05/24,,1,5
2016/05/25,,3,6
2016/05/26,,3,6
2016/05/27,,3,6
2016/05/28,,3,6
2016/05/29,,3,6
2016/05/30,,3,6
2016/05/31,,3,6
2016/06/01,,4,6
2016/06/02,,4,6
2016/06/03,,4,6
2016/06/04,,4,6
2016/06/05,,4,6
2016/06/06,,4,6
2016/06/07,,4,6
2016/06/08,,4,6
2016/06/09,,4,7
2016/06/10,,4,7
2016/06/11,,4,7
2016/06/12,,4,8
2016/06/13,,4,8
2016/06/14,,4,8
2016/06/15,,4,8
2016/06/16,,4,8
2016/06/17,,4,8
2016/06/18,,3,5
2016/06/19,,3,5
2016/06/20,,3,5
2016/06/21,,3,5
2016/06/22,,3,5
2016/06/23,,3,5
2016/06/24,,2,4
2016/06/25,,1,3
2016/06/26,,1,3
2016/06/27,,1,3
2016/06/28,,1,3
2016/06/29,,1,3
2016/06/30,,1,3
2016/07/01,,,3
2016/07/02,,,3
2016/07/03,,,3
2016/07/04,,,3
2016/07/05,,,3
2016/07/06,,,3
2016/07/07,,,3
2016/07/08,,,3
2016/07/09,,,2
2016/07/10,,,2
2016/07/11,,,2
2016/07/12,,,2
2016/07/13,,,1
2016/07/14,,,1
2016/07/15,,,2
2016/07/16,,,2
2016/07/17,,,2
2016/07/18,,,2
2016/07/19,,,2
2016/07/20,,,2
2016/07/21,,,2
2016/07/22,,,2
2016/07/23,,,2
2016/07/24,,,2
2016/07/25,,,2
2016/07/26,,,2
2016/07/27,,,2
2016/07/28,,,2
2016/07/29,,,2
2016/07/30,,,2
2016/07/31,,,2
2016/08/01,,,2
2016/08/02,,,2
2016/08/03,,,2
2016/08/04,,,2
2016/08/05,,,2
2016/08/06,,,2
2016/08/07,,,2
2016/08/08,,,2
2016/08/09,,,2
2016/08/10,,,2
2016/08/11,,,2
2016/08/12,,,2
2016/08/13,,,2
2016/08/14,,,1
2016/08/15,,,2
2016/08/16,,,3
2016/08/17,,,2
2016/08/18,,,2
2016/08/19,,,2
2016/08/20,,,2
2016/08/21,,,2
2016/08/22,,,2
2016/08/23,,,2
2016/08/24,,,2
