date,map_bmswiki (100+),map_bmswiki (5+),map_bmswiki (all)
2015/10/02,,,10
2015/10/03,,,9
2015/10/04,,,9
2015/10/05,,,9
2015/10/06,,,9
2015/10/07,,,9
2015/10/08,,,9
2015/10/09,,,9
2015/10/10,,,9
2015/10/11,,,9
2015/10/12,,,10
2015/10/13,,,9
2015/10/14,,,8
2015/10/15,,,7
2015/10/16,,,7
2015/10/17,,,7
2015/10/18,,,7
2015/10/19,,,6
2015/10/20,,,6
2015/10/21,,,5
2015/10/22,,,5
2015/10/23,,,5
2015/10/24,,,5
2015/10/25,,1,6
2015/10/26,,1,6
2015/10/27,,1,6
2015/10/28,,1,5
2015/10/29,,1,4
2015/10/30,,1,4
2015/10/31,,1,3
2015/11/01,,1,3
2015/11/02,,1,3
2015/11/03,,2,3
2015/11/04,,2,3
2015/11/05,,2,4
2015/11/06,,2,4
2015/11/07,,2,4
2015/11/08,,2,4
2015/11/09,,2,4
2015/11/10,,2,4
2015/11/11,,2,4
2015/11/12,,3,6
2015/11/13,,3,6
2015/11/14,,3,6
2015/11/15,,3,7
2015/11/16,,3,7
2015/11/17,,3,7
2015/11/18,,3,7
2015/11/19,,3,7
2015/11/20,,3,7
2015/11/21,,3,7
2015/11/22,,3,7
2015/11/23,,3,7
2015/11/24,,2,6
2015/11/25,,2,6
2015/11/26,,2,6
2015/11/27,,2,6
2015/11/28,,2,7
2015/11/29,,2,7
2015/11/30,,2,7
2015/12/01,,2,7
2015/12/02,,2,8
2015/12/03,,2,8
2015/12/04,,3,9
2015/12/05,,3,8
2015/12/06,,3,9
2015/12/07,,3,9
2015/12/08,,3,9
2015/12/09,,3,9
2015/12/10,,3,8
2015/12/11,,3,9
2015/12/12,,2,7
2015/12/13,,2,9
2015/12/14,,3,9
2015/12/15,,3,9
2015/12/16,,3,9
2015/12/17,,3,9
2016/01/18,,1,9
2016/01/19,,1,9
2016/01/20,,1,7
2016/01/21,,1,6
2016/01/22,,1,6
2016/01/23,,1,5
2016/01/24,,1,5
2016/01/25,,1,5
2016/01/26,,1,5
2016/01/27,,1,5
2016/01/28,,1,5
2016/01/29,,1,5
2016/01/30,,1,5
2016/01/31,,1,5
2016/02/01,,1,4
2016/02/02,,2,5
2016/02/03,,2,6
2016/02/04,,2,6
2016/02/05,,2,7
2016/02/06,,2,7
2016/02/07,,2,6
2016/02/08,,2,7
2016/02/09,,2,7
2016/02/10,,2,7
2016/02/11,,2,8
2016/02/12,,2,8
2016/02/13,,2,8
2016/02/14,,2,9
2016/02/15,,2,8
2016/02/16,,2,8
2016/02/17,,2,8
2016/02/18,,2,8
2016/02/19,,2,8
2016/02/20,,2,8
2016/02/21,,2,8
2016/02/22,,2,9
2016/02/23,,2,9
2016/02/24,,2,9
2016/02/25,,2,9
2016/02/26,,2,9
2016/02/27,,2,9
2016/02/28,,2,8
2016/02/29,,2,8
2016/03/01,,2,8
2016/03/02,,2,8
2016/03/03,,2,8
2016/03/04,,2,7
2016/03/05,,2,7
2016/03/06,,,7
2016/03/07,,,7
2016/03/08,,,7
2016/03/09,,,6
2016/03/10,,,6
2016/03/11,,,6
2016/03/12,,,5
2016/03/13,,,7
2016/03/14,,,7
2016/03/15,,,6
2016/03/16,,,6
2016/03/17,,,7
2016/03/18,,,8
2016/03/19,,,9
2016/03/20,,,8
2016/03/21,,,8
2016/03/22,,,10
2016/03/23,,,9
2016/03/24,,,9
2016/03/25,,,10
2016/03/26,,1,11
2016/03/27,,1,11
2016/03/28,,1,10
2016/03/29,,1,10
2016/03/30,,1,12
2016/03/31,,1,12
2016/04/01,,1,12
2016/04/02,,1,12
2016/04/03,,1,12
2016/04/04,,1,12
2016/04/05,,1,12
2016/04/06,,1,12
2016/04/07,,1,12
2016/04/08,,1,12
2016/04/09,,1,12
2016/04/10,,1,12
2016/04/11,,1,13
2016/04/12,,1,11
2016/04/13,,1,11
2016/04/14,,1,11
2016/04/15,,1,11
2016/04/16,,1,12
2016/04/17,,1,11
2016/04/18,,1,10
2016/04/19,,1,10
2016/04/20,,1,10
2016/04/21,,1,9
2016/04/22,,1,9
2016/04/23,,1,9
2016/04/24,,1,9
2016/04/25,,1,8
2016/04/26,,1,8
2016/04/27,,1,8
2016/04/28,,1,9
2016/04/29,,2,8
2016/04/30,,3,9
2016/05/01,,3,10
2016/05/02,,3,10
2016/05/03,,3,9
2016/05/04,,2,9
2016/05/05,,2,11
2016/05/06,,2,11
2016/05/07,1,2,11
2016/05/08,1,2,12
2016/05/09,1,2,12
2016/05/10,1,2,12
2016/05/11,1,2,11
2016/05/12,1,2,11
2016/05/13,1,2,12
2016/05/14,1,2,12
2016/05/15,1,2,12
2016/05/16,1,2,10
2016/05/17,1,2,10
2016/05/18,1,3,10
2016/05/19,1,3,10
2016/05/20,1,3,10
2016/05/21,1,3,10
2016/05/22,1,3,10
2016/05/23,1,3,10
2016/05/24,1,3,10
2016/05/25,1,3,10
2016/05/26,1,3,12
2016/05/27,1,3,12
2016/05/28,1,3,12
2016/05/29,1,2,12
2016/05/30,1,1,10
2016/05/31,1,1,9
2016/06/01,1,1,9
2016/06/02,1,1,9
2016/06/03,1,1,10
2016/06/04,1,1,10
2016/06/05,1,1,8
2016/06/06,1,1,8
2016/06/07,1,2,8
2016/06/08,1,2,8
2016/06/09,1,2,8
2016/06/10,1,2,8
2016/06/11,1,2,8
2016/06/12,1,2,7
2016/06/13,1,2,7
2016/06/14,1,2,8
2016/06/15,1,2,9
2016/06/16,1,2,9
2016/06/17,1,2,8
2016/06/18,1,2,8
2016/06/19,1,2,8
2016/06/20,1,2,8
2016/06/21,1,2,8
2016/06/22,1,2,8
2016/06/23,1,2,8
2016/06/24,1,2,8
2016/06/25,1,2,6
2016/06/26,1,2,6
2016/06/27,1,2,7
2016/06/28,1,2,7
2016/06/29,1,2,7
2016/06/30,1,2,7
2016/07/01,1,2,7
2016/07/02,1,2,7
2016/07/03,1,2,6
2016/07/04,1,2,7
2016/07/05,1,2,7
2016/07/06,1,2,7
2016/07/07,1,2,7
2016/07/08,,1,7
2016/07/09,,2,7
2016/07/10,,2,7
2016/07/11,,2,7
2016/07/12,,2,7
2016/07/13,,2,7
2016/07/14,,2,7
2016/07/15,,3,7
2016/07/16,,2,8
2016/07/17,,2,8
2016/07/18,,2,8
2016/07/19,,2,8
2016/07/20,,2,8
2016/07/21,,2,7
2016/07/22,,3,7
2016/07/23,,2,6
2016/07/24,,2,6
2016/07/25,,2,6
2016/07/26,,2,6
2016/07/27,,2,5
2016/07/28,,2,5
2016/07/29,,2,5
2016/07/30,,2,5
2016/07/31,,2,6
2016/08/01,,2,6
2016/08/02,,2,6
2016/08/03,,2,5
2016/08/04,,2,6
2016/08/05,,2,8
2016/08/06,,2,8
2016/08/07,,3,9
2016/08/08,,2,9
2016/08/09,,2,9
2016/08/10,,2,9
2016/08/11,,2,9
2016/08/12,,2,10
2016/08/13,,2,10
2016/08/14,,2,9
2016/08/15,,2,8
2016/08/16,,2,8
2016/08/17,,2,8
2016/08/18,,2,9
2016/08/19,,2,9
2016/08/20,,2,9
2016/08/21,,2,9
2016/08/22,,2,9
2016/08/23,,2,9
2016/08/24,,2,9
2016/08/25,,2,9
2016/08/26,,2,9
2016/08/27,,2,9
2016/08/28,,2,9
2016/08/29,1,2,9
2016/08/30,1,2,8
2016/08/31,1,2,9
2016/09/01,1,2,9
2016/09/02,1,2,9
2016/09/03,1,2,9
2016/09/04,1,2,8
2016/09/05,1,2,8
2016/09/06,1,1,7
2016/09/07,1,1,6
2016/09/08,1,1,6
2016/09/09,1,1,6
2016/09/10,1,1,6
2016/09/11,1,1,5
2016/09/12,1,1,5
2016/09/13,1,1,6
2016/09/14,1,1,6
2016/09/15,1,1,6
2016/09/16,1,1,6
2016/09/17,1,1,5
2016/09/18,1,1,5
2016/09/19,1,1,5
2016/09/20,1,1,5
2016/09/21,1,1,5
2016/09/22,1,1,5
2016/09/23,1,1,5
2016/09/24,1,1,5
2016/09/25,1,1,5
2016/09/26,1,1,5
2016/09/27,1,1,6
2016/09/28,,1,6
2016/09/29,,1,6
2016/09/30,,1,7
2016/10/01,,1,7
2016/10/02,,1,8
2016/10/03,,1,7
2016/10/04,,1,7
2016/10/05,1,2,8
2016/10/06,1,2,8
2016/10/07,1,2,9
2016/10/08,1,2,9
2016/10/09,1,2,9
2016/10/10,1,2,9
2016/10/11,1,2,8
2016/10/12,1,2,8
2016/10/13,1,2,7
2016/10/14,1,2,7
2016/10/15,1,2,7
2016/10/16,1,2,7
2016/10/17,1,2,6
2016/10/18,1,2,6
2016/10/19,1,2,6
2016/10/20,1,2,6
2016/10/21,1,2,6
2016/10/22,1,2,6
2016/10/23,1,2,6
2016/10/24,1,2,6
2016/10/25,1,2,6
2016/10/26,1,2,6
2016/10/27,1,2,5
2016/10/28,1,2,5
2016/10/29,1,2,5
2016/10/30,1,2,4
2016/10/31,1,2,4
