date,szlwiki (100+),szlwiki (5+),szlwiki (all)
2015/09/01,,4,11
2015/09/02,,4,11
2015/09/03,,4,12
2015/09/04,,4,11
2015/09/05,,4,12
2015/09/06,,4,12
2015/09/07,,4,12
2015/09/08,,4,12
2015/09/09,,4,12
2015/09/10,,4,12
2015/09/11,,3,12
2015/09/12,,3,13
2015/09/13,,3,13
2015/09/14,,3,14
2015/09/15,,3,13
2015/09/16,,3,13
2015/09/17,,3,11
2015/09/18,,3,12
2015/09/19,,3,12
2015/09/20,,3,12
2015/09/21,,3,12
2015/09/22,,3,12
2015/09/23,,3,12
2015/09/24,,2,12
2015/09/25,,2,12
2015/09/26,,2,12
2015/09/27,,2,12
2015/09/28,,2,12
2015/09/29,,2,12
2015/09/30,,2,12
2015/10/01,,2,11
2015/10/02,,2,11
2015/10/03,,1,12
2015/10/04,,1,12
2015/10/05,,1,13
2015/10/06,,1,13
2015/10/07,,1,13
2015/10/08,,1,12
2015/10/09,,2,12
2015/10/10,,3,12
2015/10/11,,3,12
2015/10/12,,3,11
2015/10/13,,3,12
2015/10/14,,3,11
2015/10/15,,3,11
2015/10/16,,3,11
2015/10/17,,3,11
2015/10/18,,3,13
2015/10/19,,3,13
2015/10/20,,3,14
2015/10/21,,3,13
2015/10/22,,3,13
2015/10/23,,3,13
2015/10/24,,3,13
2015/10/25,,3,13
2015/10/26,,3,13
2015/10/27,,3,13
2015/10/28,,3,13
2015/10/29,,4,13
2015/10/30,,4,11
2015/10/31,,4,12
2015/11/01,,4,12
2015/11/02,,4,10
2015/11/03,,4,11
2015/11/04,,4,10
2015/11/05,,5,12
2015/11/06,,5,11
2015/11/07,,5,11
2015/11/08,1,5,11
2015/11/09,1,4,11
2015/11/10,1,4,11
2015/11/11,1,4,11
2015/11/12,1,4,10
2015/11/13,1,4,10
2015/11/14,1,4,10
2015/11/15,2,4,10
2015/11/16,2,4,10
2015/11/17,2,4,8
2015/11/18,2,4,9
2015/11/19,2,4,9
2015/11/20,2,4,9
2015/11/21,2,5,9
2015/11/22,2,5,10
2015/11/23,2,5,11
2015/11/24,2,4,12
2015/11/25,2,3,12
2015/11/26,2,3,12
2015/11/27,2,3,12
2015/11/28,2,3,12
2015/11/29,2,3,12
2015/11/30,2,3,12
2015/12/01,2,3,14
2015/12/02,2,3,14
2015/12/03,2,3,13
2015/12/04,2,3,14
2015/12/05,2,4,13
2015/12/06,2,4,15
2015/12/07,2,3,15
2015/12/08,2,3,15
2015/12/09,2,4,15
2015/12/10,2,4,15
2015/12/11,2,4,16
2015/12/12,2,4,17
2015/12/13,2,4,18
2015/12/14,2,4,19
2015/12/15,2,4,20
2015/12/16,2,4,21
2015/12/17,2,4,22
2016/01/18,2,4,15
2016/01/19,2,4,15
2016/01/20,2,4,15
2016/01/21,2,4,15
2016/01/22,2,4,15
2016/01/23,2,4,16
2016/01/24,2,4,17
2016/01/25,2,4,17
2016/01/26,2,4,17
2016/01/27,2,4,17
2016/01/28,2,4,16
2016/01/29,2,4,16
2016/01/30,2,4,18
2016/01/31,2,4,17
2016/02/01,2,3,16
2016/02/02,2,4,16
2016/02/03,2,4,17
2016/02/04,2,4,16
2016/02/05,1,4,16
2016/02/06,1,4,17
2016/02/07,1,4,18
2016/02/08,1,4,20
2016/02/09,1,4,19
2016/02/10,1,4,20
2016/02/11,1,4,20
2016/02/12,1,4,19
2016/02/13,1,4,18
2016/02/14,1,4,19
2016/02/15,1,4,20
2016/02/16,1,4,20
2016/02/17,1,4,20
2016/02/18,1,4,21
2016/02/19,1,4,21
2016/02/20,1,4,22
2016/02/21,1,4,22
2016/02/22,1,4,21
2016/02/23,1,4,22
2016/02/24,1,4,22
2016/02/25,1,4,23
2016/02/26,1,4,23
2016/02/27,1,5,22
2016/02/28,1,4,21
2016/02/29,1,4,19
2016/03/01,1,4,20
2016/03/02,1,4,18
2016/03/03,1,3,19
2016/03/04,1,3,19
2016/03/05,1,3,20
2016/03/06,1,3,22
2016/03/07,1,3,21
2016/03/08,1,4,19
2016/03/09,1,4,17
2016/03/10,1,4,19
2016/03/11,1,4,19
2016/03/12,1,4,19
2016/03/13,1,3,21
2016/03/14,1,3,21
2016/03/15,1,3,20
2016/03/16,1,3,19
2016/03/17,1,3,19
2016/03/18,1,3,19
2016/03/19,1,3,18
2016/03/20,1,3,18
2016/03/21,1,3,17
2016/03/22,1,3,17
2016/03/23,1,3,18
2016/03/24,1,3,16
2016/03/25,1,3,16
2016/03/26,1,2,15
2016/03/27,1,2,15
2016/03/28,1,2,15
2016/03/29,1,2,16
2016/03/30,1,2,17
2016/03/31,1,2,17
2016/04/01,1,2,17
2016/04/02,1,3,17
2016/04/03,1,3,15
2016/04/04,1,3,15
2016/04/05,1,3,13
2016/04/06,1,3,13
2016/04/07,1,3,13
2016/04/08,1,3,13
2016/04/09,1,3,12
2016/04/10,1,3,11
2016/04/11,1,2,11
2016/04/12,1,2,9
2016/04/13,1,2,11
2016/04/14,1,2,10
2016/04/15,1,2,10
2016/04/16,1,2,11
2016/04/17,1,2,14
2016/04/18,1,2,15
2016/04/19,1,2,15
2016/04/20,1,2,15
2016/04/21,1,2,15
2016/04/22,1,2,14
2016/04/23,1,2,14
2016/04/24,1,3,14
2016/04/25,1,3,15
2016/04/26,1,3,15
2016/04/27,1,3,15
2016/04/28,1,3,13
2016/04/29,1,2,12
2016/04/30,1,2,12
2016/05/01,1,3,13
2016/05/02,1,3,14
2016/05/03,1,2,14
2016/05/04,1,2,13
2016/05/05,1,2,14
2016/05/06,1,2,14
2016/05/07,1,2,14
2016/05/08,1,3,15
2016/05/09,,3,15
2016/05/10,,3,15
2016/05/11,,3,16
2016/05/12,,3,16
2016/05/13,,3,14
2016/05/14,,3,14
2016/05/15,,3,15
2016/05/16,,3,14
2016/05/17,,3,11
2016/05/18,,3,10
2016/05/19,,3,10
2016/05/20,,3,11
2016/05/21,,3,13
2016/05/22,,3,14
2016/05/23,,3,16
2016/05/24,,3,16
2016/05/25,,3,16
2016/05/26,,3,16
2016/05/27,,3,16
2016/05/28,,3,16
2016/05/29,,3,16
2016/05/30,,3,16
2016/05/31,,3,16
2016/06/01,,3,15
2016/06/02,,3,15
2016/06/03,,3,16
2016/06/04,,3,18
2016/06/05,,3,18
2016/06/06,,3,18
2016/06/07,,2,17
2016/06/08,,2,17
2016/06/09,,1,17
2016/06/10,,2,15
2016/06/11,,2,16
2016/06/12,,2,16
2016/06/13,1,2,16
2016/06/14,1,2,15
2016/06/15,1,2,15
2016/06/16,1,2,15
2016/06/17,1,2,15
2016/06/18,1,2,15
2016/06/19,1,2,16
2016/06/20,,2,14
2016/06/21,,2,13
2016/06/22,,2,13
2016/06/23,,2,13
2016/06/24,,2,13
2016/06/25,,2,13
2016/06/26,,2,14
2016/06/27,,2,14
2016/06/28,,2,15
2016/06/29,,2,15
2016/06/30,,2,15
2016/07/01,,2,17
2016/07/02,1,4,19
2016/07/03,1,4,18
2016/07/04,1,4,14
2016/07/05,1,4,14
2016/07/06,1,4,15
2016/07/07,1,4,15
2016/07/08,1,4,15
2016/07/09,1,4,15
2016/07/10,1,4,15
2016/07/11,1,4,15
2016/07/12,1,4,16
2016/07/13,1,4,17
2016/07/14,1,5,19
2016/07/15,1,4,19
2016/07/16,1,4,19
2016/07/17,1,4,19
2016/07/18,1,4,19
2016/07/19,1,4,18
2016/07/20,1,4,18
2016/07/21,1,4,17
2016/07/22,1,4,17
2016/07/23,1,4,17
2016/07/24,1,4,16
2016/07/25,1,4,15
2016/07/26,1,4,15
2016/07/27,1,4,15
2016/07/28,1,5,14
2016/07/29,1,4,14
2016/07/30,1,5,15
2016/07/31,1,5,13
2016/08/01,,4,12
2016/08/02,,3,11
2016/08/03,,3,12
2016/08/04,,3,12
2016/08/05,,4,12
2016/08/06,,4,12
2016/08/07,,4,12
2016/08/08,,4,13
2016/08/09,,4,15
2016/08/10,,6,16
2016/08/11,,7,17
2016/08/12,,6,18
2016/08/13,,7,19
2016/08/14,,7,18
2016/08/15,,7,19
2016/08/16,,6,19
2016/08/17,,6,20
2016/08/18,,6,19
2016/08/19,1,6,19
2016/08/20,1,6,19
2016/08/21,1,6,19
2016/08/22,1,6,20
2016/08/23,1,7,21
2016/08/24,1,8,22
2016/08/25,1,8,21
2016/08/26,1,8,22
2016/08/27,1,8,21
2016/08/28,1,8,21
2016/08/29,1,8,19
2016/08/30,1,8,19
2016/08/31,1,8,19
2016/09/01,2,8,20
2016/09/02,2,8,19
2016/09/03,2,8,19
2016/09/04,2,8,18
2016/09/05,2,8,18
2016/09/06,2,8,18
2016/09/07,2,8,18
2016/09/08,2,8,16
2016/09/09,2,7,15
2016/09/10,2,7,14
2016/09/11,2,7,14
2016/09/12,1,5,13
2016/09/13,1,5,13
2016/09/14,1,5,12
2016/09/15,1,5,11
2016/09/16,,5,11
2016/09/17,,5,12
2016/09/18,,5,12
2016/09/19,,5,14
2016/09/20,,5,14
2016/09/21,,5,13
2016/09/22,,3,11
2016/09/23,1,2,10
2016/09/24,,2,10
2016/09/25,,3,10
2016/09/26,,3,10
2016/09/27,,3,11
2016/09/28,,4,11
2016/09/29,,4,11
2016/09/30,,4,11
2016/10/01,,3,11
2016/10/02,,3,11
2016/10/03,,3,11
2016/10/04,,3,11
2016/10/05,,3,11
2016/10/06,,3,11
2016/10/07,,3,11
2016/10/08,,3,11
2016/10/09,,3,10
2016/10/10,,3,10
2016/10/11,,3,9
2016/10/12,,3,11
2016/10/13,,3,12
2016/10/14,,3,12
2016/10/15,,4,13
2016/10/16,,4,14
2016/10/17,,4,13
2016/10/18,,4,13
2016/10/19,,4,14
2016/10/20,,4,13
2016/10/21,,5,13
2016/10/22,,5,13
2016/10/23,,5,14
2016/10/24,,5,14
2016/10/25,,5,16
2016/10/26,,5,16
2016/10/27,,5,16
2016/10/28,,4,16
2016/10/29,,4,16
2016/10/30,,5,16
2016/10/31,,5,16
2016/11/01,,5,17
2016/11/02,,5,18
2016/11/03,,6,18
2016/11/04,,5,18
2016/11/05,,5,18
2016/11/06,,5,18
2016/11/07,,4,17
2016/11/08,,4,18
2016/11/09,,4,18
2016/11/10,,4,17
2016/11/11,,4,15
2016/11/12,,4,15
2016/11/13,,4,15
2016/11/14,,4,15
2016/11/15,,3,14
2016/11/16,,3,14
2016/11/17,,3,14
2016/11/18,,3,12
2016/11/19,,3,12
2016/11/20,,2,13
2016/11/21,,2,13
2016/11/22,,2,12
2016/11/23,,2,11
2016/11/24,,2,9
2016/11/25,,2,8
2016/11/26,,2,8
2016/11/27,,3,8
2016/11/28,,3,8
2016/11/29,,3,8
2016/11/30,,3,7
2016/12/01,,2,6
2016/12/02,,2,5
2016/12/03,,2,5
2016/12/04,,2,5
2016/12/05,,2,6
2016/12/06,,2,6
2016/12/07,,2,6
2016/12/08,,2,6
2016/12/09,,2,6
2016/12/10,,2,6
2016/12/11,,2,6
2016/12/12,,2,6
2016/12/13,,1,6
2016/12/14,,2,6
2016/12/15,,2,6
2016/12/16,,1,7
2016/12/17,,1,7
2016/12/18,,1,7
2016/12/19,,2,8
2016/12/20,,2,7
2016/12/21,,2,8
2016/12/22,,2,7
2016/12/23,,2,8
2016/12/24,,2,8
2016/12/25,1,2,8
2016/12/26,1,2,8
2016/12/27,1,1,8
2016/12/28,1,1,8
2016/12/29,1,1,8
2016/12/30,1,2,9
2016/12/31,1,2,10
2017/01/01,1,2,10
2017/01/02,1,2,11
2017/01/03,1,2,11
2017/01/04,1,2,10
2017/01/05,1,2,11
2017/01/06,1,2,11
2017/01/07,1,2,11
2017/01/08,1,2,11
2017/01/09,1,2,14
2017/01/10,1,2,14
2017/01/11,1,1,14
2017/01/12,1,1,15
2017/01/13,1,1,14
2017/01/14,1,1,14
2017/01/15,1,1,14
2017/01/16,1,1,14
2017/01/17,1,1,13
2017/01/18,,1,15
2017/01/19,,1,15
2017/01/20,1,1,14
2017/01/21,,1,15
2017/01/22,1,1,14
2017/01/23,1,1,14
2017/01/24,,1,14
2017/01/25,1,1,14
2017/01/26,,2,16
2017/01/27,,2,16
2017/01/28,1,2,16
2017/01/29,,2,15
2017/01/30,,2,14
2017/01/31,,2,14
2017/02/01,,3,15
2017/02/02,,3,15
2017/02/03,,3,15
2017/02/04,,4,15
2017/02/05,,4,16
2017/02/06,,4,15
