date,simplewiki (100+),simplewiki (5+),simplewiki (all)
2015/07/27,17,140,562
2015/07/28,17,139,566
2015/07/29,17,141,560
2015/07/30,17,138,557
2015/07/31,16,137,561
2015/08/01,16,134,556
2015/08/02,16,127,549
2015/08/03,14,126,551
2015/08/04,14,124,542
2015/08/05,13,124,542
2015/08/06,14,120,532
2015/08/07,14,120,538
2015/08/08,15,122,536
2015/08/09,15,120,528
2015/08/10,15,123,527
2015/08/11,14,126,533
2015/08/12,14,126,537
2015/08/13,15,123,538
2015/08/14,15,123,540
2015/08/15,17,127,545
2015/08/16,16,132,553
2015/08/17,16,135,566
2015/08/18,18,136,566
2015/08/19,16,141,570
2015/08/20,16,143,564
2015/08/21,19,143,562
2015/08/22,20,149,561
2015/08/23,21,148,555
2015/08/24,21,151,563
2015/08/25,22,150,562
2015/08/26,21,149,572
2015/08/27,22,143,568
2015/08/28,23,146,568
2015/08/29,23,147,569
2015/08/30,23,146,575
2015/08/31,24,147,575
2015/09/01,24,144,570
2015/09/02,23,140,565
2015/09/03,23,142,567
2015/09/04,23,142,573
2015/09/05,24,141,570
2015/09/06,24,141,575
2015/09/07,24,144,587
2015/09/08,23,148,599
2015/09/09,23,152,607
2015/09/10,19,148,609
2015/09/11,19,144,603
2015/09/12,18,145,599
2015/09/13,19,145,588
2015/09/14,18,142,586
2015/09/15,19,135,579
2015/09/16,18,134,580
2015/09/17,19,131,591
2015/09/18,21,131,580
2015/09/19,20,131,581
2015/09/20,19,132,584
2015/09/21,18,132,583
2015/09/22,18,134,588
2015/09/23,19,139,598
2015/09/24,17,141,606
2015/09/25,17,143,600
2015/09/26,17,145,602
2015/09/27,16,146,607
2015/09/28,16,149,614
2015/09/29,16,148,601
2015/09/30,16,153,609
2015/10/01,18,154,614
2015/10/02,20,157,617
2015/10/03,21,156,618
2015/10/04,21,155,618
2015/10/05,21,155,613
2015/10/06,21,154,610
2015/10/07,22,154,606
2015/10/08,22,154,601
2015/10/09,22,153,604
2015/10/10,21,151,609
2015/10/11,21,152,607
2015/10/12,21,155,614
2015/10/13,21,155,617
2015/10/14,21,159,626
2015/10/15,21,162,628
2015/10/16,18,163,624
2015/10/17,18,167,626
2015/10/18,18,163,620
2015/10/19,19,165,625
2015/10/20,20,169,625
2015/10/21,20,171,636
2015/10/22,19,173,642
2015/10/23,20,170,647
2015/10/24,19,166,628
2015/10/25,20,163,627
2015/10/26,20,163,621
2015/10/27,21,160,618
2015/10/28,20,156,617
2015/10/29,21,154,620
2015/10/30,21,155,637
2015/10/31,19,150,637
2015/11/01,19,147,643
2015/11/02,19,148,645
2015/11/03,19,154,649
2015/11/04,19,154,655
2015/11/05,19,156,659
2015/11/06,20,158,658
2015/11/07,20,159,666
2015/11/08,19,158,669
2015/11/09,19,158,666
2015/11/10,21,162,679
2015/11/11,21,163,695
2015/11/12,21,160,697
2015/11/13,20,161,705
2015/11/14,20,160,705
2015/11/15,21,158,707
2015/11/16,21,158,704
2015/11/17,21,159,719
2015/11/18,21,158,732
2015/11/19,20,156,730
2015/11/20,18,156,724
2015/11/21,19,154,721
2015/11/22,19,152,715
2015/11/23,19,152,711
2015/11/24,20,154,718
2015/11/25,19,155,721
2015/11/26,20,156,727
2015/11/27,20,158,733
2015/11/28,20,161,739
2015/11/29,19,160,727
2015/11/30,20,163,733
2015/12/01,21,165,726
2015/12/02,21,167,727
2015/12/03,21,164,734
2015/12/04,21,172,736
2015/12/05,19,168,721
2015/12/06,18,168,726
2015/12/07,18,168,722
2015/12/08,18,169,729
2015/12/09,20,176,730
2015/12/10,21,178,715
2015/12/11,22,180,698
2015/12/12,19,178,691
2015/12/13,19,175,676
2015/12/14,19,174,662
2015/12/15,19,172,660
2015/12/16,18,177,672
2015/12/17,19,180,674
2016/01/18,21,149,589
2016/01/19,24,148,593
2016/01/20,23,147,601
2016/01/21,22,149,613
2016/01/22,23,152,615
2016/01/23,23,153,614
2016/01/24,24,156,625
2016/01/25,23,158,635
2016/01/26,24,164,649
2016/01/27,25,168,652
2016/01/28,24,165,657
2016/01/29,24,166,655
2016/01/30,23,164,642
2016/01/31,24,162,639
2016/02/01,24,162,652
2016/02/02,24,165,655
2016/02/03,25,166,668
2016/02/04,26,164,667
2016/02/05,26,167,667
2016/02/06,26,168,670
2016/02/07,26,166,656
2016/02/08,27,169,663
2016/02/09,27,164,672
2016/02/10,27,167,684
2016/02/11,26,171,688
2016/02/12,24,175,696
2016/02/13,24,180,696
2016/02/14,24,179,686
2016/02/15,24,182,682
2016/02/16,24,178,678
2016/02/17,22,179,687
2016/02/18,21,181,694
2016/02/19,21,184,708
2016/02/20,22,180,699
2016/02/21,21,177,707
2016/02/22,22,173,704
2016/02/23,21,177,722
2016/02/24,22,178,717
2016/02/25,22,180,716
2016/02/26,22,181,726
2016/02/27,21,187,734
2016/02/28,21,187,738
2016/02/29,21,189,748
2016/03/01,21,192,756
2016/03/02,21,193,747
2016/03/03,21,190,751
2016/03/04,21,184,741
2016/03/05,21,184,734
2016/03/06,22,187,734
2016/03/07,22,183,730
2016/03/08,22,182,743
2016/03/09,22,182,733
2016/03/10,22,185,730
2016/03/11,22,185,727
2016/03/12,22,180,723
2016/03/13,22,176,713
2016/03/14,21,172,707
2016/03/15,22,173,717
2016/03/16,22,172,714
2016/03/17,22,176,720
2016/03/18,20,178,721
2016/03/19,19,174,716
2016/03/20,19,173,716
2016/03/21,18,172,711
2016/03/22,19,178,713
2016/03/23,19,185,718
2016/03/24,18,179,692
2016/03/25,19,178,685
2016/03/26,17,173,685
2016/03/27,17,169,677
2016/03/28,17,166,663
2016/03/29,17,168,662
2016/03/30,18,169,658
2016/03/31,17,166,652
2016/04/01,17,168,647
2016/04/02,16,170,636
2016/04/03,15,167,637
2016/04/04,15,166,639
2016/04/05,15,165,632
2016/04/06,15,169,631
2016/04/07,14,165,625
2016/04/08,14,158,630
2016/04/09,14,162,636
2016/04/10,15,164,633
2016/04/11,15,168,645
2016/04/12,15,166,656
2016/04/13,16,169,662
2016/04/14,16,166,661
2016/04/15,16,167,665
2016/04/16,16,167,665
2016/04/17,16,164,664
2016/04/18,16,162,651
2016/04/19,16,162,649
2016/04/20,17,165,662
2016/04/21,19,167,670
2016/04/22,18,165,675
2016/04/23,19,162,670
2016/04/24,20,162,675
2016/04/25,20,160,666
2016/04/26,19,159,667
2016/04/27,19,165,675
2016/04/28,21,162,679
2016/04/29,21,164,700
2016/04/30,22,162,706
2016/05/01,22,163,702
2016/05/02,22,163,707
2016/05/03,21,167,722
2016/05/04,22,167,726
2016/05/05,23,167,742
2016/05/06,23,170,744
2016/05/07,23,174,753
2016/05/08,23,178,751
2016/05/09,24,176,749
2016/05/10,23,176,749
2016/05/11,23,171,741
2016/05/12,23,167,736
2016/05/13,23,166,733
2016/05/14,25,164,727
2016/05/15,26,165,711
2016/05/16,26,165,710
2016/05/17,25,166,704
2016/05/18,25,175,718
2016/05/19,25,173,719
2016/05/20,24,169,700
2016/05/21,23,168,688
2016/05/22,23,166,680
2016/05/23,23,166,683
2016/05/24,23,166,680
2016/05/25,24,175,705
2016/05/26,24,180,708
2016/05/27,24,178,700
2016/05/28,24,174,696
2016/05/29,23,171,673
2016/05/30,23,168,656
2016/05/31,22,166,662
2016/06/01,22,163,659
2016/06/02,21,164,654
