date,cbk_zamwiki (100+),cbk_zamwiki (5+),cbk_zamwiki (all)
2015/10/16,,,13
2015/10/17,,,12
2015/10/18,,,12
2015/10/19,,1,12
2015/10/20,,2,11
2015/10/21,,2,11
2015/10/22,,2,11
2015/10/23,,2,11
2015/10/24,,2,11
2015/10/25,,2,11
2015/10/26,,2,11
2015/10/27,,2,8
2015/10/28,,2,9
2015/10/29,,2,10
2015/10/30,,2,11
2015/10/31,,2,11
2015/11/01,,2,11
2015/11/02,,2,11
2015/11/03,,2,11
2015/11/04,,2,11
2015/11/05,,2,12
2015/11/06,,2,10
2015/11/07,,1,10
2015/11/08,,1,10
2015/11/09,,1,8
2015/11/10,,1,8
2015/11/11,,1,9
2015/11/12,,1,9
2015/11/13,,1,9
2015/11/14,,1,8
2015/11/15,,1,10
2015/11/16,,1,10
2015/11/17,,1,10
2015/11/18,,1,9
2015/11/19,,,8
2015/11/20,,,8
2015/11/21,,,9
2015/11/22,,,9
2015/11/23,,,9
2015/11/24,,,9
2015/11/25,,,9
2015/11/26,,,9
2015/11/27,,,10
2015/11/28,,,9
2015/11/29,,,8
2015/11/30,,,8
2015/12/01,,,8
2015/12/02,,,8
2015/12/03,,,7
2015/12/04,,,7
2015/12/05,,,5
2015/12/06,,,6
2015/12/07,,,7
2015/12/08,,,7
2015/12/09,,,7
2015/12/10,,,8
2015/12/11,,,7
2015/12/12,,,9
2015/12/13,2,2,10
2015/12/14,2,2,10
2015/12/15,2,2,8
2015/12/16,2,2,9
2015/12/17,2,2,10
2016/01/18,1,3,12
2016/01/19,1,3,12
2016/01/20,1,2,12
2016/01/21,1,2,13
2016/01/22,1,2,12
2016/01/23,1,2,12
2016/01/24,1,2,12
2016/01/25,1,2,10
2016/01/26,1,2,10
2016/01/27,1,2,10
2016/01/28,1,2,10
2016/01/29,1,2,10
2016/01/30,1,2,10
2016/01/31,1,2,9
2016/02/01,1,2,9
2016/02/02,1,2,7
2016/02/03,1,2,7
2016/02/04,1,2,8
2016/02/05,1,2,8
2016/02/06,1,2,8
2016/02/07,1,2,8
2016/02/08,1,2,8
2016/02/09,1,2,8
2016/02/10,1,2,8
2016/02/11,1,2,8
2016/02/12,1,2,7
2016/02/13,1,2,7
2016/02/14,1,2,7
2016/02/15,1,2,7
2016/02/16,1,3,6
2016/02/17,1,2,5
2016/02/18,1,2,4
2016/02/19,1,2,4
2016/02/20,1,2,3
2016/02/21,1,2,3
2016/02/22,1,2,4
2016/02/23,1,2,4
2016/02/24,1,2,5
2016/02/25,1,2,5
2016/02/26,1,2,5
2016/02/27,1,2,5
2016/02/28,1,2,5
2016/02/29,1,2,5
2016/03/01,1,2,5
2016/03/02,1,2,5
2016/03/03,1,2,5
2016/03/04,1,2,5
2016/03/05,1,2,5
2016/03/06,1,2,6
2016/03/07,1,2,6
2016/03/08,1,2,7
2016/03/09,1,2,7
2016/03/10,,1,7
2016/03/11,,1,7
2016/03/12,,1,7
2016/03/13,,1,10
2016/03/14,,1,10
2016/03/15,,1,10
2016/03/16,,1,10
2016/03/17,,1,10
2016/03/18,,1,10
2016/03/19,,1,10
2016/03/20,,1,10
2016/03/21,,1,11
2016/03/22,,1,12
2016/03/23,,1,11
2016/03/24,,,12
2016/03/25,,,12
2016/03/26,,,12
2016/03/27,,,14
2016/03/28,,,14
2016/03/29,,,14
2016/03/30,,,15
2016/03/31,,,15
2016/04/01,,,15
2016/04/02,,,15
2016/04/03,,,14
2016/04/04,,,14
2016/04/05,,1,14
2016/04/06,,1,14
2016/04/07,,1,14
2016/04/08,,2,15
2016/04/09,,2,15
2016/04/10,,2,15
2016/04/11,,2,16
2016/04/12,,2,13
2016/04/13,,2,13
2016/04/14,,2,13
2016/04/15,,2,13
2016/04/16,,2,16
2016/04/17,,2,16
2016/04/18,,2,16
2016/04/19,,2,16
2016/04/20,,2,16
2016/04/21,,2,15
2016/04/22,,2,15
2016/04/23,,2,14
2016/04/24,,2,13
2016/04/25,,2,13
2016/04/26,,2,14
2016/04/27,,2,14
2016/04/28,,2,14
2016/04/29,,2,13
2016/04/30,,2,13
2016/05/01,,2,14
2016/05/02,,3,14
2016/05/03,,3,15
2016/05/04,,3,15
2016/05/05,,3,14
2016/05/06,,3,14
2016/05/07,,2,13
2016/05/08,,1,14
2016/05/09,,1,14
2016/05/10,,1,14
2016/05/11,,1,13
2016/05/12,,1,13
2016/05/13,,1,12
2016/05/14,,1,12
2016/05/15,,1,12
2016/05/16,,2,9
2016/05/17,,2,9
2016/05/18,,2,9
2016/05/19,,2,10
2016/05/20,,2,9
2016/05/21,,2,10
2016/05/22,,2,10
2016/05/23,,2,10
2016/05/24,,2,10
2016/05/25,,2,10
2016/05/26,,2,9
2016/05/27,,2,9
2016/05/28,,2,9
2016/05/29,,2,9
2016/05/30,,2,9
2016/05/31,,2,9
2016/06/01,,2,8
2016/06/02,,2,7
2016/06/03,,2,7
2016/06/04,,1,6
2016/06/05,,1,6
2016/06/06,,1,6
2016/06/07,,,8
2016/06/08,,1,9
2016/06/09,,1,9
2016/06/10,,1,9
2016/06/11,,1,9
2016/06/12,,1,9
2016/06/13,,1,10
2016/06/14,,1,10
2016/06/15,,1,10
2016/06/16,,1,10
2016/06/17,,1,10
2016/06/18,,1,9
2016/06/19,,1,9
2016/06/20,,1,9
2016/06/21,,1,9
2016/06/22,,1,9
2016/06/23,,1,10
2016/06/24,,1,10
2016/06/25,,1,10
2016/06/26,,1,10
2016/06/27,,1,10
2016/06/28,,1,10
2016/06/29,,1,10
2016/06/30,,1,9
2016/07/01,,1,10
2016/07/02,,1,10
2016/07/03,,1,10
2016/07/04,,1,10
2016/07/05,,1,10
2016/07/06,,1,10
2016/07/07,,1,6
2016/07/08,,,5
2016/07/09,,,5
2016/07/10,,,5
2016/07/11,,,5
2016/07/12,,,5
2016/07/13,,,4
2016/07/14,,,5
2016/07/15,,1,5
2016/07/16,,1,4
2016/07/17,,2,4
2016/07/18,,2,4
2016/07/19,,2,4
2016/07/20,,2,3
2016/07/21,,2,3
2016/07/22,,2,4
2016/07/23,,1,4
2016/07/24,,1,4
2016/07/25,,1,4
2016/07/26,,1,4
2016/07/27,,1,4
2016/07/28,,1,4
2016/07/29,,2,5
2016/07/30,,2,5
2016/07/31,,2,5
2016/08/01,,2,5
2016/08/02,,2,5
2016/08/03,,2,5
