date,shwiki (100+),shwiki (5+),shwiki (all)
2015/07/27,12,58,224
2015/07/28,11,57,223
2015/07/29,11,56,226
2015/07/30,11,54,229
2015/07/31,11,51,228
2015/08/01,11,49,228
2015/08/02,10,49,229
2015/08/03,11,47,228
2015/08/04,11,48,235
2015/08/05,11,45,235
2015/08/06,12,46,238
2015/08/07,13,47,239
2015/08/08,14,46,238
2015/08/09,14,44,236
2015/08/10,13,45,236
2015/08/11,13,45,229
2015/08/12,13,47,231
2015/08/13,13,44,225
2015/08/14,13,44,228
2015/08/15,13,44,226
2015/08/16,13,44,226
2015/08/17,13,45,224
2015/08/18,14,48,228
2015/08/19,14,50,230
2015/08/20,13,48,227
2015/08/21,13,48,223
2015/08/22,11,49,226
2015/08/23,9,49,219
2015/08/24,10,48,221
2015/08/25,10,46,221
2015/08/26,10,47,214
2015/08/27,10,48,215
2015/08/28,9,49,209
2015/08/29,9,47,214
2015/08/30,9,48,213
2015/08/31,9,48,213
2015/09/01,10,49,215
2015/09/02,10,50,219
2015/09/03,10,50,219
2015/09/04,9,53,220
2015/09/05,9,52,218
2015/09/06,9,53,220
2015/09/07,8,54,225
2015/09/08,9,56,223
2015/09/09,10,57,224
2015/09/10,10,56,226
2015/09/11,10,55,225
2015/09/12,10,54,228
2015/09/13,10,55,226
2015/09/14,10,55,224
2015/09/15,10,54,224
2015/09/16,10,52,226
2015/09/17,10,51,221
2015/09/18,10,53,225
2015/09/19,11,56,226
2015/09/20,11,53,231
2015/09/21,11,51,233
2015/09/22,11,55,232
2015/09/23,11,54,230
2015/09/24,12,54,227
2015/09/25,12,53,231
2015/09/26,12,52,229
2015/09/27,12,52,232
2015/09/28,12,53,229
2015/09/29,12,55,235
2015/09/30,13,58,235
2015/10/01,12,58,230
2015/10/02,12,56,229
2015/10/03,12,55,224
2015/10/04,11,56,222
2015/10/05,11,56,220
2015/10/06,11,57,224
2015/10/07,11,58,219
2015/10/08,11,57,221
2015/10/09,11,58,220
2015/10/10,10,59,217
2015/10/11,9,58,217
2015/10/12,9,58,214
2015/10/13,9,56,211
2015/10/14,9,54,213
2015/10/15,10,55,216
2015/10/16,10,54,215
2015/10/17,10,50,218
2015/10/18,10,48,215
2015/10/19,10,48,214
2015/10/20,10,48,211
2015/10/21,10,48,211
2015/10/22,10,47,212
2015/10/23,11,46,213
2015/10/24,11,45,212
2015/10/25,11,44,210
2015/10/26,11,46,212
2015/10/27,11,46,212
2015/10/28,11,46,214
2015/10/29,11,43,208
2015/10/30,11,43,209
2015/10/31,10,41,209
2015/11/01,10,43,213
2015/11/02,10,45,214
2015/11/03,10,46,213
2015/11/04,10,46,215
2015/11/05,10,47,217
2015/11/06,10,48,216
2015/11/07,10,50,218
2015/11/08,10,50,226
2015/11/09,10,49,225
2015/11/10,10,51,226
2015/11/11,10,49,230
2015/11/12,10,48,230
2015/11/13,10,48,233
2015/11/14,9,48,231
2015/11/15,9,48,234
2015/11/16,9,48,233
2015/11/17,9,50,231
2015/11/18,9,49,234
2015/11/19,9,49,227
2015/11/20,9,48,221
2015/11/21,9,49,223
2015/11/22,9,50,228
2015/11/23,9,51,229
2015/11/24,10,52,233
2015/11/25,10,52,236
2015/11/26,9,53,234
2015/11/27,9,53,238
2015/11/28,10,54,241
2015/11/29,10,55,241
2015/11/30,10,56,246
2015/12/01,10,56,241
2015/12/02,10,56,243
2015/12/03,10,58,247
2015/12/04,10,59,244
2015/12/05,10,60,239
2015/12/06,10,57,239
2015/12/07,10,59,243
2015/12/08,10,55,237
2015/12/09,10,55,245
2015/12/10,10,56,241
2015/12/11,10,59,246
2015/12/12,10,61,257
2015/12/13,10,62,260
2015/12/14,10,63,261
2015/12/15,10,65,269
2015/12/16,10,65,279
2015/12/17,10,65,274
2016/01/18,10,66,246
2016/01/19,10,67,246
2016/01/20,11,68,249
2016/01/21,11,68,248
2016/01/22,14,69,250
2016/01/23,15,70,247
2016/01/24,15,74,251
2016/01/25,14,71,258
2016/01/26,14,69,257
2016/01/27,14,67,258
2016/01/28,14,70,258
2016/01/29,14,69,256
2016/01/30,14,67,255
2016/01/31,13,67,257
2016/02/01,13,64,263
2016/02/02,13,66,261
2016/02/03,12,64,261
2016/02/04,11,63,263
2016/02/05,11,61,259
2016/02/06,11,63,263
2016/02/07,11,64,259
2016/02/08,11,66,257
2016/02/09,11,65,259
2016/02/10,11,64,261
2016/02/11,11,66,265
2016/02/12,12,66,266
2016/02/13,12,63,264
2016/02/14,12,61,268
2016/02/15,13,61,273
2016/02/16,12,62,270
2016/02/17,13,62,272
2016/02/18,12,63,269
2016/02/19,10,63,267
2016/02/20,10,62,267
2016/02/21,8,60,268
2016/02/22,8,61,272
2016/02/23,10,58,269
2016/02/24,10,55,265
2016/02/25,10,54,272
2016/02/26,10,56,268
2016/02/27,11,57,267
2016/02/28,11,58,265
2016/02/29,11,60,264
2016/03/01,11,60,259
2016/03/02,10,58,256
2016/03/03,11,56,252
2016/03/04,11,56,251
2016/03/05,11,58,245
2016/03/06,11,57,245
2016/03/07,11,56,246
2016/03/08,11,58,248
2016/03/09,11,58,248
2016/03/10,11,60,245
2016/03/11,11,58,241
2016/03/12,11,56,239
2016/03/13,11,56,246
2016/03/14,11,56,241
2016/03/15,11,57,247
2016/03/16,11,57,243
2016/03/17,11,60,252
2016/03/18,11,60,251
2016/03/19,11,57,253
2016/03/20,11,56,252
2016/03/21,11,56,255
2016/03/22,11,59,252
2016/03/23,11,59,251
2016/03/24,11,59,252
2016/03/25,11,62,248
2016/03/26,11,64,251
2016/03/27,11,63,250
2016/03/28,11,60,249
2016/03/29,11,64,254
2016/03/30,10,64,251
2016/03/31,10,64,250
2016/04/01,11,66,250
2016/04/02,9,65,247
2016/04/03,10,67,255
2016/04/04,10,66,258
2016/04/05,11,68,259
2016/04/06,11,69,261
2016/04/07,11,66,255
2016/04/08,10,65,258
2016/04/09,10,66,261
2016/04/10,10,67,263
2016/04/11,10,65,261
2016/04/12,10,63,261
2016/04/13,10,63,263
2016/04/14,10,60,262
2016/04/15,10,61,262
2016/04/16,10,58,258
2016/04/17,10,60,255
2016/04/18,10,56,254
2016/04/19,11,52,252
2016/04/20,11,53,248
2016/04/21,11,51,247
2016/04/22,11,54,249
2016/04/23,12,52,239
2016/04/24,12,53,235
2016/04/25,12,50,227
2016/04/26,12,49,225
2016/04/27,12,49,227
2016/04/28,13,48,223
2016/04/29,13,47,219
2016/04/30,13,48,224
2016/05/01,13,49,225
2016/05/02,13,52,227
2016/05/03,12,52,229
2016/05/04,12,51,227
2016/05/05,12,53,223
2016/05/06,12,53,217
2016/05/07,12,53,217
2016/05/08,12,53,218
2016/05/09,12,50,218
2016/05/10,12,51,216
2016/05/11,10,53,218
2016/05/12,11,53,213
2016/05/13,10,53,213
2016/05/14,10,54,216
2016/05/15,10,54,210
2016/05/16,10,56,210
2016/05/17,10,55,211
2016/05/18,10,56,212
2016/05/19,10,56,219
2016/05/20,10,53,221
2016/05/21,10,55,218
2016/05/22,10,56,223
2016/05/23,10,57,227
2016/05/24,10,58,227
2016/05/25,10,57,230
2016/05/26,10,59,231
2016/05/27,9,56,232
2016/05/28,9,57,232
2016/05/29,9,59,230
2016/05/30,8,59,229
2016/05/31,8,59,235
2016/06/01,8,59,234
2016/06/02,8,57,232
2016/06/03,8,55,238
2016/06/04,8,58,245
2016/06/05,8,61,244
2016/06/06,8,62,245
2016/06/07,7,63,243
2016/06/08,7,63,235
2016/06/09,7,62,237
2016/06/10,7,59,232
2016/06/11,7,57,230
2016/06/12,7,58,227
2016/06/13,7,60,224
2016/06/14,6,61,232
2016/06/15,6,61,230
2016/06/16,6,61,231
2016/06/17,6,61,232
2016/06/18,6,60,230
2016/06/19,6,58,232
2016/06/20,6,59,234
2016/06/21,6,60,228
2016/06/22,5,59,230
2016/06/23,5,58,229
2016/06/24,5,58,223
2016/06/25,6,58,225
2016/06/26,7,59,223
2016/06/27,8,60,223
2016/06/28,8,60,223
2016/06/29,8,60,224
2016/06/30,8,59,219
2016/07/01,8,58,218
2016/07/02,8,54,212
2016/07/03,7,57,213
2016/07/04,8,55,208
2016/07/05,9,55,210
2016/07/06,9,53,213
2016/07/07,9,53,214
2016/07/08,9,53,210
2016/07/09,8,55,211
2016/07/10,8,55,208
2016/07/11,8,53,207
2016/07/12,8,52,209
2016/07/13,8,52,210
2016/07/14,8,50,206
2016/07/15,8,50,205
2016/07/16,8,49,207
2016/07/17,8,50,206
2016/07/18,8,53,205
2016/07/19,8,56,207
2016/07/20,8,56,206
2016/07/21,8,53,208
2016/07/22,8,53,204
2016/07/23,8,54,204
2016/07/24,8,54,202
2016/07/25,8,54,202
2016/07/26,8,55,206
2016/07/27,7,52,203
2016/07/28,7,52,202
2016/07/29,7,52,198
2016/07/30,7,52,204
2016/07/31,9,53,203
2016/08/01,9,51,201
2016/08/02,8,53,200
2016/08/03,8,53,200
2016/08/04,7,53,205
2016/08/05,7,51,207
2016/08/06,7,53,207
2016/08/07,7,53,204
2016/08/08,7,52,198
2016/08/09,7,53,198
2016/08/10,8,51,199
2016/08/11,8,52,198
2016/08/12,8,51,196
2016/08/13,8,50,196
2016/08/14,8,50,194
2016/08/15,8,51,194
2016/08/16,8,51,192
2016/08/17,8,51,194
2016/08/18,8,48,195
2016/08/19,8,47,197
2016/08/20,8,45,199
2016/08/21,8,45,200
2016/08/22,8,44,194
2016/08/23,8,44,196
2016/08/24,8,44,194
2016/08/25,7,42,195
2016/08/26,7,42,200
2016/08/27,7,41,201
2016/08/28,7,44,207
2016/08/29,7,46,203
2016/08/30,7,48,204
2016/08/31,7,48,207
2016/09/01,7,46,209
2016/09/02,7,46,212
2016/09/03,7,46,212
2016/09/04,6,47,209
2016/09/05,6,47,207
2016/09/06,6,48,208
2016/09/07,6,47,208
2016/09/08,6,44,208
2016/09/09,5,44,215
2016/09/10,5,41,214
2016/09/11,5,42,213
2016/09/12,5,43,215
2016/09/13,5,42,218
2016/09/14,5,40,215
2016/09/15,6,39,213
2016/09/16,6,39,211
2016/09/17,6,38,205
2016/09/18,6,38,204
2016/09/19,6,39,204
2016/09/20,6,38,202
2016/09/21,6,39,202
2016/09/22,6,40,206
2016/09/23,6,39,204
2016/09/24,6,44,202
2016/09/25,6,44,199
2016/09/26,6,47,198
2016/09/27,6,47,197
2016/09/28,6,46,193
2016/09/29,6,45,189
2016/09/30,6,43,192
2016/10/01,6,44,188
2016/10/02,7,43,178
2016/10/03,7,45,178
2016/10/04,7,49,181
2016/10/05,7,47,184
2016/10/06,7,47,184
2016/10/07,7,49,187
2016/10/08,7,50,191
2016/10/09,7,50,190
2016/10/10,7,52,195
2016/10/11,7,51,200
2016/10/12,7,50,193
2016/10/13,7,50,195
2016/10/14,6,53,198
2016/10/15,7,54,201
2016/10/16,7,54,201
2016/10/17,7,55,207
2016/10/18,7,56,207
2016/10/19,7,57,210
2016/10/20,7,58,212
2016/10/21,7,57,215
2016/10/22,7,57,215
2016/10/23,7,60,213
2016/10/24,7,57,214
2016/10/25,7,55,212
2016/10/26,7,51,209
2016/10/27,7,50,205
2016/10/28,7,53,209
2016/10/29,7,55,213
2016/10/30,6,56,216
2016/10/31,7,56,210
2016/11/01,7,56,218
2016/11/02,7,54,222
2016/11/03,7,53,217
2016/11/04,7,55,215
2016/11/05,7,52,215
2016/11/06,7,52,220
2016/11/07,7,54,220
2016/11/08,7,55,217
2016/11/09,7,52,216
