date,tgwiki (100+),tgwiki (5+),tgwiki (all)
2015/08/03,1,8,35
2015/08/04,2,7,36
2015/08/05,3,10,39
2015/08/06,3,10,38
2015/08/07,5,11,39
2015/08/08,6,13,38
2015/08/09,6,15,40
2015/08/10,6,15,40
2015/08/11,6,15,41
2015/08/12,6,14,43
2015/08/13,6,14,44
2015/08/14,6,14,42
2015/08/15,6,14,43
2015/08/16,6,13,42
2015/08/17,6,13,41
2015/08/18,6,13,40
2015/08/19,6,14,40
2015/08/20,6,14,39
2015/08/21,6,14,38
2015/08/22,6,14,39
2015/08/23,6,14,40
2015/08/24,7,17,41
2015/08/25,7,17,40
2015/08/26,7,17,40
2015/08/27,6,18,40
2015/08/28,6,20,41
2015/08/29,7,20,41
2015/08/30,6,20,41
2015/08/31,6,21,42
2015/09/01,6,21,39
2015/09/02,6,22,39
2015/09/03,7,22,39
2015/09/04,7,21,40
2015/09/05,7,25,43
2015/09/06,7,25,44
2015/09/07,6,23,47
2015/09/08,6,22,47
2015/09/09,6,22,48
2015/09/10,6,23,47
2015/09/11,6,23,44
2015/09/12,6,23,44
2015/09/13,7,23,44
2015/09/14,7,23,44
2015/09/15,7,24,44
2015/09/16,7,24,44
2015/09/17,7,24,45
2015/09/18,7,25,47
2015/09/19,7,25,47
2015/09/20,7,25,47
2015/09/21,7,25,46
2015/09/22,7,25,47
2015/09/23,6,21,44
2015/09/24,6,21,44
2015/09/25,6,21,45
2015/09/26,6,21,45
