date,mlwiki (100+),mlwiki (5+),mlwiki (all)
2015/07/27,14,82,250
2015/07/28,14,79,247
2015/07/29,14,76,247
2015/07/30,15,80,257
2015/07/31,15,80,257
2015/08/01,15,78,257
2015/08/02,15,82,260
2015/08/03,15,84,262
2015/08/04,15,88,257
2015/08/05,15,88,263
2015/08/06,14,89,265
2015/08/07,14,86,262
2015/08/08,14,87,263
2015/08/09,13,91,266
2015/08/10,14,92,263
2015/08/11,14,94,265
2015/08/12,14,97,262
2015/08/13,15,97,262
2015/08/14,15,98,260
2015/08/15,16,97,264
2015/08/16,17,96,262
2015/08/17,16,92,254
2015/08/18,16,95,253
2015/08/19,14,94,249
2015/08/20,16,96,248
2015/08/21,14,96,248
2015/08/22,15,96,243
2015/08/23,17,95,247
2015/08/24,17,96,241
2015/08/25,17,94,239
2015/08/26,17,97,238
2015/08/27,18,98,242
2015/08/28,18,95,238
2015/08/29,18,92,226
2015/08/30,18,92,223
2015/08/31,18,94,221
2015/09/01,18,92,216
2015/09/02,18,93,216
2015/09/03,19,93,218
2015/09/04,17,92,214
2015/09/05,17,91,210
2015/09/06,17,89,209
2015/09/07,17,87,212
2015/09/08,17,85,211
2015/09/09,17,86,219
2015/09/10,16,85,217
2015/09/11,16,83,221
2015/09/12,15,85,219
2015/09/13,15,87,218
2015/09/14,15,86,216
2015/09/15,14,83,218
2015/09/16,14,85,217
2015/09/17,14,86,210
2015/09/18,14,85,209
2015/09/19,14,84,209
2015/09/20,15,86,210
2015/09/21,15,87,219
2015/09/22,16,88,223
2015/09/23,16,85,226
2015/09/24,16,87,230
2015/09/25,17,87,233
2015/09/26,17,84,228
2015/09/27,17,88,235
2015/09/28,18,87,237
2015/09/29,17,86,233
2015/09/30,17,87,238
2015/10/01,17,87,234
2015/10/02,17,86,240
2015/10/03,17,89,241
2015/10/04,17,89,242
2015/10/05,17,91,242
2015/10/06,17,92,240
2015/10/07,18,92,236
2015/10/08,18,91,237
2015/10/09,20,88,241
2015/10/10,18,87,243
2015/10/11,17,89,246
2015/10/12,18,88,248
2015/10/13,17,86,250
2015/10/14,16,86,251
2015/10/15,17,90,250
2015/10/16,16,89,251
2015/10/17,16,90,254
2015/10/18,18,89,257
2015/10/19,17,88,257
2015/10/20,18,87,253
2015/10/21,18,84,247
2015/10/22,17,84,243
2015/10/23,16,85,239
2015/10/24,18,86,233
2015/10/25,17,84,232
2015/10/26,17,85,238
2015/10/27,18,82,226
2015/10/28,18,82,230
2015/10/29,18,81,231
2015/10/30,18,81,221
2015/10/31,17,82,226
2015/11/01,17,81,222
2015/11/02,18,83,227
2015/11/03,17,84,225
2015/11/04,16,84,221
2015/11/05,17,83,223
2015/11/06,18,83,223
2015/11/07,17,80,219
2015/11/08,17,80,213
2015/11/09,16,76,211
2015/11/10,16,76,210
2015/11/11,15,77,213
2015/11/12,15,80,210
2015/11/13,15,83,208
2015/11/14,14,80,204
2015/11/15,13,80,202
2015/11/16,15,83,203
2015/11/17,14,82,200
2015/11/18,14,80,201
2015/11/19,14,80,203
2015/11/20,13,79,207
2015/11/21,12,81,207
2015/11/22,12,80,205
2015/11/23,11,80,208
2015/11/24,11,80,207
