date,afwiki (100+),afwiki (5+),afwiki (all)
2015/07/27,10,26,130
2015/07/28,10,26,128
2015/07/29,10,26,124
2015/07/30,10,25,125
2015/07/31,10,26,119
2015/08/01,11,25,118
2015/08/02,11,26,116
2015/08/03,11,26,118
2015/08/04,11,25,116
2015/08/05,11,24,119
2015/08/06,11,24,122
2015/08/07,11,24,124
2015/08/08,11,25,120
2015/08/09,11,25,120
2015/08/10,12,30,120
2015/08/11,11,30,120
2015/08/12,11,29,122
2015/08/13,12,31,127
2015/08/14,11,32,129
2015/08/15,11,32,131
2015/08/16,11,32,134
2015/08/17,10,32,131
2015/08/18,9,33,131
2015/08/19,9,33,130
2015/08/20,9,31,134
2015/08/21,9,31,130
2015/08/22,10,32,131
2015/08/23,10,32,132
2015/08/24,10,32,129
2015/08/25,10,34,129
2015/08/26,10,33,125
2015/08/27,10,33,124
2015/08/28,10,33,126
2015/08/29,10,33,125
2015/08/30,10,32,126
2015/08/31,10,32,130
2015/09/01,10,31,132
2015/09/02,10,32,133
2015/09/03,10,32,133
2015/09/04,10,33,132
2015/09/05,10,33,130
2015/09/06,10,33,128
2015/09/07,11,34,127
2015/09/08,11,36,132
2015/09/09,8,36,133
2015/09/10,8,37,137
2015/09/11,8,36,138
2015/09/12,8,34,136
2015/09/13,8,34,134
2015/09/14,9,34,134
2015/09/15,8,34,130
2015/09/16,8,33,131
2015/09/17,9,32,131
2015/09/18,9,32,132
2015/09/19,9,31,128
2015/09/20,9,31,131
2015/09/21,8,31,130
2015/09/22,8,30,128
2015/09/23,8,28,130
2015/09/24,9,29,128
2015/09/25,9,28,130
2015/09/26,9,28,130
2015/09/27,9,28,130
2015/09/28,9,28,132
2015/09/29,9,28,131
2015/09/30,9,29,132
2015/10/01,9,30,129
2015/10/02,9,30,127
2015/10/03,9,30,125
2015/10/04,9,30,125
2015/10/05,9,30,122
2015/10/06,9,31,123
2015/10/07,9,31,123
2015/10/08,9,33,120
2015/10/09,9,31,120
2015/10/10,9,31,116
2015/10/11,9,32,116
2015/10/12,9,31,115
2015/10/13,9,31,115
2015/10/14,9,32,118
2015/10/15,9,33,118
2015/10/16,9,32,119
2015/10/17,9,32,117
2015/10/18,8,33,118
2015/10/19,8,32,117
2015/10/20,8,31,114
2015/10/21,8,30,116
2015/10/22,8,31,117
2015/10/23,8,30,123
2015/10/24,8,30,126
2015/10/25,8,30,130
2015/10/26,8,31,135
2015/10/27,8,31,139
2015/10/28,8,32,140
2015/10/29,8,31,138
2015/10/30,8,30,136
2015/10/31,8,29,134
2015/11/01,8,29,133
2015/11/02,8,29,137
2015/11/03,7,30,139
2015/11/04,7,30,139
2015/11/05,7,30,138
2015/11/06,7,29,138
2015/11/07,7,28,137
2015/11/08,7,27,139
2015/11/09,7,27,135
2015/11/10,7,26,131
2015/11/11,7,25,132
2015/11/12,8,25,134
2015/11/13,8,23,135
2015/11/14,8,23,139
2015/11/15,7,23,138
2015/11/16,7,23,137
2015/11/17,6,26,134
2015/11/18,6,27,135
2015/11/19,7,27,136
2015/11/20,7,26,134
2015/11/21,7,26,130
2015/11/22,7,26,125
2015/11/23,7,26,119
2015/11/24,7,26,117
2015/11/25,7,26,118
2015/11/26,8,24,117
2015/11/27,8,24,117
2015/11/28,8,24,119
2015/11/29,8,24,117
2015/11/30,8,25,123
2015/12/01,8,25,123
2015/12/02,8,25,121
2015/12/03,8,25,124
2015/12/04,8,27,126
2015/12/05,8,29,128
2015/12/06,8,29,129
2015/12/07,8,29,135
2015/12/08,8,30,136
2015/12/09,7,29,133
2015/12/10,7,29,133
2015/12/11,7,30,134
2015/12/12,7,30,132
2015/12/13,7,30,134
2015/12/14,7,30,133
2015/12/15,7,30,134
2015/12/16,7,30,133
2015/12/17,7,30,134
2016/01/18,13,35,114
2016/01/19,13,37,114
2016/01/20,12,36,117
2016/01/21,12,35,118
2016/01/22,11,35,118
2016/01/23,12,35,118
2016/01/24,12,36,123
2016/01/25,12,37,122
2016/01/26,11,37,123
2016/01/27,11,38,122
2016/01/28,11,38,122
2016/01/29,11,37,121
2016/01/30,11,37,118
2016/01/31,12,37,117
2016/02/01,12,36,117
2016/02/02,12,36,120
2016/02/03,12,37,118
2016/02/04,11,37,119
2016/02/05,11,38,118
2016/02/06,11,38,118
2016/02/07,11,36,118
2016/02/08,11,38,122
2016/02/09,11,38,124
2016/02/10,11,38,125
2016/02/11,11,41,125
2016/02/12,11,42,125
2016/02/13,10,41,127
2016/02/14,10,39,123
2016/02/15,10,37,128
2016/02/16,11,37,130
2016/02/17,10,37,129
2016/02/18,11,36,126
2016/02/19,11,37,124
2016/02/20,10,37,130
2016/02/21,10,37,132
2016/02/22,10,36,133
2016/02/23,9,36,133
2016/02/24,9,38,132
2016/02/25,9,39,135
2016/02/26,9,38,137
2016/02/27,9,38,137
2016/02/28,9,38,136
2016/02/29,8,37,135
2016/03/01,8,37,136
2016/03/02,8,36,136
2016/03/03,8,37,137
2016/03/04,8,38,141
2016/03/05,8,38,141
2016/03/06,8,39,140
2016/03/07,8,39,141
2016/03/08,8,39,141
2016/03/09,8,40,138
2016/03/10,8,40,141
2016/03/11,8,40,141
2016/03/12,9,40,145
2016/03/13,9,38,148
2016/03/14,9,36,150
2016/03/15,9,36,150
2016/03/16,11,36,142
2016/03/17,11,34,140
2016/03/18,11,36,141
2016/03/19,11,36,145
2016/03/20,11,37,150
2016/03/21,11,38,144
2016/03/22,11,38,144
2016/03/23,11,36,146
2016/03/24,12,36,141
2016/03/25,11,36,143
2016/03/26,12,35,145
2016/03/27,12,36,139
2016/03/28,12,36,139
2016/03/29,12,37,140
2016/03/30,12,35,143
2016/03/31,12,37,145
2016/04/01,12,39,147
2016/04/02,13,39,148
2016/04/03,13,40,143
2016/04/04,13,40,145
2016/04/05,13,41,146
2016/04/06,13,41,143
2016/04/07,13,42,142
2016/04/08,13,43,143
2016/04/09,14,43,140
2016/04/10,14,44,139
2016/04/11,14,43,141
2016/04/12,14,43,138
2016/04/13,13,44,136
2016/04/14,13,45,136
2016/04/15,13,45,139
2016/04/16,13,45,139
2016/04/17,13,43,137
2016/04/18,13,42,139
2016/04/19,13,41,140
2016/04/20,12,40,140
2016/04/21,12,38,139
2016/04/22,12,39,138
2016/04/23,11,41,140
2016/04/24,11,45,143
2016/04/25,10,44,139
2016/04/26,10,44,139
2016/04/27,10,45,143
2016/04/28,10,46,143
2016/04/29,11,46,142
2016/04/30,11,45,141
2016/05/01,11,46,139
2016/05/02,11,45,140
2016/05/03,11,46,144
2016/05/04,11,45,144
2016/05/05,11,45,147
2016/05/06,11,44,145
2016/05/07,11,44,144
2016/05/08,11,44,144
2016/05/09,12,42,146
2016/05/10,11,40,146
2016/05/11,11,39,142
2016/05/12,12,37,143
2016/05/13,11,36,142
2016/05/14,12,36,140
2016/05/15,12,36,139
2016/05/16,11,36,140
2016/05/17,11,37,137
2016/05/18,11,37,138
2016/05/19,12,37,137
2016/05/20,12,35,141
2016/05/21,12,36,144
2016/05/22,12,33,142
2016/05/23,12,34,149
2016/05/24,11,34,146
2016/05/25,10,32,146
2016/05/26,10,33,145
2016/05/27,10,32,143
2016/05/28,10,33,144
2016/05/29,9,35,141
2016/05/30,10,35,141
2016/05/31,10,34,140
2016/06/01,9,33,141
2016/06/02,9,33,140
2016/06/03,10,33,135
2016/06/04,10,33,134
2016/06/05,10,33,135
2016/06/06,11,32,137
2016/06/07,11,32,139
2016/06/08,10,34,139
2016/06/09,10,35,139
2016/06/10,11,34,140
2016/06/11,10,34,140
2016/06/12,11,33,139
2016/06/13,11,32,140
2016/06/14,11,36,140
2016/06/15,11,36,142
2016/06/16,11,35,145
2016/06/17,11,35,147
2016/06/18,11,33,142
2016/06/19,11,33,145
2016/06/20,11,31,141
2016/06/21,11,32,143
2016/06/22,11,33,140
2016/06/23,11,34,139
2016/06/24,11,34,142
2016/06/25,11,35,139
2016/06/26,11,38,141
2016/06/27,11,37,143
2016/06/28,11,36,145
2016/06/29,11,35,142
2016/06/30,11,34,142
2016/07/01,11,35,145
2016/07/02,11,36,146
2016/07/03,11,35,149
2016/07/04,11,35,149
2016/07/05,11,35,149
2016/07/06,11,34,153
2016/07/07,11,34,150
2016/07/08,11,36,150
2016/07/09,11,36,148
