date,lbwiki (100+),lbwiki (5+),lbwiki (all)
2015/07/27,6,28,68
2015/07/28,6,29,70
2015/07/29,6,29,71
2015/07/30,6,29,71
2015/07/31,6,28,71
2015/08/01,6,29,70
2015/08/02,6,29,73
2015/08/03,6,29,73
2015/08/04,6,28,76
2015/08/05,6,28,75
2015/08/06,7,28,76
2015/08/07,8,28,78
2015/08/08,8,29,77
2015/08/09,8,30,76
2015/08/10,8,30,77
2015/08/11,9,30,78
2015/08/12,9,32,75
2015/08/13,8,30,74
2015/08/14,8,29,76
2015/08/15,8,28,78
2015/08/16,7,30,80
2015/08/17,6,30,83
2015/08/18,6,30,82
2015/08/19,6,29,82
2015/08/20,6,26,85
2015/08/21,6,27,87
2015/08/22,6,27,87
2015/08/23,7,28,89
2015/08/24,7,28,89
2015/08/25,7,28,88
2015/08/26,7,27,84
2015/08/27,7,27,85
2015/08/28,7,28,86
2015/08/29,7,28,83
2015/08/30,7,28,82
2015/08/31,6,28,83
2015/09/01,6,27,80
2015/09/02,6,27,82
2015/09/03,7,27,84
2015/09/04,7,27,84
2015/09/05,7,28,83
2015/09/06,6,27,82
2015/09/07,7,26,79
2015/09/08,6,24,80
2015/09/09,6,24,81
2015/09/10,6,24,79
2015/09/11,6,24,77
2015/09/12,6,22,75
2015/09/13,5,22,77
2015/09/14,5,22,75
2015/09/15,5,22,75
2015/09/16,5,22,71
2015/09/17,5,22,69
2015/09/18,5,21,71
2015/09/19,6,21,68
2015/09/20,5,20,71
2015/09/21,5,22,70
2015/09/22,6,22,69
2015/09/23,7,22,71
2015/09/24,6,22,72
2015/09/25,6,21,71
2015/09/26,6,20,70
2015/09/27,6,20,71
2015/09/28,6,20,72
2015/09/29,6,21,73
2015/09/30,6,21,73
2015/10/01,6,21,72
2015/10/02,6,21,72
2015/10/03,6,21,68
2015/10/04,6,21,68
2015/10/05,6,21,69
2015/10/06,6,22,70
2015/10/07,6,22,70
2015/10/08,6,23,70
2015/10/09,6,23,70
2015/10/10,6,24,71
2015/10/11,6,25,72
2015/10/12,6,25,72
2015/10/13,6,25,70
2015/10/14,6,23,71
2015/10/15,6,23,73
2015/10/16,6,23,74
2015/10/17,6,24,77
2015/10/18,6,24,76
2015/10/19,6,24,77
2015/10/20,7,23,72
2015/10/21,7,22,72
2015/10/22,7,23,73
2015/10/23,7,23,71
2015/10/24,7,23,71
2015/10/25,6,24,72
2015/10/26,6,24,72
2015/10/27,6,23,69
2015/10/28,6,23,68
2015/10/29,6,22,65
2015/10/30,6,22,63
2015/10/31,7,22,62
2015/11/01,7,23,62
2015/11/02,7,25,64
2015/11/03,7,27,64
2015/11/04,6,27,64
2015/11/05,6,26,68
2015/11/06,6,27,69
2015/11/07,7,28,70
2015/11/08,7,28,69
2015/11/09,8,29,67
2015/11/10,8,27,70
2015/11/11,8,26,69
2015/11/12,8,26,70
2015/11/13,8,26,66
2015/11/14,8,25,67
2015/11/15,8,24,68
2015/11/16,8,23,66
2015/11/17,8,24,66
2015/11/18,8,27,67
2015/11/19,8,28,72
2015/11/20,8,28,72
2015/11/21,8,27,69
2015/11/22,8,27,74
2015/11/23,8,27,75
2015/11/24,8,28,77
2015/11/25,8,27,75
2015/11/26,8,26,76
2015/11/27,8,26,77
2015/11/28,7,25,77
2015/11/29,7,26,79
2015/11/30,7,26,81
2015/12/01,7,26,79
2015/12/02,7,25,79
2015/12/03,7,27,77
2015/12/04,8,28,78
2015/12/05,7,28,74
2015/12/06,8,27,75
2015/12/07,7,28,73
2015/12/08,7,29,76
2015/12/09,7,29,78
2015/12/10,7,29,75
2015/12/11,7,28,74
2015/12/12,7,27,73
2015/12/13,7,27,74
2015/12/14,7,27,72
2015/12/15,6,26,73
2015/12/16,6,27,77
2015/12/17,6,25,78
2016/01/18,6,25,87
2016/01/19,6,25,84
2016/01/20,5,25,85
2016/01/21,5,25,85
2016/01/22,5,25,86
2016/01/23,5,26,85
2016/01/24,4,26,85
2016/01/25,4,27,83
2016/01/26,4,27,83
2016/01/27,4,26,83
2016/01/28,4,26,81
2016/01/29,4,26,75
2016/01/30,4,27,73
2016/01/31,4,27,71
2016/02/01,4,27,74
2016/02/02,4,27,71
2016/02/03,4,26,72
2016/02/04,4,23,67
2016/02/05,4,22,63
2016/02/06,4,20,61
2016/02/07,4,21,62
2016/02/08,4,21,60
2016/02/09,4,22,57
2016/02/10,4,23,56
2016/02/11,4,23,55
2016/02/12,4,23,54
2016/02/13,4,24,54
2016/02/14,4,24,57
2016/02/15,4,24,59
2016/02/16,4,24,59
2016/02/17,4,23,59
2016/02/18,4,22,58
2016/02/19,4,22,58
2016/02/20,4,22,59
2016/02/21,4,21,59
2016/02/22,4,21,63
2016/02/23,4,22,63
2016/02/24,4,23,62
2016/02/25,4,22,64
2016/02/26,4,22,64
2016/02/27,4,22,67
2016/02/28,4,23,69
2016/02/29,4,21,70
2016/03/01,4,21,70
2016/03/02,4,21,73
2016/03/03,4,22,74
2016/03/04,4,22,75
2016/03/05,4,20,74
2016/03/06,4,20,74
2016/03/07,4,20,74
2016/03/08,4,20,70
2016/03/09,4,20,70
2016/03/10,4,20,72
2016/03/11,4,19,71
2016/03/12,4,19,71
2016/03/13,4,19,74
2016/03/14,4,19,76
2016/03/15,4,20,75
2016/03/16,4,19,73
2016/03/17,4,19,73
2016/03/18,4,18,70
2016/03/19,4,18,71
2016/03/20,4,18,70
2016/03/21,5,19,70
2016/03/22,5,20,71
2016/03/23,5,20,67
2016/03/24,5,20,68
2016/03/25,5,21,69
2016/03/26,4,21,70
2016/03/27,4,22,67
2016/03/28,5,22,65
2016/03/29,6,23,66
2016/03/30,5,23,65
2016/03/31,5,23,67
2016/04/01,5,23,61
2016/04/02,5,22,64
2016/04/03,5,21,64
2016/04/04,5,21,65
2016/04/05,5,21,69
2016/04/06,5,21,69
2016/04/07,5,21,71
2016/04/08,5,20,72
2016/04/09,5,20,71
2016/04/10,5,20,71
2016/04/11,6,20,69
2016/04/12,6,20,67
2016/04/13,5,20,66
2016/04/14,5,19,67
2016/04/15,5,19,67
2016/04/16,5,19,67
2016/04/17,5,19,66
2016/04/18,4,18,66
2016/04/19,4,20,65
2016/04/20,3,19,64
2016/04/21,3,20,63
2016/04/22,3,20,64
2016/04/23,3,19,65
2016/04/24,3,19,64
2016/04/25,3,19,64
2016/04/26,3,19,64
2016/04/27,3,18,63
2016/04/28,3,18,60
2016/04/29,3,18,59
2016/04/30,3,18,58
2016/05/01,4,18,61
2016/05/02,4,18,58
2016/05/03,4,18,58
2016/05/04,4,18,57
2016/05/05,5,19,56
2016/05/06,5,19,56
2016/05/07,5,19,57
2016/05/08,5,19,55
2016/05/09,5,17,56
2016/05/10,5,17,57
2016/05/11,4,18,58
2016/05/12,4,19,58
2016/05/13,4,19,58
2016/05/14,4,19,59
2016/05/15,4,19,60
2016/05/16,4,22,61
2016/05/17,4,22,62
2016/05/18,4,22,63
2016/05/19,4,22,63
2016/05/20,4,22,64
2016/05/21,4,22,65
2016/05/22,4,22,66
2016/05/23,4,21,65
2016/05/24,3,22,67
2016/05/25,3,23,67
2016/05/26,3,22,70
2016/05/27,3,22,69
2016/05/28,3,21,69
2016/05/29,3,21,71
2016/05/30,3,21,70
2016/05/31,3,21,69
2016/06/01,3,22,72
2016/06/02,3,22,74
2016/06/03,3,21,74
2016/06/04,3,20,76
2016/06/05,4,21,76
2016/06/06,4,20,75
2016/06/07,4,21,75
2016/06/08,4,23,75
2016/06/09,4,22,71
2016/06/10,4,21,69
2016/06/11,5,21,71
2016/06/12,5,21,73
2016/06/13,5,21,69
2016/06/14,5,21,67
2016/06/15,4,20,65
2016/06/16,4,20,64
2016/06/17,4,18,63
