date,abwiki (100+),abwiki (5+),abwiki (all)
2015/11/06,1,2,9
2015/11/07,1,2,9
2015/11/08,1,2,10
2015/11/09,1,2,10
2015/11/10,1,2,10
2015/11/11,1,2,10
2015/11/12,1,1,10
2015/11/13,,,10
2015/11/14,,,10
2015/11/15,,,12
2015/11/16,,,12
2015/11/17,,,12
2015/11/18,,,12
2015/11/19,,,11
2015/11/20,,,10
2015/11/21,,,10
2015/11/22,,,10
2015/11/23,,,9
2015/11/24,,,9
2015/11/25,,,9
2015/11/26,,,8
2015/11/27,,,8
2015/11/28,,,7
2015/11/29,,,7
2015/11/30,,,8
2015/12/01,,,8
2015/12/02,,,8
2015/12/03,,,8
2015/12/04,,,9
2015/12/05,,,10
2015/12/06,,,9
2015/12/07,,,10
2015/12/08,,,9
2015/12/09,,,9
2015/12/10,,,9
2015/12/11,,,9
2015/12/12,,,10
2015/12/13,,,10
2015/12/14,,,10
2015/12/15,,,9
2015/12/16,,,9
2015/12/17,,,9
2016/01/18,,2,12
2016/01/19,,2,12
2016/01/20,,2,12
2016/01/21,,2,11
2016/01/22,,2,11
2016/01/23,,2,11
2016/01/24,,2,11
2016/01/25,,2,10
2016/01/26,,2,10
2016/01/27,,2,11
2016/01/28,,2,9
2016/01/29,,2,9
2016/01/30,,2,10
2016/01/31,,2,10
2016/02/01,,2,10
2016/02/02,,3,10
2016/02/03,,3,10
2016/02/04,,3,10
2016/02/05,,3,11
2016/02/06,,3,11
2016/02/07,,3,11
2016/02/08,,3,11
2016/02/09,,4,11
2016/02/10,,4,12
2016/02/11,,4,12
2016/02/12,,2,9
2016/02/13,,2,9
2016/02/14,,2,9
2016/02/15,,2,9
2016/02/16,,2,10
2016/02/17,,2,10
2016/02/18,,2,10
2016/02/19,,2,10
2016/02/20,,2,11
2016/02/21,,2,10
2016/02/22,,2,10
2016/02/23,,2,10
2016/02/24,,2,11
2016/02/25,,2,11
2016/02/26,,2,11
2016/02/27,,2,10
2016/02/28,,2,11
2016/02/29,,2,11
2016/03/01,,2,11
2016/03/02,,2,11
2016/03/03,,2,12
2016/03/04,,1,12
2016/03/05,,1,12
2016/03/06,,1,11
2016/03/07,,1,11
2016/03/08,,1,12
2016/03/09,,1,12
2016/03/10,,1,12
2016/03/11,,2,11
2016/03/12,,2,11
2016/03/13,,2,11
2016/03/14,,2,11
2016/03/15,,2,11
2016/03/16,,2,11
2016/03/17,,2,10
2016/03/18,,2,10
2016/03/19,,3,11
2016/03/20,,3,12
2016/03/21,,3,11
2016/03/22,,3,11
2016/03/23,,3,11
2016/03/24,,3,12
2016/03/25,,3,11
2016/03/26,,3,11
2016/03/27,,3,12
2016/03/28,,3,12
2016/03/29,,3,11
2016/03/30,,3,12
2016/03/31,,3,12
2016/04/01,,3,13
2016/04/02,,3,12
2016/04/03,,3,10
2016/04/04,,3,10
2016/04/05,,3,10
2016/04/06,,3,11
2016/04/07,,3,12
2016/04/08,,3,13
2016/04/09,,3,13
2016/04/10,,3,14
2016/04/11,,3,13
2016/04/12,,3,14
2016/04/13,,3,14
2016/04/14,,3,14
2016/04/15,,3,15
2016/04/16,,3,15
2016/04/17,,3,15
2016/04/18,,2,16
2016/04/19,,1,14
2016/04/20,,1,14
2016/04/21,,1,14
2016/04/22,,1,14
2016/04/23,,1,13
2016/04/24,,1,13
2016/04/25,,1,14
2016/04/26,,1,13
2016/04/27,,1,14
2016/04/28,,1,14
2016/04/29,,1,12
2016/04/30,,1,12
2016/05/01,,1,12
2016/05/02,,1,12
2016/05/03,,,12
2016/05/04,,,13
2016/05/05,,1,16
2016/05/06,,2,15
2016/05/07,,2,14
2016/05/08,,2,12
2016/05/09,,2,13
2016/05/10,,2,12
2016/05/11,,2,12
2016/05/12,,2,12
2016/05/13,,2,12
2016/05/14,,2,12
2016/05/15,,2,11
2016/05/16,,2,11
2016/05/17,,2,11
2016/05/18,,2,10
2016/05/19,,2,10
2016/05/20,,2,10
2016/05/21,,2,11
2016/05/22,,2,11
2016/05/23,,2,11
2016/05/24,,2,11
2016/05/25,,2,11
2016/05/26,,2,12
2016/05/27,,2,13
2016/05/28,,3,13
2016/05/29,,3,13
2016/05/30,,3,13
2016/05/31,,3,12
2016/06/01,,3,12
2016/06/02,,3,12
2016/06/03,,3,12
2016/06/04,,2,9
2016/06/05,,1,8
2016/06/06,,1,8
2016/06/07,,1,10
2016/06/08,,1,10
2016/06/09,,1,8
2016/06/10,,1,9
2016/06/11,,1,8
2016/06/12,,1,8
2016/06/13,,1,8
2016/06/14,,1,9
2016/06/15,,1,9
2016/06/16,,1,11
2016/06/17,,1,11
2016/06/18,,1,11
2016/06/19,,1,11
2016/06/20,,1,10
2016/06/21,,1,10
2016/06/22,,1,10
2016/06/23,,1,10
2016/06/24,,1,10
2016/06/25,,1,9
2016/06/26,,1,9
2016/06/27,,,8
2016/06/28,,,8
2016/06/29,,,9
2016/06/30,,,9
2016/07/01,,,9
2016/07/02,,,9
2016/07/03,,,9
2016/07/04,,,9
2016/07/05,,1,9
2016/07/06,,1,9
2016/07/07,,1,7
2016/07/08,,1,7
2016/07/09,,1,7
2016/07/10,,1,7
2016/07/11,,1,8
2016/07/12,,1,8
2016/07/13,,1,8
2016/07/14,,1,9
2016/07/15,,1,9
2016/07/16,,1,7
2016/07/17,,1,7
2016/07/18,,1,8
2016/07/19,,1,9
2016/07/20,,1,9
2016/07/21,,1,9
2016/07/22,,1,9
2016/07/23,,1,9
2016/07/24,,1,8
2016/07/25,,1,8
2016/07/26,,1,8
2016/07/27,,1,8
2016/07/28,,1,8
2016/07/29,,1,8
2016/07/30,,1,8
2016/07/31,,1,8
2016/08/01,,1,8
2016/08/02,,2,9
2016/08/03,,2,11
2016/08/04,,2,11
2016/08/05,,2,12
2016/08/06,,2,12
2016/08/07,,2,13
2016/08/08,,2,14
2016/08/09,,2,14
2016/08/10,,2,13
2016/08/11,,1,12
2016/08/12,,1,12
2016/08/13,,1,11
2016/08/14,,1,11
2016/08/15,,1,11
2016/08/16,,1,12
2016/08/17,,1,11
2016/08/18,,2,11
2016/08/19,,2,11
2016/08/20,,2,11
2016/08/21,,2,11
2016/08/22,,2,11
2016/08/23,,2,11
2016/08/24,,2,11
2016/08/25,,3,12
2016/08/26,,3,12
2016/08/27,,3,13
2016/08/28,,3,13
2016/08/29,,3,13
2016/08/30,,3,13
2016/08/31,,3,12
2016/09/01,,3,12
2016/09/02,,2,12
2016/09/03,,2,12
2016/09/04,,2,11
2016/09/05,,2,12
2016/09/06,,2,12
2016/09/07,,2,10
2016/09/08,,2,11
2016/09/09,,2,11
2016/09/10,,2,10
2016/09/11,,2,9
2016/09/12,,2,9
2016/09/13,,2,9
2016/09/14,,2,9
2016/09/15,,2,9
2016/09/16,,2,9
2016/09/17,,2,9
2016/09/18,,2,10
2016/09/19,,2,10
2016/09/20,,2,10
2016/09/21,,2,10
2016/09/22,,2,10
2016/09/23,,2,10
2016/09/24,,2,8
2016/09/25,,2,8
2016/09/26,,1,7
2016/09/27,,1,7
2016/09/28,,1,7
2016/09/29,,1,7
2016/09/30,,1,7
2016/10/01,,1,7
2016/10/02,,1,7
2016/10/03,,1,7
2016/10/04,,1,7
2016/10/05,,1,5
