date,suwiki (100+),suwiki (5+),suwiki (all)
2015/08/27,6,21,42
2015/08/28,6,22,42
2015/08/29,6,22,43
2015/08/30,6,21,41
2015/08/31,6,21,43
2015/09/01,6,20,41
2015/09/02,5,18,39
2015/09/03,5,18,40
2015/09/04,5,18,41
2015/09/05,4,17,40
2015/09/06,2,17,40
2015/09/07,2,16,39
2015/09/08,2,15,39
2015/09/09,2,14,39
2015/09/10,2,14,39
2015/09/11,2,12,38
2015/09/12,2,12,36
2015/09/13,2,12,37
2015/09/14,2,13,37
2015/09/15,2,13,38
2015/09/16,2,13,38
2015/09/17,2,13,38
2015/09/18,2,13,39
2015/09/19,2,13,38
2015/09/20,2,13,38
2015/09/21,2,13,38
2015/09/22,2,13,39
2015/09/23,2,13,37
2015/09/24,2,14,36
2015/09/25,2,13,35
2015/09/26,2,13,33
2015/09/27,2,13,33
2015/09/28,2,13,33
2015/09/29,2,12,33
2015/09/30,2,11,31
2015/10/01,2,10,32
2015/10/02,2,10,31
2015/10/03,2,10,31
2015/10/04,2,8,29
2015/10/05,2,9,30
2015/10/06,2,8,29
2015/10/07,2,8,29
2015/10/08,2,7,28
2015/10/09,2,7,28
2015/10/10,2,7,28
2015/10/11,2,7,28
2015/10/12,2,7,27
2015/10/13,2,7,28
2015/10/14,2,6,26
2015/10/15,2,7,25
2015/10/16,2,7,27
2015/10/17,2,7,27
2015/10/18,2,7,26
2015/10/19,2,7,28
2015/10/20,2,7,28
2015/10/21,2,8,28
2015/10/22,2,8,27
2015/10/23,2,8,28
2015/10/24,2,8,30
2015/10/25,2,8,30
2015/10/26,2,9,30
2015/10/27,2,9,31
2015/10/28,2,9,30
2015/10/29,2,9,30
2015/10/30,2,9,27
2015/10/31,2,9,25
2015/11/01,2,9,25
2015/11/02,2,7,25
2015/11/03,2,9,26
2015/11/04,2,8,25
2015/11/05,2,9,25
2015/11/06,2,8,24
2015/11/07,2,10,24
2015/11/08,2,10,24
2015/11/09,2,11,25
2015/11/10,2,11,27
2015/11/11,2,11,27
2015/11/12,2,12,27
2015/11/13,3,12,28
2015/11/14,3,12,29
2015/11/15,3,11,29
2015/11/16,3,11,28
2015/11/17,3,11,29
2015/11/18,3,11,28
2015/11/19,3,11,29
2015/11/20,3,11,28
2015/11/21,3,11,29
2015/11/22,3,11,28
2015/11/23,3,11,26
2015/11/24,3,10,26
2015/11/25,3,10,26
2015/11/26,3,12,27
2015/11/27,3,12,28
2015/11/28,3,10,27
2015/11/29,3,10,27
2015/11/30,3,10,27
2015/12/01,3,10,27
2015/12/02,3,10,29
2015/12/03,3,10,28
2015/12/04,2,10,30
2015/12/05,2,10,31
2015/12/06,2,11,33
2015/12/07,2,10,35
2015/12/08,2,13,39
2015/12/09,2,14,40
2015/12/10,2,15,40
2015/12/11,2,15,42
2015/12/12,2,14,42
2015/12/13,2,14,43
2015/12/14,2,15,42
2015/12/15,2,16,43
2015/12/16,2,17,43
2015/12/17,2,17,46
2016/01/18,3,10,32
2016/01/19,3,9,32
2016/01/20,3,9,33
2016/01/21,3,9,33
2016/01/22,3,8,31
2016/01/23,3,8,31
2016/01/24,3,10,33
2016/01/25,3,9,33
2016/01/26,2,9,32
2016/01/27,2,9,32
2016/01/28,2,8,30
2016/01/29,2,8,28
2016/01/30,2,8,27
2016/01/31,2,9,30
2016/02/01,3,10,30
2016/02/02,3,11,31
2016/02/03,3,11,29
2016/02/04,3,11,29
2016/02/05,3,11,30
2016/02/06,3,11,30
2016/02/07,3,11,31
2016/02/08,3,12,30
2016/02/09,3,12,30
2016/02/10,3,12,29
2016/02/11,3,12,28
2016/02/12,3,12,28
2016/02/13,3,12,28
2016/02/14,3,12,28
2016/02/15,3,12,29
2016/02/16,3,12,29
2016/02/17,3,12,29
2016/02/18,3,12,29
2016/02/19,3,12,27
2016/02/20,3,12,28
2016/02/21,3,12,30
2016/02/22,3,14,32
2016/02/23,3,13,32
2016/02/24,3,12,30
2016/02/25,3,11,29
2016/02/26,3,12,30
2016/02/27,3,12,29
2016/02/28,3,12,29
2016/02/29,3,12,29
2016/03/01,3,12,29
2016/03/02,2,13,30
2016/03/03,2,12,29
2016/03/04,2,12,30
2016/03/05,2,12,30
2016/03/06,2,12,30
2016/03/07,3,12,29
2016/03/08,3,12,31
2016/03/09,3,12,29
2016/03/10,3,12,30
2016/03/11,3,11,30
2016/03/12,4,11,28
2016/03/13,4,11,29
2016/03/14,4,11,30
2016/03/15,5,11,30
2016/03/16,5,12,31
2016/03/17,5,14,32
2016/03/18,5,14,32
2016/03/19,5,14,31
2016/03/20,5,14,31
2016/03/21,5,14,31
2016/03/22,5,14,28
2016/03/23,5,13,28
2016/03/24,5,13,29
2016/03/25,5,14,29
2016/03/26,5,14,30
2016/03/27,5,15,29
2016/03/28,5,15,29
2016/03/29,5,15,29
2016/03/30,5,15,31
2016/03/31,5,15,31
2016/04/01,4,15,33
2016/04/02,4,15,33
2016/04/03,4,15,33
2016/04/04,4,15,33
2016/04/05,3,15,34
2016/04/06,2,16,36
2016/04/07,2,16,35
2016/04/08,3,16,37
2016/04/09,2,16,36
2016/04/10,2,16,36
2016/04/11,1,16,38
2016/04/12,1,16,37
2016/04/13,1,17,37
2016/04/14,1,17,37
2016/04/15,1,15,34
2016/04/16,1,15,34
2016/04/17,,13,35
2016/04/18,,12,35
2016/04/19,,12,35
2016/04/20,,11,34
2016/04/21,,11,34
2016/04/22,,11,36
2016/04/23,,11,36
2016/04/24,,10,35
2016/04/25,1,10,36
2016/04/26,1,11,37
2016/04/27,1,10,37
2016/04/28,1,10,37
2016/04/29,1,10,36
2016/04/30,1,8,34
2016/05/01,1,8,32
2016/05/02,1,8,32
2016/05/03,1,8,33
2016/05/04,1,8,34
2016/05/05,1,8,34
2016/05/06,1,7,32
2016/05/07,1,7,31
2016/05/08,1,7,29
2016/05/09,1,7,29
2016/05/10,1,7,31
2016/05/11,1,7,29
2016/05/12,1,8,30
2016/05/13,1,8,30
2016/05/14,2,8,31
2016/05/15,2,8,31
2016/05/16,2,8,30
2016/05/17,2,8,29
2016/05/18,2,8,30
2016/05/19,2,8,32
2016/05/20,1,8,32
2016/05/21,1,7,31
2016/05/22,1,7,29
2016/05/23,1,7,28
2016/05/24,2,7,27
2016/05/25,2,7,25
2016/05/26,2,6,23
2016/05/27,2,6,23
2016/05/28,2,6,23
2016/05/29,2,6,23
2016/05/30,2,6,23
2016/05/31,2,6,25
2016/06/01,2,7,27
2016/06/02,2,8,28
2016/06/03,2,9,27
2016/06/04,2,9,27
2016/06/05,2,9,27
2016/06/06,2,10,28
2016/06/07,2,10,28
2016/06/08,2,10,28
2016/06/09,2,9,28
2016/06/10,2,10,29
2016/06/11,2,9,30
2016/06/12,2,9,31
2016/06/13,2,9,32
2016/06/14,1,9,32
2016/06/15,1,9,32
2016/06/16,1,9,32
2016/06/17,1,9,32
2016/06/18,1,9,30
2016/06/19,1,9,31
2016/06/20,1,9,31
2016/06/21,1,8,32
2016/06/22,1,9,31
2016/06/23,,10,33
2016/06/24,,10,33
2016/06/25,,9,31
2016/06/26,,9,31
2016/06/27,,9,30
2016/06/28,,10,30
2016/06/29,,10,30
2016/06/30,,10,30
2016/07/01,1,9,30
2016/07/02,1,9,27
2016/07/03,1,9,27
2016/07/04,1,9,26
2016/07/05,1,9,27
2016/07/06,1,8,25
2016/07/07,1,8,25
2016/07/08,1,8,25
2016/07/09,1,8,24
2016/07/10,1,8,24
2016/07/11,1,8,22
2016/07/12,1,8,22
2016/07/13,1,8,19
2016/07/14,1,8,19
2016/07/15,1,8,19
2016/07/16,1,8,21
2016/07/17,1,9,20
2016/07/18,1,9,20
2016/07/19,1,9,21
2016/07/20,,9,22
2016/07/21,,8,22
2016/07/22,,7,21
2016/07/23,,6,21
2016/07/24,,6,21
2016/07/25,,5,21
2016/07/26,,4,20
2016/07/27,,4,20
2016/07/28,1,5,19
2016/07/29,1,5,22
2016/07/30,1,5,21
2016/07/31,1,5,21
2016/08/01,1,5,22
2016/08/02,1,6,23
2016/08/03,1,7,24
2016/08/04,1,7,24
2016/08/05,1,7,26
2016/08/06,1,8,26
2016/08/07,1,8,26
2016/08/08,1,7,27
2016/08/09,1,7,28
2016/08/10,1,7,28
2016/08/11,1,7,29
2016/08/12,1,7,29
2016/08/13,1,6,29
2016/08/14,1,6,32
2016/08/15,1,7,33
2016/08/16,1,6,33
2016/08/17,1,6,33
2016/08/18,1,6,32
2016/08/19,1,6,31
2016/08/20,1,6,31
2016/08/21,1,6,33
2016/08/22,1,6,32
2016/08/23,1,6,33
2016/08/24,1,6,34
2016/08/25,1,6,34
2016/08/26,1,6,35
2016/08/27,,6,34
2016/08/28,,6,34
2016/08/29,,6,33
2016/08/30,,6,32
2016/08/31,1,7,33
2016/09/01,1,6,34
2016/09/02,1,5,33
2016/09/03,1,5,31
2016/09/04,1,5,31
2016/09/05,1,5,31
2016/09/06,1,5,33
2016/09/07,1,5,32
2016/09/08,1,5,32
2016/09/09,1,5,32
2016/09/10,1,5,31
2016/09/11,1,5,31
2016/09/12,1,5,30
2016/09/13,1,5,27
2016/09/14,1,5,25
2016/09/15,1,5,24
2016/09/16,1,5,23
2016/09/17,1,4,23
2016/09/18,1,4,22
2016/09/19,1,4,22
2016/09/20,1,4,20
2016/09/21,1,4,22
2016/09/22,1,5,23
2016/09/23,1,5,22
2016/09/24,1,6,24
2016/09/25,1,6,23
2016/09/26,1,6,23
2016/09/27,1,6,22
2016/09/28,1,6,23
2016/09/29,1,7,24
2016/09/30,1,6,21
2016/10/01,1,7,21
2016/10/02,1,7,23
2016/10/03,1,7,25
2016/10/04,1,8,26
2016/10/05,1,8,27
2016/10/06,1,8,26
2016/10/07,1,8,28
2016/10/08,1,8,27
2016/10/09,1,8,28
2016/10/10,1,8,29
2016/10/11,1,8,30
2016/10/12,1,8,31
2016/10/13,1,8,32
2016/10/14,1,8,32
2016/10/15,1,7,34
2016/10/16,1,7,32
2016/10/17,1,7,32
2016/10/18,1,7,31
2016/10/19,1,7,31
2016/10/20,1,7,33
2016/10/21,1,7,31
2016/10/22,1,6,31
2016/10/23,1,4,30
2016/10/24,1,4,29
2016/10/25,1,4,29
2016/10/26,1,4,29
2016/10/27,1,5,30
2016/10/28,1,5,29
2016/10/29,1,4,30
2016/10/30,1,4,32
2016/10/31,,3,33
2016/11/01,,3,29
2016/11/02,,5,27
2016/11/03,,4,28
2016/11/04,,4,27
2016/11/05,,4,26
2016/11/06,,4,25
2016/11/07,,4,26
2016/11/08,,4,26
2016/11/09,,4,26
2016/11/10,,4,26
2016/11/11,,4,25
2016/11/12,,4,25
2016/11/13,,4,25
