date,wuuwiki (100+),wuuwiki (5+),wuuwiki (all)
2015/09/23,1,11,47
2015/09/24,1,12,51
2015/09/25,2,12,54
2015/09/26,2,13,56
2015/09/27,2,14,60
2015/09/28,2,13,58
2015/09/29,2,14,59
2015/09/30,2,14,59
2015/10/01,2,14,57
2015/10/02,2,15,57
2015/10/03,2,14,58
2015/10/04,2,13,59
2015/10/05,2,12,62
2015/10/06,2,12,61
2015/10/07,2,12,60
2015/10/08,2,11,60
2015/10/09,2,13,63
2015/10/10,2,14,69
2015/10/11,2,14,72
2015/10/12,2,14,74
2015/10/13,2,14,76
2015/10/14,1,15,85
2015/10/15,2,16,89
2015/10/16,2,16,88
2015/10/17,2,15,91
2015/10/18,2,15,91
2015/10/19,2,15,91
2015/10/20,2,16,93
2015/10/21,2,16,96
2015/10/22,2,15,98
2015/10/23,2,14,99
2015/10/24,2,14,98
2015/10/25,2,14,96
2015/10/26,2,15,98
2015/10/27,2,17,104
2015/10/28,,17,102
2015/10/29,,18,105
2015/10/30,1,17,107
2015/10/31,2,18,114
2015/11/01,1,18,118
2015/11/02,3,19,118
2015/11/03,2,19,115
2015/11/04,2,20,116
2015/11/05,2,20,119
2015/11/06,2,20,119
2015/11/07,2,21,117
2015/11/08,2,19,115
2015/11/09,2,19,108
2015/11/10,2,19,105
2015/11/11,2,20,104
2015/11/12,2,20,102
2015/11/13,1,20,95
2015/11/14,1,19,90
2015/11/15,1,19,88
2015/11/16,1,19,84
2015/11/17,1,19,82
2015/11/18,1,19,81
2015/11/19,1,18,81
2015/11/20,1,20,80
2015/11/21,2,20,79
2015/11/22,2,20,78
2015/11/23,2,21,77
2015/11/24,2,21,76
2015/11/25,2,19,78
2015/11/26,2,17,82
2015/11/27,2,20,88
2015/11/28,2,20,84
2015/11/29,2,20,83
2015/11/30,2,20,78
2015/12/01,2,20,83
2015/12/02,2,20,89
2015/12/03,3,22,100
2015/12/04,3,19,97
2015/12/05,3,21,99
2015/12/06,3,20,100
2015/12/07,3,20,100
2015/12/08,3,22,104
2015/12/09,3,22,106
2015/12/10,3,22,105
2015/12/11,3,23,107
2015/12/12,3,23,114
2015/12/13,3,23,113
2015/12/14,3,23,115
2015/12/15,3,23,122
2015/12/16,3,23,132
2015/12/17,3,25,139
2016/01/18,3,37,116
2016/01/19,3,39,118
2016/01/20,3,42,122
2016/01/21,3,44,120
2016/01/22,3,46,121
2016/01/23,3,46,118
2016/01/24,3,45,112
2016/01/25,3,45,110
2016/01/26,3,45,106
2016/01/27,3,45,104
2016/01/28,3,43,102
2016/01/29,3,43,100
2016/01/30,3,43,98
2016/01/31,3,42,99
2016/02/01,3,41,98
2016/02/02,3,39,97
2016/02/03,3,40,98
2016/02/04,3,39,95
2016/02/05,3,39,92
2016/02/06,3,39,91
2016/02/07,3,39,89
2016/02/08,3,38,85
2016/02/09,3,37,83
2016/02/10,3,38,82
2016/02/11,3,37,79
2016/02/12,3,36,77
2016/02/13,2,35,75
2016/02/14,2,33,74
2016/02/15,2,33,75
2016/02/16,2,35,77
2016/02/17,2,36,78
2016/02/18,2,33,75
2016/02/19,2,32,72
2016/02/20,2,31,70
2016/02/21,2,29,71
2016/02/22,2,26,68
2016/02/23,2,25,70
2016/02/24,2,29,74
2016/02/25,2,34,79
2016/02/26,2,38,89
2016/02/27,2,40,93
2016/02/28,2,42,94
2016/02/29,2,42,93
2016/03/01,2,43,93
2016/03/02,2,45,102
2016/03/03,2,45,100
2016/03/04,2,49,105
2016/03/05,2,50,107
2016/03/06,2,53,110
2016/03/07,2,53,112
2016/03/08,2,53,112
2016/03/09,2,54,117
2016/03/10,1,57,121
2016/03/11,1,58,122
2016/03/12,1,60,124
2016/03/13,1,61,127
2016/03/14,2,62,128
2016/03/15,2,65,135
2016/03/16,2,69,142
2016/03/17,2,69,142
2016/03/18,2,72,148
2016/03/19,2,74,152
2016/03/20,2,73,155
2016/03/21,2,72,155
2016/03/22,3,71,148
2016/03/23,3,73,153
2016/03/24,3,73,152
2016/03/25,3,70,152
2016/03/26,3,66,149
2016/03/27,3,64,142
2016/03/28,3,64,139
2016/03/29,3,66,143
2016/03/30,3,65,144
2016/03/31,3,66,146
2016/04/01,3,66,144
2016/04/02,2,69,148
2016/04/03,2,65,144
2016/04/04,2,66,143
2016/04/05,2,63,140
2016/04/06,2,65,141
2016/04/07,2,68,143
2016/04/08,2,69,140
2016/04/09,2,69,141
2016/04/10,2,67,138
2016/04/11,2,66,138
2016/04/12,2,66,140
2016/04/13,2,66,141
2016/04/14,2,63,137
2016/04/15,2,60,130
2016/04/16,2,60,128
2016/04/17,2,56,120
2016/04/18,2,53,111
2016/04/19,2,53,108
2016/04/20,2,57,114
2016/04/21,2,59,121
2016/04/22,2,58,117
2016/04/23,2,63,123
2016/04/24,2,64,125
2016/04/25,2,67,123
2016/04/26,2,69,127
2016/04/27,2,70,129
2016/04/28,2,69,128
2016/04/29,2,69,125
2016/04/30,2,69,123
2016/05/01,2,66,121
2016/05/02,2,63,114
2016/05/03,2,64,114
2016/05/04,2,64,117
2016/05/05,2,70,121
2016/05/06,1,75,131
2016/05/07,2,73,131
2016/05/08,2,70,127
2016/05/09,1,67,123
2016/05/10,1,68,125
2016/05/11,3,69,127
2016/05/12,3,67,124
2016/05/13,3,66,128
2016/05/14,3,66,129
2016/05/15,3,66,130
2016/05/16,3,68,130
2016/05/17,3,69,135
2016/05/18,3,68,137
2016/05/19,3,69,142
2016/05/20,4,68,142
2016/05/21,3,68,139
2016/05/22,3,66,140
2016/05/23,3,63,136
2016/05/24,3,64,138
2016/05/25,4,65,138
2016/05/26,4,65,139
2016/05/27,4,65,138
2016/05/28,4,66,142
2016/05/29,4,66,145
2016/05/30,4,65,145
2016/05/31,4,70,152
2016/06/01,4,71,155
2016/06/02,4,76,162
2016/06/03,4,78,167
2016/06/04,4,74,165
2016/06/05,4,67,152
2016/06/06,4,67,148
2016/06/07,4,69,153
2016/06/08,4,70,155
2016/06/09,4,74,159
2016/06/10,2,71,155
2016/06/11,2,72,154
2016/06/12,2,71,152
2016/06/13,2,71,148
2016/06/14,2,72,152
2016/06/15,2,74,156
2016/06/16,2,74,151
2016/06/17,2,74,149
2016/06/18,2,77,147
2016/06/19,2,74,146
2016/06/20,2,74,145
2016/06/21,2,71,142
2016/06/22,2,71,140
2016/06/23,2,72,140
2016/06/24,2,69,140
2016/06/25,2,70,136
2016/06/26,2,69,136
2016/06/27,2,67,131
2016/06/28,2,64,134
2016/06/29,2,65,132
2016/06/30,2,67,126
2016/07/01,2,69,130
2016/07/02,2,66,129
2016/07/03,2,67,128
2016/07/04,2,66,125
2016/07/05,2,68,127
2016/07/06,2,67,130
2016/07/07,2,64,125
2016/07/08,2,62,122
2016/07/09,1,61,123
2016/07/10,1,61,122
2016/07/11,1,62,123
2016/07/12,1,64,125
2016/07/13,1,65,126
2016/07/14,1,66,123
2016/07/15,1,62,120
2016/07/16,1,62,122
2016/07/17,1,61,120
2016/07/18,1,56,116
2016/07/19,1,58,116
2016/07/20,1,58,115
2016/07/21,1,60,118
2016/07/22,1,61,117
2016/07/23,1,63,118
2016/07/24,1,61,114
2016/07/25,1,61,112
2016/07/26,1,62,113
2016/07/27,1,61,116
2016/07/28,1,59,113
2016/07/29,1,56,110
2016/07/30,1,55,109
2016/07/31,1,54,108
2016/08/01,1,51,100
2016/08/02,1,48,96
2016/08/03,1,49,97
2016/08/04,1,48,97
2016/08/05,1,48,99
2016/08/06,1,48,101
2016/08/07,1,49,102
2016/08/08,1,44,94
2016/08/09,1,46,97
2016/08/10,1,48,100
2016/08/11,1,46,98
2016/08/12,1,46,95
2016/08/13,1,44,96
2016/08/14,1,42,93
2016/08/15,1,40,88
2016/08/16,1,41,90
2016/08/17,1,43,92
2016/08/18,1,40,89
2016/08/19,1,42,94
2016/08/20,1,42,93
2016/08/21,1,41,90
2016/08/22,,38,87
2016/08/23,,38,88
2016/08/24,1,39,91
2016/08/25,1,39,90
2016/08/26,1,42,95
2016/08/27,1,44,96
2016/08/28,1,41,93
2016/08/29,1,39,92
2016/08/30,1,40,94
2016/08/31,1,40,96
2016/09/01,1,41,96
2016/09/02,1,41,95
2016/09/03,1,40,95
2016/09/04,1,39,90
2016/09/05,1,39,88
2016/09/06,1,38,91
2016/09/07,1,41,95
2016/09/08,1,40,96
2016/09/09,1,38,94
2016/09/10,1,37,94
2016/09/11,1,36,90
2016/09/12,1,38,89
2016/09/13,1,38,90
2016/09/14,1,41,93
2016/09/15,1,41,95
2016/09/16,1,39,92
2016/09/17,1,38,91
2016/09/18,,37,86
2016/09/19,,37,83
2016/09/20,,39,86
2016/09/21,,40,87
2016/09/22,,44,93
2016/09/23,,44,91
2016/09/24,,42,89
2016/09/25,,40,84
2016/09/26,,39,84
2016/09/27,,49,105
2016/09/28,,50,111
2016/09/29,1,50,108
2016/09/30,1,49,108
2016/10/01,1,47,109
2016/10/02,2,45,106
2016/10/03,2,45,107
2016/10/04,2,45,108
2016/10/05,2,45,110
2016/10/06,2,45,106
2016/10/07,1,43,105
2016/10/08,1,41,101
2016/10/09,2,43,100
2016/10/10,2,44,103
2016/10/11,2,43,103
2016/10/12,2,43,103
2016/10/13,2,45,104
2016/10/14,2,46,105
2016/10/15,4,43,100
2016/10/16,4,43,99
2016/10/17,4,43,100
2016/10/18,4,42,99
2016/10/19,4,41,98
2016/10/20,4,39,95
2016/10/21,4,37,92
2016/10/22,4,34,87
2016/10/23,4,33,88
2016/10/24,4,33,88
2016/10/25,4,32,85
2016/10/26,4,31,82
2016/10/27,4,20,66
2016/10/28,4,18,52
2016/10/29,4,17,50
2016/10/30,4,17,46
2016/10/31,4,16,42
2016/11/01,4,16,42
2016/11/02,4,16,39
2016/11/03,4,17,40
2016/11/04,4,16,38
2016/11/05,3,16,38
2016/11/06,3,16,37
2016/11/07,3,16,37
2016/11/08,3,15,34
2016/11/09,3,13,29
2016/11/10,3,14,29
2016/11/11,3,12,24
2016/11/12,3,10,20
2016/11/13,3,9,19
2016/11/14,3,9,21
2016/11/15,3,10,22
2016/11/16,3,10,22
2016/11/17,3,11,23
2016/11/18,3,11,22
2016/11/19,2,11,22
2016/11/20,2,12,23
2016/11/21,2,12,23
2016/11/22,2,13,19
2016/11/23,2,12,22
2016/11/24,2,14,22
2016/11/25,2,14,22
2016/11/26,2,14,22
2016/11/27,2,14,22
2016/11/28,2,14,22
2016/11/29,2,14,23
2016/11/30,2,14,23
2016/12/01,2,14,24
2016/12/02,2,14,24
2016/12/03,1,13,22
2016/12/04,1,13,23
2016/12/05,1,14,24
2016/12/06,1,12,22
2016/12/07,1,11,24
2016/12/08,1,11,25
2016/12/09,1,11,25
2016/12/10,1,9,24
2016/12/11,1,10,24
2016/12/12,1,10,24
2016/12/13,1,10,23
2016/12/14,1,9,21
2016/12/15,1,8,21
2016/12/16,1,8,21
2016/12/17,1,7,21
2016/12/18,1,7,21
2016/12/19,1,7,22
2016/12/20,1,6,21
2016/12/21,1,8,24
2016/12/22,1,7,24
2016/12/23,1,8,22
2016/12/24,1,7,21
2016/12/25,1,7,21
2016/12/26,1,7,20
2016/12/27,1,7,21
2016/12/28,1,7,21
2016/12/29,1,7,20
2016/12/30,1,7,19
2016/12/31,1,7,19
2017/01/01,1,7,19
2017/01/02,1,6,18
2017/01/03,1,6,17
2017/01/04,1,5,15
2017/01/05,1,5,16
2017/01/06,,5,15
2017/01/07,,5,14
2017/01/08,1,5,15
2017/01/09,1,5,15
2017/01/10,,5,15
2017/01/11,,5,15
2017/01/12,,5,15
2017/01/13,,5,15
2017/01/14,,5,15
2017/01/15,,5,13
2017/01/16,,5,13
2017/01/17,,6,15
2017/01/18,,6,15
2017/01/19,,6,15
2017/01/20,,4,11
2017/01/21,,4,11
2017/01/22,,3,12
2017/01/23,,2,12
2017/01/24,,2,13
2017/01/25,,2,13
2017/01/26,,3,14
2017/01/27,,4,14
2017/01/28,,4,14
2017/01/29,,4,14
2017/01/30,,4,13
2017/01/31,,4,14
2017/02/01,,4,13
2017/02/02,,4,13
2017/02/03,,4,13
2017/02/04,1,4,12
2017/02/05,1,4,13
2017/02/06,1,4,14
2017/02/07,1,5,14
2017/02/08,1,5,14
2017/02/09,1,5,14
2017/02/10,1,5,14
2017/02/11,1,5,14
2017/02/12,1,5,15
2017/02/13,1,5,15
2017/02/14,1,5,15
2017/02/15,1,5,15
2017/02/16,1,4,13
2017/02/17,1,4,14
2017/02/18,1,4,15
2017/02/19,1,4,16
2017/02/20,1,4,16
2017/02/21,1,4,14
2017/02/22,1,5,14
2017/02/23,1,5,13
2017/02/24,1,5,14
2017/02/25,,4,14
2017/02/26,,3,13
2017/02/27,,3,13
2017/02/28,,3,13
2017/03/01,,3,13
2017/03/02,,3,12
2017/03/03,,3,13
2017/03/04,,4,13
2017/03/05,,4,13
2017/03/06,,4,13
2017/03/07,,4,13
2017/03/08,,4,12
2017/03/09,,4,12
2017/03/10,,4,12
2017/03/11,,4,13
2017/03/12,,4,14
2017/03/13,,4,14
2017/03/14,,4,13
2017/03/15,,4,13
2017/03/16,,4,13
2017/03/17,,4,13
2017/03/18,,4,13
2017/03/19,,4,13
2017/03/20,,4,13
2017/03/21,,4,12
2017/03/22,,4,14
2017/03/23,,4,14
2017/03/24,,3,14
2017/03/25,,2,14
2017/03/26,,2,14
2017/03/27,,2,14
