date,astwiki (100+),astwiki (5+),astwiki (all)
2015/08/01,,11,51
2015/08/02,,12,50
2015/08/03,,12,49
2015/08/04,,12,48
2015/08/05,,12,49
2015/08/06,1,13,51
2015/08/07,1,13,50
2015/08/08,1,12,50
2015/08/09,1,12,51
2015/08/10,1,12,50
2015/08/11,1,12,48
2015/08/12,1,12,47
2015/08/13,1,12,46
2015/08/14,2,12,48
2015/08/15,2,12,48
2015/08/16,2,12,48
2015/08/17,2,12,49
2015/08/18,2,12,49
2015/08/19,2,12,50
2015/08/20,2,11,51
2015/08/21,2,11,51
2015/08/22,2,12,52
2015/08/23,2,12,51
2015/08/24,2,12,52
2015/08/25,2,12,53
2015/08/26,2,12,54
2015/08/27,2,10,56
2015/08/28,2,10,56
2015/08/29,2,10,54
2015/08/30,2,10,55
2015/08/31,2,11,57
2015/09/01,2,11,54
2015/09/02,2,12,58
2015/09/03,2,12,61
2015/09/04,2,13,62
2015/09/05,1,12,61
2015/09/06,1,13,63
2015/09/07,1,13,63
2015/09/08,1,14,64
2015/09/09,2,14,61
2015/09/10,2,14,62
2015/09/11,2,14,64
2015/09/12,2,14,61
2015/09/13,1,14,59
2015/09/14,1,16,61
2015/09/15,1,16,60
2015/09/16,1,15,60
2015/09/17,1,15,64
2015/09/18,1,14,63
2015/09/19,1,14,63
2015/09/20,1,14,64
2015/09/21,1,12,63
2015/09/22,1,12,64
2015/09/23,1,12,65
2015/09/24,1,12,65
2015/09/25,1,12,65
2015/09/26,1,12,61
2015/09/27,1,11,63
2015/09/28,1,11,64
2015/09/29,1,11,64
2015/09/30,1,11,61
2015/10/01,1,11,60
2015/10/02,1,11,58
2015/10/03,1,11,59
2015/10/04,1,10,57
2015/10/05,2,10,62
2015/10/06,2,10,63
2015/10/07,2,11,62
2015/10/08,2,11,60
2015/10/09,1,11,60
2015/10/10,1,12,62
2015/10/11,1,15,65
2015/10/12,1,15,66
2015/10/13,1,16,67
2015/10/14,2,14,65
2015/10/15,2,14,66
2015/10/16,2,14,63
2015/10/17,2,14,58
2015/10/18,2,15,59
2015/10/19,2,15,59
2015/10/20,2,15,59
2015/10/21,2,14,57
2015/10/22,3,16,59
2015/10/23,3,16,62
2015/10/24,3,19,65
2015/10/25,3,22,70
2015/10/26,3,24,72
2015/10/27,3,25,73
2015/10/28,3,26,72
2015/10/29,3,26,72
2015/10/30,3,26,74
2015/10/31,4,26,76
2015/11/01,4,26,80
2015/11/02,5,25,78
2015/11/03,5,27,81
2015/11/04,5,26,78
2015/11/05,5,24,78
2015/11/06,4,25,77
2015/11/07,4,25,77
2015/11/08,4,27,79
2015/11/09,4,25,76
2015/11/10,3,23,79
2015/11/11,3,23,78
2015/11/12,3,22,80
2015/11/13,3,23,81
2015/11/14,4,26,86
2015/11/15,4,26,89
2015/11/16,4,27,90
2015/11/17,4,26,89
2015/11/18,4,26,89
2015/11/19,4,26,89
2015/11/20,4,26,90
2015/11/21,4,26,88
2015/11/22,4,25,89
2015/11/23,4,23,83
2015/11/24,4,22,79
2015/11/25,4,21,81
2015/11/26,4,22,80
2015/11/27,4,22,81
2015/11/28,4,23,82
2015/11/29,4,23,83
2015/11/30,4,21,83
2015/12/01,4,22,81
2015/12/02,4,23,81
2015/12/03,4,23,83
2015/12/04,4,22,84
2015/12/05,4,24,87
2015/12/06,4,22,89
2015/12/07,4,24,89
2015/12/08,4,23,90
2015/12/09,4,24,89
2015/12/10,4,24,87
2015/12/11,4,23,87
2015/12/12,4,23,84
2015/12/13,4,23,85
2015/12/14,4,22,83
2015/12/15,5,22,80
2015/12/16,5,21,78
2015/12/17,5,21,78
2016/01/18,3,21,83
2016/01/19,2,19,82
2016/01/20,2,20,81
2016/01/21,2,20,77
2016/01/22,3,18,76
2016/01/23,3,19,77
2016/01/24,3,19,80
2016/01/25,3,18,80
2016/01/26,3,18,81
2016/01/27,3,18,82
2016/01/28,3,18,82
2016/01/29,3,18,81
2016/01/30,3,18,79
2016/01/31,3,17,80
2016/02/01,3,17,83
2016/02/02,3,18,87
2016/02/03,3,18,87
2016/02/04,3,18,86
2016/02/05,3,20,85
2016/02/06,3,19,77
2016/02/07,3,18,78
2016/02/08,3,17,74
2016/02/09,3,16,74
2016/02/10,3,15,79
2016/02/11,3,14,77
2016/02/12,3,15,76
2016/02/13,3,15,76
2016/02/14,3,15,76
2016/02/15,3,16,77
2016/02/16,3,16,77
2016/02/17,3,17,75
2016/02/18,2,16,74
2016/02/19,2,18,73
2016/02/20,2,16,75
2016/02/21,2,17,76
2016/02/22,2,17,75
2016/02/23,2,17,74
2016/02/24,2,17,75
2016/02/25,2,17,74
2016/02/26,2,17,74
2016/02/27,2,17,73
2016/02/28,2,17,74
2016/02/29,2,18,75
2016/03/01,2,18,77
2016/03/02,2,18,73
2016/03/03,2,18,73
2016/03/04,2,18,74
2016/03/05,2,19,78
2016/03/06,2,18,79
2016/03/07,2,17,82
2016/03/08,2,18,79
2016/03/09,1,18,81
2016/03/10,1,18,79
2016/03/11,1,18,76
2016/03/12,1,16,75
2016/03/13,1,16,77
2016/03/14,1,16,75
2016/03/15,1,16,75
2016/03/16,,15,73
2016/03/17,,15,76
2016/03/18,,14,79
2016/03/19,,14,79
2016/03/20,,12,79
2016/03/21,,11,73
2016/03/22,,9,71
2016/03/23,,8,71
2016/03/24,,8,73
2016/03/25,,8,71
2016/03/26,,8,71
2016/03/27,,8,69
2016/03/28,,8,67
2016/03/29,,8,71
2016/03/30,,9,70
2016/03/31,,9,68
2016/04/01,,9,68
2016/04/02,,9,67
2016/04/03,,10,68
2016/04/04,,12,68
2016/04/05,,13,68
2016/04/06,,14,70
2016/04/07,,14,68
2016/04/08,,14,68
2016/04/09,,16,70
2016/04/10,1,17,70
2016/04/11,1,19,75
2016/04/12,1,19,76
2016/04/13,1,19,74
2016/04/14,1,19,74
2016/04/15,1,19,76
2016/04/16,1,19,73
2016/04/17,1,19,71
2016/04/18,1,20,73
2016/04/19,1,23,72
2016/04/20,1,23,74
2016/04/21,1,24,74
2016/04/22,1,26,78
2016/04/23,1,26,78
2016/04/24,1,26,78
2016/04/25,1,25,80
2016/04/26,1,25,80
2016/04/27,1,25,82
2016/04/28,1,26,80
2016/04/29,1,26,78
2016/04/30,1,26,79
2016/05/01,1,25,80
2016/05/02,1,26,80
2016/05/03,1,24,77
2016/05/04,1,23,74
2016/05/05,1,24,75
2016/05/06,1,23,74
2016/05/07,1,22,77
2016/05/08,1,23,82
2016/05/09,1,20,85
2016/05/10,,19,82
2016/05/11,,19,78
2016/05/12,,18,76
2016/05/13,,18,77
2016/05/14,,19,79
2016/05/15,,19,81
2016/05/16,,21,81
2016/05/17,,21,80
2016/05/18,,21,79
2016/05/19,,20,84
2016/05/20,,19,81
2016/05/21,,19,83
2016/05/22,,15,79
2016/05/23,,13,78
2016/05/24,,12,79
2016/05/25,1,12,79
2016/05/26,1,13,80
2016/05/27,1,12,80
2016/05/28,1,12,79
2016/05/29,1,12,81
2016/05/30,2,13,80
2016/05/31,2,13,79
2016/06/01,2,12,79
2016/06/02,2,12,82
2016/06/03,2,11,80
2016/06/04,2,11,79
2016/06/05,2,13,75
2016/06/06,2,14,75
2016/06/07,2,14,72
2016/06/08,2,14,67
2016/06/09,2,14,71
2016/06/10,2,14,74
2016/06/11,2,14,73
2016/06/12,2,14,77
2016/06/13,2,13,75
2016/06/14,2,14,74
2016/06/15,2,13,74
2016/06/16,2,13,73
2016/06/17,2,13,75
2016/06/18,2,13,73
2016/06/19,2,13,73
2016/06/20,2,13,73
2016/06/21,2,13,73
2016/06/22,2,13,75
2016/06/23,2,13,75
2016/06/24,2,11,77
2016/06/25,2,12,77
2016/06/26,2,12,76
2016/06/27,2,14,75
2016/06/28,2,14,74
2016/06/29,2,13,73
2016/06/30,1,11,73
2016/07/01,1,11,71
2016/07/02,1,11,73
2016/07/03,1,11,73
2016/07/04,1,13,70
2016/07/05,1,13,73
2016/07/06,1,14,73
2016/07/07,1,13,74
2016/07/08,1,14,73
2016/07/09,1,14,72
2016/07/10,1,14,71
2016/07/11,1,14,73
2016/07/12,1,14,70
2016/07/13,1,13,72
2016/07/14,1,15,76
2016/07/15,2,16,81
2016/07/16,2,16,82
2016/07/17,3,16,78
2016/07/18,3,17,79
2016/07/19,4,18,80
2016/07/20,4,19,78
2016/07/21,4,19,77
2016/07/22,4,21,78
2016/07/23,4,22,79
2016/07/24,4,22,77
2016/07/25,4,22,76
2016/07/26,4,25,79
2016/07/27,5,25,81
2016/07/28,5,25,80
2016/07/29,5,26,84
2016/07/30,5,26,88
2016/07/31,5,26,87
2016/08/01,5,25,89
2016/08/02,5,25,91
2016/08/03,5,24,91
2016/08/04,5,27,92
2016/08/05,5,27,90
2016/08/06,5,27,91
2016/08/07,5,27,92
2016/08/08,5,30,93
2016/08/09,6,30,92
2016/08/10,6,30,89
2016/08/11,6,31,86
2016/08/12,6,31,86
2016/08/13,6,29,84
2016/08/14,6,26,79
2016/08/15,6,26,80
2016/08/16,6,26,80
2016/08/17,6,26,81
2016/08/18,5,26,81
2016/08/19,5,26,84
2016/08/20,5,27,83
2016/08/21,5,26,81
2016/08/22,5,26,80
2016/08/23,5,25,80
2016/08/24,5,26,82
2016/08/25,5,25,80
2016/08/26,5,23,76
2016/08/27,5,23,76
2016/08/28,5,22,75
2016/08/29,5,20,72
2016/08/30,5,20,71
2016/08/31,5,20,70
2016/09/01,6,21,69
2016/09/02,6,21,70
2016/09/03,6,20,69
2016/09/04,6,21,68
2016/09/05,6,20,66
2016/09/06,6,19,63
2016/09/07,5,17,65
2016/09/08,5,16,67
2016/09/09,5,15,67
2016/09/10,5,15,67
2016/09/11,5,17,66
2016/09/12,5,17,65
2016/09/13,5,17,65
2016/09/14,4,16,63
2016/09/15,4,16,64
2016/09/16,4,17,64
2016/09/17,4,17,66
2016/09/18,4,17,64
2016/09/19,5,17,64
2016/09/20,4,18,64
2016/09/21,4,18,65
2016/09/22,4,19,67
2016/09/23,4,18,68
2016/09/24,4,19,67
2016/09/25,3,19,69
2016/09/26,3,20,70
2016/09/27,3,20,71
2016/09/28,3,24,70
2016/09/29,3,24,70
2016/09/30,3,23,69
2016/10/01,3,22,68
2016/10/02,3,22,65
2016/10/03,2,19,67
2016/10/04,2,18,70
2016/10/05,2,19,70
2016/10/06,2,19,72
2016/10/07,2,19,69
2016/10/08,2,19,68
2016/10/09,2,18,76
2016/10/10,2,17,77
2016/10/11,2,16,78
2016/10/12,2,17,77
2016/10/13,2,16,78
2016/10/14,2,15,79
2016/10/15,2,15,75
2016/10/16,2,16,74
2016/10/17,2,16,73
2016/10/18,1,16,71
2016/10/19,1,14,70
2016/10/20,1,14,70
2016/10/21,1,14,70
2016/10/22,1,14,72
2016/10/23,1,14,72
2016/10/24,1,14,74
2016/10/25,1,11,71
2016/10/26,1,9,69
2016/10/27,1,8,69
2016/10/28,1,8,68
2016/10/29,1,8,66
2016/10/30,1,8,65
2016/10/31,1,8,67
2016/11/01,1,9,68
2016/11/02,1,9,67
2016/11/03,1,9,64
2016/11/04,1,10,67
2016/11/05,1,10,67
2016/11/06,2,11,67
2016/11/07,2,11,67
2016/11/08,2,11,57
2016/11/09,2,11,57
2016/11/10,2,11,56
2016/11/11,2,10,56
2016/11/12,1,10,55
2016/11/13,2,10,58
2016/11/14,2,10,58
2016/11/15,2,11,60
2016/11/16,2,11,59
2016/11/17,2,12,62
2016/11/18,3,12,62
2016/11/19,2,12,60
2016/11/20,2,12,61
2016/11/21,2,12,58
2016/11/22,2,12,57
2016/11/23,2,12,54
2016/11/24,2,12,55
2016/11/25,2,12,57
2016/11/26,2,12,55
2016/11/27,2,13,58
2016/11/28,2,14,58
2016/11/29,2,14,61
2016/11/30,2,15,62
2016/12/01,2,15,60
2016/12/02,2,15,61
2016/12/03,2,14,62
2016/12/04,2,14,62
2016/12/05,3,14,59
2016/12/06,3,14,61
2016/12/07,3,13,57
2016/12/08,3,14,58
2016/12/09,3,14,57
2016/12/10,3,14,56
2016/12/11,3,14,55
2016/12/12,3,14,55
2016/12/13,3,13,54
2016/12/14,3,13,54
2016/12/15,2,12,55
2016/12/16,2,12,56
2016/12/17,2,13,55
2016/12/18,2,13,55
2016/12/19,2,13,57
2016/12/20,2,13,60
2016/12/21,2,13,60
2016/12/22,2,13,61
2016/12/23,2,14,61
2016/12/24,2,14,60
2016/12/25,2,14,58
2016/12/26,2,15,60
2016/12/27,2,15,60
2016/12/28,2,14,62
2016/12/29,2,14,60
2016/12/30,2,16,63
2016/12/31,2,16,62
2017/01/01,2,16,59
2017/01/02,2,16,59
2017/01/03,2,16,62
2017/01/04,1,15,62
2017/01/05,1,16,63
2017/01/06,1,17,63
2017/01/07,1,17,62
2017/01/08,1,17,62
2017/01/09,1,17,64
2017/01/10,1,17,64
2017/01/11,1,17,65
2017/01/12,1,17,67
2017/01/13,1,17,68
2017/01/14,1,17,70
2017/01/15,1,17,69
2017/01/16,1,17,69
2017/01/17,1,17,69
2017/01/18,1,17,69
2017/01/19,1,18,67
2017/01/20,1,19,68
2017/01/21,1,21,71
2017/01/22,1,21,72
2017/01/23,1,21,72
2017/01/24,1,21,72
2017/01/25,1,22,73
2017/01/26,1,21,71
2017/01/27,1,21,70
2017/01/28,2,21,70
2017/01/29,2,21,69
2017/01/30,2,21,71
2017/01/31,2,22,72
2017/02/01,2,22,70
2017/02/02,2,22,69
2017/02/03,3,22,67
2017/02/04,3,22,68
2017/02/05,3,22,67
2017/02/06,3,22,68
2017/02/07,3,20,69
2017/02/08,3,20,69
2017/02/09,3,21,71
2017/02/10,3,20,71
2017/02/11,3,20,68
2017/02/12,3,21,70
2017/02/13,3,20,69
2017/02/14,3,20,69
2017/02/15,3,22,70
2017/02/16,3,22,70
2017/02/17,3,22,73
2017/02/18,2,22,72
2017/02/19,2,23,74
2017/02/20,2,21,73
2017/02/21,2,20,74
2017/02/22,2,21,76
2017/02/23,2,21,76
2017/02/24,2,21,74
2017/02/25,2,22,75
2017/02/26,3,23,72
2017/02/27,3,23,72
2017/02/28,3,22,75
2017/03/01,3,23,73
2017/03/02,3,23,72
