date,cewiki (100+),cewiki (5+),cewiki (all)
2015/07/30,3,4,30
2015/07/31,3,4,30
2015/08/01,3,4,28
2015/08/02,2,4,29
2015/08/03,2,4,30
2015/08/04,2,4,29
2015/08/05,2,4,29
2015/08/06,2,5,28
2015/08/07,2,5,28
2015/08/08,2,5,25
2015/08/09,2,5,26
2015/08/10,2,5,26
2015/08/11,2,5,25
2015/08/12,2,5,24
2015/08/13,2,4,23
2015/08/14,2,5,23
2015/08/15,2,5,23
2015/08/16,2,6,23
2015/08/17,2,6,23
2015/08/18,2,6,23
2015/08/19,2,6,23
2015/08/20,2,6,24
2015/08/21,2,7,23
2015/08/22,2,7,22
2015/08/23,2,7,22
2015/08/24,2,7,21
2015/08/25,2,7,21
2015/08/26,2,7,20
2015/08/27,2,7,20
2015/08/28,2,7,20
2015/08/29,2,7,20
2015/08/30,2,7,20
2015/08/31,2,7,22
2015/09/01,2,7,22
2015/09/02,2,6,22
2015/09/03,2,6,21
2015/09/04,2,6,21
2015/09/05,2,5,20
2015/09/06,2,5,21
2015/09/07,2,5,24
2015/09/08,2,6,24
2015/09/09,2,7,23
2015/09/10,3,7,25
2015/09/11,3,7,26
2015/09/12,3,7,26
2015/09/13,3,7,26
2015/09/14,3,8,28
2015/09/15,3,8,29
2015/09/16,3,8,30
2015/09/17,3,8,30
2015/09/18,3,8,29
2015/09/19,3,8,28
2015/09/20,3,7,30
2015/09/21,3,7,31
2015/09/22,3,7,31
2015/09/23,3,7,31
2015/09/24,3,7,30
2015/09/25,3,8,30
2015/09/26,3,9,31
2015/09/27,3,9,32
2015/09/28,3,9,32
2015/09/29,3,9,32
2015/09/30,3,9,32
2015/10/01,3,9,35
2015/10/02,3,9,35
2015/10/03,3,9,35
2015/10/04,3,9,38
2015/10/05,3,9,38
2015/10/06,3,9,38
2015/10/07,3,9,35
2015/10/08,3,9,35
2015/10/09,3,9,35
2015/10/10,3,9,34
2015/10/11,3,8,34
2015/10/12,3,8,33
2015/10/13,3,7,31
2015/10/14,3,7,28
2015/10/15,3,6,28
2015/10/16,3,6,26
2015/10/17,2,6,24
2015/10/18,2,6,25
2015/10/19,2,6,27
2015/10/20,2,6,25
2015/10/21,2,5,25
2015/10/22,2,5,25
2015/10/23,2,5,25
2015/10/24,2,5,24
2015/10/25,2,5,23
2015/10/26,2,4,21
2015/10/27,2,4,21
2015/10/28,2,4,21
2015/10/29,2,3,20
2015/10/30,2,3,18
2015/10/31,2,4,17
2015/11/01,2,5,16
2015/11/02,2,5,17
2015/11/03,2,6,17
2015/11/04,2,6,17
2015/11/05,2,6,18
2015/11/06,2,6,20
2015/11/07,3,8,22
2015/11/08,3,9,23
2015/11/09,3,9,24
2015/11/10,3,9,24
2015/11/11,3,9,25
2015/11/12,3,10,25
2015/11/13,3,10,26
2015/11/14,3,9,27
2015/11/15,3,9,27
2015/11/16,3,9,27
2015/11/17,3,9,27
2015/11/18,4,9,25
2015/11/19,4,9,25
2015/11/20,4,9,25
2015/11/21,4,9,25
2015/11/22,4,10,25
2015/11/23,4,10,25
2015/11/24,4,10,25
2015/11/25,4,10,26
2015/11/26,4,10,26
2015/11/27,4,10,25
2015/11/28,4,10,25
2015/11/29,4,10,26
2015/11/30,4,9,25
2015/12/01,4,8,25
2015/12/02,4,8,24
2015/12/03,4,8,23
2015/12/04,4,8,25
2015/12/05,4,7,22
2015/12/06,4,7,21
2015/12/07,4,7,22
2015/12/08,4,7,21
2015/12/09,3,6,20
2015/12/10,3,6,20
2015/12/11,3,5,20
2015/12/12,3,5,20
2015/12/13,3,6,20
2015/12/14,2,6,20
2015/12/15,2,6,21
2015/12/16,3,6,21
2015/12/17,3,6,20
2016/01/18,1,5,25
2016/01/19,1,5,26
2016/01/20,1,4,24
2016/01/21,1,5,23
2016/01/22,1,5,21
2016/01/23,1,6,22
2016/01/24,1,7,23
2016/01/25,1,7,23
2016/01/26,1,7,23
2016/01/27,2,7,24
2016/01/28,2,8,23
2016/01/29,2,8,25
2016/01/30,2,8,25
2016/01/31,2,8,26
2016/02/01,2,9,27
2016/02/02,2,10,28
2016/02/03,2,10,29
2016/02/04,2,11,29
2016/02/05,2,11,28
2016/02/06,2,11,28
2016/02/07,2,10,26
2016/02/08,2,9,26
2016/02/09,2,9,24
2016/02/10,2,10,25
2016/02/11,2,10,24
2016/02/12,2,10,24
2016/02/13,2,10,24
2016/02/14,2,10,24
2016/02/15,2,10,26
2016/02/16,2,10,26
2016/02/17,2,10,26
2016/02/18,2,10,25
2016/02/19,2,10,25
2016/02/20,2,10,26
2016/02/21,2,10,26
2016/02/22,2,10,25
2016/02/23,2,10,26
2016/02/24,2,9,26
2016/02/25,2,9,26
2016/02/26,2,9,25
2016/02/27,2,8,24
2016/02/28,2,8,23
2016/02/29,2,8,23
2016/03/01,2,8,22
2016/03/02,2,8,22
2016/03/03,2,7,21
2016/03/04,2,6,21
2016/03/05,2,6,20
2016/03/06,2,5,20
2016/03/07,2,5,21
2016/03/08,2,5,21
2016/03/09,3,6,22
2016/03/10,3,6,22
2016/03/11,3,6,22
2016/03/12,3,6,20
2016/03/13,2,6,21
2016/03/14,2,6,22
2016/03/15,2,6,22
2016/03/16,2,6,20
2016/03/17,2,6,22
2016/03/18,3,7,21
2016/03/19,3,7,21
2016/03/20,3,7,21
2016/03/21,3,7,20
2016/03/22,3,7,21
2016/03/23,3,7,21
2016/03/24,4,7,21
2016/03/25,4,7,23
2016/03/26,4,11,28
2016/03/27,4,13,30
2016/03/28,4,14,31
2016/03/29,4,15,30
2016/03/30,4,15,31
2016/03/31,4,15,31
2016/04/01,4,15,31
2016/04/02,4,15,32
2016/04/03,4,15,33
2016/04/04,4,15,33
2016/04/05,4,15,33
2016/04/06,4,15,33
2016/04/07,4,15,33
2016/04/08,4,15,32
2016/04/09,4,15,33
2016/04/10,4,15,32
2016/04/11,4,15,32
2016/04/12,4,15,31
2016/04/13,4,15,30
2016/04/14,4,15,30
2016/04/15,4,15,30
2016/04/16,4,15,30
2016/04/17,3,14,30
2016/04/18,3,14,29
2016/04/19,3,14,30
2016/04/20,2,14,30
2016/04/21,2,14,29
2016/04/22,2,15,29
2016/04/23,2,15,30
2016/04/24,2,15,28
2016/04/25,2,11,27
2016/04/26,2,9,25
2016/04/27,1,8,24
2016/04/28,1,7,24
2016/04/29,1,7,23
2016/04/30,1,7,23
2016/05/01,1,6,24
2016/05/02,1,6,24
2016/05/03,1,7,22
2016/05/04,1,8,23
2016/05/05,1,7,24
2016/05/06,1,7,23
2016/05/07,1,7,23
2016/05/08,1,7,23
2016/05/09,1,7,23
2016/05/10,1,7,23
2016/05/11,1,7,23
2016/05/12,1,7,25
2016/05/13,1,7,25
2016/05/14,1,7,24
2016/05/15,1,7,24
2016/05/16,1,7,23
2016/05/17,1,8,23
2016/05/18,1,8,23
2016/05/19,1,8,24
2016/05/20,1,8,25
2016/05/21,2,8,26
2016/05/22,2,8,29
2016/05/23,2,8,29
2016/05/24,2,8,30
2016/05/25,1,8,27
2016/05/26,1,8,25
2016/05/27,1,8,25
2016/05/28,1,8,25
2016/05/29,1,8,25
2016/05/30,1,8,25
2016/05/31,1,8,25
2016/06/01,1,9,25
2016/06/02,1,9,25
2016/06/03,1,9,27
2016/06/04,1,8,24
2016/06/05,1,8,26
2016/06/06,1,9,26
2016/06/07,1,9,28
2016/06/08,1,9,28
2016/06/09,1,9,29
2016/06/10,1,9,29
2016/06/11,1,9,27
2016/06/12,1,9,27
2016/06/13,1,9,27
2016/06/14,1,9,26
2016/06/15,1,9,26
2016/06/16,1,9,27
2016/06/17,1,9,28
2016/06/18,1,9,27
2016/06/19,1,9,27
2016/06/20,1,10,26
2016/06/21,1,10,25
2016/06/22,1,10,24
2016/06/23,1,10,24
2016/06/24,1,10,24
2016/06/25,1,10,24
2016/06/26,1,10,25
2016/06/27,1,10,25
2016/06/28,1,10,25
2016/06/29,1,10,26
2016/06/30,2,9,26
2016/07/01,2,9,28
2016/07/02,2,9,29
2016/07/03,2,8,29
2016/07/04,2,8,30
2016/07/05,2,8,28
2016/07/06,2,7,27
2016/07/07,2,7,26
2016/07/08,2,6,27
2016/07/09,2,6,26
2016/07/10,2,6,26
2016/07/11,2,5,26
2016/07/12,2,5,26
2016/07/13,2,5,26
2016/07/14,2,5,26
2016/07/15,2,5,27
2016/07/16,2,5,27
2016/07/17,2,4,26
2016/07/18,2,4,26
2016/07/19,2,5,27
2016/07/20,2,5,26
2016/07/21,2,5,25
2016/07/22,2,5,28
2016/07/23,2,5,27
2016/07/24,2,5,27
2016/07/25,2,5,26
2016/07/26,2,5,25
2016/07/27,2,5,28
2016/07/28,2,5,28
2016/07/29,2,5,29
2016/07/30,2,6,29
2016/07/31,2,6,27
2016/08/01,2,6,26
2016/08/02,2,6,25
2016/08/03,2,6,23
2016/08/04,2,6,22
2016/08/05,2,6,22
2016/08/06,2,7,23
2016/08/07,2,7,24
2016/08/08,2,7,25
2016/08/09,2,7,25
2016/08/10,2,7,25
2016/08/11,2,7,24
2016/08/12,2,6,24
2016/08/13,2,8,25
2016/08/14,2,8,25
2016/08/15,2,8,27
2016/08/16,2,8,26
2016/08/17,2,8,26
2016/08/18,2,7,25
2016/08/19,2,8,25
2016/08/20,2,8,25
2016/08/21,2,8,22
2016/08/22,2,8,22
2016/08/23,2,8,22
2016/08/24,3,8,22
2016/08/25,3,9,22
2016/08/26,3,9,20
2016/08/27,3,9,21
2016/08/28,3,9,20
2016/08/29,3,9,23
2016/08/30,2,8,22
2016/08/31,2,8,22
2016/09/01,2,9,23
2016/09/02,2,9,23
2016/09/03,1,10,25
2016/09/04,1,10,26
2016/09/05,1,10,27
2016/09/06,1,10,23
2016/09/07,1,10,23
2016/09/08,1,11,25
2016/09/09,1,11,25
2016/09/10,2,11,25
2016/09/11,2,10,27
2016/09/12,1,8,26
2016/09/13,1,7,26
2016/09/14,1,7,24
2016/09/15,1,7,24
2016/09/16,1,7,25
2016/09/17,1,7,25
2016/09/18,1,7,26
2016/09/19,1,7,26
2016/09/20,1,7,26
