date,mywiki (100+),mywiki (5+),mywiki (all)
2015/08/16,3,19,64
2015/08/17,3,20,61
2015/08/18,3,20,58
2015/08/19,3,20,59
2015/08/20,3,20,60
2015/08/21,3,20,59
2015/08/22,3,17,56
2015/08/23,3,17,55
2015/08/24,3,19,60
2015/08/25,3,19,60
2015/08/26,3,19,58
2015/08/27,3,19,60
2015/08/28,3,20,59
2015/08/29,3,20,58
2015/08/30,3,20,58
2015/08/31,3,21,60
2015/09/01,3,20,63
2015/09/02,3,22,68
2015/09/03,3,22,66
2015/09/04,3,22,67
2015/09/05,3,21,67
2015/09/06,3,21,69
2015/09/07,3,22,68
2015/09/08,2,20,70
2015/09/09,1,20,71
2015/09/10,1,20,74
2015/09/11,2,21,69
2015/09/12,2,24,73
2015/09/13,2,24,77
2015/09/14,2,24,77
2015/09/15,2,24,75
2015/09/16,2,25,75
2015/09/17,2,25,74
2015/09/18,2,25,72
2015/09/19,2,24,71
2015/09/20,2,25,71
2015/09/21,3,25,71
2015/09/22,3,25,70
2015/09/23,3,25,65
2015/09/24,2,25,67
2015/09/25,2,25,67
2015/09/26,2,26,63
2015/09/27,3,25,66
2015/09/28,3,25,65
2015/09/29,3,24,64
2015/09/30,3,23,66
2015/10/01,3,22,66
2015/10/02,3,22,63
2015/10/03,3,21,63
2015/10/04,3,20,63
2015/10/05,3,21,62
2015/10/06,3,20,61
2015/10/07,3,20,64
2015/10/08,3,18,59
2015/10/09,3,19,62
2015/10/10,3,18,61
2015/10/11,3,18,60
2015/10/12,3,14,57
2015/10/13,3,14,54
2015/10/14,3,16,56
2015/10/15,3,17,55
2015/10/16,3,16,57
2015/10/17,3,16,58
2015/10/18,3,16,58
2015/10/19,3,16,58
2015/10/20,3,15,56
2015/10/21,3,15,55
2015/10/22,3,15,55
2015/10/23,2,14,52
2015/10/24,2,14,51
2015/10/25,2,14,54
2015/10/26,3,14,55
2015/10/27,3,14,55
2015/10/28,3,14,55
2015/10/29,3,14,58
2015/10/30,4,14,57
2015/10/31,4,14,57
2015/11/01,4,13,57
2015/11/02,4,14,63
2015/11/03,5,14,63
2015/11/04,5,13,63
2015/11/05,5,16,66
2015/11/06,5,15,65
2015/11/07,5,15,64
2015/11/08,4,16,63
2015/11/09,4,15,63
2015/11/10,4,17,65
2015/11/11,4,18,64
2015/11/12,4,18,65
2015/11/13,5,17,68
2015/11/14,5,17,66
2015/11/15,5,16,68
2015/11/16,5,16,67
2015/11/17,5,18,67
2015/11/18,5,19,69
2015/11/19,5,18,69
2015/11/20,5,18,71
2015/11/21,5,18,71
2015/11/22,5,18,72
2015/11/23,5,20,72
2015/11/24,5,20,71
2015/11/25,5,19,68
2015/11/26,5,19,67
2015/11/27,5,19,67
2015/11/28,5,20,66
2015/11/29,5,20,66
2015/11/30,5,21,66
2015/12/01,4,22,66
2015/12/02,4,21,63
2015/12/03,4,20,62
2015/12/04,4,20,61
2015/12/05,4,22,60
2015/12/06,4,22,60
2015/12/07,4,21,61
2015/12/08,4,20,63
2015/12/09,4,20,62
2015/12/10,3,21,62
2015/12/11,3,21,62
2015/12/12,4,21,61
2015/12/13,4,19,58
2015/12/14,3,18,60
2015/12/15,3,20,60
2015/12/16,3,20,60
2015/12/17,3,18,60
2016/01/18,3,26,71
2016/01/19,3,25,70
2016/01/20,3,25,70
2016/01/21,3,26,71
2016/01/22,3,25,70
2016/01/23,3,24,71
2016/01/24,3,24,73
2016/01/25,3,24,73
2016/01/26,3,24,73
2016/01/27,3,25,75
2016/01/28,3,24,73
2016/01/29,3,24,72
2016/01/30,3,25,73
2016/01/31,3,24,71
2016/02/01,3,25,73
2016/02/02,3,25,74
2016/02/03,3,25,73
2016/02/04,3,25,75
2016/02/05,3,25,75
2016/02/06,3,25,77
2016/02/07,3,25,74
2016/02/08,3,22,70
2016/02/09,3,19,66
2016/02/10,4,19,62
2016/02/11,4,19,62
2016/02/12,4,19,63
2016/02/13,4,17,60
2016/02/14,4,17,60
2016/02/15,4,16,62
2016/02/16,4,17,65
2016/02/17,4,18,64
2016/02/18,4,18,67
2016/02/19,4,18,66
2016/02/20,4,18,66
2016/02/21,4,19,66
2016/02/22,4,18,68
2016/02/23,4,20,65
2016/02/24,4,21,65
2016/02/25,4,21,66
2016/02/26,4,20,69
2016/02/27,4,20,70
2016/02/28,4,20,70
2016/02/29,3,21,70
2016/03/01,3,21,69
2016/03/02,3,20,68
2016/03/03,3,20,68
2016/03/04,3,20,68
2016/03/05,4,21,68
2016/03/06,5,22,69
2016/03/07,5,21,68
2016/03/08,5,21,68
2016/03/09,5,20,69
2016/03/10,5,20,71
2016/03/11,5,19,72
2016/03/12,5,19,74
2016/03/13,5,19,74
2016/03/14,4,19,75
2016/03/15,4,20,76
2016/03/16,4,20,79
2016/03/17,4,22,80
2016/03/18,4,23,79
2016/03/19,4,24,76
2016/03/20,4,24,76
2016/03/21,4,24,76
2016/03/22,4,24,78
2016/03/23,4,24,79
2016/03/24,4,24,81
2016/03/25,4,23,83
2016/03/26,4,24,84
2016/03/27,4,25,82
2016/03/28,4,25,80
2016/03/29,4,24,80
2016/03/30,4,27,81
2016/03/31,4,27,83
2016/04/01,4,30,82
2016/04/02,4,30,81
2016/04/03,4,30,81
2016/04/04,4,30,80
2016/04/05,4,29,83
2016/04/06,4,29,83
2016/04/07,4,30,82
2016/04/08,3,30,81
2016/04/09,3,32,79
2016/04/10,3,32,79
2016/04/11,3,32,77
2016/04/12,3,33,76
2016/04/13,3,35,77
2016/04/14,4,35,78
2016/04/15,4,35,76
2016/04/16,5,32,75
2016/04/17,5,32,75
2016/04/18,5,31,77
2016/04/19,5,30,78
2016/04/20,5,30,75
2016/04/21,5,31,73
2016/04/22,5,29,73
2016/04/23,5,29,76
2016/04/24,5,29,79
2016/04/25,5,30,81
2016/04/26,5,31,81
2016/04/27,5,32,81
2016/04/28,5,33,83
2016/04/29,5,30,78
2016/04/30,5,29,75
2016/05/01,5,29,75
2016/05/02,5,30,75
2016/05/03,5,30,76
2016/05/04,6,29,77
2016/05/05,6,28,80
2016/05/06,5,29,80
2016/05/07,5,33,82
2016/05/08,5,32,83
2016/05/09,5,30,83
2016/05/10,6,30,84
2016/05/11,6,30,84
2016/05/12,6,30,80
2016/05/13,6,30,80
2016/05/14,4,29,79
2016/05/15,4,29,77
2016/05/16,4,29,76
2016/05/17,5,28,74
2016/05/18,5,27,73
2016/05/19,5,24,71
2016/05/20,4,24,73
2016/05/21,3,22,74
2016/05/22,3,22,70
2016/05/23,3,23,66
