date,frpwiki (100+),frpwiki (5+),frpwiki (all)
2015/10/17,,2,8
2015/10/18,,2,7
2015/10/19,1,2,7
2015/10/20,1,2,7
2015/10/21,1,2,7
2015/10/22,1,2,8
2015/10/23,1,2,8
2015/10/24,1,2,8
2015/10/25,1,2,8
2015/10/26,1,2,9
2015/10/27,1,2,8
2015/10/28,1,2,8
2015/10/29,1,2,8
2015/10/30,1,1,6
2015/10/31,1,1,6
2015/11/01,1,1,6
2015/11/02,1,1,6
2015/11/03,1,1,7
2015/11/04,2,2,7
2015/11/05,2,2,7
2015/11/06,2,2,7
2015/11/07,2,3,8
2015/11/08,2,3,9
2015/11/09,2,3,9
2015/11/10,2,5,10
2015/11/11,2,5,10
2015/11/12,2,5,10
2015/11/13,2,5,10
2015/11/14,2,5,10
2015/11/15,2,6,11
2015/11/16,1,6,11
2015/11/17,1,7,12
2015/11/18,1,6,12
2015/11/19,1,6,13
2015/11/20,1,6,13
2015/11/21,1,6,13
2015/11/22,1,6,13
2015/11/23,1,6,13
2015/11/24,1,6,13
2015/11/25,1,6,12
2015/11/26,1,6,12
2015/11/27,1,6,12
2015/11/28,1,5,11
2015/11/29,1,5,11
2015/11/30,1,5,12
2015/12/01,1,5,12
2015/12/02,1,5,12
2015/12/03,1,5,12
2015/12/04,,4,11
2015/12/05,,4,12
2015/12/06,,4,13
2015/12/07,,3,13
2015/12/08,,3,12
2015/12/09,,3,12
2015/12/10,,2,10
2015/12/11,,2,10
2015/12/12,,2,11
2015/12/13,,2,11
2015/12/14,,2,11
2015/12/15,,1,12
2015/12/16,,1,12
2015/12/17,,,12
2016/01/18,,4,11
2016/01/19,,4,12
2016/01/20,,4,12
2016/01/21,,4,11
2016/01/22,,4,11
2016/01/23,,4,9
2016/01/24,,4,10
2016/01/25,,4,10
2016/01/26,,4,10
2016/01/27,,4,10
2016/01/28,,4,8
2016/01/29,,4,8
2016/01/30,,3,8
2016/01/31,,3,8
2016/02/01,,3,9
2016/02/02,,3,10
2016/02/03,,4,10
2016/02/04,,4,10
2016/02/05,,4,9
2016/02/06,,4,9
2016/02/07,,4,10
2016/02/08,,3,10
2016/02/09,,3,9
2016/02/10,,2,9
2016/02/11,,2,9
2016/02/12,,3,9
2016/02/13,,3,9
2016/02/14,,3,9
2016/02/15,,3,9
2016/02/16,,3,9
2016/02/17,,3,8
2016/02/18,,3,7
2016/02/19,,3,7
2016/02/20,,3,7
2016/02/21,,3,8
2016/02/22,,3,8
2016/02/23,,3,8
2016/02/24,,3,8
2016/02/25,,3,8
2016/02/26,,3,8
2016/02/27,,3,9
2016/02/28,,3,9
2016/02/29,,3,10
2016/03/01,,3,10
2016/03/02,,3,9
2016/03/03,,2,8
2016/03/04,,2,8
2016/03/05,,2,8
2016/03/06,,2,8
2016/03/07,,2,8
2016/03/08,,2,8
2016/03/09,,2,8
2016/03/10,,2,8
2016/03/11,,1,8
2016/03/12,,1,9
2016/03/13,,1,8
2016/03/14,,1,7
2016/03/15,,1,7
2016/03/16,,1,7
2016/03/17,,2,8
2016/03/18,,2,8
2016/03/19,,2,8
2016/03/20,,2,10
2016/03/21,,3,10
2016/03/22,,2,10
2016/03/23,,3,10
2016/03/24,,3,11
2016/03/25,,3,12
2016/03/26,,3,14
2016/03/27,,3,14
2016/03/28,,3,13
2016/03/29,,3,13
2016/03/30,,4,12
2016/03/31,,4,12
2016/04/01,,5,13
2016/04/02,,5,13
2016/04/03,,5,13
2016/04/04,,5,14
2016/04/05,,5,14
2016/04/06,,5,15
2016/04/07,,5,15
2016/04/08,,5,15
2016/04/09,,5,16
2016/04/10,,5,17
2016/04/11,,5,16
2016/04/12,,5,16
2016/04/13,,6,17
2016/04/14,1,6,17
2016/04/15,1,6,17
2016/04/16,1,5,18
2016/04/17,1,5,18
2016/04/18,1,5,18
2016/04/19,1,5,18
2016/04/20,2,6,18
2016/04/21,3,6,20
2016/04/22,3,6,20
2016/04/23,2,5,19
2016/04/24,2,6,19
2016/04/25,2,6,19
2016/04/26,2,6,19
2016/04/27,2,7,19
2016/04/28,2,7,19
2016/04/29,2,7,18
2016/04/30,2,7,18
2016/05/01,2,6,17
2016/05/02,2,6,18
2016/05/03,2,7,20
2016/05/04,2,7,20
2016/05/05,2,7,20
2016/05/06,2,7,20
2016/05/07,2,7,20
2016/05/08,2,7,21
2016/05/09,2,7,19
2016/05/10,2,7,18
2016/05/11,2,7,18
2016/05/12,2,7,18
2016/05/13,1,7,17
2016/05/14,1,7,17
2016/05/15,1,7,17
2016/05/16,1,7,16
2016/05/17,1,7,16
2016/05/18,1,7,16
2016/05/19,1,7,15
2016/05/20,1,7,15
2016/05/21,1,6,16
2016/05/22,1,6,17
2016/05/23,1,6,16
2016/05/24,1,6,17
2016/05/25,1,6,17
2016/05/26,1,7,17
2016/05/27,1,6,17
2016/05/28,1,6,17
2016/05/29,1,6,17
2016/05/30,1,7,18
2016/05/31,1,7,18
2016/06/01,1,8,17
2016/06/02,1,8,15
2016/06/03,1,6,16
2016/06/04,1,6,15
2016/06/05,1,6,14
2016/06/06,1,6,14
2016/06/07,1,6,16
2016/06/08,1,7,17
2016/06/09,1,7,20
2016/06/10,1,7,20
2016/06/11,1,8,20
2016/06/12,1,8,20
2016/06/13,1,8,20
2016/06/14,1,8,20
2016/06/15,1,8,20
2016/06/16,1,8,21
2016/06/17,1,8,23
2016/06/18,1,8,23
2016/06/19,1,9,24
2016/06/20,1,10,24
2016/06/21,1,10,23
2016/06/22,1,10,23
2016/06/23,1,10,22
2016/06/24,1,10,22
2016/06/25,1,10,22
2016/06/26,1,10,23
2016/06/27,1,10,23
2016/06/28,1,10,23
2016/06/29,1,9,21
2016/06/30,1,9,21
2016/07/01,1,9,22
2016/07/02,1,9,22
2016/07/03,1,9,22
2016/07/04,1,9,22
2016/07/05,1,9,22
2016/07/06,,9,21
2016/07/07,,9,19
2016/07/08,,7,19
2016/07/09,,7,17
2016/07/10,,7,18
2016/07/11,,7,18
2016/07/12,,7,18
2016/07/13,,7,18
2016/07/14,,7,19
2016/07/15,,8,20
2016/07/16,,8,19
2016/07/17,,8,18
2016/07/18,,8,18
2016/07/19,,10,20
2016/07/20,,9,20
2016/07/21,,10,21
2016/07/22,,10,21
2016/07/23,,10,22
2016/07/24,,10,22
2016/07/25,,10,20
2016/07/26,,10,20
2016/07/27,,10,19
2016/07/28,,9,19
2016/07/29,,9,19
2016/07/30,,9,18
2016/07/31,,8,17
2016/08/01,,8,17
2016/08/02,,8,16
2016/08/03,,8,16
2016/08/04,,8,16
2016/08/05,,7,15
2016/08/06,,6,15
2016/08/07,,6,16
2016/08/08,,6,16
2016/08/09,,6,15
2016/08/10,,6,15
2016/08/11,,6,16
2016/08/12,,5,17
2016/08/13,,5,15
2016/08/14,,4,14
2016/08/15,,4,14
2016/08/16,,4,14
2016/08/17,,4,14
2016/08/18,,4,13
2016/08/19,,4,15
2016/08/20,,4,17
2016/08/21,,4,17
2016/08/22,,3,17
2016/08/23,,5,17
2016/08/24,,5,17
2016/08/25,,5,16
2016/08/26,,5,17
2016/08/27,,6,17
2016/08/28,,6,16
2016/08/29,,6,16
2016/08/30,,6,15
2016/08/31,,6,16
2016/09/01,,6,17
2016/09/02,,6,18
2016/09/03,,5,18
2016/09/04,,6,18
2016/09/05,,6,18
2016/09/06,,6,18
2016/09/07,,6,18
2016/09/08,,7,18
2016/09/09,,8,18
2016/09/10,,8,19
2016/09/11,,8,18
2016/09/12,,8,18
2016/09/13,,8,18
2016/09/14,,7,18
2016/09/15,,7,17
2016/09/16,,7,16
2016/09/17,,7,16
2016/09/18,,6,14
2016/09/19,,6,13
2016/09/20,,6,13
2016/09/21,,6,13
2016/09/22,,5,13
2016/09/23,,5,13
2016/09/24,,5,13
2016/09/25,,6,13
2016/09/26,,6,13
2016/09/27,,6,14
2016/09/28,,6,15
2016/09/29,,6,15
