date,crwiki (100+),crwiki (5+),crwiki (all)
2015/12/02,,,5
2015/12/03,,,5
2015/12/04,,,5
2015/12/05,,,5
2015/12/06,,,6
2015/12/07,,,6
2015/12/08,,,6
2015/12/09,,,6
2015/12/10,,,6
2015/12/11,,,5
2015/12/12,,,5
2015/12/13,,1,5
2015/12/14,,1,5
2015/12/15,,1,5
2015/12/16,,1,5
2015/12/17,,1,5
2016/01/18,,3,7
2016/01/19,,2,7
2016/01/20,,2,7
2016/01/21,,2,7
2016/01/22,,2,7
2016/01/23,,2,7
2016/01/24,,2,8
2016/01/25,,2,8
2016/01/26,,2,8
2016/01/27,,2,8
2016/01/28,,2,8
2016/01/29,,2,7
2016/01/30,,2,6
2016/01/31,,2,8
2016/02/01,,2,8
2016/02/02,,2,10
2016/02/03,,2,9
2016/02/04,,2,9
2016/02/05,,2,9
2016/02/06,,2,9
2016/02/07,,2,9
2016/02/08,,2,9
2016/02/09,,2,10
2016/02/10,,2,10
2016/02/11,,,7
2016/02/12,,,7
2016/02/13,,,7
2016/02/14,,,7
2016/02/15,,,8
2016/02/16,,,8
2016/02/17,,,8
2016/02/18,,,8
2016/02/19,,,8
2016/02/20,,,8
2016/02/21,,,8
2016/02/22,,1,9
2016/02/23,,1,8
2016/02/24,,1,8
2016/02/25,,1,8
2016/02/26,,1,8
2016/02/27,,1,8
2016/02/28,,1,8
2016/02/29,,1,8
2016/03/01,,1,8
2016/03/02,,1,8
2016/03/03,,1,6
2016/03/04,,1,6
2016/03/05,,1,6
2016/03/06,,1,5
2016/03/07,,1,6
2016/03/08,,1,6
2016/03/09,,1,6
2016/03/10,,1,5
2016/03/11,,1,5
2016/03/12,,1,5
2016/03/13,,1,5
2016/03/14,,1,6
2016/03/15,,1,6
2016/03/16,,1,6
2016/03/17,,2,8
2016/03/18,,2,8
2016/03/19,,2,8
2016/03/20,,2,8
2016/03/21,,2,8
2016/03/22,,2,8
2016/03/23,,2,8
2016/03/24,,2,8
2016/03/25,,2,8
2016/03/26,,2,8
2016/03/27,,2,8
2016/03/28,,2,8
2016/03/29,,2,8
2016/03/30,,3,10
2016/03/31,,3,10
2016/04/01,,3,10
2016/04/02,,3,10
2016/04/03,,3,11
2016/04/04,,3,11
2016/04/05,,4,11
2016/04/06,,4,11
2016/04/07,,4,11
2016/04/08,,4,12
2016/04/09,,4,12
2016/04/10,,4,12
2016/04/11,,4,12
2016/04/12,,4,11
2016/04/13,,3,10
2016/04/14,,3,10
2016/04/15,,2,9
2016/04/16,,1,7
2016/04/17,,1,7
2016/04/18,,1,7
2016/04/19,,1,7
2016/04/20,,1,8
2016/04/21,,1,8
2016/04/22,,1,8
2016/04/23,,1,7
2016/04/24,,1,7
2016/04/25,,1,7
2016/04/26,,1,8
2016/04/27,,1,8
2016/04/28,,1,8
2016/04/29,,,7
2016/04/30,,,8
2016/05/01,,,8
2016/05/02,,,8
2016/05/03,,,7
2016/05/04,,,7
2016/05/05,,,6
