date,nnwiki (100+),nnwiki (5+),nnwiki (all)
2015/07/27,8,32,118
2015/07/28,8,32,118
2015/07/29,7,34,121
2015/07/30,7,36,118
2015/07/31,7,37,119
2015/08/01,7,38,122
2015/08/02,6,37,124
2015/08/03,6,38,127
2015/08/04,7,37,133
2015/08/05,6,38,134
2015/08/06,7,38,134
2015/08/07,8,38,140
2015/08/08,8,37,138
2015/08/09,9,35,141
2015/08/10,9,35,140
2015/08/11,10,33,141
2015/08/12,10,35,139
2015/08/13,10,37,137
2015/08/14,10,39,141
2015/08/15,10,39,143
2015/08/16,10,38,144
2015/08/17,9,37,144
2015/08/18,9,37,144
2015/08/19,9,38,143
2015/08/20,9,38,146
2015/08/21,9,38,148
2015/08/22,9,38,150
2015/08/23,9,41,156
2015/08/24,8,41,157
2015/08/25,8,41,158
2015/08/26,7,42,156
2015/08/27,7,42,157
2015/08/28,7,40,156
2015/08/29,7,42,159
2015/08/30,7,43,159
2015/08/31,7,44,163
2015/09/01,8,44,164
2015/09/02,8,43,162
2015/09/03,8,43,159
2015/09/04,10,43,157
2015/09/05,9,41,153
2015/09/06,8,41,154
2015/09/07,8,42,154
2015/09/08,8,41,155
2015/09/09,8,42,156
2015/09/10,8,40,154
2015/09/11,10,41,155
2015/09/12,9,41,155
2015/09/13,9,41,155
2015/09/14,9,43,154
2015/09/15,9,42,153
2015/09/16,9,41,156
2015/09/17,9,42,161
2015/09/18,9,44,160
2015/09/19,8,43,157
2015/09/20,8,42,160
2015/09/21,8,40,158
2015/09/22,8,38,152
2015/09/23,8,36,151
2015/09/24,8,36,150
2015/09/25,7,34,150
2015/09/26,6,34,147
2015/09/27,6,34,144
2015/09/28,6,33,139
2015/09/29,6,32,138
2015/09/30,6,32,138
2015/10/01,6,33,136
2015/10/02,6,34,136
2015/10/03,6,33,135
2015/10/04,6,34,132
2015/10/05,6,35,137
2015/10/06,6,37,139
2015/10/07,8,37,136
2015/10/08,8,37,134
2015/10/09,8,38,137
2015/10/10,8,38,141
2015/10/11,8,38,140
2015/10/12,8,39,140
2015/10/13,7,38,139
2015/10/14,7,38,143
2015/10/15,7,38,147
2015/10/16,7,38,145
2015/10/17,6,38,140
2015/10/18,7,38,139
2015/10/19,7,39,138
2015/10/20,7,38,139
2015/10/21,7,40,140
2015/10/22,7,40,139
2015/10/23,6,40,141
2015/10/24,6,40,142
2015/10/25,6,41,143
2015/10/26,5,42,142
2015/10/27,5,42,145
2015/10/28,6,42,147
2015/10/29,6,42,144
2015/10/30,6,41,139
2015/10/31,6,41,146
2015/11/01,6,41,150
2015/11/02,6,43,152
2015/11/03,6,42,160
2015/11/04,6,41,159
2015/11/05,5,39,159
2015/11/06,5,39,158
2015/11/07,5,37,157
2015/11/08,5,36,155
2015/11/09,5,36,148
2015/11/10,5,36,156
2015/11/11,5,35,157
2015/11/12,5,36,161
2015/11/13,5,35,159
2015/11/14,5,35,155
2015/11/15,5,35,152
2015/11/16,5,36,150
2015/11/17,5,35,151
2015/11/18,5,35,149
2015/11/19,5,38,150
2015/11/20,6,36,160
2015/11/21,6,37,164
2015/11/22,7,37,166
2015/11/23,7,37,165
2015/11/24,7,37,168
2015/11/25,7,35,165
2015/11/26,7,37,169
2015/11/27,6,37,177
2015/11/28,6,37,181
2015/11/29,7,37,180
2015/11/30,7,37,176
2015/12/01,7,41,180
2015/12/02,7,41,180
2015/12/03,7,41,177
2015/12/04,7,41,175
2015/12/05,8,41,173
2015/12/06,8,43,173
2015/12/07,8,43,173
2015/12/08,9,43,171
2015/12/09,8,41,173
2015/12/10,8,41,167
2015/12/11,8,40,167
2015/12/12,8,40,166
2015/12/13,8,40,169
2015/12/14,9,40,167
2015/12/15,9,39,168
2015/12/16,9,38,171
2015/12/17,9,39,170
2016/01/18,6,45,172
2016/01/19,5,47,175
2016/01/20,5,47,178
2016/01/21,5,48,183
2016/01/22,5,48,188
2016/01/23,5,46,184
2016/01/24,4,47,185
2016/01/25,5,45,189
2016/01/26,5,45,194
2016/01/27,5,45,196
2016/01/28,5,45,195
2016/01/29,5,45,195
2016/01/30,5,43,193
2016/01/31,5,44,197
2016/02/01,5,43,198
2016/02/02,5,44,203
2016/02/03,5,43,200
2016/02/04,5,42,198
2016/02/05,4,44,194
2016/02/06,4,46,195
2016/02/07,4,45,192
2016/02/08,4,46,189
2016/02/09,5,44,187
2016/02/10,5,45,185
2016/02/11,5,45,180
2016/02/12,5,42,182
2016/02/13,5,42,181
2016/02/14,5,43,178
2016/02/15,5,44,177
2016/02/16,5,46,177
2016/02/17,5,49,176
2016/02/18,5,47,177
2016/02/19,5,47,173
2016/02/20,5,46,168
2016/02/21,5,47,165
2016/02/22,5,47,167
2016/02/23,5,47,166
2016/02/24,6,46,166
2016/02/25,6,44,164
2016/02/26,7,45,164
2016/02/27,7,45,160
2016/02/28,7,45,154
2016/02/29,7,45,155
2016/03/01,7,45,150
2016/03/02,7,45,151
2016/03/03,7,45,145
2016/03/04,7,49,154
2016/03/05,7,49,156
2016/03/06,7,48,156
2016/03/07,7,44,156
2016/03/08,8,45,158
2016/03/09,9,47,163
2016/03/10,9,47,169
2016/03/11,9,47,172
2016/03/12,9,47,172
2016/03/13,9,49,178
2016/03/14,9,49,175
2016/03/15,9,50,170
2016/03/16,9,48,167
2016/03/17,10,47,168
2016/03/18,10,49,172
2016/03/19,10,50,171
2016/03/20,10,52,170
2016/03/21,9,50,173
2016/03/22,9,50,171
2016/03/23,10,48,170
2016/03/24,9,48,169
2016/03/25,9,49,171
2016/03/26,9,50,169
2016/03/27,9,47,173
2016/03/28,9,45,174
2016/03/29,10,47,181
2016/03/30,10,47,183
2016/03/31,10,47,188
2016/04/01,10,48,185
2016/04/02,10,47,182
2016/04/03,10,45,171
2016/04/04,10,44,167
2016/04/05,10,43,166
2016/04/06,11,44,168
2016/04/07,10,42,166
2016/04/08,10,43,162
2016/04/09,10,44,159
2016/04/10,10,41,157
2016/04/11,10,41,158
2016/04/12,10,41,156
2016/04/13,10,40,150
2016/04/14,10,42,149
2016/04/15,9,42,150
2016/04/16,9,43,155
2016/04/17,9,41,155
2016/04/18,9,41,154
2016/04/19,8,42,155
2016/04/20,8,43,152
2016/04/21,8,43,153
2016/04/22,8,44,154
2016/04/23,7,43,159
2016/04/24,7,41,164
2016/04/25,7,39,169
2016/04/26,7,39,167
2016/04/27,7,40,170
2016/04/28,7,38,166
2016/04/29,7,38,158
2016/04/30,7,40,153
2016/05/01,7,38,150
2016/05/02,7,38,154
2016/05/03,8,38,153
2016/05/04,8,38,155
2016/05/05,8,39,157
2016/05/06,8,38,157
2016/05/07,8,35,157
2016/05/08,8,33,158
2016/05/09,9,34,157
2016/05/10,9,34,158
2016/05/11,9,35,156
2016/05/12,9,37,155
2016/05/13,8,36,157
2016/05/14,9,38,160
2016/05/15,9,38,162
2016/05/16,10,37,157
2016/05/17,10,37,155
2016/05/18,10,37,152
2016/05/19,10,36,158
2016/05/20,10,37,158
2016/05/21,10,38,163
2016/05/22,8,37,161
2016/05/23,8,38,158
2016/05/24,8,37,155
2016/05/25,8,36,154
2016/05/26,8,38,150
2016/05/27,8,37,151
2016/05/28,8,37,151
2016/05/29,8,37,152
2016/05/30,9,36,152
2016/05/31,9,38,157
2016/06/01,9,39,156
2016/06/02,8,39,163
2016/06/03,9,41,166
2016/06/04,9,40,164
2016/06/05,9,42,166
2016/06/06,9,43,175
2016/06/07,9,46,174
2016/06/08,9,47,177
2016/06/09,9,47,181
2016/06/10,10,46,181
2016/06/11,9,43,177
2016/06/12,9,43,179
2016/06/13,9,42,176
2016/06/14,8,42,172
2016/06/15,10,43,170
2016/06/16,8,46,173
2016/06/17,8,47,174
2016/06/18,8,48,174
2016/06/19,8,49,177
2016/06/20,8,49,174
2016/06/21,8,50,176
2016/06/22,8,49,175
2016/06/23,8,49,177
2016/06/24,8,45,171
2016/06/25,9,45,171
2016/06/26,9,43,171
2016/06/27,9,41,172
2016/06/28,9,42,171
2016/06/29,9,43,170
2016/06/30,8,42,167
2016/07/01,8,42,170
2016/07/02,8,39,166
2016/07/03,7,37,163
2016/07/04,7,38,163
2016/07/05,7,39,159
2016/07/06,7,38,150
