date,zh_classicalwiki (100+),zh_classicalwiki (5+),zh_classicalwiki (all)
2015/08/20,1,13,46
2015/08/21,1,14,47
2015/08/22,1,15,45
2015/08/23,1,15,47
2015/08/24,1,14,49
2015/08/25,1,13,50
2015/08/26,,14,51
2015/08/27,,14,51
2015/08/28,,16,50
2015/08/29,,16,49
2015/08/30,,16,46
2015/08/31,,16,47
2015/09/01,,15,46
2015/09/02,,14,47
2015/09/03,,13,44
2015/09/04,,14,44
2015/09/05,,14,45
2015/09/06,,13,44
2015/09/07,,13,42
2015/09/08,,13,42
2015/09/09,,13,43
2015/09/10,,13,44
2015/09/11,,13,45
2015/09/12,,13,45
2015/09/13,,14,49
2015/09/14,,14,51
2015/09/15,,14,50
2015/09/16,,14,50
2015/09/17,,14,50
2015/09/18,,14,50
2015/09/19,,12,45
2015/09/20,,12,46
2015/09/21,,12,48
2015/09/22,,11,48
2015/09/23,,11,48
2015/09/24,1,11,48
2015/09/25,1,11,47
2015/09/26,,12,49
2015/09/27,1,12,51
2015/09/28,1,13,50
2015/09/29,1,12,52
2015/09/30,1,12,54
2015/10/01,1,12,54
2015/10/02,1,12,54
2015/10/03,1,12,54
2015/10/04,1,12,54
2015/10/05,1,13,57
2015/10/06,1,13,55
2015/10/07,1,13,54
2015/10/08,2,14,55
2015/10/09,2,13,54
2015/10/10,2,13,56
2015/10/11,2,12,56
2015/10/12,2,13,54
2015/10/13,2,13,50
2015/10/14,2,14,52
2015/10/15,2,14,51
2015/10/16,2,14,49
2015/10/17,2,14,50
2015/10/18,2,14,50
2015/10/19,2,15,50
2015/10/20,2,15,54
2015/10/21,2,15,55
2015/10/22,2,15,54
2015/10/23,2,15,53
2015/10/24,2,15,55
2015/10/25,2,15,57
2015/10/26,2,14,57
2015/10/27,2,13,55
2015/10/28,2,13,52
2015/10/29,2,13,50
2015/10/30,2,13,49
2015/10/31,2,13,50
2015/11/01,2,13,50
2015/11/02,2,13,52
2015/11/03,2,13,52
2015/11/04,2,12,48
2015/11/05,2,12,48
2015/11/06,2,12,48
2015/11/07,2,11,47
2015/11/08,2,11,47
2015/11/09,2,10,46
2015/11/10,2,11,46
2015/11/11,2,10,46
2015/11/12,1,10,46
2015/11/13,1,10,44
2015/11/14,1,10,45
2015/11/15,1,11,47
2015/11/16,1,11,49
2015/11/17,1,13,50
2015/11/18,1,13,52
2015/11/19,1,13,51
2015/11/20,1,13,49
2015/11/21,1,11,50
2015/11/22,1,11,51
2015/11/23,1,11,50
2015/11/24,1,12,48
2015/11/25,1,12,47
2015/11/26,,11,49
2015/11/27,,10,50
2015/11/28,,10,49
2015/11/29,,12,51
2015/11/30,,12,51
2015/12/01,,11,47
2015/12/02,,11,46
2015/12/03,,11,45
2015/12/04,,11,46
2015/12/05,,11,47
2015/12/06,,11,47
2015/12/07,,11,47
2015/12/08,,11,47
2015/12/09,1,11,49
2015/12/10,1,11,48
2015/12/11,1,11,47
2015/12/12,1,11,45
2015/12/13,1,11,45
2015/12/14,1,11,45
2015/12/15,1,10,43
2015/12/16,1,9,42
2015/12/17,1,9,41
2016/01/18,,14,40
2016/01/19,,14,40
2016/01/20,,15,41
2016/01/21,,15,41
2016/01/22,,15,42
2016/01/23,,15,43
2016/01/24,,16,44
2016/01/25,,17,47
2016/01/26,,17,47
2016/01/27,,16,48
2016/01/28,1,16,48
2016/01/29,1,16,50
2016/01/30,1,15,50
2016/01/31,1,14,50
2016/02/01,1,16,51
2016/02/02,1,17,53
2016/02/03,1,15,53
2016/02/04,1,13,52
2016/02/05,1,13,51
2016/02/06,1,13,52
2016/02/07,1,13,53
2016/02/08,1,13,51
2016/02/09,1,13,51
2016/02/10,1,13,52
2016/02/11,1,12,52
2016/02/12,1,11,50
2016/02/13,1,10,48
2016/02/14,1,10,47
2016/02/15,1,10,50
2016/02/16,2,11,49
2016/02/17,2,11,48
2016/02/18,2,11,48
2016/02/19,2,11,48
2016/02/20,2,12,49
2016/02/21,2,11,48
2016/02/22,2,10,48
2016/02/23,2,10,47
2016/02/24,2,11,46
2016/02/25,2,11,46
2016/02/26,2,11,48
2016/02/27,2,10,48
2016/02/28,2,11,47
2016/02/29,2,11,47
2016/03/01,2,10,48
2016/03/02,2,10,46
2016/03/03,2,9,42
2016/03/04,2,9,42
2016/03/05,2,10,44
2016/03/06,2,11,44
2016/03/07,2,12,46
2016/03/08,2,13,44
2016/03/09,2,13,45
2016/03/10,2,13,45
2016/03/11,2,13,43
2016/03/12,2,13,44
2016/03/13,2,13,44
2016/03/14,2,13,45
2016/03/15,2,13,47
2016/03/16,2,13,47
2016/03/17,2,12,48
2016/03/18,2,12,48
2016/03/19,2,12,48
2016/03/20,2,13,48
2016/03/21,2,13,49
2016/03/22,1,13,49
2016/03/23,1,13,48
2016/03/24,1,13,48
2016/03/25,2,13,48
2016/03/26,2,13,48
2016/03/27,2,13,45
2016/03/28,2,14,45
2016/03/29,2,13,44
2016/03/30,2,13,44
2016/03/31,1,13,43
2016/04/01,1,13,44
2016/04/02,1,13,44
2016/04/03,1,14,43
2016/04/04,1,13,43
2016/04/05,1,12,42
2016/04/06,1,11,40
2016/04/07,1,10,41
2016/04/08,1,9,41
2016/04/09,1,9,41
2016/04/10,1,9,41
2016/04/11,1,8,41
2016/04/12,2,10,42
2016/04/13,2,10,39
2016/04/14,2,11,38
2016/04/15,2,11,36
2016/04/16,1,11,36
2016/04/17,1,11,36
2016/04/18,1,11,35
2016/04/19,1,11,37
2016/04/20,,10,34
2016/04/21,,10,35
2016/04/22,1,10,35
2016/04/23,1,9,34
2016/04/24,1,9,35
2016/04/25,1,9,37
2016/04/26,1,9,37
2016/04/27,1,8,37
2016/04/28,1,10,42
2016/04/29,1,10,43
2016/04/30,1,10,45
2016/05/01,1,11,45
2016/05/02,1,12,45
2016/05/03,1,12,47
2016/05/04,1,12,46
2016/05/05,1,14,44
2016/05/06,1,14,44
2016/05/07,1,14,41
2016/05/08,1,13,43
2016/05/09,1,13,45
2016/05/10,1,15,44
2016/05/11,1,17,44
2016/05/12,,15,41
2016/05/13,,15,41
2016/05/14,,14,41
2016/05/15,,14,41
2016/05/16,,14,42
2016/05/17,,14,43
2016/05/18,,14,43
2016/05/19,,15,44
2016/05/20,,15,46
2016/05/21,,15,44
2016/05/22,,16,45
2016/05/23,,18,47
2016/05/24,,18,46
2016/05/25,1,19,45
2016/05/26,1,19,46
2016/05/27,1,19,48
2016/05/28,1,19,48
2016/05/29,1,18,47
2016/05/30,1,18,47
2016/05/31,1,18,49
2016/06/01,1,17,49
2016/06/02,,17,51
2016/06/03,,17,55
2016/06/04,,16,55
2016/06/05,2,17,56
2016/06/06,2,17,56
2016/06/07,2,18,59
2016/06/08,3,20,59
2016/06/09,3,20,58
2016/06/10,3,20,57
2016/06/11,3,20,58
2016/06/12,3,20,58
2016/06/13,3,18,57
2016/06/14,3,18,57
2016/06/15,3,18,57
2016/06/16,3,18,56
2016/06/17,3,18,56
