date,siwiki (100+),siwiki (5+),siwiki (all)
2015/07/27,3,15,42
2015/07/28,3,13,40
2015/07/29,3,14,43
2015/07/30,3,14,41
2015/07/31,3,14,42
2015/08/01,4,14,41
2015/08/02,4,14,39
2015/08/03,4,14,38
2015/08/04,4,14,39
2015/08/05,4,14,38
2015/08/06,4,15,40
2015/08/07,4,14,44
2015/08/08,5,14,44
2015/08/09,4,14,45
2015/08/10,4,13,44
2015/08/11,4,14,43
2015/08/12,5,14,45
2015/08/13,5,13,43
2015/08/14,5,14,44
2015/08/15,5,14,42
2015/08/16,5,14,41
2015/08/17,5,14,42
2015/08/18,5,14,42
2015/08/19,5,16,39
2015/08/20,5,16,41
2015/08/21,5,16,44
2015/08/22,5,16,44
2015/08/23,5,16,44
2015/08/24,5,16,45
2015/08/25,5,16,46
2015/08/26,4,16,45
2015/08/27,4,15,45
2015/08/28,4,13,42
2015/08/29,4,13,44
2015/08/30,4,13,43
2015/08/31,3,13,43
2015/09/01,3,13,44
2015/09/02,2,14,47
2015/09/03,2,15,48
2015/09/04,2,15,49
2015/09/05,2,14,50
2015/09/06,2,15,46
2015/09/07,2,15,45
2015/09/08,3,17,44
2015/09/09,3,17,46
2015/09/10,3,17,46
2015/09/11,3,17,47
2015/09/12,3,17,47
2015/09/13,3,17,47
2015/09/14,3,17,47
2015/09/15,4,19,49
2015/09/16,4,18,51
2015/09/17,3,18,52
2015/09/18,3,17,52
2015/09/19,3,16,48
2015/09/20,3,16,47
2015/09/21,3,16,48
2015/09/22,3,16,49
2015/09/23,3,15,48
2015/09/24,3,15,50
2015/09/25,3,14,50
2015/09/26,3,14,48
2015/09/27,3,14,47
2015/09/28,3,14,45
2015/09/29,3,14,45
2015/09/30,3,14,45
2015/10/01,4,14,44
2015/10/02,4,14,41
2015/10/03,4,15,43
2015/10/04,4,14,45
2015/10/05,3,15,47
2015/10/06,3,16,47
2015/10/07,3,15,49
2015/10/08,3,14,48
2015/10/09,3,14,49
2015/10/10,4,15,51
2015/10/11,4,14,51
2015/10/12,4,14,52
2015/10/13,4,13,52
2015/10/14,4,13,52
2015/10/15,4,12,51
2015/10/16,4,11,51
2015/10/17,4,12,51
2015/10/18,4,12,50
2015/10/19,4,12,51
2015/10/20,4,13,51
2015/10/21,4,16,56
2015/10/22,5,16,55
2015/10/23,5,18,57
2015/10/24,5,18,57
2015/10/25,5,18,60
2015/10/26,5,19,62
2015/10/27,5,21,66
2015/10/28,5,23,69
2015/10/29,5,23,69
2015/10/30,5,23,69
2015/10/31,5,23,69
2015/11/01,5,23,70
2015/11/02,5,24,70
2015/11/03,5,23,68
2015/11/04,5,23,68
2015/11/05,6,22,69
2015/11/06,6,22,68
2015/11/07,6,23,73
2015/11/08,6,23,70
2015/11/09,6,24,70
2015/11/10,6,26,74
2015/11/11,6,27,73
2015/11/12,6,27,74
2015/11/13,6,27,74
2015/11/14,7,29,75
2015/11/15,7,30,78
2015/11/16,7,30,79
2015/11/17,6,30,80
2015/11/18,6,30,79
2015/11/19,6,29,81
2015/11/20,6,27,77
2015/11/21,7,26,76
2015/11/22,7,26,75
2015/11/23,6,25,73
2015/11/24,6,25,71
2015/11/25,6,24,70
2015/11/26,6,23,69
2015/11/27,7,22,66
2015/11/28,7,22,65
2015/11/29,7,21,63
2015/11/30,6,20,63
2015/12/01,6,20,62
2015/12/02,6,19,62
2015/12/03,7,19,62
2015/12/04,7,19,58
2015/12/05,6,20,58
2015/12/06,6,20,58
2015/12/07,6,20,58
2015/12/08,6,19,55
2015/12/09,6,20,56
2015/12/10,6,18,55
2015/12/11,6,19,56
2015/12/12,6,19,52
2015/12/13,6,19,54
2015/12/14,7,19,50
