date,mgwiki (100+),mgwiki (5+),mgwiki (all)
2015/09/02,1,6,41
2015/09/03,1,6,40
2015/09/04,,6,38
2015/09/05,,6,38
2015/09/06,,6,37
2015/09/07,,6,38
2015/09/08,,6,38
2015/09/09,,6,38
2015/09/10,,6,39
2015/09/11,,5,40
2015/09/12,,5,42
2015/09/13,,5,40
2015/09/14,,5,42
2015/09/15,,5,43
2015/09/16,,5,41
2015/09/17,,7,40
2015/09/18,,7,39
2015/09/19,,6,37
2015/09/20,,6,37
2015/09/21,,6,38
2015/09/22,,6,38
2015/09/23,,6,40
2015/09/24,,6,38
2015/09/25,,6,39
2015/09/26,,6,37
2015/09/27,,6,37
2015/09/28,,6,37
2015/09/29,,7,38
2015/09/30,,8,41
2015/10/01,,8,42
2015/10/02,,8,43
2015/10/03,,8,43
2015/10/04,,8,44
2015/10/05,,7,43
2015/10/06,,8,41
2015/10/07,,8,38
2015/10/08,,8,38
2015/10/09,,8,38
2015/10/10,,9,38
2015/10/11,,9,39
2015/10/12,,10,40
2015/10/13,,10,41
2015/10/14,,10,41
2015/10/15,,10,39
2015/10/16,,10,40
2015/10/17,,9,42
2015/10/18,,9,44
2015/10/19,,9,46
2015/10/20,,9,46
2015/10/21,,9,46
2015/10/22,,9,44
2015/10/23,,9,43
2015/10/24,,9,44
2015/10/25,,9,44
2015/10/26,,9,43
2015/10/27,,9,45
2015/10/28,,9,48
2015/10/29,,7,48
2015/10/30,,7,47
2015/10/31,,7,47
2015/11/01,,7,47
2015/11/02,,7,47
2015/11/03,,7,46
2015/11/04,,7,45
2015/11/05,,7,47
2015/11/06,,7,47
2015/11/07,,7,48
2015/11/08,,7,49
2015/11/09,,8,48
2015/11/10,,9,47
2015/11/11,,8,48
2015/11/12,,8,48
2015/11/13,,7,48
2015/11/14,,7,49
2015/11/15,,7,48
2015/11/16,,7,44
2015/11/17,,7,40
2015/11/18,,7,38
2015/11/19,,7,40
2015/11/20,,7,39
2015/11/21,,7,41
2015/11/22,,7,43
2015/11/23,,7,41
2015/11/24,,7,41
2015/11/25,,7,42
2015/11/26,,6,41
2015/11/27,,9,36
2015/11/28,,9,35
2015/11/29,,9,36
2015/11/30,,9,35
2015/12/01,,9,33
2015/12/02,,9,34
2015/12/03,,8,34
2015/12/04,,8,34
2015/12/05,,8,31
2015/12/06,,8,31
2015/12/07,,6,29
2015/12/08,,6,28
2015/12/09,,6,27
2015/12/10,,6,28
2015/12/11,,6,28
2015/12/12,,6,29
2015/12/13,,6,29
2015/12/14,,6,28
2015/12/15,,6,30
2015/12/16,,7,32
2015/12/17,,7,34
2016/01/18,,3,33
2016/01/19,,3,33
2016/01/20,,3,32
2016/01/21,,2,33
2016/01/22,,2,31
2016/01/23,,2,31
2016/01/24,,2,31
2016/01/25,,2,31
2016/01/26,,2,32
2016/01/27,,2,32
2016/01/28,,1,30
2016/01/29,,1,29
2016/01/30,,2,31
2016/01/31,,2,32
2016/02/01,,3,34
2016/02/02,,3,35
2016/02/03,,3,36
2016/02/04,,3,35
2016/02/05,,3,38
2016/02/06,,3,40
2016/02/07,,3,41
2016/02/08,,3,42
2016/02/09,1,3,43
2016/02/10,1,3,40
2016/02/11,1,3,41
2016/02/12,1,3,40
2016/02/13,1,3,39
2016/02/14,1,3,39
2016/02/15,1,4,38
2016/02/16,1,5,37
2016/02/17,1,5,38
2016/02/18,1,5,39
2016/02/19,1,5,41
2016/02/20,1,5,39
2016/02/21,1,5,41
2016/02/22,1,6,44
2016/02/23,1,6,43
2016/02/24,1,6,45
2016/02/25,1,6,44
2016/02/26,1,6,44
2016/02/27,1,7,43
2016/02/28,1,7,44
2016/02/29,1,6,40
2016/03/01,1,6,41
2016/03/02,,6,39
2016/03/03,,6,37
2016/03/04,,6,35
2016/03/05,,6,36
2016/03/06,,7,35
2016/03/07,,7,35
2016/03/08,,7,34
2016/03/09,,8,33
2016/03/10,,7,34
2016/03/11,,7,34
2016/03/12,,7,33
2016/03/13,,7,35
2016/03/14,,8,36
2016/03/15,,8,36
2016/03/16,,7,36
2016/03/17,,7,36
2016/03/18,,7,35
2016/03/19,,7,35
2016/03/20,,6,34
2016/03/21,,6,37
2016/03/22,,6,37
2016/03/23,,7,34
2016/03/24,,7,34
2016/03/25,,7,33
2016/03/26,,7,33
2016/03/27,,6,32
2016/03/28,,5,30
2016/03/29,,5,29
2016/03/30,,5,30
2016/03/31,,5,29
2016/04/01,,5,29
2016/04/02,,5,30
2016/04/03,,5,31
2016/04/04,,6,32
2016/04/05,,7,31
2016/04/06,,7,32
2016/04/07,,8,33
2016/04/08,,7,32
2016/04/09,,6,31
2016/04/10,,7,32
2016/04/11,1,8,34
2016/04/12,1,7,36
2016/04/13,1,7,35
2016/04/14,1,7,38
2016/04/15,1,8,39
2016/04/16,1,7,38
2016/04/17,1,7,41
2016/04/18,1,9,42
2016/04/19,1,9,43
2016/04/20,1,9,41
2016/04/21,1,9,40
2016/04/22,1,9,41
2016/04/23,1,9,43
2016/04/24,1,9,42
2016/04/25,1,7,42
2016/04/26,1,7,43
2016/04/27,1,7,43
2016/04/28,1,7,43
2016/04/29,1,7,42
2016/04/30,1,7,42
2016/05/01,1,7,42
2016/05/02,1,7,43
2016/05/03,1,7,43
2016/05/04,1,7,40
2016/05/05,1,6,40
2016/05/06,1,6,40
2016/05/07,1,5,39
2016/05/08,2,6,40
2016/05/09,3,7,40
2016/05/10,3,7,41
2016/05/11,3,7,41
2016/05/12,3,7,38
2016/05/13,3,7,38
2016/05/14,3,7,35
2016/05/15,3,7,33
2016/05/16,3,8,35
2016/05/17,3,8,32
2016/05/18,3,8,32
2016/05/19,3,8,31
2016/05/20,3,8,32
2016/05/21,3,8,32
2016/05/22,3,8,31
2016/05/23,3,8,29
2016/05/24,3,8,29
2016/05/25,3,8,29
2016/05/26,3,8,30
2016/05/27,3,10,31
2016/05/28,3,9,33
2016/05/29,3,9,35
2016/05/30,3,9,36
2016/05/31,3,9,38
2016/06/01,3,9,39
2016/06/02,3,9,37
2016/06/03,3,8,38
2016/06/04,3,8,38
2016/06/05,3,8,35
2016/06/06,3,9,35
2016/06/07,3,9,33
2016/06/08,4,9,34
2016/06/09,4,9,33
2016/06/10,4,9,33
2016/06/11,4,9,34
2016/06/12,4,9,34
2016/06/13,4,10,38
2016/06/14,3,8,36
2016/06/15,2,7,34
2016/06/16,2,7,33
2016/06/17,2,6,35
2016/06/18,2,6,39
2016/06/19,2,6,40
2016/06/20,2,6,39
2016/06/21,2,6,39
2016/06/22,2,5,39
2016/06/23,2,7,40
2016/06/24,3,9,47
2016/06/25,3,9,46
2016/06/26,3,8,48
2016/06/27,3,7,45
2016/06/28,3,7,43
2016/06/29,3,7,43
2016/06/30,3,7,42
2016/07/01,3,7,41
2016/07/02,3,7,42
2016/07/03,3,8,46
2016/07/04,3,8,46
2016/07/05,3,8,47
2016/07/06,3,8,47
2016/07/07,3,9,48
2016/07/08,2,8,48
2016/07/09,2,8,48
2016/07/10,2,9,48
2016/07/11,2,9,49
2016/07/12,2,9,48
2016/07/13,2,8,45
2016/07/14,2,8,45
2016/07/15,2,8,45
2016/07/16,2,8,45
2016/07/17,2,8,44
2016/07/18,2,8,42
2016/07/19,2,8,42
2016/07/20,2,9,43
2016/07/21,2,9,46
2016/07/22,1,8,46
2016/07/23,1,7,45
2016/07/24,,5,38
2016/07/25,,5,39
2016/07/26,,5,39
2016/07/27,,5,39
2016/07/28,,5,37
2016/07/29,,4,38
2016/07/30,,3,38
2016/07/31,,3,37
2016/08/01,,3,36
2016/08/02,,3,31
2016/08/03,,3,31
2016/08/04,,3,30
2016/08/05,,3,29
2016/08/06,,3,26
2016/08/07,,3,27
2016/08/08,,3,27
2016/08/09,,2,27
2016/08/10,,2,27
2016/08/11,,2,26
2016/08/12,,2,27
2016/08/13,,2,29
2016/08/14,,3,30
2016/08/15,,3,32
2016/08/16,,3,32
2016/08/17,,3,31
2016/08/18,,3,33
2016/08/19,,2,32
2016/08/20,,2,29
2016/08/21,,2,28
2016/08/22,,2,32
2016/08/23,,2,31
2016/08/24,,2,30
2016/08/25,,2,28
2016/08/26,,2,27
2016/08/27,,2,28
2016/08/28,,2,27
2016/08/29,,2,26
2016/08/30,,2,27
2016/08/31,,2,27
2016/09/01,,2,27
2016/09/02,,3,27
2016/09/03,,3,29
2016/09/04,,4,30
2016/09/05,,4,31
2016/09/06,,5,31
2016/09/07,,5,31
2016/09/08,,6,31
2016/09/09,,6,30
2016/09/10,,6,30
2016/09/11,,7,29
2016/09/12,,7,29
2016/09/13,,6,27
2016/09/14,,6,25
2016/09/15,,6,27
2016/09/16,,6,30
2016/09/17,,6,30
2016/09/18,,6,31
2016/09/19,,7,32
2016/09/20,,7,34
2016/09/21,,6,29
2016/09/22,,6,28
2016/09/23,,6,28
2016/09/24,,6,30
2016/09/25,,6,30
2016/09/26,,6,31
2016/09/27,,6,33
2016/09/28,,7,34
2016/09/29,,6,36
2016/09/30,,6,35
2016/10/01,,6,35
2016/10/02,,5,35
2016/10/03,,5,33
2016/10/04,,4,33
2016/10/05,,4,32
2016/10/06,,4,31
2016/10/07,,4,30
2016/10/08,,3,29
2016/10/09,,3,28
2016/10/10,,3,28
2016/10/11,,2,29
2016/10/12,,3,28
2016/10/13,,3,29
2016/10/14,,3,30
2016/10/15,,3,29
2016/10/16,,3,29
2016/10/17,,4,28
2016/10/18,,4,30
2016/10/19,,4,31
2016/10/20,,4,31
2016/10/21,,4,31
2016/10/22,,5,31
2016/10/23,,5,32
2016/10/24,,5,31
2016/10/25,,5,30
2016/10/26,,5,29
2016/10/27,,5,30
2016/10/28,,4,30
2016/10/29,,5,29
2016/10/30,,4,30
2016/10/31,,4,31
2016/11/01,,4,31
2016/11/02,,6,32
2016/11/03,,6,31
2016/11/04,,6,31
2016/11/05,,6,33
2016/11/06,,5,35
2016/11/07,,6,35
2016/11/08,,7,35
2016/11/09,,7,35
2016/11/10,,7,35
2016/11/11,,7,37
2016/11/12,,7,37
2016/11/13,,7,36
2016/11/14,,7,35
2016/11/15,,7,33
2016/11/16,,7,34
2016/11/17,,7,35
2016/11/18,,7,33
2016/11/19,,6,33
2016/11/20,,7,32
2016/11/21,,7,32
2016/11/22,,7,31
2016/11/23,,6,30
2016/11/24,,6,30
2016/11/25,,6,30
2016/11/26,,6,28
2016/11/27,,6,31
2016/11/28,,6,29
2016/11/29,1,6,28
2016/11/30,1,6,27
2016/12/01,1,6,25
2016/12/02,1,5,25
2016/12/03,1,5,25
2016/12/04,1,5,25
2016/12/05,1,5,22
2016/12/06,1,4,21
2016/12/07,1,4,23
2016/12/08,1,3,22
2016/12/09,1,3,22
2016/12/10,1,3,20
2016/12/11,1,3,18
2016/12/12,1,3,17
2016/12/13,1,3,18
2016/12/14,1,3,18
2016/12/15,1,3,18
2016/12/16,1,3,17
2016/12/17,1,2,16
2016/12/18,1,2,16
2016/12/19,1,2,17
2016/12/20,1,2,17
2016/12/21,1,3,17
2016/12/22,1,3,17
2016/12/23,1,3,17
2016/12/24,1,3,18
2016/12/25,1,3,17
2016/12/26,1,3,17
2016/12/27,1,2,12
2016/12/28,1,1,12
2016/12/29,1,1,12
2016/12/30,1,1,13
2016/12/31,1,1,14
2017/01/01,1,2,13
2017/01/02,1,3,14
2017/01/03,1,3,15
2017/01/04,1,3,16
2017/01/05,1,3,16
2017/01/06,1,3,16
2017/01/07,1,3,16
2017/01/08,1,3,16
2017/01/09,,3,16
2017/01/10,,4,17
2017/01/11,,4,17
2017/01/12,,4,16
2017/01/13,,4,18
2017/01/14,,4,19
2017/01/15,1,5,21
2017/01/16,1,4,21
2017/01/17,1,6,23
2017/01/18,1,6,26
2017/01/19,2,6,26
2017/01/20,2,6,25
2017/01/21,2,6,26
2017/01/22,2,6,25
2017/01/23,2,6,26
2017/01/24,2,6,27
2017/01/25,2,6,28
2017/01/26,2,6,29
2017/01/27,2,6,29
2017/01/28,3,7,31
2017/01/29,3,7,30
2017/01/30,3,7,30
2017/01/31,3,6,30
2017/02/01,3,6,31
2017/02/02,4,8,32
2017/02/03,4,8,32
2017/02/04,4,8,33
2017/02/05,4,8,33
2017/02/06,4,8,34
2017/02/07,4,8,35
2017/02/08,4,8,36
2017/02/09,4,8,36
2017/02/10,4,8,37
2017/02/11,4,8,37
2017/02/12,4,8,36
2017/02/13,4,8,36
2017/02/14,4,8,35
2017/02/15,4,9,36
2017/02/16,4,8,34
2017/02/17,4,7,33
2017/02/18,3,7,34
2017/02/19,3,6,37
2017/02/20,3,7,36
2017/02/21,3,6,36
2017/02/22,3,7,36
2017/02/23,2,6,35
2017/02/24,2,6,34
2017/02/25,2,6,34
2017/02/26,2,5,34
2017/02/27,1,5,33
2017/02/28,1,5,34
2017/03/01,1,5,34
2017/03/02,1,5,33
2017/03/03,1,5,32
2017/03/04,1,5,30
2017/03/05,,4,28
2017/03/06,,4,27
