date,vlswiki (100+),vlswiki (5+),vlswiki (all)
2015/08/27,1,5,15
2015/08/28,1,6,15
2015/08/29,1,6,15
2015/08/30,1,6,15
2015/08/31,1,6,15
2015/09/01,1,6,15
2015/09/02,1,6,14
2015/09/03,1,5,14
2015/09/04,1,5,13
2015/09/05,1,5,13
2015/09/06,1,5,13
2015/09/07,1,5,14
2015/09/08,1,5,14
2015/09/09,1,5,14
2015/09/10,1,5,15
2015/09/11,1,5,15
2015/09/12,1,5,17
2015/09/13,1,4,17
2015/09/14,1,4,18
2015/09/15,2,4,18
2015/09/16,2,4,18
2015/09/17,1,4,17
2015/09/18,1,4,17
2015/09/19,1,4,16
2015/09/20,1,4,16
2015/09/21,1,4,16
2015/09/22,1,4,16
2015/09/23,1,4,17
2015/09/24,1,4,17
2015/09/25,1,4,17
2015/09/26,1,4,15
2015/09/27,1,4,15
2015/09/28,1,4,15
2015/09/29,1,4,16
2015/09/30,1,4,18
2015/10/01,1,4,20
2015/10/02,1,5,21
2015/10/03,1,5,21
2015/10/04,1,5,20
2015/10/05,1,4,20
2015/10/06,1,5,20
2015/10/07,1,5,20
2015/10/08,1,4,22
2015/10/09,1,5,24
2015/10/10,1,5,24
2015/10/11,1,5,24
2015/10/12,1,6,22
2015/10/13,1,7,21
2015/10/14,1,7,21
