date,Active Editors Total
2014/07/03,84166.0
2014/07/04,83873.0
2014/07/05,83529.0
2014/07/06,83122.0
2014/07/07,82941.0
2014/07/08,83267.0
2014/07/09,83465.0
2014/07/10,83336.0
2014/07/11,83093.0
2014/07/12,83030.0
2014/07/13,82833.0
2014/07/14,82782.0
2014/07/15,83131.0
2014/07/16,83484.0
2014/07/17,83423.0
2014/07/18,83415.0
2014/07/19,83393.0
2014/07/20,83157.0
2014/07/21,83124.0
2014/07/22,83555.0
2014/07/23,83830.0
2014/07/24,83984.0
2014/07/25,84133.0
2014/07/26,84138.0
2014/07/27,83921.0
2014/07/28,83851.0
2014/07/29,84296.0
2014/07/30,84481.0
2014/07/31,84558.0
2014/08/01,84685.0
2014/08/02,84605.0
2014/08/03,84393.0
2014/08/04,84514.0
2014/08/05,84980.0
2014/08/06,85380.0
2014/08/07,85437.0
2014/08/08,85505.0
2014/08/09,85552.0
2014/08/10,85359.0
2014/08/11,85273.0
2014/08/12,85624.0
2014/08/13,86037.0
2014/08/14,86186.0
2014/08/15,86322.0
2014/08/16,86215.0
2014/08/17,85980.0
2014/08/18,85851.0
2014/08/19,86195.0
2014/08/20,86532.0
2014/08/21,86466.0
2014/08/22,86524.0
2014/08/23,86523.0
2014/08/24,86222.0
2014/08/25,86017.0
2014/08/26,86456.0
2014/08/27,86825.0
2014/08/28,86777.0
2014/08/29,86615.0
2014/08/30,86403.0
2014/08/31,86156.0
2014/09/01,86044.0
2014/09/02,86339.0
2014/09/03,86553.0
2014/09/04,86578.0
2014/09/05,86313.0
2014/09/06,86114.0
2014/09/07,85839.0
2014/09/08,85705.0
2014/09/09,86074.0
2014/09/10,86170.0
2014/09/11,85855.0
2014/09/12,85681.0
2014/09/13,85279.0
2014/09/14,84916.0
2014/09/15,84690.0
2014/09/16,84836.0
2014/09/17,84854.0
2014/09/18,84746.0
2014/09/19,84515.0
2014/09/20,84208.0
2014/09/21,83744.0
2014/09/22,83449.0
2014/09/23,83555.0
2014/09/24,83691.0
2014/09/25,83618.0
2014/09/26,83330.0
2014/09/27,82956.0
2014/09/28,82563.0
2014/09/29,82430.0
2014/09/30,82595.0
2014/10/01,82644.0
2014/10/02,82606.0
2014/10/03,82511.0
2014/10/04,82304.0
2014/10/05,82185.0
2014/10/06,82263.0
2014/10/07,82544.0
2014/10/08,82769.0
2014/10/09,82880.0
2014/10/10,82669.0
2014/10/11,82727.0
2014/10/12,82535.0
2014/10/13,82522.0
2014/10/14,82928.0
2014/10/15,83237.0
2014/10/16,83400.0
2014/10/17,83468.0
2014/10/18,83430.0
2014/10/19,83396.0
2014/10/20,83462.0
2014/10/21,83791.0
2014/10/22,84064.0
2014/10/23,84117.0
2014/10/24,84135.0
2014/10/25,84129.0
2014/10/26,84084.0
2014/10/27,84238.0
2014/10/28,84617.0
2014/10/29,84942.0
2014/10/30,85070.0
2014/10/31,85144.0
2014/11/01,85116.0
2014/11/02,84992.0
2014/11/03,85096.0
2014/11/04,85548.0
2014/11/05,85878.0
2014/11/06,85999.0
2014/11/07,86058.0
2014/11/08,86130.0
2014/11/09,86055.0
2014/11/10,86083.0
2014/11/11,86448.0
2014/11/12,86648.0
2014/11/13,86540.0
2014/11/14,86452.0
2014/11/15,86369.0
2014/11/16,86164.0
2014/11/17,86135.0
2014/11/18,86552.0
2014/11/19,87002.0
2014/11/20,87010.0
2014/11/21,86984.0
2014/11/22,86811.0
2014/11/23,86688.0
2014/11/24,86699.0
2014/11/25,87022.0
2014/11/26,87056.0
2014/11/27,87134.0
2014/11/28,86888.0
2014/11/29,86597.0
2014/11/30,86440.0
2014/12/01,86469.0
2014/12/02,86834.0
2014/12/03,86872.0
2014/12/04,86912.0
2014/12/05,86964.0
2014/12/06,86873.0
2014/12/07,86632.0
2014/12/08,86647.0
2014/12/09,87039.0
2014/12/10,87324.0
2014/12/11,87372.0
2014/12/12,87405.0
2014/12/13,87284.0
2014/12/14,87089.0
2014/12/15,87061.0
2014/12/16,87506.0
2014/12/17,87686.0
2014/12/18,87540.0
2014/12/19,87297.0
2014/12/20,87108.0
2014/12/21,86829.0
2014/12/22,86772.0
2014/12/23,87064.0
2014/12/24,87138.0
2014/12/25,86609.0
2014/12/26,86024.0
2014/12/27,85633.0
2014/12/28,85533.0
2014/12/29,85762.0
2014/12/30,86061.0
2014/12/31,86143.0
2015/01/01,85810.0
2015/01/02,85598.0
2015/01/03,85671.0
2015/01/04,85707.0
2015/01/05,85980.0
2015/01/06,86526.0
2015/01/07,86886.0
2015/01/08,86939.0
2015/01/09,86987.0
2015/01/10,87042.0
2015/01/11,86903.0
2015/01/12,86918.0
2015/01/13,87409.0
2015/01/14,87792.0
2015/01/15,87877.0
2015/01/16,88163.0
2015/01/17,88336.0
2015/01/18,88343.0
2015/01/19,88689.0
2015/01/20,89344.0
2015/01/21,89818.0
2015/01/22,90247.0
2015/01/23,90606.0
2015/01/24,91296.0
2015/01/25,91985.0
2015/01/26,92521.0
2015/01/27,93048.0
2015/01/28,93518.0
2015/01/29,93872.0
2015/01/30,94106.0
2015/01/31,94550.0
2015/02/01,94856.0
2015/02/02,94950.0
2015/02/03,95020.0
2015/02/04,95262.0
2015/02/05,95345.0
2015/02/06,95439.0
2015/02/07,95536.0
2015/02/08,95541.0
2015/02/09,95702.0
2015/02/10,95960.0
2015/02/11,96218.0
2015/02/12,96449.0
2015/02/13,96561.0
2015/02/14,96550.0
2015/02/15,96302.0
2015/02/16,96162.0
2015/02/17,96395.0
2015/02/18,96660.0
2015/02/19,96808.0
2015/02/20,96823.0
2015/02/21,96783.0
2015/02/22,96589.0
2015/02/23,96591.0
2015/02/24,97002.0
2015/02/25,97208.0
2015/02/26,97332.0
2015/02/27,97289.0
2015/02/28,97190.0
2015/03/01,96962.0
2015/03/02,96933.0
2015/03/03,97136.0
2015/03/04,97297.0
2015/03/05,97327.0
2015/03/06,97400.0
2015/03/07,97225.0
2015/03/08,97145.0
2015/03/09,97194.0
2015/03/10,97403.0
2015/03/11,97571.0
2015/03/12,97530.0
2015/03/13,97423.0
2015/03/14,97163.0
2015/03/15,96892.0
2015/03/16,96932.0
2015/03/17,97327.0
2015/03/18,97470.0
2015/03/19,97425.0
2015/03/20,97372.0
2015/03/21,97111.0
2015/03/22,96914.0
2015/03/23,96793.0
2015/03/24,97132.0
2015/03/25,97390.0
2015/03/26,97261.0
2015/03/27,97255.0
2015/03/28,97150.0
2015/03/29,96779.0
2015/03/30,96764.0
2015/03/31,97132.0
2015/04/01,97363.0
2015/04/02,97299.0
2015/04/03,97184.0
2015/04/04,96841.0
2015/04/05,96530.0
2015/04/06,96475.0
2015/04/07,96492.0
2015/04/08,96484.0
2015/04/09,96349.0
2015/04/10,96166.0
2015/04/11,95924.0
2015/04/12,95628.0
2015/04/13,95507.0
2015/04/14,95627.0
2015/04/15,95628.0
2015/04/16,95304.0
2015/04/17,95121.0
2015/04/18,94966.0
2015/04/19,94429.0
2015/04/20,94335.0
2015/04/21,94536.0
2015/04/22,94646.0
2015/04/23,94373.0
2015/04/24,94048.0
2015/04/25,93781.0
2015/04/26,93372.0
2015/04/27,93149.0
2015/04/28,93485.0
2015/04/29,93529.0
2015/04/30,93289.0
2015/05/01,92721.0
2015/05/02,92118.0
2015/05/03,91696.0
2015/05/04,91396.0
2015/05/05,91514.0
2015/05/06,91393.0
2015/05/07,90960.0
2015/05/08,90487.0
2015/05/09,90045.0
2015/05/10,89464.0
2015/05/11,88895.0
2015/05/12,88821.0
2015/05/13,88690.0
2015/05/14,88332.0
2015/05/15,87870.0
2015/05/16,87455.0
2015/05/17,86773.0
2015/05/18,86321.0
2015/05/19,86289.0
2015/05/20,86216.0
2015/05/21,85860.0
2015/05/22,85186.0
2015/05/23,84533.0
2015/05/24,83661.0
2015/05/25,83000.0
2015/05/26,88033.0
2015/05/27,91840.0
2015/05/28,93083.0
2015/05/29,93013.0
2015/05/30,92768.0
2015/05/31,92390.0
2015/06/01,92370.0
2015/06/02,92856.0
2015/06/03,93078.0
2015/06/04,92808.0
2015/06/05,92588.0
2015/06/06,92297.0
2015/06/07,91901.0
2015/06/08,91690.0
2015/06/09,92047.0
2015/06/10,92428.0
2015/06/11,92378.0
2015/06/12,92272.0
2015/06/13,92017.0
2015/06/14,91625.0
2015/06/15,91522.0
2015/06/16,91797.0
2015/06/17,92011.0
2015/06/18,92033.0
2015/06/19,91818.0
2015/06/20,91698.0
2015/06/21,91436.0
2015/06/22,91377.0
2015/06/23,91900.0
2015/06/24,92237.0
2015/06/25,92336.0
2015/06/26,92323.0
2015/06/27,92215.0
2015/06/28,91807.0
2015/06/29,91609.0
2015/06/30,91864.0
2015/07/01,91893.0
2015/07/02,91726.0
2015/07/03,91392.0
2015/07/04,91112.0
2015/07/05,90794.0
2015/07/06,90601.0
2015/07/07,90821.0
2015/07/08,90950.0
2015/07/09,90747.0
2015/07/10,90568.0
2015/07/11,90213.0
2015/07/12,89809.0
2015/07/13,89743.0
2015/07/14,90027.0
2015/07/15,89977.0
2015/07/16,89904.0
2015/07/17,89667.0
2015/07/18,89195.0
2015/07/19,88702.0
2015/07/20,88431.0
2015/07/21,88808.0
2015/07/22,88987.0
2015/07/23,88768.0
2015/07/24,88504.0
2015/07/25,88209.0
2015/07/26,87672.0
2015/07/27,87417.0
2015/07/28,87710.0
2015/07/29,88058.0
2015/07/30,88123.0
2015/07/31,88160.0
2015/08/01,88124.0
2015/08/02,87852.0
2015/08/03,87747.0
2015/08/04,88013.0
2015/08/05,88376.0
2015/08/06,88341.0
2015/08/07,88381.0
2015/08/08,88255.0
2015/08/09,87865.0
2015/08/10,87716.0
2015/08/11,87938.0
2015/08/12,88226.0
2015/08/13,88142.0
2015/08/14,88058.0
2015/08/15,87906.0
2015/08/16,87623.0
2015/08/17,87740.0
2015/08/18,88242.0
2015/08/19,88508.0
2015/08/20,88431.0
2015/08/21,88329.0
2015/08/22,88248.0
2015/08/23,87956.0
2015/08/24,87840.0
2015/08/25,88203.0
2015/08/26,88454.0
2015/08/27,88446.0
2015/08/28,88384.0
2015/08/29,88145.0
2015/08/30,87790.0
2015/08/31,87769.0
2015/09/01,88154.0
2015/09/02,88580.0
2015/09/03,88768.0
2015/09/04,88708.0
2015/09/05,88714.0
2015/09/06,88523.0
2015/09/07,88505.0
2015/09/08,88773.0
2015/09/09,89068.0
2015/09/10,89141.0
2015/09/11,88941.0
2015/09/12,88783.0
2015/09/13,88600.0
2015/09/14,88591.0
2015/09/15,88952.0
2015/09/16,89129.0
2015/09/17,88965.0
2015/09/18,88873.0
2015/09/19,88760.0
2015/09/20,88445.0
2015/09/21,88251.0
2015/09/22,88487.0
2015/09/23,88594.0
2015/09/24,88469.0
2015/09/25,88317.0
2015/09/26,88051.0
2015/09/27,87706.0
2015/09/28,87608.0
2015/09/29,87754.0
2015/09/30,87769.0
2015/10/01,87608.0
2015/10/02,87425.0
2015/10/03,87167.0
2015/10/04,86838.0
2015/10/05,86701.0
2015/10/06,87011.0
2015/10/07,87126.0
2015/10/08,87142.0
2015/10/09,87208.0
2015/10/10,86965.0
2015/10/11,86775.0
2015/10/12,86824.0
2015/10/13,87175.0
2015/10/14,87425.0
2015/10/15,87416.0
2015/10/16,87449.0
2015/10/17,87346.0
2015/10/18,87311.0
2015/10/19,87380.0
2015/10/20,87804.0
2015/10/21,88052.0
2015/10/22,88041.0
2015/10/23,88077.0
2015/10/24,88077.0
2015/10/25,87930.0
