date,nlwiki (100+),nlwiki (5+),nlwiki (all)
2015/03/06,215,1556,4675
2015/03/07,215,1554,4663
2015/03/08,219,1544,4671
2015/03/09,224,1545,4665
2015/03/10,218,1555,4702
2015/03/11,217,1560,4689
2015/03/12,215,1549,4653
2015/03/13,215,1544,4622
2015/03/14,215,1547,4594
2015/03/15,216,1541,4540
2015/03/16,216,1544,4537
2015/03/17,216,1539,4564
2015/03/18,214,1530,4560
2015/03/19,216,1525,4551
2015/03/20,211,1527,4523
2015/03/21,213,1519,4540
2015/03/22,213,1532,4543
2015/03/23,213,1521,4526
2015/03/24,215,1525,4557
2015/03/25,213,1539,4582
2015/03/26,213,1525,4567
2015/03/27,212,1511,4567
2015/03/28,207,1497,4549
2015/03/29,208,1492,4531
2015/03/30,207,1495,4532
2015/03/31,206,1503,4545
2015/04/01,202,1501,4553
2015/04/02,207,1488,4526
2015/04/03,214,1495,4532
2015/04/04,216,1481,4505
2015/04/05,214,1471,4481
2015/04/06,217,1479,4472
2015/04/07,220,1473,4487
2015/04/08,219,1468,4461
2015/04/09,215,1450,4422
2015/04/10,219,1444,4404
2015/04/11,224,1437,4370
2015/04/12,225,1452,4370
2015/04/13,230,1448,4353
2015/04/14,225,1460,4400
2015/04/15,223,1461,4391
2015/04/16,224,1444,4381
2015/04/17,224,1445,4370
2015/04/18,223,1440,4340
2015/04/19,224,1429,4336
2015/04/20,218,1433,4314
2015/04/21,215,1422,4307
2015/04/22,214,1428,4292
2015/04/23,216,1404,4261
2015/04/24,218,1393,4226
2015/04/25,220,1390,4178
2015/04/26,221,1378,4149
2015/04/27,222,1382,4131
2015/04/28,222,1383,4128
2015/04/29,218,1388,4109
2015/04/30,219,1375,4083
2015/05/01,218,1367,4059
2015/05/02,212,1374,4039
2015/05/03,212,1371,4015
2015/05/04,214,1386,4038
2015/05/05,215,1395,4059
2015/05/06,213,1399,4096
2015/05/07,216,1392,4076
2015/05/08,219,1389,4071
2015/05/09,218,1375,4032
2015/05/10,221,1380,4050
2015/05/11,222,1391,4072
2015/05/12,219,1388,4075
2015/05/13,217,1389,4080
2015/05/14,218,1378,4041
2015/05/15,218,1374,4046
2015/05/16,218,1374,4036
2015/05/17,221,1370,4027
2015/05/18,222,1370,4035
2015/05/19,219,1382,4060
2015/05/20,217,1387,4064
2015/05/21,217,1392,4082
2015/05/22,218,1402,4081
2015/05/23,212,1394,4044
2015/05/24,211,1398,4036
2015/05/25,208,1394,4045
2015/05/26,213,1394,4057
2015/05/27,213,1392,4092
2015/05/28,212,1393,4117
2015/05/29,215,1408,4115
2015/05/30,216,1406,4099
2015/05/31,218,1394,4080
2015/06/01,223,1407,4097
2015/06/02,227,1418,4118
2015/06/03,224,1404,4118
2015/06/04,227,1403,4145
2015/06/05,228,1391,4100
2015/06/06,229,1378,4077
2015/06/07,228,1382,4030
2015/06/08,227,1393,4058
2015/06/09,226,1392,4084
2015/06/10,222,1403,4083
2015/06/11,224,1409,4090
2015/06/12,219,1416,4095
2015/06/13,222,1428,4092
2015/06/14,217,1419,4068
2015/06/15,225,1428,4097
2015/06/16,223,1432,4100
2015/06/17,224,1422,4094
2015/06/18,218,1427,4104
2015/06/19,215,1445,4116
2015/06/20,218,1441,4091
2015/06/21,218,1435,4105
2015/06/22,222,1439,4126
2015/06/23,228,1442,4133
2015/06/24,220,1454,4134
2015/06/25,218,1447,4114
2015/06/26,214,1448,4084
2015/06/27,215,1441,4048
2015/06/28,215,1443,4021
2015/06/29,214,1429,4023
2015/06/30,212,1435,4036
2015/07/01,207,1421,4005
2015/07/02,206,1421,3983
2015/07/03,208,1419,3944
2015/07/04,209,1416,3941
2015/07/05,206,1422,3929
2015/07/06,210,1440,3947
2015/07/07,212,1443,3988
2015/07/08,214,1450,3987
2015/07/09,217,1452,3984
2015/07/10,216,1453,3954
2015/07/11,209,1453,3925
2015/07/12,212,1445,3887
2015/07/13,217,1453,3908
2015/07/14,220,1455,3915
2015/07/15,218,1450,3900
2015/07/16,213,1449,3876
2015/07/17,215,1441,3863
2015/07/18,214,1435,3837
2015/07/19,210,1426,3805
2015/07/20,215,1436,3818
2015/07/21,216,1456,3825
2015/07/22,208,1447,3808
2015/07/23,206,1440,3769
2015/07/24,201,1429,3759
2015/07/25,200,1425,3747
2015/07/26,201,1410,3719
2015/07/27,200,1401,3721
2015/07/28,203,1412,3737
2015/07/29,204,1413,3734
2015/07/30,204,1398,3736
2015/07/31,203,1399,3727
2015/08/01,203,1405,3712
2015/08/02,203,1408,3692
2015/08/03,198,1409,3672
2015/08/04,196,1406,3695
2015/08/05,194,1400,3679
2015/08/06,198,1388,3655
2015/08/07,200,1358,3639
2015/08/08,198,1350,3629
2015/08/09,195,1341,3636
2015/08/10,195,1353,3616
2015/08/11,200,1354,3624
2015/08/12,199,1345,3618
2015/08/13,200,1342,3626
2015/08/14,204,1334,3612
2015/08/15,202,1317,3607
2015/08/16,199,1301,3600
2015/08/17,200,1312,3619
2015/08/18,201,1320,3671
2015/08/19,201,1321,3675
2015/08/20,200,1306,3677
2015/08/21,196,1296,3701
2015/08/22,200,1298,3716
2015/08/23,199,1312,3723
2015/08/24,197,1304,3729
2015/08/25,201,1301,3727
2015/08/26,201,1307,3720
2015/08/27,200,1303,3718
2015/08/28,201,1300,3745
2015/08/29,199,1311,3727
2015/08/30,199,1300,3716
2015/08/31,202,1294,3727
2015/09/01,205,1284,3757
2015/09/02,204,1292,3791
2015/09/03,208,1293,3785
2015/09/04,210,1306,3803
2015/09/05,215,1302,3801
2015/09/06,215,1304,3823
2015/09/07,217,1309,3829
2015/09/08,221,1308,3824
2015/09/09,221,1313,3843
2015/09/10,223,1316,3829
2015/09/11,220,1292,3805
2015/09/12,224,1302,3780
2015/09/13,227,1311,3800
2015/09/14,227,1319,3820
2015/09/15,228,1318,3829
2015/09/16,232,1325,3830
2015/09/17,233,1318,3830
2015/09/18,236,1312,3831
2015/09/19,233,1305,3804
2015/09/20,233,1308,3785
2015/09/21,232,1299,3763
2015/09/22,229,1291,3771
2015/09/23,231,1288,3779
2015/09/24,231,1289,3762
2015/09/25,224,1289,3759
2015/09/26,221,1273,3742
2015/09/27,219,1272,3728
2015/09/28,223,1268,3739
2015/09/29,221,1272,3780
2015/09/30,220,1261,3792
2015/10/01,219,1268,3792
2015/10/02,224,1271,3774
2015/10/03,221,1273,3765
2015/10/04,224,1275,3758
2015/10/05,221,1283,3770
2015/10/06,221,1291,3785
2015/10/07,218,1290,3789
2015/10/08,212,1291,3811
2015/10/09,213,1293,3798
2015/10/10,211,1297,3800
2015/10/11,210,1301,3807
2015/10/12,209,1309,3841
2015/10/13,207,1314,3826
2015/10/14,213,1322,3833
2015/10/15,212,1329,3839
2015/10/16,209,1318,3833
2015/10/17,203,1299,3829
2015/10/18,202,1313,3805
2015/10/19,205,1323,3809
2015/10/20,203,1320,3825
2015/10/21,204,1309,3846
2015/10/22,200,1305,3824
2015/10/23,200,1300,3819
2015/10/24,197,1292,3812
2015/10/25,193,1286,3799
2015/10/26,192,1301,3818
2015/10/27,193,1315,3834
2015/10/28,196,1314,3834
2015/10/29,194,1314,3820
2015/10/30,194,1313,3846
2015/10/31,197,1322,3868
2015/11/01,196,1328,3844
2015/11/02,191,1335,3864
2015/11/03,190,1328,3889
2015/11/04,193,1315,3884
2015/11/05,192,1319,3887
2015/11/06,194,1329,3887
2015/11/07,198,1335,3888
2015/11/08,202,1337,3919
2015/11/09,206,1347,3947
2015/11/10,208,1352,3959
2015/11/11,201,1356,3972
2015/11/12,205,1369,4001
2015/11/13,209,1362,4003
2015/11/14,212,1376,3987
2015/11/15,212,1378,3969
2015/11/16,214,1379,3976
