date,lijwiki (100+),lijwiki (5+),lijwiki (all)
2015/09/29,,4,12
2015/09/30,,4,12
2015/10/01,,4,12
2015/10/02,,5,11
2015/10/03,,5,11
2015/10/04,,5,10
2015/10/05,,5,10
2015/10/06,,5,10
2015/10/07,,5,10
2015/10/08,,5,10
2015/10/09,1,6,11
2015/10/10,1,6,11
2015/10/11,1,5,12
2015/10/12,1,6,12
2015/10/13,1,6,12
2015/10/14,1,6,12
2015/10/15,1,6,12
2015/10/16,1,6,12
2015/10/17,1,6,13
2015/10/18,1,6,13
2015/10/19,1,6,13
2015/10/20,1,6,14
2015/10/21,1,5,13
2015/10/22,1,5,13
2015/10/23,1,5,13
2015/10/24,1,5,14
2015/10/25,1,5,12
2015/10/26,1,5,14
2015/10/27,1,5,14
2015/10/28,1,5,13
2015/10/29,1,5,13
2015/10/30,1,5,13
2015/10/31,1,6,13
2015/11/01,1,6,13
2015/11/02,1,6,13
2015/11/03,1,6,15
2015/11/04,1,7,16
2015/11/05,1,7,18
2015/11/06,1,7,18
2015/11/07,1,6,18
2015/11/08,,5,17
2015/11/09,,4,17
2015/11/10,,4,16
2015/11/11,,3,15
2015/11/12,,3,15
2015/11/13,,3,16
2015/11/14,,3,16
2015/11/15,,3,16
2015/11/16,,3,14
2015/11/17,,3,14
2015/11/18,,2,15
2015/11/19,,2,16
2015/11/20,,3,16
2015/11/21,,3,16
2015/11/22,1,3,16
2015/11/23,1,3,17
2015/11/24,1,3,17
2015/11/25,1,3,16
2015/11/26,1,3,17
2015/11/27,1,3,17
2015/11/28,1,3,17
2015/11/29,1,3,17
2015/11/30,1,3,18
2015/12/01,1,3,18
2015/12/02,1,3,17
2015/12/03,1,3,15
2015/12/04,1,2,14
2015/12/05,1,2,12
2015/12/06,1,2,14
2015/12/07,1,2,14
2015/12/08,1,2,14
2015/12/09,1,2,14
2015/12/10,1,2,15
2015/12/11,1,2,15
2015/12/12,1,2,17
2015/12/13,1,2,16
2015/12/14,1,1,16
2015/12/15,1,1,16
2015/12/16,1,1,17
2015/12/17,1,1,17
2016/01/18,,3,17
2016/01/19,,3,17
2016/01/20,,3,16
2016/01/21,,2,16
2016/01/22,,2,16
2016/01/23,,2,17
2016/01/24,,2,18
2016/01/25,,3,18
2016/01/26,,3,19
2016/01/27,,3,18
2016/01/28,,4,17
2016/01/29,,4,18
2016/01/30,,4,18
2016/01/31,,4,19
2016/02/01,,4,19
2016/02/02,,4,20
2016/02/03,,4,20
2016/02/04,,4,20
2016/02/05,,4,20
2016/02/06,,4,20
2016/02/07,,3,19
2016/02/08,,3,19
2016/02/09,,3,19
2016/02/10,,3,18
2016/02/11,,3,17
2016/02/12,,3,19
2016/02/13,,4,19
2016/02/14,,4,18
2016/02/15,,4,17
2016/02/16,,4,17
2016/02/17,,4,18
2016/02/18,,4,18
2016/02/19,,5,18
2016/02/20,,5,18
2016/02/21,,6,18
2016/02/22,,6,17
2016/02/23,1,6,15
2016/02/24,1,5,14
2016/02/25,1,5,13
2016/02/26,1,4,13
2016/02/27,1,3,13
2016/02/28,1,2,12
2016/02/29,1,2,14
2016/03/01,1,2,14
2016/03/02,1,2,14
2016/03/03,1,2,14
2016/03/04,1,2,14
2016/03/05,1,2,15
2016/03/06,1,2,15
2016/03/07,1,2,16
2016/03/08,1,2,16
2016/03/09,1,2,15
2016/03/10,1,2,15
2016/03/11,1,2,15
2016/03/12,1,2,15
2016/03/13,1,2,14
2016/03/14,1,2,14
2016/03/15,1,2,14
2016/03/16,1,2,14
2016/03/17,1,3,15
2016/03/18,1,3,14
2016/03/19,1,3,15
2016/03/20,1,3,15
2016/03/21,,3,15
2016/03/22,,3,15
2016/03/23,,2,15
2016/03/24,,2,14
2016/03/25,,2,16
2016/03/26,,3,17
2016/03/27,,3,17
2016/03/28,,2,17
2016/03/29,,2,17
2016/03/30,,2,15
2016/03/31,,2,14
2016/04/01,,2,14
2016/04/02,,2,14
2016/04/03,,2,14
2016/04/04,,2,13
2016/04/05,,2,11
2016/04/06,,2,11
2016/04/07,,3,10
2016/04/08,,3,10
2016/04/09,,3,9
2016/04/10,,3,9
2016/04/11,,3,10
2016/04/12,,3,10
2016/04/13,,3,12
2016/04/14,,3,11
2016/04/15,,4,11
2016/04/16,,4,12
2016/04/17,,4,11
2016/04/18,,4,11
2016/04/19,,4,12
2016/04/20,,4,12
2016/04/21,,4,12
2016/04/22,,4,12
2016/04/23,,4,12
2016/04/24,,4,11
2016/04/25,,3,10
2016/04/26,,3,11
2016/04/27,,4,11
2016/04/28,,4,12
2016/04/29,,4,12
2016/04/30,,4,12
2016/05/01,,4,12
2016/05/02,,4,12
2016/05/03,,4,11
2016/05/04,,4,12
2016/05/05,,4,12
2016/05/06,,4,12
2016/05/07,,4,12
2016/05/08,,4,12
2016/05/09,,4,12
2016/05/10,,4,13
2016/05/11,,4,13
2016/05/12,,4,13
2016/05/13,,4,12
2016/05/14,,4,13
2016/05/15,,3,13
2016/05/16,,3,13
2016/05/17,,3,13
2016/05/18,,4,13
2016/05/19,1,3,15
2016/05/20,1,3,15
2016/05/21,1,3,15
2016/05/22,1,2,15
2016/05/23,1,2,15
2016/05/24,1,2,14
2016/05/25,1,2,14
2016/05/26,1,1,13
2016/05/27,1,1,12
2016/05/28,1,1,11
2016/05/29,1,1,11
2016/05/30,1,1,12
2016/05/31,1,2,13
2016/06/01,1,2,14
2016/06/02,1,2,14
2016/06/03,1,2,13
2016/06/04,1,2,14
2016/06/05,1,2,14
2016/06/06,1,3,14
2016/06/07,1,3,14
2016/06/08,1,3,14
2016/06/09,1,3,13
2016/06/10,1,2,13
2016/06/11,1,2,13
2016/06/12,1,2,13
2016/06/13,1,2,12
2016/06/14,1,2,13
2016/06/15,1,2,12
2016/06/16,1,2,12
2016/06/17,,3,12
2016/06/18,,2,9
2016/06/19,,2,9
2016/06/20,,2,9
2016/06/21,,2,9
2016/06/22,,2,9
2016/06/23,,2,9
2016/06/24,,1,9
2016/06/25,,1,9
2016/06/26,,2,9
2016/06/27,,2,10
2016/06/28,,2,10
2016/06/29,,2,9
2016/06/30,,2,8
2016/07/01,,2,9
2016/07/02,,2,10
2016/07/03,,2,9
2016/07/04,,2,8
2016/07/05,,2,9
2016/07/06,,2,10
2016/07/07,,2,10
2016/07/08,,2,10
2016/07/09,,2,10
2016/07/10,,2,10
2016/07/11,,2,10
2016/07/12,,2,11
2016/07/13,,2,11
2016/07/14,,2,12
2016/07/15,,2,12
2016/07/16,,2,12
2016/07/17,,2,11
2016/07/18,,1,11
2016/07/19,,1,11
2016/07/20,,1,11
2016/07/21,,1,11
2016/07/22,,1,11
2016/07/23,,2,13
2016/07/24,,3,13
2016/07/25,,3,13
2016/07/26,,3,13
2016/07/27,,2,12
2016/07/28,,2,13
2016/07/29,,2,12
2016/07/30,,2,13
2016/07/31,,2,12
2016/08/01,,2,12
2016/08/02,,2,12
2016/08/03,,2,13
2016/08/04,,3,13
2016/08/05,,4,12
2016/08/06,,4,12
2016/08/07,,4,12
2016/08/08,,4,13
2016/08/09,,4,13
2016/08/10,,4,13
2016/08/11,,4,14
2016/08/12,,4,14
2016/08/13,,5,14
2016/08/14,,5,15
2016/08/15,,5,16
2016/08/16,,6,16
2016/08/17,,6,16
2016/08/18,,6,16
2016/08/19,,6,18
2016/08/20,,6,18
2016/08/21,,6,19
2016/08/22,,5,17
2016/08/23,,5,17
2016/08/24,,5,17
2016/08/25,,5,18
2016/08/26,,5,18
2016/08/27,,5,17
2016/08/28,,5,17
2016/08/29,,5,18
2016/08/30,,6,18
2016/08/31,,6,19
2016/09/01,,7,20
2016/09/02,,8,21
2016/09/03,,6,19
2016/09/04,,6,20
2016/09/05,,7,21
2016/09/06,,7,21
2016/09/07,,6,19
2016/09/08,,6,21
2016/09/09,1,6,21
2016/09/10,1,6,21
2016/09/11,1,5,21
2016/09/12,1,5,20
2016/09/13,,5,19
2016/09/14,,5,19
2016/09/15,,5,19
2016/09/16,,6,19
2016/09/17,,6,19
2016/09/18,,6,18
2016/09/19,,6,18
2016/09/20,,7,17
2016/09/21,,7,17
2016/09/22,,7,17
2016/09/23,,7,17
2016/09/24,,7,16
2016/09/25,,7,17
2016/09/26,,7,17
2016/09/27,,7,18
2016/09/28,,6,17
2016/09/29,,6,16
2016/09/30,,6,14
2016/10/01,,5,13
2016/10/02,,5,14
2016/10/03,,5,14
2016/10/04,,5,13
2016/10/05,,4,12
2016/10/06,,4,13
2016/10/07,,4,13
2016/10/08,,4,12
2016/10/09,,5,12
2016/10/10,,5,13
2016/10/11,,5,13
2016/10/12,,5,12
2016/10/13,,5,12
2016/10/14,,4,11
2016/10/15,,4,11
2016/10/16,,3,11
2016/10/17,,3,11
2016/10/18,,2,11
