date,glwiki (100+),glwiki (5+),glwiki (all)
2015/07/27,22,72,233
2015/07/28,23,73,236
2015/07/29,24,72,233
2015/07/30,24,71,234
2015/07/31,25,70,239
2015/08/01,25,73,236
2015/08/02,25,73,236
2015/08/03,24,73,233
2015/08/04,25,75,234
2015/08/05,25,76,232
2015/08/06,25,75,234
2015/08/07,25,75,242
2015/08/08,25,75,247
2015/08/09,25,75,243
2015/08/10,25,75,242
2015/08/11,25,76,247
2015/08/12,25,78,251
2015/08/13,25,77,246
2015/08/14,25,76,244
2015/08/15,25,75,241
2015/08/16,25,77,241
2015/08/17,25,78,244
2015/08/18,25,79,244
2015/08/19,26,79,242
2015/08/20,26,79,244
2015/08/21,25,78,248
2015/08/22,25,78,249
2015/08/23,25,77,246
2015/08/24,25,74,249
2015/08/25,26,76,245
2015/08/26,26,77,241
2015/08/27,25,79,234
2015/08/28,24,81,242
2015/08/29,24,87,245
2015/08/30,23,86,241
2015/08/31,23,84,242
2015/09/01,24,85,243
2015/09/02,24,85,244
2015/09/03,26,85,241
2015/09/04,26,86,237
2015/09/05,26,86,233
2015/09/06,26,83,228
2015/09/07,26,85,228
2015/09/08,26,87,227
2015/09/09,28,88,229
2015/09/10,28,88,230
2015/09/11,28,87,235
2015/09/12,27,84,236
2015/09/13,28,85,233
2015/09/14,28,88,238
2015/09/15,28,89,237
2015/09/16,27,86,230
2015/09/17,27,86,230
2015/09/18,28,86,228
2015/09/19,28,87,229
2015/09/20,28,86,222
2015/09/21,28,85,224
2015/09/22,28,85,227
2015/09/23,28,85,222
2015/09/24,29,83,225
2015/09/25,29,81,225
2015/09/26,28,83,233
2015/09/27,28,82,234
2015/09/28,28,82,237
2015/09/29,28,82,246
2015/09/30,28,82,243
2015/10/01,29,81,240
2015/10/02,28,81,239
2015/10/03,28,81,237
2015/10/04,27,81,241
2015/10/05,26,82,243
2015/10/06,28,83,241
2015/10/07,28,84,246
2015/10/08,29,87,252
2015/10/09,30,89,251
2015/10/10,29,88,259
2015/10/11,29,89,255
2015/10/12,29,91,255
2015/10/13,28,90,254
2015/10/14,27,86,251
2015/10/15,27,86,253
2015/10/16,27,86,260
2015/10/17,27,86,259
2015/10/18,28,90,266
2015/10/19,31,94,274
2015/10/20,31,94,275
2015/10/21,30,94,276
2015/10/22,30,92,275
2015/10/23,29,93,273
2015/10/24,29,93,273
2015/10/25,28,92,277
2015/10/26,28,90,276
2015/10/27,28,93,272
2015/10/28,28,92,270
2015/10/29,28,89,263
2015/10/30,28,91,260
2015/10/31,27,94,261
2015/11/01,27,94,262
2015/11/02,26,97,270
2015/11/03,26,97,275
2015/11/04,25,95,277
2015/11/05,25,94,278
2015/11/06,24,95,277
2015/11/07,24,96,275
2015/11/08,22,103,279
2015/11/09,22,106,277
2015/11/10,22,104,279
2015/11/11,25,105,284
2015/11/12,25,107,288
2015/11/13,26,109,287
2015/11/14,23,105,290
2015/11/15,23,103,286
2015/11/16,26,102,284
2015/11/17,26,102,277
2015/11/18,25,99,271
2015/11/19,26,96,277
2015/11/20,26,94,273
2015/11/21,26,95,276
2015/11/22,25,95,277
2015/11/23,25,96,277
2015/11/24,25,95,282
2015/11/25,24,95,273
2015/11/26,23,95,268
2015/11/27,23,93,272
2015/11/28,23,93,272
2015/11/29,23,97,282
2015/11/30,23,98,284
2015/12/01,23,94,285
2015/12/02,24,98,285
2015/12/03,23,97,284
2015/12/04,22,97,283
2015/12/05,22,96,284
2015/12/06,22,94,283
2015/12/07,22,94,286
2015/12/08,23,86,282
2015/12/09,23,85,275
2015/12/10,24,87,276
2015/12/11,23,84,269
2015/12/12,24,83,268
2015/12/13,24,81,275
2015/12/14,24,86,276
2015/12/15,24,88,281
2015/12/16,23,87,285
2015/12/17,23,89,285
2016/01/18,25,83,254
2016/01/19,25,83,254
2016/01/20,25,83,260
2016/01/21,26,84,265
2016/01/22,26,83,264
