date,fawiki (100+),fawiki (5+),fawiki (all)
2015/04/10,96,1537,2974
2015/04/11,98,1551,2967
2015/04/12,94,1552,2970
2015/04/13,92,1555,2962
2015/04/14,90,1550,2978
2015/04/15,89,1546,2979
2015/04/16,93,1532,2969
2015/04/17,92,1511,2949
2015/04/18,93,1504,2932
2015/04/19,94,1485,2928
2015/04/20,95,1489,2933
2015/04/21,96,1506,2954
2015/04/22,99,1508,2952
2015/04/23,97,1494,2944
2015/04/24,99,1511,2945
2015/04/25,101,1521,2973
2015/04/26,100,1534,2986
2015/04/27,100,1540,2983
2015/04/28,101,1558,2985
2015/04/29,104,1561,2988
2015/04/30,97,1561,2965
2015/05/01,94,1521,2884
2015/05/02,89,1468,2789
2015/05/03,88,1440,2732
2015/05/04,86,1398,2653
2015/05/05,85,1344,2560
2015/05/06,81,1298,2468
2015/05/07,77,1253,2383
2015/05/08,75,1208,2295
2015/05/09,71,1163,2208
2015/05/10,68,1110,2117
2015/05/11,66,1053,2031
2015/05/12,61,1012,1930
2015/05/13,56,963,1853
2015/05/14,53,920,1755
2015/05/15,49,880,1663
2015/05/16,44,854,1585
2015/05/17,43,802,1499
2015/05/18,38,755,1397
2015/05/19,36,717,1305
2015/05/20,33,686,1218
2015/05/21,29,639,1131
2015/05/22,24,594,1034
2015/05/23,22,549,940
2015/05/24,16,498,835
2015/05/25,14,424,702
2015/05/26,94,1468,2269
2015/05/27,121,1702,2610
2015/05/28,136,1932,2936
2015/05/29,136,1939,2930
2015/05/30,136,1954,2949
2015/05/31,132,1959,2954
2015/06/01,133,1955,2944
2015/06/02,136,1961,2942
2015/06/03,139,1939,2927
2015/06/04,140,1939,2908
2015/06/05,139,1938,2902
2015/06/06,142,1937,2909
2015/06/07,138,1915,2888
2015/06/08,138,1923,2913
2015/06/09,145,1949,2923
2015/06/10,148,1967,2943
2015/06/11,149,1971,2952
2015/06/12,145,1968,2942
2015/06/13,149,1957,2940
2015/06/14,151,1968,2951
2015/06/15,151,1951,2957
2015/06/16,158,1958,2944
2015/06/17,159,1974,2956
2015/06/18,160,1991,2936
2015/06/19,159,1977,2935
2015/06/20,155,1981,2947
2015/06/21,153,1980,2955
2015/06/22,154,1988,2952
2015/06/23,152,2001,2976
2015/06/24,151,2003,2964
2015/06/25,154,1995,2943
2015/06/26,155,1987,2943
2015/06/27,156,1995,2951
2015/06/28,155,1977,2959
2015/06/29,154,1973,2963
2015/06/30,151,1954,2959
2015/07/01,146,1939,2973
2015/07/02,140,1926,2992
2015/07/03,143,1902,2986
2015/07/04,142,1886,3010
2015/07/05,141,1872,3033
2015/07/06,136,1840,3041
2015/07/07,134,1845,3059
2015/07/08,134,1822,3079
2015/07/09,135,1780,3072
2015/07/10,135,1744,3054
2015/07/11,133,1707,3059
2015/07/12,134,1683,3069
2015/07/13,132,1676,3082
2015/07/14,131,1651,3073
2015/07/15,131,1638,3079
2015/07/16,124,1623,3101
2015/07/17,121,1577,3088
2015/07/18,119,1545,3078
2015/07/19,119,1517,3081
2015/07/20,115,1480,3060
2015/07/21,110,1470,3073
2015/07/22,113,1454,3080
2015/07/23,111,1413,3060
2015/07/24,106,1386,3061
2015/07/25,100,1344,3029
2015/07/26,99,1334,3042
2015/07/27,98,1306,3035
2015/07/28,94,1324,3045
2015/07/29,94,1322,3059
2015/07/30,95,1331,3087
2015/07/31,98,1337,3073
2015/08/01,97,1354,3074
2015/08/02,101,1381,3092
2015/08/03,103,1400,3089
2015/08/04,109,1412,3077
2015/08/05,113,1433,3071
2015/08/06,111,1441,3054
2015/08/07,113,1444,3028
2015/08/08,119,1469,3025
2015/08/09,131,1471,3011
2015/08/10,132,1493,2996
2015/08/11,130,1500,2999
2015/08/12,133,1509,2991
2015/08/13,135,1531,3000
2015/08/14,136,1543,3000
2015/08/15,139,1552,2993
2015/08/16,136,1579,2997
2015/08/17,136,1587,2995
2015/08/18,142,1603,3000
2015/08/19,143,1607,2984
2015/08/20,149,1616,2975
2015/08/21,147,1625,2945
2015/08/22,150,1640,2965
2015/08/23,151,1644,2947
2015/08/24,151,1648,2935
2015/08/25,155,1645,2918
2015/08/26,154,1649,2922
2015/08/27,153,1653,2919
2015/08/28,154,1667,2925
2015/08/29,156,1677,2925
2015/08/30,156,1669,2927
2015/08/31,158,1677,2939
2015/09/01,160,1681,2936
2015/09/02,160,1682,2932
2015/09/03,162,1683,2926
2015/09/04,164,1682,2906
2015/09/05,162,1673,2889
2015/09/06,164,1677,2892
2015/09/07,166,1672,2892
2015/09/08,161,1673,2905
2015/09/09,153,1664,2898
2015/09/10,151,1656,2887
2015/09/11,154,1656,2880
2015/09/12,153,1662,2876
2015/09/13,153,1653,2865
2015/09/14,150,1673,2889
2015/09/15,152,1669,2883
2015/09/16,150,1660,2876
2015/09/17,145,1652,2860
2015/09/18,140,1649,2863
2015/09/19,139,1643,2850
2015/09/20,135,1641,2856
2015/09/21,136,1646,2846
2015/09/22,133,1649,2852
2015/09/23,133,1654,2841
2015/09/24,129,1656,2841
2015/09/25,119,1642,2807
2015/09/26,121,1631,2791
2015/09/27,121,1608,2756
2015/09/28,119,1611,2761
2015/09/29,119,1623,2781
2015/09/30,119,1620,2763
2015/10/01,112,1599,2727
2015/10/02,112,1591,2720
2015/10/03,110,1576,2710
2015/10/04,109,1568,2702
2015/10/05,110,1561,2689
2015/10/06,110,1556,2664
2015/10/07,110,1546,2642
2015/10/08,111,1518,2617
2015/10/09,110,1519,2602
2015/10/10,113,1512,2617
2015/10/11,108,1509,2618
2015/10/12,108,1504,2625
2015/10/13,108,1506,2617
2015/10/14,111,1488,2603
2015/10/15,111,1466,2601
2015/10/16,114,1464,2595
2015/10/17,112,1456,2582
2015/10/18,113,1459,2574
2015/10/19,111,1460,2566
2015/10/20,111,1457,2558
2015/10/21,105,1455,2554
2015/10/22,106,1458,2574
2015/10/23,105,1462,2574
2015/10/24,101,1451,2575
2015/10/25,104,1450,2567
2015/10/26,102,1478,2578
2015/10/27,102,1499,2605
2015/10/28,109,1492,2581
2015/10/29,111,1466,2556
2015/10/30,109,1468,2575
2015/10/31,112,1485,2592
2015/11/01,112,1482,2602
2015/11/02,113,1501,2633
2015/11/03,110,1513,2671
2015/11/04,113,1516,2693
2015/11/05,115,1521,2718
2015/11/06,114,1528,2722
2015/11/07,116,1542,2746
2015/11/08,110,1549,2759
2015/11/09,109,1546,2770
2015/11/10,111,1563,2765
2015/11/11,113,1568,2771
2015/11/12,116,1572,2792
2015/11/13,116,1563,2771
2015/11/14,118,1576,2777
2015/11/15,115,1581,2780
2015/11/16,113,1586,2781
2015/11/17,110,1584,2780
2015/11/18,113,1573,2772
2015/11/19,110,1579,2757
2015/11/20,111,1585,2746
2015/11/21,112,1582,2744
2015/11/22,111,1591,2761
2015/11/23,113,1589,2744
2015/11/24,112,1605,2745
2015/11/25,109,1599,2742
2015/11/26,113,1602,2746
2015/11/27,114,1605,2753
2015/11/28,115,1611,2757
2015/11/29,117,1611,2743
2015/11/30,112,1616,2762
2015/12/01,107,1607,2732
2015/12/02,109,1602,2719
2015/12/03,112,1600,2712
2015/12/04,113,1597,2704
2015/12/05,109,1596,2698
2015/12/06,108,1586,2694
2015/12/07,107,1598,2685
2015/12/08,108,1584,2667
2015/12/09,107,1577,2652
2015/12/10,112,1579,2663
2015/12/11,116,1588,2670
2015/12/12,113,1578,2641
2015/12/13,115,1589,2660
2015/12/14,114,1582,2647
2015/12/15,116,1588,2648
2015/12/16,115,1588,2660
2015/12/17,116,1581,2652
2016/01/18,118,1694,2881
2016/01/19,118,1717,2921
2016/01/20,125,1737,2932
2016/01/21,131,1752,2940
2016/01/22,131,1760,2945
2016/01/23,132,1767,2951
2016/01/24,129,1773,2961
2016/01/25,130,1767,2967
2016/01/26,127,1757,2960
2016/01/27,128,1769,2956
2016/01/28,132,1795,2982
2016/01/29,135,1804,3004
2016/01/30,134,1814,3004
2016/01/31,133,1823,3020
2016/02/01,133,1837,3024
2016/02/02,137,1833,3015
2016/02/03,135,1828,3006
2016/02/04,136,1834,3011
2016/02/05,137,1820,3003
2016/02/06,140,1814,2997
2016/02/07,142,1825,2972
2016/02/08,142,1806,2953
2016/02/09,141,1804,2936
2016/02/10,143,1787,2918
2016/02/11,146,1781,2899
2016/02/12,141,1791,2910
2016/02/13,140,1796,2885
2016/02/14,140,1800,2893
2016/02/15,140,1802,2888
2016/02/16,142,1798,2884
2016/02/17,145,1804,2893
2016/02/18,141,1798,2891
2016/02/19,141,1794,2874
2016/02/20,136,1793,2873
2016/02/21,139,1815,2899
2016/02/22,137,1797,2907
2016/02/23,137,1796,2894
2016/02/24,133,1790,2882
2016/02/25,133,1784,2880
2016/02/26,131,1782,2882
2016/02/27,128,1762,2850
2016/02/28,134,1755,2846
2016/02/29,131,1752,2838
2016/03/01,128,1759,2851
2016/03/02,134,1765,2866
2016/03/03,133,1758,2866
2016/03/04,132,1762,2855
2016/03/05,129,1749,2844
2016/03/06,130,1752,2836
2016/03/07,133,1750,2827
2016/03/08,130,1744,2815
2016/03/09,132,1748,2828
2016/03/10,133,1744,2824
2016/03/11,131,1734,2804
2016/03/12,132,1734,2804
2016/03/13,137,1726,2802
2016/03/14,137,1736,2819
2016/03/15,136,1734,2821
2016/03/16,136,1727,2809
2016/03/17,138,1733,2830
2016/03/18,138,1737,2823
2016/03/19,139,1717,2800
2016/03/20,140,1697,2771
2016/03/21,141,1672,2740
2016/03/22,137,1648,2706
2016/03/23,137,1637,2693
2016/03/24,140,1622,2685
2016/03/25,139,1636,2698
2016/03/26,139,1625,2703
2016/03/27,141,1629,2701
2016/03/28,141,1647,2723
2016/03/29,137,1636,2723
2016/03/30,135,1663,2755
2016/03/31,135,1651,2743
2016/04/01,133,1634,2704
2016/04/02,137,1633,2705
2016/04/03,134,1636,2718
2016/04/04,134,1636,2716
2016/04/05,131,1632,2729
2016/04/06,132,1635,2750
2016/04/07,132,1627,2737
2016/04/08,134,1623,2728
2016/04/09,133,1616,2705
2016/04/10,137,1637,2723
2016/04/11,136,1644,2753
2016/04/12,138,1660,2783
2016/04/13,138,1652,2767
2016/04/14,139,1654,2764
2016/04/15,141,1674,2790
2016/04/16,141,1658,2767
2016/04/17,145,1674,2794
2016/04/18,148,1689,2824
2016/04/19,150,1713,2872
2016/04/20,150,1736,2906
2016/04/21,151,1720,2922
2016/04/22,148,1729,2930
2016/04/23,143,1738,2933
2016/04/24,141,1747,2937
2016/04/25,142,1777,2976
2016/04/26,143,1786,2978
2016/04/27,144,1799,2989
2016/04/28,144,1792,2975
2016/04/29,140,1777,2963
2016/04/30,138,1768,2946
2016/05/01,137,1776,2954
2016/05/02,138,1776,2957
2016/05/03,139,1775,2947
2016/05/04,140,1781,2933
2016/05/05,139,1786,2927
2016/05/06,134,1776,2905
2016/05/07,139,1762,2893
2016/05/08,138,1766,2883
2016/05/09,138,1774,2889
2016/05/10,136,1761,2884
2016/05/11,137,1763,2875
2016/05/12,136,1755,2843
2016/05/13,134,1762,2839
2016/05/14,136,1764,2825
2016/05/15,137,1760,2830
2016/05/16,139,1776,2855
2016/05/17,133,1769,2853
2016/05/18,134,1753,2843
2016/05/19,132,1752,2829
2016/05/20,135,1739,2815
2016/05/21,139,1740,2803
2016/05/22,137,1733,2791
2016/05/23,139,1722,2786
2016/05/24,145,1699,2778
2016/05/25,145,1682,2755
2016/05/26,143,1664,2751
2016/05/27,141,1636,2723
2016/05/28,137,1645,2721
2016/05/29,136,1661,2727
2016/05/30,141,1651,2720
2016/05/31,144,1657,2738
2016/06/01,144,1669,2735
2016/06/02,151,1667,2736
2016/06/03,154,1678,2751
2016/06/04,157,1665,2754
2016/06/05,150,1676,2758
2016/06/06,150,1688,2782
2016/06/07,149,1707,2807
2016/06/08,149,1708,2808
2016/06/09,151,1734,2826
2016/06/10,161,1731,2828
2016/06/11,164,1738,2838
2016/06/12,165,1744,2851
2016/06/13,167,1764,2886
2016/06/14,170,1770,2902
2016/06/15,169,1860,3062
2016/06/16,172,1941,3233
2016/06/17,175,2002,3320
2016/06/18,173,2047,3392
2016/06/19,174,2098,3461
2016/06/20,173,2158,3556
2016/06/21,172,2187,3631
2016/06/22,172,2229,3713
2016/06/23,173,2243,3734
2016/06/24,176,2270,3757
2016/06/25,177,2297,3809
2016/06/26,181,2328,3864
2016/06/27,184,2367,3926
2016/06/28,188,2402,3964
2016/06/29,189,2450,4036
2016/06/30,186,2471,4058
2016/07/01,186,2496,4109
2016/07/02,184,2512,4169
2016/07/03,181,2552,4254
2016/07/04,183,2600,4321
2016/07/05,187,2638,4379
2016/07/06,187,2660,4423
2016/07/07,189,2648,4421
2016/07/08,190,2654,4440
2016/07/09,197,2654,4447
2016/07/10,189,2672,4485
2016/07/11,187,2697,4515
2016/07/12,187,2714,4537
2016/07/13,185,2716,4555
2016/07/14,185,2714,4561
2016/07/15,183,2654,4441
2016/07/16,182,2568,4304
2016/07/17,183,2551,4262
2016/07/18,183,2535,4222
2016/07/19,177,2507,4183
2016/07/20,175,2460,4119
2016/07/21,176,2448,4094
2016/07/22,174,2420,4059
2016/07/23,177,2420,4049
2016/07/24,179,2425,4063
2016/07/25,178,2420,4063
2016/07/26,179,2405,4055
2016/07/27,176,2378,4040
2016/07/28,172,2378,4028
2016/07/29,170,2342,3975
2016/07/30,176,2319,3946
2016/07/31,182,2316,3942
2016/08/01,178,2306,3924
2016/08/02,176,2271,3872
2016/08/03,178,2256,3835
2016/08/04,181,2221,3784
2016/08/05,178,2199,3735
2016/08/06,176,2209,3732
2016/08/07,175,2199,3726
2016/08/08,176,2211,3718
2016/08/09,177,2198,3702
2016/08/10,177,2192,3685
2016/08/11,182,2182,3675
2016/08/12,181,2147,3627
2016/08/13,177,2139,3622
2016/08/14,174,2139,3613
2016/08/15,170,2121,3596
2016/08/16,169,2104,3585
2016/08/17,171,2108,3579
2016/08/18,176,2098,3575
2016/08/19,172,2096,3570
2016/08/20,171,2091,3568
2016/08/21,172,2096,3560
2016/08/22,176,2096,3557
2016/08/23,175,2098,3559
2016/08/24,175,2078,3540
2016/08/25,167,2086,3545
2016/08/26,169,2074,3525
2016/08/27,168,2062,3504
2016/08/28,165,2069,3499
2016/08/29,163,2083,3511
2016/08/30,166,2079,3502
2016/08/31,166,2079,3487
2016/09/01,169,2081,3485
2016/09/02,170,2064,3485
2016/09/03,168,2080,3474
2016/09/04,165,2100,3511
2016/09/05,165,2103,3517
2016/09/06,165,2089,3506
2016/09/07,165,2078,3495
2016/09/08,167,2075,3482
2016/09/09,168,2083,3487
2016/09/10,172,2064,3459
2016/09/11,177,2062,3467
2016/09/12,177,2068,3490
2016/09/13,172,2089,3505
2016/09/14,170,2097,3516
2016/09/15,170,2086,3495
2016/09/16,170,2091,3510
2016/09/17,173,2084,3491
2016/09/18,172,2095,3509
2016/09/19,176,2097,3482
2016/09/20,176,2091,3476
2016/09/21,176,2056,3455
2016/09/22,172,2023,3414
2016/09/23,173,2015,3397
2016/09/24,169,2008,3361
2016/09/25,167,2002,3343
2016/09/26,167,1980,3335
2016/09/27,164,1965,3296
2016/09/28,163,1953,3272
2016/09/29,162,1952,3247
2016/09/30,158,1924,3237
2016/10/01,154,1918,3236
2016/10/02,152,1929,3238
2016/10/03,150,1918,3230
2016/10/04,154,1904,3218
2016/10/05,153,1918,3222
2016/10/06,155,1909,3196
2016/10/07,157,1899,3178
2016/10/08,160,1917,3199
2016/10/09,157,1906,3192
2016/10/10,152,1915,3217
2016/10/11,150,1924,3235
2016/10/12,150,1914,3210
2016/10/13,152,1892,3190
2016/10/14,147,1902,3205
2016/10/15,141,1903,3235
2016/10/16,142,1900,3222
2016/10/17,139,1917,3257
2016/10/18,143,1914,3248
2016/10/19,143,1892,3246
2016/10/20,141,1872,3215
2016/10/21,143,1884,3227
2016/10/22,141,1909,3271
2016/10/23,144,1921,3269
2016/10/24,141,1914,3283
2016/10/25,138,1924,3299
2016/10/26,138,1941,3317
2016/10/27,139,1952,3327
2016/10/28,138,1965,3358
2016/10/29,140,1980,3373
2016/10/30,139,1994,3380
2016/10/31,142,2012,3398
2016/11/01,142,2010,3416
2016/11/02,141,2022,3438
2016/11/03,143,2030,3436
2016/11/04,142,2032,3457
2016/11/05,144,2061,3502
2016/11/06,144,2064,3520
2016/11/07,147,2061,3520
2016/11/08,147,2071,3510
2016/11/09,147,2074,3508
2016/11/10,144,2063,3515
2016/11/11,146,2070,3519
2016/11/12,142,2057,3534
2016/11/13,141,2046,3531
2016/11/14,138,2059,3524
2016/11/15,141,2053,3539
2016/11/16,138,2063,3527
2016/11/17,137,2080,3532
2016/11/18,138,2084,3539
2016/11/19,141,2110,3562
2016/11/20,140,2106,3568
2016/11/21,142,2115,3561
2016/11/22,139,2096,3550
2016/11/23,141,2104,3562
2016/11/24,141,2115,3582
2016/11/25,137,2118,3576
2016/11/26,135,2107,3575
2016/11/27,136,2100,3569
2016/11/28,135,2106,3570
2016/11/29,134,2108,3578
2016/11/30,131,2111,3558
2016/12/01,130,2110,3569
2016/12/02,130,2126,3569
2016/12/03,131,2133,3580
2016/12/04,134,2109,3567
2016/12/05,136,2119,3554
2016/12/06,137,2133,3551
2016/12/07,144,2121,3546
2016/12/08,146,2099,3550
