date,gotwiki (100+),gotwiki (5+),gotwiki (all)
2015/11/07,1,2,4
2015/11/08,1,2,4
2015/11/09,1,2,5
2015/11/10,1,2,5
2015/11/11,1,2,5
2015/11/12,1,2,5
2015/11/13,1,2,5
2015/11/14,1,2,5
2015/11/15,1,2,5
2015/11/16,1,2,5
2015/11/17,1,2,5
2015/11/18,1,2,6
2015/11/19,1,2,6
2015/11/20,,2,6
2015/11/21,,2,6
2015/11/22,,2,6
2015/11/23,,2,8
2015/11/24,,1,7
2015/11/25,,1,6
2015/11/26,,1,6
2015/11/27,,1,7
2015/11/28,,1,7
2015/11/29,,1,7
2015/11/30,,1,7
2015/12/01,,1,7
2015/12/02,,1,7
2015/12/03,,1,7
2015/12/04,,1,7
2015/12/05,,1,7
2015/12/06,,1,7
2015/12/07,,1,7
2015/12/08,,1,7
2015/12/09,,1,6
2015/12/10,,1,6
2015/12/11,,1,6
2015/12/12,,1,6
2015/12/13,,1,6
2015/12/14,,1,6
2015/12/15,1,1,6
2015/12/16,1,1,6
2015/12/17,1,1,6
2016/01/18,1,4,10
2016/01/19,1,4,10
2016/01/20,1,4,9
2016/01/21,1,4,9
2016/01/22,1,4,9
2016/01/23,1,4,8
2016/01/24,1,4,7
2016/01/25,1,4,7
2016/01/26,1,4,7
2016/01/27,1,4,7
2016/01/28,1,4,7
2016/01/29,1,4,7
2016/01/30,1,4,7
2016/01/31,1,4,7
2016/02/01,1,4,7
2016/02/02,1,4,7
2016/02/03,1,4,7
2016/02/04,1,3,6
2016/02/05,1,3,6
2016/02/06,1,3,6
2016/02/07,1,4,6
2016/02/08,,4,6
2016/02/09,,3,5
2016/02/10,,3,4
2016/02/11,,2,4
2016/02/12,,2,3
2016/02/13,,2,3
2016/02/14,,2,3
2016/02/15,,2,3
2016/02/16,,2,2
2016/02/17,,2,2
2016/02/18,,2,2
2016/02/19,,2,2
2016/02/20,,2,2
2016/02/21,,2,2
2016/02/22,,2,2
2016/02/23,,2,2
2016/02/24,,2,2
2016/02/25,,2,2
2016/02/26,,2,2
2016/02/27,,2,2
2016/02/28,,2,2
2016/02/29,,2,2
2016/03/01,,2,2
2016/03/02,,2,2
2016/03/03,,1,2
2016/03/04,,1,2
2016/03/05,,1,2
2016/03/06,,1,2
2016/03/07,,1,3
2016/03/08,,2,2
2016/03/09,,2,2
2016/03/10,,2,2
2016/03/11,,2,2
2016/03/12,,2,2
2016/03/13,,2,2
2016/03/14,,2,2
2016/03/15,,2,2
2016/03/16,,2,2
2016/03/17,,2,2
2016/03/18,,3,3
2016/03/19,,3,3
2016/03/20,,3,3
2016/03/21,,3,3
2016/03/22,,3,3
2016/03/23,,3,3
2016/03/24,,3,3
2016/03/25,,4,4
2016/03/26,,4,4
2016/03/27,,4,4
2016/03/28,,4,4
2016/03/29,,4,5
2016/03/30,,4,6
2016/03/31,,4,6
2016/04/01,,4,6
2016/04/02,,4,6
2016/04/03,,4,6
2016/04/04,,4,6
2016/04/05,,4,6
2016/04/06,,4,6
2016/04/07,,3,6
2016/04/08,,3,6
2016/04/09,,3,7
2016/04/10,,3,7
2016/04/11,,3,6
2016/04/12,,3,6
2016/04/13,,3,6
2016/04/14,,3,6
2016/04/15,,3,6
2016/04/16,,3,6
2016/04/17,,3,6
2016/04/18,,3,6
2016/04/19,,3,6
2016/04/20,,3,6
2016/04/21,,3,6
2016/04/22,,2,6
2016/04/23,,2,6
2016/04/24,,2,5
2016/04/25,,2,5
2016/04/26,,2,5
2016/04/27,,2,5
2016/04/28,,1,4
2016/04/29,,1,2
2016/04/30,,1,2
2016/05/01,,1,2
2016/05/02,,,2
2016/05/03,,,2
2016/05/04,,,2
2016/05/05,,,2
2016/05/06,,,2
2016/05/07,,,2
2016/05/08,,,3
2016/05/09,,,2
2016/05/10,,,2
2016/05/11,,1,3
2016/05/12,,1,3
2016/05/13,,1,5
2016/05/14,,1,5
2016/05/15,,1,5
2016/05/16,,1,5
2016/05/17,,1,5
2016/05/18,,1,6
2016/05/19,,1,6
2016/05/20,,1,6
2016/05/21,,1,6
2016/05/22,,1,8
2016/05/23,,1,8
2016/05/24,,1,8
2016/05/25,,2,8
2016/05/26,,3,9
2016/05/27,,3,9
2016/05/28,,3,9
2016/05/29,,3,10
2016/05/30,,3,10
2016/05/31,,3,11
2016/06/01,,3,11
2016/06/02,,3,11
2016/06/03,,3,11
2016/06/04,,3,11
2016/06/05,,3,11
2016/06/06,,3,11
2016/06/07,,3,10
2016/06/08,,3,10
2016/06/09,,3,10
2016/06/10,,3,11
2016/06/11,,3,11
2016/06/12,,3,9
2016/06/13,,3,9
2016/06/14,,3,10
2016/06/15,,3,9
2016/06/16,,3,9
2016/06/17,,3,8
2016/06/18,,3,8
2016/06/19,,3,8
2016/06/20,,3,8
2016/06/21,,3,8
2016/06/22,,3,8
2016/06/23,,3,8
2016/06/24,,2,8
2016/06/25,,1,6
2016/06/26,,1,6
2016/06/27,,1,6
2016/06/28,,1,5
2016/06/29,,1,6
2016/06/30,,1,5
2016/07/01,,1,5
2016/07/02,,1,5
2016/07/03,,1,5
2016/07/04,,1,5
2016/07/05,,1,5
2016/07/06,,1,5
2016/07/07,,3,7
2016/07/08,,3,7
2016/07/09,,3,7
2016/07/10,,2,5
2016/07/11,,2,5
2016/07/12,,2,5
2016/07/13,,2,5
2016/07/14,,2,4
2016/07/15,,2,4
2016/07/16,,2,4
2016/07/17,,2,4
2016/07/18,,2,4
2016/07/19,,2,4
2016/07/20,,2,5
2016/07/21,,2,5
2016/07/22,,2,5
2016/07/23,,2,5
2016/07/24,,2,5
2016/07/25,,2,5
2016/07/26,,2,5
2016/07/27,,2,5
2016/07/28,,2,5
2016/07/29,,2,4
2016/07/30,,2,4
2016/07/31,,2,4
2016/08/01,,2,4
2016/08/02,,2,4
2016/08/03,,2,4
2016/08/04,,2,4
2016/08/05,,2,4
2016/08/06,,,3
2016/08/07,,,3
2016/08/08,,,3
2016/08/09,,1,3
2016/08/10,,1,3
2016/08/11,,1,3
2016/08/12,,1,3
2016/08/13,,1,3
2016/08/14,,1,4
2016/08/15,,1,4
2016/08/16,,1,4
2016/08/17,,1,4
2016/08/18,,1,5
2016/08/19,,1,4
2016/08/20,,1,4
2016/08/21,,1,5
2016/08/22,,1,5
2016/08/23,,1,4
2016/08/24,,1,4
2016/08/25,,1,4
2016/08/26,,1,4
2016/08/27,,1,4
2016/08/28,,1,4
2016/08/29,,1,4
2016/08/30,,1,4
2016/08/31,,1,4
2016/09/01,,1,4
2016/09/02,,1,5
2016/09/03,,1,5
2016/09/04,,1,5
2016/09/05,,1,5
2016/09/06,,1,5
2016/09/07,,1,6
2016/09/08,,1,6
2016/09/09,,1,6
2016/09/10,,2,6
2016/09/11,,2,6
2016/09/12,,2,6
2016/09/13,,2,5
2016/09/14,,2,5
2016/09/15,,2,5
2016/09/16,,2,5
2016/09/17,,2,4
2016/09/18,,2,4
2016/09/19,,2,4
2016/09/20,,2,4
2016/09/21,,2,4
2016/09/22,,2,4
2016/09/23,,2,4
2016/09/24,,2,4
2016/09/25,,2,4
2016/09/26,,2,4
2016/09/27,,2,4
2016/09/28,,2,5
2016/09/29,,2,5
2016/09/30,,2,5
2016/10/01,,2,6
2016/10/02,,2,5
2016/10/03,,2,5
2016/10/04,,2,5
2016/10/05,,2,5
2016/10/06,,2,5
2016/10/07,,2,4
2016/10/08,,2,4
2016/10/09,,2,5
2016/10/10,,2,5
2016/10/11,,2,5
2016/10/12,,2,5
2016/10/13,,2,5
2016/10/14,,2,5
2016/10/15,,2,5
2016/10/16,,2,6
2016/10/17,,2,6
2016/10/18,,2,6
2016/10/19,,2,6
2016/10/20,,2,6
2016/10/21,,2,6
2016/10/22,,2,7
2016/10/23,,2,7
2016/10/24,,2,7
2016/10/25,,2,7
2016/10/26,,2,7
2016/10/27,,2,8
2016/10/28,,2,7
2016/10/29,,2,7
2016/10/30,,2,8
2016/10/31,,2,7
2016/11/01,,2,7
2016/11/02,,1,6
2016/11/03,,,5
2016/11/04,,,5
2016/11/05,,,5
2016/11/06,,,5
2016/11/07,,,5
2016/11/08,,,5
2016/11/09,,,5
2016/11/10,,,5
2016/11/11,,,5
2016/11/12,,,5
2016/11/13,,,5
2016/11/14,,,5
