date,kmwiki (100+),kmwiki (5+),kmwiki (all)
2015/08/03,1,7,29
2015/08/04,1,7,29
2015/08/05,1,7,29
2015/08/06,1,8,30
2015/08/07,1,8,32
2015/08/08,1,8,31
2015/08/09,1,8,31
2015/08/10,1,8,32
2015/08/11,1,7,32
2015/08/12,1,7,33
2015/08/13,1,7,32
2015/08/14,1,7,31
2015/08/15,1,7,29
2015/08/16,1,7,29
2015/08/17,1,7,29
2015/08/18,1,7,30
2015/08/19,1,7,29
2015/08/20,1,7,29
2015/08/21,1,7,32
2015/08/22,1,7,30
2015/08/23,1,7,28
2015/08/24,1,7,27
2015/08/25,1,7,27
2015/08/26,1,8,28
2015/08/27,1,8,27
2015/08/28,1,8,27
2015/08/29,1,8,26
2015/08/30,1,7,25
2015/08/31,1,7,25
2015/09/01,1,7,24
2015/09/02,1,7,24
2015/09/03,1,9,25
2015/09/04,1,9,25
2015/09/05,1,8,25
2015/09/06,1,8,23
2015/09/07,1,8,24
2015/09/08,1,8,25
2015/09/09,1,7,25
2015/09/10,1,8,26
2015/09/11,1,7,26
2015/09/12,1,7,26
2015/09/13,1,7,28
2015/09/14,1,7,28
2015/09/15,1,7,29
2015/09/16,1,8,31
2015/09/17,1,8,32
2015/09/18,1,8,33
2015/09/19,1,8,33
2015/09/20,1,8,31
2015/09/21,1,8,32
2015/09/22,1,8,33
2015/09/23,1,8,33
2015/09/24,1,8,35
2015/09/25,1,8,33
2015/09/26,1,8,35
2015/09/27,1,8,35
2015/09/28,1,8,38
2015/09/29,1,8,39
2015/09/30,1,7,38
2015/10/01,1,7,39
2015/10/02,1,8,38
2015/10/03,1,8,38
2015/10/04,1,8,37
2015/10/05,1,8,36
2015/10/06,1,8,36
2015/10/07,1,8,36
2015/10/08,1,6,36
2015/10/09,1,6,37
2015/10/10,1,4,36
2015/10/11,1,4,37
2015/10/12,1,4,36
2015/10/13,1,4,36
2015/10/14,1,4,35
2015/10/15,1,4,34
2015/10/16,1,4,33
2015/10/17,1,4,31
2015/10/18,1,4,32
2015/10/19,1,6,34
2015/10/20,1,6,34
2015/10/21,1,6,34
2015/10/22,1,6,33
2015/10/23,1,6,37
2015/10/24,1,6,36
2015/10/25,1,6,35
2015/10/26,1,7,34
2015/10/27,1,7,36
2015/10/28,1,7,33
2015/10/29,1,7,32
2015/10/30,1,7,32
2015/10/31,1,7,29
2015/11/01,1,6,28
2015/11/02,1,6,28
2015/11/03,1,5,29
2015/11/04,1,6,28
2015/11/05,1,6,31
2015/11/06,1,6,31
2015/11/07,1,6,32
2015/11/08,1,6,30
2015/11/09,1,6,30
2015/11/10,1,6,28
2015/11/11,1,6,28
2015/11/12,1,6,27
2015/11/13,1,6,28
2015/11/14,1,6,28
2015/11/15,1,6,30
2015/11/16,1,7,33
2015/11/17,1,7,32
2015/11/18,1,6,32
2015/11/19,1,4,32
2015/11/20,1,4,32
2015/11/21,1,4,32
2015/11/22,1,5,29
2015/11/23,1,5,28
2015/11/24,1,5,27
2015/11/25,1,4,25
2015/11/26,1,4,23
2015/11/27,1,4,23
2015/11/28,1,4,23
2015/11/29,1,4,23
2015/11/30,1,4,23
2015/12/01,1,4,23
2015/12/02,1,5,23
2015/12/03,1,5,22
2015/12/04,1,5,23
2015/12/05,1,4,20
2015/12/06,1,4,20
2015/12/07,1,4,20
2015/12/08,1,4,21
2015/12/09,1,4,23
2015/12/10,1,5,23
2015/12/11,1,5,23
2015/12/12,1,5,24
2015/12/13,1,5,23
2015/12/14,1,5,23
2015/12/15,1,5,24
2015/12/16,1,4,23
2015/12/17,1,4,21
2016/01/18,1,4,15
2016/01/19,1,4,16
2016/01/20,1,4,16
2016/01/21,1,4,15
2016/01/22,1,4,16
2016/01/23,1,5,17
2016/01/24,1,5,17
2016/01/25,1,5,16
2016/01/26,1,5,17
2016/01/27,1,5,19
2016/01/28,1,6,20
2016/01/29,1,6,20
2016/01/30,1,6,20
2016/01/31,1,6,21
2016/02/01,1,7,22
2016/02/02,1,7,22
2016/02/03,1,6,23
2016/02/04,1,6,23
2016/02/05,1,6,25
2016/02/06,1,6,25
2016/02/07,1,7,25
2016/02/08,1,7,25
2016/02/09,1,7,26
2016/02/10,1,7,25
2016/02/11,1,7,25
2016/02/12,1,7,26
2016/02/13,1,6,24
2016/02/14,1,6,24
2016/02/15,1,5,24
2016/02/16,1,5,24
2016/02/17,1,5,24
2016/02/18,1,7,24
2016/02/19,1,7,23
2016/02/20,1,7,25
2016/02/21,1,7,25
2016/02/22,1,7,26
2016/02/23,1,6,25
2016/02/24,1,6,27
2016/02/25,1,5,28
2016/02/26,1,5,26
2016/02/27,1,5,25
2016/02/28,1,7,25
2016/02/29,1,7,24
2016/03/01,1,8,23
2016/03/02,1,7,23
2016/03/03,1,9,24
2016/03/04,1,9,24
2016/03/05,2,9,24
2016/03/06,2,9,22
2016/03/07,2,9,22
2016/03/08,2,9,19
2016/03/09,2,9,18
2016/03/10,2,8,17
2016/03/11,2,8,18
2016/03/12,2,8,18
2016/03/13,2,7,19
2016/03/14,2,7,19
2016/03/15,2,7,19
2016/03/16,2,8,19
2016/03/17,2,7,19
2016/03/18,2,7,19
2016/03/19,2,5,18
2016/03/20,2,5,21
2016/03/21,2,4,21
2016/03/22,2,4,19
2016/03/23,2,4,18
2016/03/24,2,4,18
2016/03/25,2,4,16
2016/03/26,2,5,16
2016/03/27,2,5,16
2016/03/28,2,5,16
2016/03/29,2,6,15
2016/03/30,2,8,16
2016/03/31,2,9,17
2016/04/01,2,9,17
2016/04/02,1,9,18
2016/04/03,1,9,19
2016/04/04,1,8,19
2016/04/05,2,8,19
2016/04/06,2,9,20
2016/04/07,2,9,20
2016/04/08,2,9,20
2016/04/09,2,8,20
2016/04/10,2,8,20
2016/04/11,2,8,20
2016/04/12,2,8,19
2016/04/13,2,8,21
2016/04/14,2,8,21
2016/04/15,2,7,21
2016/04/16,2,7,21
2016/04/17,2,7,22
2016/04/18,2,7,22
2016/04/19,2,7,20
2016/04/20,2,7,20
2016/04/21,2,7,20
2016/04/22,2,7,19
2016/04/23,2,7,19
2016/04/24,2,8,20
2016/04/25,2,7,19
2016/04/26,2,8,20
2016/04/27,2,8,20
2016/04/28,2,7,21
2016/04/29,2,7,22
2016/04/30,2,7,21
2016/05/01,2,7,22
2016/05/02,1,7,21
2016/05/03,1,7,20
2016/05/04,1,7,20
2016/05/05,1,8,21
2016/05/06,1,8,21
2016/05/07,1,8,22
2016/05/08,1,6,21
2016/05/09,1,6,21
2016/05/10,1,7,21
2016/05/11,1,7,21
2016/05/12,1,7,21
2016/05/13,1,7,21
2016/05/14,,7,21
2016/05/15,,7,21
2016/05/16,,7,21
2016/05/17,1,7,20
2016/05/18,1,7,20
2016/05/19,1,7,20
2016/05/20,2,7,20
2016/05/21,2,7,20
2016/05/22,2,7,20
2016/05/23,2,7,20
2016/05/24,2,6,19
2016/05/25,2,6,19
2016/05/26,2,6,19
2016/05/27,2,7,19
2016/05/28,2,7,19
2016/05/29,2,7,20
2016/05/30,2,7,21
2016/05/31,2,7,20
2016/06/01,2,7,21
2016/06/02,2,7,21
2016/06/03,2,7,21
2016/06/04,2,7,21
2016/06/05,2,7,21
2016/06/06,2,6,20
2016/06/07,2,6,22
2016/06/08,2,6,21
2016/06/09,2,6,22
2016/06/10,2,6,24
2016/06/11,2,6,25
2016/06/12,2,5,24
2016/06/13,2,5,22
2016/06/14,1,5,22
2016/06/15,1,6,22
2016/06/16,,6,25
2016/06/17,,6,25
2016/06/18,,6,25
2016/06/19,,5,23
2016/06/20,,5,24
2016/06/21,,5,23
2016/06/22,,5,23
2016/06/23,,5,24
2016/06/24,,6,25
2016/06/25,,6,25
2016/06/26,,6,26
2016/06/27,,6,26
2016/06/28,,6,26
2016/06/29,,6,25
2016/06/30,,6,25
2016/07/01,,6,23
2016/07/02,,6,22
2016/07/03,,6,22
2016/07/04,,6,22
2016/07/05,,6,21
2016/07/06,,4,20
2016/07/07,,4,18
2016/07/08,,4,20
2016/07/09,,4,19
2016/07/10,,4,18
2016/07/11,,5,17
2016/07/12,,5,19
2016/07/13,,5,20
2016/07/14,,6,20
2016/07/15,,5,20
2016/07/16,,4,19
2016/07/17,,4,20
2016/07/18,,4,21
2016/07/19,,5,22
2016/07/20,,5,22
2016/07/21,,5,22
2016/07/22,,5,23
2016/07/23,,4,22
2016/07/24,,4,23
2016/07/25,,4,23
2016/07/26,1,4,21
2016/07/27,1,4,22
2016/07/28,1,5,21
2016/07/29,1,5,21
2016/07/30,1,4,21
2016/07/31,1,4,21
2016/08/01,1,6,23
2016/08/02,1,6,23
2016/08/03,1,6,24
2016/08/04,1,6,24
2016/08/05,1,6,24
2016/08/06,1,6,24
2016/08/07,1,5,25
2016/08/08,1,5,25
2016/08/09,1,6,24
2016/08/10,1,6,24
2016/08/11,1,6,23
2016/08/12,1,6,23
2016/08/13,1,5,23
2016/08/14,1,5,23
2016/08/15,1,5,22
2016/08/16,1,5,21
2016/08/17,1,6,21
2016/08/18,1,8,20
2016/08/19,1,8,20
2016/08/20,1,8,20
2016/08/21,1,8,21
2016/08/22,1,8,22
2016/08/23,1,8,21
2016/08/24,,8,21
2016/08/25,,8,23
2016/08/26,,8,22
2016/08/27,,7,20
2016/08/28,,7,22
2016/08/29,,7,23
2016/08/30,,6,23
2016/08/31,,6,26
2016/09/01,,6,25
2016/09/02,,7,28
2016/09/03,,7,29
2016/09/04,,7,29
2016/09/05,,7,30
2016/09/06,,8,30
2016/09/07,,8,30
2016/09/08,,7,31
2016/09/09,,8,29
2016/09/10,,8,32
2016/09/11,,8,33
2016/09/12,,8,33
2016/09/13,,8,33
2016/09/14,,8,32
2016/09/15,,8,31
2016/09/16,,7,33
2016/09/17,,6,32
2016/09/18,,6,31
2016/09/19,,6,32
2016/09/20,,6,30
2016/09/21,,6,28
2016/09/22,,6,30
2016/09/23,,6,30
2016/09/24,,6,28
2016/09/25,,6,28
2016/09/26,,6,28
2016/09/27,,6,26
2016/09/28,,6,28
2016/09/29,,6,29
2016/09/30,,5,26
2016/10/01,,5,25
2016/10/02,,4,22
2016/10/03,,4,24
2016/10/04,,4,24
2016/10/05,,4,25
2016/10/06,,4,24
2016/10/07,,4,24
2016/10/08,,4,25
2016/10/09,,4,26
2016/10/10,,4,24
2016/10/11,,4,24
2016/10/12,,4,25
2016/10/13,,4,25
2016/10/14,,5,25
2016/10/15,,4,27
2016/10/16,,3,26
2016/10/17,,3,25
2016/10/18,,4,27
2016/10/19,,5,28
2016/10/20,,5,28
2016/10/21,,5,29
2016/10/22,,5,28
2016/10/23,,5,28
2016/10/24,,6,28
2016/10/25,,6,28
2016/10/26,,6,28
2016/10/27,,7,31
2016/10/28,,8,32
2016/10/29,,8,30
2016/10/30,,8,29
2016/10/31,,8,29
2016/11/01,,9,29
