date,htwiki (100+),htwiki (5+),htwiki (all)
2015/09/07,,3,22
2015/09/08,,3,22
2015/09/09,,2,21
2015/09/10,,1,21
2015/09/11,,1,21
2015/09/12,,1,20
2015/09/13,,1,19
2015/09/14,,1,18
2015/09/15,,1,19
2015/09/16,,1,17
2015/09/17,,2,15
2015/09/18,,2,15
2015/09/19,,2,16
2015/09/20,,2,18
2015/09/21,,2,20
2015/09/22,,2,21
2015/09/23,,1,22
2015/09/24,,1,23
2015/09/25,,2,21
2015/09/26,,2,19
2015/09/27,,2,21
2015/09/28,,2,19
2015/09/29,,2,20
2015/09/30,,2,18
2015/10/01,,2,20
2015/10/02,,2,20
2015/10/03,,2,21
2015/10/04,,2,22
2015/10/05,,2,23
2015/10/06,,2,23
2015/10/07,,2,22
2015/10/08,,2,22
2015/10/09,,3,23
2015/10/10,,3,23
2015/10/11,,3,25
2015/10/12,,4,26
2015/10/13,,4,26
2015/10/14,,5,26
2015/10/15,,6,27
2015/10/16,,6,27
2015/10/17,,6,26
2015/10/18,,6,27
2015/10/19,,7,26
2015/10/20,,7,25
2015/10/21,,7,21
2015/10/22,,7,21
2015/10/23,,7,21
2015/10/24,,7,21
2015/10/25,,6,21
2015/10/26,,6,22
2015/10/27,,6,23
2015/10/28,,6,22
2015/10/29,,6,22
2015/10/30,,6,22
2015/10/31,,6,20
2015/11/01,,6,21
2015/11/02,,5,21
2015/11/03,,6,22
2015/11/04,,7,22
2015/11/05,,7,25
2015/11/06,,7,25
2015/11/07,,7,24
2015/11/08,,6,24
2015/11/09,,6,23
2015/11/10,,6,23
2015/11/11,,5,22
2015/11/12,,5,23
2015/11/13,,4,23
2015/11/14,,2,21
2015/11/15,,2,23
2015/11/16,,2,23
2015/11/17,,2,23
2015/11/18,,2,23
2015/11/19,,2,25
2015/11/20,,2,25
2015/11/21,,2,27
2015/11/22,,2,26
2015/11/23,,2,26
2015/11/24,,2,26
2015/11/25,,2,28
2015/11/26,,2,26
2015/11/27,,2,26
2015/11/28,,3,26
2015/11/29,,3,27
2015/11/30,,4,27
2015/12/01,,3,27
2015/12/02,,3,27
2015/12/03,,3,24
2015/12/04,,2,23
2015/12/05,,2,21
2015/12/06,,3,25
2015/12/07,,3,24
2015/12/08,,3,26
2015/12/09,,3,27
2015/12/10,,3,26
2015/12/11,,3,26
2015/12/12,,3,25
2015/12/13,,3,26
2015/12/14,,3,28
2015/12/15,,3,26
2015/12/16,,2,26
2015/12/17,,2,26
2016/01/18,,4,19
2016/01/19,,4,19
2016/01/20,,5,21
2016/01/21,,5,19
2016/01/22,,5,19
2016/01/23,,5,19
2016/01/24,,5,20
2016/01/25,,5,22
2016/01/26,,5,22
2016/01/27,1,5,21
