date,bawiki (100+),bawiki (5+),bawiki (all)
2015/07/29,7,12,41
2015/07/30,7,11,41
2015/07/31,7,12,42
2015/08/01,6,12,41
2015/08/02,6,12,41
2015/08/03,6,13,39
2015/08/04,7,13,39
2015/08/05,7,13,40
2015/08/06,7,14,40
2015/08/07,6,14,41
2015/08/08,6,14,42
2015/08/09,6,14,42
2015/08/10,5,15,41
2015/08/11,5,15,42
2015/08/12,6,15,43
2015/08/13,6,15,42
2015/08/14,5,13,42
2015/08/15,5,13,39
2015/08/16,5,14,40
2015/08/17,5,15,42
2015/08/18,5,15,42
2015/08/19,5,15,43
2015/08/20,5,16,43
2015/08/21,5,17,43
2015/08/22,5,17,44
2015/08/23,5,18,43
2015/08/24,5,18,45
2015/08/25,5,18,45
2015/08/26,5,18,47
2015/08/27,5,17,47
2015/08/28,6,18,44
2015/08/29,6,18,46
2015/08/30,6,18,45
2015/08/31,6,20,45
2015/09/01,6,20,45
2015/09/02,6,20,49
2015/09/03,5,21,51
2015/09/04,5,21,51
2015/09/05,5,22,52
2015/09/06,5,22,50
2015/09/07,5,22,51
2015/09/08,4,22,52
2015/09/09,5,22,53
2015/09/10,5,23,51
2015/09/11,5,22,51
2015/09/12,5,21,50
2015/09/13,5,20,49
2015/09/14,5,20,50
2015/09/15,5,20,49
2015/09/16,5,20,47
2015/09/17,5,21,47
2015/09/18,5,21,46
2015/09/19,5,22,47
2015/09/20,6,21,45
2015/09/21,6,22,46
2015/09/22,6,22,46
2015/09/23,6,22,44
2015/09/24,6,23,43
2015/09/25,6,22,43
2015/09/26,6,22,43
2015/09/27,6,22,42
2015/09/28,6,22,40
2015/09/29,6,22,41
2015/09/30,6,22,43
2015/10/01,6,23,43
2015/10/02,6,22,41
2015/10/03,7,22,40
2015/10/04,8,22,40
2015/10/05,8,23,40
2015/10/06,8,23,40
2015/10/07,8,23,39
2015/10/08,8,23,38
2015/10/09,7,24,38
2015/10/10,7,24,37
2015/10/11,7,24,36
2015/10/12,7,24,36
2015/10/13,7,24,35
2015/10/14,7,24,36
2015/10/15,7,23,36
2015/10/16,8,22,37
2015/10/17,9,21,36
2015/10/18,9,21,36
2015/10/19,9,21,37
2015/10/20,7,22,38
2015/10/21,8,21,38
2015/10/22,8,22,39
2015/10/23,8,22,40
2015/10/24,8,22,40
2015/10/25,8,23,38
2015/10/26,8,23,38
2015/10/27,8,24,38
2015/10/28,8,24,38
2015/10/29,8,24,38
2015/10/30,8,24,37
2015/10/31,8,24,39
2015/11/01,7,23,39
2015/11/02,7,23,42
2015/11/03,6,24,43
2015/11/04,5,24,43
2015/11/05,5,24,49
2015/11/06,5,25,50
2015/11/07,5,25,52
2015/11/08,5,25,52
2015/11/09,5,25,51
2015/11/10,5,25,51
2015/11/11,5,25,53
2015/11/12,5,25,54
2015/11/13,6,25,55
2015/11/14,5,24,57
2015/11/15,4,24,57
2015/11/16,4,24,58
2015/11/17,4,25,59
2015/11/18,4,25,58
2015/11/19,5,24,57
2015/11/20,4,24,60
2015/11/21,4,24,60
2015/11/22,4,24,60
2015/11/23,5,24,60
2015/11/24,5,24,62
2015/11/25,6,24,62
2015/11/26,6,25,62
2015/11/27,6,25,62
2015/11/28,6,26,64
2015/11/29,6,26,65
2015/11/30,6,25,62
2015/12/01,6,25,62
2015/12/02,6,24,60
2015/12/03,6,24,61
2015/12/04,6,23,62
2015/12/05,6,23,57
2015/12/06,6,24,57
2015/12/07,6,24,55
2015/12/08,6,25,55
2015/12/09,6,26,57
2015/12/10,5,25,58
2015/12/11,5,26,58
2015/12/12,5,26,58
2015/12/13,5,27,59
2015/12/14,5,26,57
2015/12/15,5,25,56
2015/12/16,5,24,56
2015/12/17,5,23,54
2016/01/18,8,24,65
2016/01/19,8,24,65
2016/01/20,8,23,61
2016/01/21,8,24,60
2016/01/22,8,24,58
2016/01/23,9,25,59
2016/01/24,9,26,64
2016/01/25,9,26,64
2016/01/26,9,27,63
2016/01/27,9,26,66
2016/01/28,10,28,64
2016/01/29,10,28,64
2016/01/30,10,28,62
2016/01/31,10,28,62
2016/02/01,9,30,61
2016/02/02,9,31,61
2016/02/03,8,32,60
2016/02/04,8,32,63
2016/02/05,8,32,63
2016/02/06,8,31,62
2016/02/07,8,30,61
2016/02/08,7,31,62
2016/02/09,7,31,61
2016/02/10,7,31,61
2016/02/11,7,30,61
2016/02/12,8,29,61
2016/02/13,8,30,61
2016/02/14,8,31,61
2016/02/15,8,31,60
2016/02/16,9,32,60
2016/02/17,9,32,60
2016/02/18,9,32,61
2016/02/19,9,32,61
2016/02/20,9,32,61
2016/02/21,9,34,60
2016/02/22,9,34,60
2016/02/23,9,31,55
2016/02/24,8,31,54
2016/02/25,8,29,52
2016/02/26,7,29,51
2016/02/27,7,28,50
2016/02/28,7,28,50
2016/02/29,7,28,50
2016/03/01,7,30,52
2016/03/02,7,30,50
2016/03/03,8,29,52
2016/03/04,8,29,53
2016/03/05,7,30,52
2016/03/06,7,29,51
2016/03/07,7,30,50
2016/03/08,7,30,50
2016/03/09,7,29,48
2016/03/10,7,29,49
2016/03/11,7,29,50
2016/03/12,8,31,54
2016/03/13,8,31,56
2016/03/14,8,31,57
2016/03/15,8,32,58
2016/03/16,8,32,58
2016/03/17,8,32,58
2016/03/18,8,32,58
2016/03/19,8,34,59
2016/03/20,8,34,58
2016/03/21,8,34,58
2016/03/22,8,33,61
2016/03/23,8,33,61
2016/03/24,8,35,61
2016/03/25,7,35,60
2016/03/26,6,36,62
2016/03/27,7,36,62
2016/03/28,7,39,62
2016/03/29,7,41,65
2016/03/30,7,42,65
2016/03/31,7,41,64
2016/04/01,8,42,64
2016/04/02,8,42,63
2016/04/03,8,43,64
2016/04/04,7,43,65
2016/04/05,7,43,64
2016/04/06,7,43,67
2016/04/07,7,43,70
2016/04/08,8,44,70
2016/04/09,8,44,71
2016/04/10,7,42,68
2016/04/11,7,39,65
2016/04/12,7,38,64
2016/04/13,7,39,64
2016/04/14,8,39,70
2016/04/15,8,39,70
2016/04/16,9,38,70
2016/04/17,9,38,70
2016/04/18,9,36,69
2016/04/19,10,37,68
2016/04/20,10,37,69
2016/04/21,10,37,66
2016/04/22,10,37,66
2016/04/23,10,37,65
2016/04/24,10,36,65
2016/04/25,10,36,64
2016/04/26,10,35,64
