date,thwiki (100+),thwiki (5+),thwiki (all)
2015/07/04,38,342,841
2015/07/05,38,348,849
2015/07/06,37,347,858
2015/07/07,37,349,861
2015/07/08,37,348,861
2015/07/09,37,347,872
2015/07/10,39,351,870
2015/07/11,39,353,879
2015/07/12,41,356,875
2015/07/13,41,358,884
2015/07/14,39,351,888
2015/07/15,39,351,892
2015/07/16,40,353,906
2015/07/17,39,354,898
2015/07/18,39,345,886
2015/07/19,40,347,888
2015/07/20,39,352,901
2015/07/21,40,356,917
2015/07/22,40,356,922
2015/07/23,40,357,910
2015/07/24,40,354,898
2015/07/25,41,355,902
2015/07/26,39,348,900
2015/07/27,38,343,899
2015/07/28,38,343,881
2015/07/29,37,343,874
2015/07/30,36,351,887
2015/07/31,36,347,898
2015/08/01,36,352,902
2015/08/02,36,357,903
2015/08/03,37,353,897
2015/08/04,37,351,899
2015/08/05,39,357,902
2015/08/06,39,355,902
2015/08/07,37,359,909
2015/08/08,37,362,905
2015/08/09,38,362,895
2015/08/10,37,360,904
2015/08/11,37,354,897
2015/08/12,36,354,893
2015/08/13,36,354,895
2015/08/14,37,353,902
2015/08/15,37,354,898
2015/08/16,39,356,910
2015/08/17,37,357,909
2015/08/18,37,352,906
2015/08/19,36,349,889
2015/08/20,35,346,872
2015/08/21,34,349,863
2015/08/22,35,352,871
2015/08/23,35,347,873
2015/08/24,35,346,863
2015/08/25,36,355,855
2015/08/26,36,351,846
2015/08/27,37,352,849
2015/08/28,39,348,853
2015/08/29,39,344,847
2015/08/30,37,348,845
2015/08/31,40,349,842
2015/09/01,41,355,848
2015/09/02,41,348,848
2015/09/03,39,342,848
2015/09/04,42,341,846
2015/09/05,42,339,845
2015/09/06,41,337,841
2015/09/07,40,335,850
2015/09/08,38,334,859
2015/09/09,38,332,852
2015/09/10,39,334,852
2015/09/11,42,338,865
2015/09/12,42,337,872
2015/09/13,41,337,870
2015/09/14,42,340,876
2015/09/15,43,336,859
2015/09/16,43,333,856
2015/09/17,41,339,867
2015/09/18,41,330,859
2015/09/19,41,331,852
2015/09/20,41,334,862
2015/09/21,40,332,861
2015/09/22,40,329,863
2015/09/23,40,334,862
2015/09/24,40,335,860
2015/09/25,40,339,865
2015/09/26,39,337,861
2015/09/27,40,342,860
2015/09/28,39,337,862
2015/09/29,39,338,856
2015/09/30,38,338,859
2015/10/01,37,334,849
2015/10/02,37,335,852
2015/10/03,36,331,855
2015/10/04,37,334,859
2015/10/05,37,336,873
2015/10/06,38,340,872
2015/10/07,38,343,882
2015/10/08,36,349,879
2015/10/09,37,349,873
2015/10/10,37,353,877
2015/10/11,38,366,877
2015/10/12,37,364,873
2015/10/13,37,358,869
2015/10/14,38,363,869
2015/10/15,38,364,876
2015/10/16,37,365,884
2015/10/17,39,359,878
2015/10/18,40,367,893
2015/10/19,40,374,900
2015/10/20,41,378,904
2015/10/21,41,379,900
2015/10/22,42,381,907
2015/10/23,42,385,910
2015/10/24,42,382,907
2015/10/25,43,380,909
2015/10/26,41,381,906
2015/10/27,42,386,909
2015/10/28,40,387,917
2015/10/29,39,385,918
2015/10/30,39,384,911
2015/10/31,40,383,915
2015/11/01,40,382,924
2015/11/02,41,386,922
2015/11/03,42,390,924
2015/11/04,40,383,923
2015/11/05,38,378,928
2015/11/06,39,380,932
2015/11/07,38,367,918
2015/11/08,38,367,928
2015/11/09,39,360,923
2015/11/10,40,351,924
2015/11/11,41,352,934
2015/11/12,42,356,924
2015/11/13,42,359,911
2015/11/14,42,361,904
2015/11/15,42,359,900
2015/11/16,41,358,905
2015/11/17,42,353,889
2015/11/18,42,351,892
2015/11/19,42,352,892
2015/11/20,40,356,889
2015/11/21,39,351,881
2015/11/22,39,352,891
2015/11/23,38,356,892
2015/11/24,38,356,884
2015/11/25,37,358,885
2015/11/26,37,352,876
2015/11/27,37,353,885
2015/11/28,36,353,882
2015/11/29,36,358,884
2015/11/30,36,357,882
2015/12/01,36,356,873
2015/12/02,37,358,875
2015/12/03,34,354,859
2015/12/04,34,355,845
2015/12/05,34,362,842
2015/12/06,35,361,843
2015/12/07,36,369,854
2015/12/08,38,369,854
2015/12/09,37,370,846
2015/12/10,38,378,850
2015/12/11,39,373,839
2015/12/12,38,376,839
2015/12/13,39,380,839
2015/12/14,39,379,841
2015/12/15,40,378,844
2015/12/16,40,376,847
2015/12/17,39,377,851
2016/01/18,40,360,843
2016/01/19,39,363,842
2016/01/20,41,360,841
2016/01/21,40,361,839
2016/01/22,40,359,844
2016/01/23,43,361,856
2016/01/24,44,363,855
2016/01/25,44,363,852
2016/01/26,41,366,862
2016/01/27,40,369,872
2016/01/28,40,368,875
2016/01/29,40,362,878
2016/01/30,38,357,877
2016/01/31,40,369,896
2016/02/01,40,373,900
2016/02/02,39,372,899
2016/02/03,40,376,908
2016/02/04,41,374,914
2016/02/05,40,375,906
2016/02/06,41,373,909
2016/02/07,39,370,901
2016/02/08,41,375,916
2016/02/09,41,371,919
2016/02/10,43,374,924
2016/02/11,43,372,929
2016/02/12,44,370,930
2016/02/13,41,372,935
2016/02/14,42,380,937
2016/02/15,42,379,929
2016/02/16,41,374,931
2016/02/17,41,377,926
2016/02/18,38,375,923
2016/02/19,40,370,921
2016/02/20,38,371,931
2016/02/21,39,372,931
2016/02/22,39,368,930
2016/02/23,39,368,939
2016/02/24,37,366,948
2016/02/25,37,366,949
2016/02/26,40,364,941
2016/02/27,38,365,944
2016/02/28,39,366,934
2016/02/29,39,367,945
2016/03/01,40,355,940
2016/03/02,40,362,949
2016/03/03,41,370,961
2016/03/04,42,376,960
2016/03/05,42,373,959
2016/03/06,42,375,959
2016/03/07,43,381,963
2016/03/08,39,381,966
2016/03/09,38,381,958
2016/03/10,37,380,965
2016/03/11,37,381,953
2016/03/12,37,381,952
2016/03/13,36,387,963
2016/03/14,37,391,962
2016/03/15,37,389,973
2016/03/16,37,395,991
2016/03/17,38,399,994
2016/03/18,40,396,995
2016/03/19,40,395,990
2016/03/20,40,404,997
2016/03/21,39,409,994
2016/03/22,40,415,1006
2016/03/23,40,417,1012
2016/03/24,39,419,1015
2016/03/25,39,421,1013
2016/03/26,40,426,1028
2016/03/27,40,424,1014
2016/03/28,40,423,1015
2016/03/29,38,429,1018
2016/03/30,38,429,1016
2016/03/31,40,434,1030
2016/04/01,40,433,1030
2016/04/02,40,431,1020
2016/04/03,41,426,1014
2016/04/04,43,431,1018
2016/04/05,44,431,1025
2016/04/06,44,428,1017
2016/04/07,45,418,1009
2016/04/08,42,410,993
2016/04/09,40,409,994
2016/04/10,40,412,996
2016/04/11,41,407,996
2016/04/12,42,403,996
2016/04/13,42,404,987
2016/04/14,44,406,971
2016/04/15,41,403,958
2016/04/16,39,396,956
2016/04/17,37,390,952
2016/04/18,39,394,946
2016/04/19,39,391,945
2016/04/20,40,377,943
2016/04/21,37,383,953
2016/04/22,37,386,966
2016/04/23,35,382,966
2016/04/24,35,392,972
2016/04/25,37,384,964
2016/04/26,36,380,976
2016/04/27,37,389,981
2016/04/28,37,392,979
2016/04/29,38,387,979
2016/04/30,39,385,971
2016/05/01,37,385,968
2016/05/02,36,387,970
2016/05/03,35,388,975
2016/05/04,36,388,968
2016/05/05,38,384,958
2016/05/06,40,386,963
2016/05/07,40,389,972
2016/05/08,42,396,973
2016/05/09,42,399,987
2016/05/10,41,399,994
2016/05/11,44,403,992
2016/05/12,44,397,989
2016/05/13,45,404,999
2016/05/14,45,407,1013
2016/05/15,45,406,1016
2016/05/16,45,409,1009
2016/05/17,48,409,1016
2016/05/18,47,413,1020
2016/05/19,48,412,1016
2016/05/20,47,420,1015
2016/05/21,47,414,1009
2016/05/22,47,409,997
2016/05/23,47,401,985
2016/05/24,46,403,972
2016/05/25,48,400,961
2016/05/26,47,398,949
2016/05/27,48,398,946
2016/05/28,45,398,939
2016/05/29,46,403,936
2016/05/30,46,398,930
2016/05/31,44,397,934
2016/06/01,46,391,924
2016/06/02,47,385,917
2016/06/03,47,394,939
2016/06/04,47,394,934
2016/06/05,47,387,922
2016/06/06,46,385,919
2016/06/07,45,387,919
2016/06/08,44,383,909
2016/06/09,41,383,907
2016/06/10,39,377,906
2016/06/11,37,370,891
2016/06/12,38,364,881
2016/06/13,37,370,878
2016/06/14,37,370,874
2016/06/15,36,366,871
2016/06/16,35,365,861
2016/06/17,34,366,857
2016/06/18,34,367,856
2016/06/19,38,367,859
2016/06/20,39,364,865
2016/06/21,37,362,869
2016/06/22,35,360,873
2016/06/23,38,360,878
2016/06/24,36,356,874
2016/06/25,36,351,874
2016/06/26,36,353,877
2016/06/27,37,358,878
2016/06/28,36,359,880
2016/06/29,38,368,880
2016/06/30,38,373,881
2016/07/01,39,375,880
2016/07/02,37,373,873
2016/07/03,40,369,857
2016/07/04,40,368,865
2016/07/05,40,363,860
2016/07/06,40,367,867
2016/07/07,38,370,872
2016/07/08,36,373,883
2016/07/09,36,371,897
2016/07/10,40,370,885
2016/07/11,42,368,903
2016/07/12,43,370,907
2016/07/13,42,364,901
2016/07/14,41,361,901
2016/07/15,42,356,901
2016/07/16,43,361,913
2016/07/17,44,364,901
2016/07/18,43,363,904
2016/07/19,44,367,903
2016/07/20,42,364,904
2016/07/21,42,361,909
2016/07/22,43,358,900
2016/07/23,44,352,892
2016/07/24,45,356,897
2016/07/25,44,363,906
2016/07/26,42,359,913
2016/07/27,42,362,918
2016/07/28,42,360,901
2016/07/29,42,368,905
2016/07/30,42,361,908
2016/07/31,41,357,908
2016/08/01,39,354,899
2016/08/02,38,350,900
2016/08/03,38,344,895
2016/08/04,39,347,898
2016/08/05,39,346,898
2016/08/06,40,345,882
2016/08/07,41,344,876
2016/08/08,40,341,869
2016/08/09,39,342,880
2016/08/10,37,339,873
2016/08/11,37,336,866
2016/08/12,37,329,865
2016/08/13,37,331,862
2016/08/14,37,330,858
2016/08/15,39,323,850
2016/08/16,40,321,844
2016/08/17,39,320,848
2016/08/18,39,318,837
2016/08/19,40,326,838
2016/08/20,40,327,832
2016/08/21,38,330,843
2016/08/22,37,331,841
2016/08/23,38,330,841
2016/08/24,36,325,832
2016/08/25,35,317,820
2016/08/26,34,318,824
2016/08/27,35,318,824
2016/08/28,35,308,828
2016/08/29,33,312,828
2016/08/30,34,315,824
2016/08/31,36,317,824
2016/09/01,32,320,822
2016/09/02,33,325,826
2016/09/03,34,323,820
2016/09/04,34,326,830
2016/09/05,35,332,836
2016/09/06,35,333,844
2016/09/07,36,330,846
2016/09/08,36,325,848
2016/09/09,36,323,849
2016/09/10,37,320,853
2016/09/11,38,323,862
2016/09/12,38,325,868
2016/09/13,36,330,875
2016/09/14,36,336,880
2016/09/15,34,345,899
2016/09/16,32,343,905
2016/09/17,34,343,906
2016/09/18,35,347,910
2016/09/19,36,356,915
2016/09/20,36,350,913
2016/09/21,36,356,917
2016/09/22,35,356,916
2016/09/23,34,355,926
2016/09/24,33,354,924
2016/09/25,36,346,920
2016/09/26,35,356,923
2016/09/27,34,357,925
2016/09/28,33,357,918
2016/09/29,31,358,920
2016/09/30,32,360,934
2016/10/01,32,362,952
2016/10/02,32,371,950
2016/10/03,35,369,943
2016/10/04,38,368,941
2016/10/05,39,375,945
2016/10/06,39,378,940
2016/10/07,39,382,937
2016/10/08,40,385,947
2016/10/09,39,383,938
2016/10/10,37,386,956
2016/10/11,38,386,957
2016/10/12,38,384,957
2016/10/13,37,383,954
2016/10/14,36,378,955
2016/10/15,38,375,948
2016/10/16,37,373,940
2016/10/17,36,367,939
2016/10/18,36,366,936
2016/10/19,35,365,942
2016/10/20,33,378,943
2016/10/21,33,379,934
2016/10/22,34,382,935
2016/10/23,35,383,929
2016/10/24,34,387,935
2016/10/25,34,384,973
2016/10/26,33,383,983
2016/10/27,34,384,994
2016/10/28,34,386,999
2016/10/29,34,381,1003
2016/10/30,33,378,995
2016/10/31,32,377,986
2016/11/01,35,374,992
2016/11/02,34,380,1006
2016/11/03,33,377,1016
2016/11/04,32,368,1012
2016/11/05,33,366,1013
2016/11/06,33,356,1011
2016/11/07,33,355,1014
2016/11/08,34,352,1027
2016/11/09,35,357,1029
2016/11/10,33,355,1029
2016/11/11,33,364,1039
2016/11/12,31,364,1037
2016/11/13,32,364,1034
2016/11/14,33,366,1025
2016/11/15,34,368,1031
2016/11/16,34,371,1043
2016/11/17,34,372,1038
2016/11/18,33,363,1024
2016/11/19,33,357,1015
2016/11/20,35,360,1029
2016/11/21,35,362,1023
2016/11/22,35,365,1025
2016/11/23,34,360,1012
2016/11/24,34,354,972
