date,yowiki (100+),yowiki (5+),yowiki (all)
2015/09/16,,4,32
2015/09/17,,4,33
2015/09/18,,4,33
2015/09/19,,2,30
2015/09/20,,2,31
2015/09/21,,2,30
2015/09/22,,3,30
2015/09/23,,3,30
2015/09/24,,3,31
2015/09/25,,3,28
2015/09/26,,3,28
2015/09/27,,3,29
2015/09/28,,3,29
2015/09/29,,2,26
2015/09/30,,2,28
2015/10/01,,3,28
2015/10/02,,3,27
2015/10/03,,3,27
2015/10/04,,3,27
2015/10/05,,3,27
2015/10/06,,3,27
2015/10/07,,3,26
2015/10/08,,3,25
2015/10/09,,3,25
2015/10/10,,2,23
2015/10/11,,2,25
2015/10/12,,2,28
2015/10/13,,2,26
2015/10/14,,3,26
2015/10/15,,3,27
2015/10/16,,3,26
2015/10/17,,3,28
2015/10/18,,4,28
2015/10/19,,4,28
2015/10/20,,4,28
2015/10/21,,4,29
2015/10/22,,4,29
2015/10/23,,4,30
2015/10/24,,5,30
2015/10/25,,5,31
2015/10/26,,6,30
2015/10/27,,6,30
2015/10/28,,6,30
2015/10/29,,5,30
2015/10/30,,5,28
2015/10/31,,5,27
2015/11/01,,5,26
2015/11/02,1,7,29
2015/11/03,1,7,27
2015/11/04,1,6,28
2015/11/05,1,7,31
2015/11/06,1,7,33
2015/11/07,1,7,32
2015/11/08,1,7,33
2015/11/09,1,7,33
2015/11/10,1,7,32
2015/11/11,1,7,28
2015/11/12,1,7,28
2015/11/13,1,7,30
2015/11/14,1,6,29
2015/11/15,1,7,28
2015/11/16,1,7,26
2015/11/17,1,7,26
2015/11/18,1,7,28
2015/11/19,1,7,28
2015/11/20,1,7,29
2015/11/21,1,7,30
2015/11/22,1,7,30
2015/11/23,1,6,29
2015/11/24,1,6,28
2015/11/25,1,6,28
2015/11/26,1,6,28
2015/11/27,1,6,28
2015/11/28,1,6,29
2015/11/29,1,5,29
2015/11/30,1,6,29
2015/12/01,1,5,29
2015/12/02,,3,28
2015/12/03,,3,28
2015/12/04,,3,26
2015/12/05,,4,25
2015/12/06,,4,24
2015/12/07,,4,22
2015/12/08,,4,22
2015/12/09,,3,22
2015/12/10,,3,22
2015/12/11,,3,22
2015/12/12,,3,23
2015/12/13,,3,24
2015/12/14,,3,23
2015/12/15,,1,23
2015/12/16,,1,22
2015/12/17,,1,22
2016/01/18,,4,30
2016/01/19,,5,30
2016/01/20,,5,29
2016/01/21,,5,29
2016/01/22,,5,30
2016/01/23,,5,30
2016/01/24,,5,31
2016/01/25,,5,31
2016/01/26,,6,35
2016/01/27,,6,33
2016/01/28,,6,32
2016/01/29,,6,31
2016/01/30,,6,30
2016/01/31,,6,30
2016/02/01,,7,31
2016/02/02,,7,31
2016/02/03,,7,31
2016/02/04,,7,31
2016/02/05,,7,30
2016/02/06,,7,29
2016/02/07,,7,27
2016/02/08,,7,27
2016/02/09,,6,26
2016/02/10,,6,25
2016/02/11,,6,25
2016/02/12,,6,22
2016/02/13,,5,23
2016/02/14,,4,23
2016/02/15,,3,22
2016/02/16,,3,22
2016/02/17,,3,26
2016/02/18,,3,27
2016/02/19,,2,28
2016/02/20,,2,28
2016/02/21,,2,30
2016/02/22,,2,30
2016/02/23,,2,30
2016/02/24,,2,31
2016/02/25,,1,26
2016/02/26,,1,26
2016/02/27,,1,26
2016/02/28,,2,26
2016/02/29,,2,26
2016/03/01,,2,26
2016/03/02,,2,25
2016/03/03,,3,26
2016/03/04,,2,27
2016/03/05,,3,26
2016/03/06,,3,26
2016/03/07,,4,25
2016/03/08,,4,25
2016/03/09,,4,25
2016/03/10,,4,25
2016/03/11,,3,25
2016/03/12,,4,25
2016/03/13,,4,26
2016/03/14,,5,25
2016/03/15,,5,26
2016/03/16,,5,24
2016/03/17,,5,24
2016/03/18,,5,20
2016/03/19,,5,18
2016/03/20,,5,18
2016/03/21,,5,19
2016/03/22,,5,18
2016/03/23,,5,19
2016/03/24,,5,17
2016/03/25,,5,17
2016/03/26,,5,19
2016/03/27,,5,19
2016/03/28,,5,20
2016/03/29,,5,21
2016/03/30,,5,22
2016/03/31,,5,22
2016/04/01,,5,23
2016/04/02,,4,22
2016/04/03,,4,22
2016/04/04,,4,22
2016/04/05,,5,22
2016/04/06,,4,24
2016/04/07,,4,24
2016/04/08,,4,24
2016/04/09,,4,24
2016/04/10,,4,24
2016/04/11,,4,24
2016/04/12,,3,26
2016/04/13,,3,25
2016/04/14,,3,25
2016/04/15,,3,26
2016/04/16,,3,26
2016/04/17,,3,28
2016/04/18,,3,28
2016/04/19,,3,27
2016/04/20,,3,26
2016/04/21,,3,27
2016/04/22,,3,28
2016/04/23,,3,29
2016/04/24,,3,29
2016/04/25,,3,28
2016/04/26,,3,28
2016/04/27,,3,29
2016/04/28,,3,27
2016/04/29,,3,26
2016/04/30,,3,27
2016/05/01,,3,24
2016/05/02,,3,24
2016/05/03,,3,23
2016/05/04,,3,22
2016/05/05,,3,23
2016/05/06,,3,22
2016/05/07,,3,23
2016/05/08,,3,24
2016/05/09,,3,24
2016/05/10,,3,24
2016/05/11,,3,24
2016/05/12,,3,23
2016/05/13,,3,23
2016/05/14,,3,21
2016/05/15,,3,21
2016/05/16,,3,21
2016/05/17,,3,19
2016/05/18,,3,19
2016/05/19,,4,20
2016/05/20,,6,20
2016/05/21,,5,18
2016/05/22,,5,16
2016/05/23,1,5,16
2016/05/24,1,5,15
2016/05/25,1,5,16
2016/05/26,1,5,17
2016/05/27,1,6,17
2016/05/28,1,5,18
2016/05/29,1,5,18
2016/05/30,1,5,17
2016/05/31,1,5,17
2016/06/01,1,5,18
2016/06/02,1,6,20
2016/06/03,1,7,22
2016/06/04,1,7,22
2016/06/05,1,7,23
2016/06/06,1,7,24
2016/06/07,1,7,24
2016/06/08,1,7,24
2016/06/09,1,7,26
2016/06/10,1,8,27
2016/06/11,1,8,26
2016/06/12,1,8,27
2016/06/13,1,8,28
2016/06/14,1,8,31
2016/06/15,1,8,31
2016/06/16,1,8,32
2016/06/17,1,8,34
2016/06/18,1,8,35
2016/06/19,1,8,35
2016/06/20,1,7,35
2016/06/21,1,8,35
2016/06/22,1,7,35
2016/06/23,1,7,35
2016/06/24,1,7,34
2016/06/25,1,7,34
2016/06/26,1,7,34
2016/06/27,1,8,34
2016/06/28,1,8,34
2016/06/29,1,9,34
2016/06/30,1,9,35
2016/07/01,1,9,38
2016/07/02,1,9,37
2016/07/03,1,9,37
2016/07/04,1,9,35
2016/07/05,1,9,36
2016/07/06,1,9,34
2016/07/07,1,9,34
2016/07/08,1,8,35
2016/07/09,1,8,32
2016/07/10,1,7,31
2016/07/11,1,7,31
2016/07/12,1,7,31
2016/07/13,1,7,31
2016/07/14,1,7,30
2016/07/15,1,8,28
2016/07/16,1,8,26
2016/07/17,1,8,22
2016/07/18,1,8,20
2016/07/19,1,7,23
2016/07/20,1,7,24
2016/07/21,1,7,24
2016/07/22,1,7,25
2016/07/23,1,7,26
2016/07/24,1,8,26
2016/07/25,1,8,27
2016/07/26,1,8,28
2016/07/27,1,8,28
2016/07/28,1,8,29
2016/07/29,1,8,30
2016/07/30,1,8,30
2016/07/31,1,8,28
2016/08/01,1,8,27
2016/08/02,1,8,27
2016/08/03,1,8,27
2016/08/04,1,8,27
2016/08/05,1,8,27
2016/08/06,1,8,28
2016/08/07,1,8,27
2016/08/08,1,8,28
2016/08/09,1,8,28
2016/08/10,1,8,27
2016/08/11,1,8,28
2016/08/12,1,8,28
2016/08/13,1,8,28
2016/08/14,1,7,28
2016/08/15,1,7,29
2016/08/16,1,7,29
2016/08/17,1,7,30
2016/08/18,1,7,28
2016/08/19,1,7,28
2016/08/20,1,7,28
2016/08/21,1,7,28
2016/08/22,1,7,27
2016/08/23,1,7,27
2016/08/24,1,8,27
2016/08/25,1,8,26
2016/08/26,1,7,24
2016/08/27,1,7,23
2016/08/28,1,6,23
2016/08/29,1,6,24
2016/08/30,1,6,23
2016/08/31,1,6,24
2016/09/01,1,7,24
2016/09/02,1,8,24
2016/09/03,1,8,25
2016/09/04,1,8,25
2016/09/05,1,8,24
2016/09/06,1,7,23
2016/09/07,1,7,22
2016/09/08,1,7,22
2016/09/09,1,7,23
2016/09/10,1,6,22
2016/09/11,1,6,22
2016/09/12,1,6,21
2016/09/13,1,6,20
2016/09/14,1,6,19
2016/09/15,1,5,19
2016/09/16,1,5,19
2016/09/17,1,5,19
2016/09/18,1,5,19
2016/09/19,1,5,19
2016/09/20,1,5,19
2016/09/21,1,5,20
2016/09/22,1,5,20
2016/09/23,1,5,20
2016/09/24,1,5,19
2016/09/25,1,5,19
2016/09/26,1,5,19
2016/09/27,1,4,18
2016/09/28,1,4,18
2016/09/29,1,3,18
2016/09/30,1,3,18
2016/10/01,1,2,18
2016/10/02,1,2,17
2016/10/03,1,2,16
2016/10/04,1,2,14
2016/10/05,1,2,14
2016/10/06,1,3,15
2016/10/07,1,3,15
2016/10/08,1,3,15
2016/10/09,1,3,16
2016/10/10,1,3,16
2016/10/11,1,3,16
2016/10/12,1,3,17
2016/10/13,1,3,21
2016/10/14,1,3,21
2016/10/15,1,3,21
2016/10/16,1,3,24
2016/10/17,1,3,24
2016/10/18,1,3,25
2016/10/19,1,3,25
2016/10/20,1,4,26
2016/10/21,1,4,25
2016/10/22,1,4,25
2016/10/23,1,4,26
2016/10/24,1,4,26
2016/10/25,1,4,26
2016/10/26,1,4,27
2016/10/27,1,4,28
2016/10/28,,4,26
2016/10/29,,4,27
2016/10/30,,4,26
2016/10/31,,4,26
2016/11/01,,4,26
2016/11/02,,5,26
2016/11/03,,5,25
2016/11/04,,5,26
2016/11/05,,4,28
2016/11/06,1,4,28
2016/11/07,1,4,30
2016/11/08,1,4,28
2016/11/09,1,4,28
2016/11/10,1,4,28
2016/11/11,1,4,28
2016/11/12,1,4,27
2016/11/13,1,4,27
2016/11/14,1,4,29
2016/11/15,1,3,28
2016/11/16,1,3,29
2016/11/17,1,3,28
2016/11/18,1,4,28
2016/11/19,1,3,28
2016/11/20,1,3,27
2016/11/21,1,3,28
2016/11/22,1,3,27
2016/11/23,1,3,28
2016/11/24,1,3,28
2016/11/25,1,3,27
2016/11/26,1,2,26
2016/11/27,1,3,27
2016/11/28,1,3,25
2016/11/29,1,3,26
2016/11/30,1,3,26
2016/12/01,1,3,26
2016/12/02,1,3,24
2016/12/03,1,3,24
2016/12/04,1,4,24
2016/12/05,1,5,23
2016/12/06,1,5,24
2016/12/07,1,5,23
2016/12/08,1,5,23
2016/12/09,1,5,23
2016/12/10,1,5,24
2016/12/11,1,5,25
2016/12/12,,5,23
2016/12/13,1,5,24
2016/12/14,,5,22
2016/12/15,,5,21
2016/12/16,,5,20
2016/12/17,,5,20
2016/12/18,1,5,19
2016/12/19,1,5,19
2016/12/20,1,5,18
2016/12/21,1,6,18
2016/12/22,1,6,17
2016/12/23,1,6,16
2016/12/24,1,6,18
2016/12/25,1,6,20
2016/12/26,1,6,20
2016/12/27,1,5,19
2016/12/28,1,6,20
2016/12/29,3,7,19
2016/12/30,3,8,19
2016/12/31,3,7,19
2017/01/01,3,7,19
2017/01/02,3,7,19
2017/01/03,3,7,19
2017/01/04,3,7,19
2017/01/05,3,7,17
2017/01/06,3,7,18
2017/01/07,3,7,18
2017/01/08,3,7,17
2017/01/09,3,7,17
2017/01/10,3,7,16
2017/01/11,3,7,16
2017/01/12,3,7,14
2017/01/13,3,7,17
2017/01/14,3,6,17
2017/01/15,3,6,17
2017/01/16,3,6,17
2017/01/17,3,6,17
2017/01/18,3,6,17
2017/01/19,3,7,17
2017/01/20,3,6,17
2017/01/21,3,7,18
2017/01/22,3,7,18
2017/01/23,3,6,15
2017/01/24,3,6,15
2017/01/25,3,6,15
2017/01/26,3,6,15
2017/01/27,3,6,15
2017/01/28,,4,14
2017/01/29,,3,15
2017/01/30,,3,15
2017/01/31,,2,15
2017/02/01,,2,16
2017/02/02,,2,16
2017/02/03,,2,16
2017/02/04,,2,16
2017/02/05,,2,16
2017/02/06,,2,17
2017/02/07,,2,17
2017/02/08,,2,16
2017/02/09,,2,15
2017/02/10,,2,15
2017/02/11,,3,17
2017/02/12,,3,14
2017/02/13,,3,15
2017/02/14,,3,15
2017/02/15,,3,15
2017/02/16,,3,15
2017/02/17,,3,17
2017/02/18,,3,17
2017/02/19,,3,16
2017/02/20,1,3,16
2017/02/21,1,3,17
2017/02/22,1,3,17
2017/02/23,1,3,16
2017/02/24,1,3,16
2017/02/25,1,3,16
2017/02/26,1,3,16
2017/02/27,1,3,15
2017/02/28,,3,13
