date,cswiki (100+),cswiki (5+),cswiki (all)
2015/05/12,106,760,2187
2015/05/13,107,764,2190
2015/05/14,106,761,2180
2015/05/15,105,758,2194
2015/05/16,105,764,2202
2015/05/17,104,769,2200
2015/05/18,103,784,2219
2015/05/19,101,798,2264
2015/05/20,101,809,2283
2015/05/21,102,819,2296
2015/05/22,104,828,2288
2015/05/23,107,848,2302
2015/05/24,104,853,2299
2015/05/25,105,878,2354
2015/05/26,108,888,2371
2015/05/27,106,899,2375
2015/05/28,101,907,2369
2015/05/29,98,898,2336
2015/05/30,95,888,2324
2015/05/31,98,888,2332
2015/06/01,98,892,2342
2015/06/02,100,899,2351
2015/06/03,99,895,2348
2015/06/04,97,893,2330
2015/06/05,98,898,2345
2015/06/06,97,891,2330
2015/06/07,96,894,2337
2015/06/08,99,904,2336
