date,cvwiki (100+),cvwiki (5+),cvwiki (all)
2015/07/30,,5,35
2015/07/31,,5,36
2015/08/01,2,5,35
2015/08/02,2,4,32
2015/08/03,2,5,31
2015/08/04,2,5,32
2015/08/05,2,5,31
2015/08/06,2,5,30
2015/08/07,3,6,32
2015/08/08,3,6,31
2015/08/09,3,6,29
2015/08/10,3,6,29
2015/08/11,3,6,29
2015/08/12,3,6,30
2015/08/13,3,6,30
2015/08/14,3,7,30
2015/08/15,3,7,27
2015/08/16,3,7,26
2015/08/17,3,7,26
2015/08/18,3,7,26
2015/08/19,3,7,26
2015/08/20,3,6,25
2015/08/21,3,6,25
2015/08/22,3,6,24
2015/08/23,3,6,26
2015/08/24,3,6,23
2015/08/25,2,6,23
2015/08/26,2,6,22
2015/08/27,2,6,22
2015/08/28,2,6,23
2015/08/29,2,6,22
2015/08/30,2,6,22
2015/08/31,1,6,24
2015/09/01,1,6,24
2015/09/02,1,6,27
2015/09/03,1,6,27
2015/09/04,1,6,27
2015/09/05,1,6,27
2015/09/06,1,6,27
2015/09/07,1,4,25
2015/09/08,1,4,25
2015/09/09,1,4,25
2015/09/10,2,5,27
2015/09/11,2,5,26
2015/09/12,2,5,25
2015/09/13,2,6,26
2015/09/14,2,6,27
2015/09/15,2,5,27
2015/09/16,2,5,27
2015/09/17,2,5,26
2015/09/18,2,5,27
2015/09/19,3,5,25
2015/09/20,3,5,25
2015/09/21,3,5,25
2015/09/22,3,5,23
2015/09/23,3,5,25
2015/09/24,3,5,26
2015/09/25,3,5,26
2015/09/26,2,5,26
2015/09/27,2,5,25
2015/09/28,2,5,24
2015/09/29,2,5,23
2015/09/30,2,6,22
2015/10/01,2,6,25
2015/10/02,2,6,22
2015/10/03,2,6,21
2015/10/04,2,6,22
2015/10/05,2,6,22
2015/10/06,2,6,22
2015/10/07,2,6,22
2015/10/08,2,6,22
2015/10/09,2,6,23
2015/10/10,2,6,23
2015/10/11,2,5,24
2015/10/12,2,6,25
2015/10/13,1,6,24
2015/10/14,1,6,24
2015/10/15,1,5,24
2015/10/16,1,5,24
2015/10/17,1,4,23
2015/10/18,1,5,22
2015/10/19,1,5,22
2015/10/20,1,5,22
2015/10/21,1,5,22
2015/10/22,1,5,22
2015/10/23,1,5,20
2015/10/24,1,4,20
2015/10/25,1,4,21
2015/10/26,1,4,20
2015/10/27,1,5,21
2015/10/28,1,5,21
2015/10/29,1,5,22
2015/10/30,1,5,22
2015/10/31,1,5,19
2015/11/01,1,5,19
2015/11/02,1,6,20
2015/11/03,2,7,20
2015/11/04,3,8,22
2015/11/05,2,9,22
2015/11/06,2,9,22
2015/11/07,2,9,22
2015/11/08,3,9,23
2015/11/09,3,9,23
2015/11/10,3,7,23
2015/11/11,3,8,23
2015/11/12,3,8,25
2015/11/13,3,8,24
2015/11/14,3,8,24
2015/11/15,3,9,25
2015/11/16,3,9,24
2015/11/17,3,9,24
2015/11/18,3,9,25
2015/11/19,3,9,26
2015/11/20,3,9,26
2015/11/21,3,9,27
2015/11/22,3,9,29
2015/11/23,3,8,28
2015/11/24,3,8,28
2015/11/25,3,8,28
2015/11/26,3,7,31
2015/11/27,3,8,31
2015/11/28,3,8,31
2015/11/29,3,8,31
2015/11/30,3,7,31
2015/12/01,3,7,32
2015/12/02,3,7,32
2015/12/03,3,7,32
2015/12/04,2,6,32
2015/12/05,2,6,34
2015/12/06,2,7,36
2015/12/07,2,7,37
2015/12/08,2,7,37
2015/12/09,1,7,37
2015/12/10,1,7,36
2015/12/11,1,6,35
2015/12/12,1,6,34
2015/12/13,1,6,34
2015/12/14,1,6,35
2015/12/15,1,7,34
2015/12/16,1,7,35
2015/12/17,1,7,35
2016/01/18,2,6,26
2016/01/19,2,6,25
2016/01/20,2,6,24
2016/01/21,2,6,23
2016/01/22,2,7,24
2016/01/23,2,7,24
2016/01/24,2,7,24
2016/01/25,2,7,24
2016/01/26,2,7,25
2016/01/27,2,7,25
2016/01/28,2,7,23
2016/01/29,2,7,24
2016/01/30,2,7,22
2016/01/31,2,7,24
2016/02/01,2,8,25
2016/02/02,2,9,27
2016/02/03,2,9,27
2016/02/04,2,9,28
2016/02/05,2,9,28
2016/02/06,2,9,27
2016/02/07,2,9,26
2016/02/08,2,9,25
2016/02/09,2,9,24
2016/02/10,2,10,25
2016/02/11,2,10,25
2016/02/12,2,10,25
2016/02/13,3,11,25
2016/02/14,3,12,26
2016/02/15,3,12,28
2016/02/16,3,12,28
2016/02/17,3,12,27
2016/02/18,3,12,27
2016/02/19,3,12,26
2016/02/20,3,13,26
2016/02/21,3,13,27
2016/02/22,3,13,28
2016/02/23,3,13,31
2016/02/24,3,13,31
2016/02/25,3,13,32
2016/02/26,3,13,31
2016/02/27,3,13,32
2016/02/28,3,13,32
2016/02/29,3,13,32
2016/03/01,3,13,31
2016/03/02,3,12,29
2016/03/03,3,12,29
2016/03/04,3,12,30
2016/03/05,3,12,30
2016/03/06,3,12,31
2016/03/07,3,12,31
2016/03/08,3,12,33
2016/03/09,3,12,32
2016/03/10,3,12,33
2016/03/11,3,12,33
2016/03/12,3,12,33
2016/03/13,3,12,36
2016/03/14,2,12,36
2016/03/15,2,11,35
2016/03/16,2,11,33
2016/03/17,2,12,33
2016/03/18,2,12,33
2016/03/19,2,12,34
2016/03/20,2,13,36
2016/03/21,1,13,37
2016/03/22,2,12,35
2016/03/23,1,12,35
2016/03/24,1,11,32
2016/03/25,1,11,32
2016/03/26,1,11,30
2016/03/27,1,11,32
2016/03/28,1,11,31
2016/03/29,1,11,30
2016/03/30,1,11,32
2016/03/31,2,9,32
2016/04/01,2,9,33
2016/04/02,2,9,35
2016/04/03,2,11,36
2016/04/04,2,10,36
2016/04/05,2,9,37
2016/04/06,2,9,37
2016/04/07,2,9,36
2016/04/08,2,10,36
2016/04/09,2,11,36
2016/04/10,2,12,35
2016/04/11,2,12,36
2016/04/12,2,12,34
2016/04/13,2,12,35
2016/04/14,2,12,35
2016/04/15,2,12,35
2016/04/16,2,10,37
2016/04/17,2,10,39
2016/04/18,2,9,39
2016/04/19,2,10,38
2016/04/20,2,10,40
2016/04/21,2,10,42
2016/04/22,2,10,40
2016/04/23,2,10,40
2016/04/24,2,10,41
2016/04/25,2,10,42
2016/04/26,2,10,42
2016/04/27,2,10,42
2016/04/28,2,10,42
2016/04/29,2,10,41
2016/04/30,2,10,40
2016/05/01,2,10,40
2016/05/02,2,10,37
2016/05/03,2,10,35
2016/05/04,2,10,33
2016/05/05,2,10,32
2016/05/06,2,11,32
2016/05/07,2,11,31
2016/05/08,2,11,31
2016/05/09,2,10,31
2016/05/10,1,8,31
2016/05/11,1,8,31
2016/05/12,1,8,31
2016/05/13,1,8,30
2016/05/14,1,8,31
2016/05/15,2,8,35
2016/05/16,2,8,33
2016/05/17,2,8,32
2016/05/18,2,8,33
2016/05/19,2,8,36
2016/05/20,2,8,33
2016/05/21,2,7,33
2016/05/22,2,7,33
2016/05/23,3,8,33
2016/05/24,3,8,32
2016/05/25,3,7,31
2016/05/26,3,7,30
2016/05/27,3,8,31
2016/05/28,2,8,33
2016/05/29,2,8,32
2016/05/30,3,9,32
2016/05/31,3,9,31
2016/06/01,3,9,31
2016/06/02,3,9,35
2016/06/03,3,9,35
2016/06/04,3,9,37
2016/06/05,3,9,38
2016/06/06,3,9,38
2016/06/07,3,9,39
2016/06/08,3,9,39
2016/06/09,3,9,38
2016/06/10,3,9,36
2016/06/11,3,8,35
2016/06/12,3,8,36
