date,kywiki (100+),kywiki (5+),kywiki (all)
2015/08/18,,8,31
2015/08/19,,9,31
2015/08/20,,9,30
2015/08/21,,9,30
2015/08/22,,9,31
2015/08/23,,10,30
2015/08/24,,8,31
2015/08/25,,8,31
2015/08/26,,8,29
2015/08/27,,8,28
2015/08/28,1,8,28
2015/08/29,1,9,29
2015/08/30,1,9,29
2015/08/31,1,9,34
2015/09/01,1,9,31
2015/09/02,1,9,33
2015/09/03,1,9,35
2015/09/04,1,9,33
2015/09/05,1,10,34
2015/09/06,,10,33
2015/09/07,,10,33
2015/09/08,,9,33
2015/09/09,,9,33
2015/09/10,,9,33
2015/09/11,,10,34
2015/09/12,,10,34
2015/09/13,,11,36
2015/09/14,,11,35
2015/09/15,,11,39
2015/09/16,1,11,39
2015/09/17,,10,40
2015/09/18,1,11,42
2015/09/19,1,12,43
2015/09/20,1,12,43
2015/09/21,1,11,41
2015/09/22,2,12,41
2015/09/23,2,13,43
2015/09/24,2,13,45
2015/09/25,2,14,46
2015/09/26,2,13,45
2015/09/27,2,14,44
2015/09/28,2,13,45
2015/09/29,2,13,44
2015/09/30,2,13,38
2015/10/01,2,13,39
2015/10/02,2,14,37
2015/10/03,2,14,38
2015/10/04,2,14,39
2015/10/05,2,14,37
2015/10/06,2,14,37
2015/10/07,2,14,39
2015/10/08,2,14,42
2015/10/09,2,15,45
2015/10/10,2,15,46
2015/10/11,2,14,46
2015/10/12,2,14,45
2015/10/13,2,14,44
2015/10/14,2,14,45
2015/10/15,2,13,44
2015/10/16,2,14,44
2015/10/17,2,14,45
2015/10/18,1,14,43
2015/10/19,1,15,45
2015/10/20,1,15,47
2015/10/21,1,15,47
2015/10/22,1,15,46
2015/10/23,,16,48
2015/10/24,,16,46
2015/10/25,,16,46
2015/10/26,,16,46
2015/10/27,,15,45
2015/10/28,,15,47
2015/10/29,,15,51
2015/10/30,,15,51
2015/10/31,,16,50
2015/11/01,,14,50
2015/11/02,,15,49
2015/11/03,,15,50
2015/11/04,,15,52
2015/11/05,,17,55
2015/11/06,,16,52
2015/11/07,,16,49
2015/11/08,,14,47
2015/11/09,,14,46
2015/11/10,,15,47
2015/11/11,,15,47
2015/11/12,,15,48
2015/11/13,,15,52
2015/11/14,,15,51
2015/11/15,,14,51
2015/11/16,,15,49
2015/11/17,,14,50
2015/11/18,,15,48
2015/11/19,,15,48
2015/11/20,,14,49
2015/11/21,,14,48
2015/11/22,,14,47
2015/11/23,,14,49
2015/11/24,,14,48
2015/11/25,,15,51
2015/11/26,,14,52
2015/11/27,,14,51
2015/11/28,,13,47
2015/11/29,,12,48
2015/11/30,,12,46
2015/12/01,,11,45
2015/12/02,,11,44
2015/12/03,,10,43
2015/12/04,,10,43
2015/12/05,,10,41
2015/12/06,,10,42
2015/12/07,,9,43
2015/12/08,,9,42
2015/12/09,,11,42
2015/12/10,,11,42
2015/12/11,1,13,44
2015/12/12,1,12,43
2015/12/13,1,12,42
2015/12/14,1,12,43
2015/12/15,1,12,45
2015/12/16,2,12,48
2015/12/17,2,13,48
2016/01/18,4,18,47
2016/01/19,4,18,46
2016/01/20,4,18,47
2016/01/21,3,17,46
2016/01/22,3,18,49
2016/01/23,3,20,49
2016/01/24,3,19,49
2016/01/25,3,19,49
2016/01/26,3,21,49
2016/01/27,3,22,50
2016/01/28,3,22,50
2016/01/29,3,21,51
2016/01/30,3,21,52
2016/01/31,3,21,52
2016/02/01,3,21,54
2016/02/02,3,21,57
2016/02/03,3,21,55
2016/02/04,2,21,55
2016/02/05,2,22,54
2016/02/06,2,22,55
2016/02/07,3,24,57
2016/02/08,3,26,58
2016/02/09,3,25,58
2016/02/10,3,25,54
2016/02/11,3,25,55
2016/02/12,4,25,57
2016/02/13,4,26,56
2016/02/14,4,26,56
2016/02/15,4,25,55
2016/02/16,4,24,53
2016/02/17,3,23,54
2016/02/18,3,22,52
2016/02/19,3,22,54
2016/02/20,4,22,52
2016/02/21,4,21,50
2016/02/22,4,20,49
2016/02/23,4,21,49
2016/02/24,4,21,49
2016/02/25,4,20,47
2016/02/26,3,20,47
2016/02/27,3,20,47
2016/02/28,3,20,46
2016/02/29,4,19,48
2016/03/01,4,19,48
2016/03/02,4,19,47
2016/03/03,4,19,44
2016/03/04,4,18,45
2016/03/05,4,18,46
2016/03/06,4,17,46
2016/03/07,4,17,44
2016/03/08,3,16,42
2016/03/09,3,15,42
2016/03/10,3,16,42
2016/03/11,3,17,43
2016/03/12,3,16,41
2016/03/13,3,15,38
2016/03/14,3,15,37
2016/03/15,3,15,37
2016/03/16,3,14,35
2016/03/17,3,14,35
2016/03/18,3,14,36
2016/03/19,3,13,37
2016/03/20,3,13,36
2016/03/21,3,14,36
2016/03/22,3,13,35
2016/03/23,3,12,37
2016/03/24,3,11,37
2016/03/25,3,12,40
2016/03/26,3,13,39
2016/03/27,2,13,37
2016/03/28,2,13,37
2016/03/29,2,12,38
2016/03/30,3,12,38
2016/03/31,3,12,38
2016/04/01,3,10,40
2016/04/02,3,12,40
2016/04/03,2,11,39
2016/04/04,2,11,39
2016/04/05,2,10,41
2016/04/06,2,11,45
2016/04/07,2,10,46
2016/04/08,2,11,47
2016/04/09,2,11,44
2016/04/10,2,10,44
2016/04/11,1,10,45
2016/04/12,1,11,46
2016/04/13,1,11,46
2016/04/14,1,11,46
2016/04/15,1,11,45
2016/04/16,1,11,46
2016/04/17,1,11,43
2016/04/18,1,11,45
2016/04/19,1,14,48
2016/04/20,1,14,48
2016/04/21,1,14,48
2016/04/22,1,14,45
2016/04/23,1,14,44
2016/04/24,,12,40
2016/04/25,,12,41
2016/04/26,,12,41
2016/04/27,,15,48
2016/04/28,,16,49
2016/04/29,,17,49
2016/04/30,,16,48
2016/05/01,,17,48
2016/05/02,,16,46
2016/05/03,,16,46
2016/05/04,,18,45
2016/05/05,,18,43
2016/05/06,,17,42
