date,frrwiki (100+),frrwiki (5+),frrwiki (all)
2015/08/28,1,7,16
2015/08/29,1,4,13
2015/08/30,1,4,13
2015/08/31,1,3,13
2015/09/01,1,3,12
2015/09/02,1,3,11
2015/09/03,1,3,11
2015/09/04,1,3,11
2015/09/05,2,3,10
2015/09/06,2,3,11
2015/09/07,2,3,11
2015/09/08,2,3,11
2015/09/09,2,2,10
2015/09/10,2,2,11
2015/09/11,2,3,11
2015/09/12,2,3,12
2015/09/13,1,3,12
2015/09/14,1,3,12
2015/09/15,1,3,12
2015/09/16,1,3,11
2015/09/17,1,2,10
2015/09/18,1,2,10
2015/09/19,1,3,8
2015/09/20,1,3,8
2015/09/21,1,3,8
2015/09/22,1,3,8
2015/09/23,1,4,8
2015/09/24,1,4,8
2015/09/25,1,5,9
2015/09/26,1,5,9
2015/09/27,1,4,9
2015/09/28,1,4,10
2015/09/29,1,4,10
2015/09/30,1,6,12
2015/10/01,1,6,12
2015/10/02,1,6,12
2015/10/03,1,5,12
2015/10/04,1,5,12
2015/10/05,1,6,12
2015/10/06,1,6,11
2015/10/07,1,6,11
2015/10/08,1,6,11
2015/10/09,1,6,11
2015/10/10,1,6,11
2015/10/11,1,6,11
2015/10/12,1,6,11
2015/10/13,1,6,11
2015/10/14,1,6,11
2015/10/15,1,6,11
2015/10/16,1,6,11
2015/10/17,1,6,12
2015/10/18,1,7,13
2015/10/19,1,6,14
2015/10/20,1,6,14
2015/10/21,1,5,14
2015/10/22,1,5,14
2015/10/23,1,5,14
2015/10/24,1,5,15
2015/10/25,1,4,15
2015/10/26,1,4,15
2015/10/27,1,4,15
2015/10/28,1,4,14
2015/10/29,1,4,13
2015/10/30,1,4,11
2015/10/31,1,3,10
2015/11/01,1,3,10
2015/11/02,1,3,12
2015/11/03,1,3,15
2015/11/04,1,3,15
2015/11/05,1,3,15
2015/11/06,1,3,16
2015/11/07,1,4,19
2015/11/08,1,4,19
2015/11/09,1,4,18
2015/11/10,1,4,19
2015/11/11,1,5,19
2015/11/12,1,5,19
2015/11/13,1,5,19
2015/11/14,1,5,20
2015/11/15,1,5,21
2015/11/16,1,5,22
2015/11/17,1,4,24
2015/11/18,1,4,24
2015/11/19,1,3,24
2015/11/20,1,3,24
2015/11/21,1,3,24
2015/11/22,1,3,25
2015/11/23,1,3,24
2015/11/24,1,3,23
2015/11/25,1,3,23
2015/11/26,1,3,25
2015/11/27,1,3,25
2015/11/28,1,3,25
2015/11/29,1,3,26
2015/11/30,1,4,27
2015/12/01,1,4,27
2015/12/02,1,4,25
2015/12/03,2,4,22
2015/12/04,2,4,20
2015/12/05,2,4,20
2015/12/06,2,4,23
2015/12/07,2,4,21
2015/12/08,2,4,20
2015/12/09,2,4,20
2015/12/10,2,5,20
2015/12/11,2,5,20
2015/12/12,2,5,21
2015/12/13,2,5,21
2015/12/14,2,4,21
2015/12/15,2,4,20
2015/12/16,2,5,21
2015/12/17,2,5,19
2016/01/18,,4,10
2016/01/19,,4,9
2016/01/20,,4,8
2016/01/21,1,4,7
2016/01/22,1,4,7
2016/01/23,1,4,7
2016/01/24,,4,7
2016/01/25,,4,7
2016/01/26,,4,8
2016/01/27,,4,8
2016/01/28,,4,7
2016/01/29,,4,7
2016/01/30,1,4,7
2016/01/31,1,3,7
2016/02/01,1,3,5
2016/02/02,1,3,5
2016/02/03,1,3,5
2016/02/04,1,3,6
2016/02/05,1,3,6
2016/02/06,1,3,6
2016/02/07,1,3,5
2016/02/08,1,3,6
2016/02/09,1,3,7
2016/02/10,1,3,8
2016/02/11,1,3,8
2016/02/12,1,3,8
2016/02/13,1,2,8
2016/02/14,1,2,8
2016/02/15,1,2,8
2016/02/16,1,1,7
2016/02/17,1,1,7
2016/02/18,1,1,7
2016/02/19,1,1,8
2016/02/20,1,1,9
2016/02/21,1,1,9
2016/02/22,1,1,9
2016/02/23,1,1,10
2016/02/24,1,1,10
2016/02/25,1,1,10
2016/02/26,1,1,12
2016/02/27,1,1,12
2016/02/28,1,2,12
2016/02/29,1,2,12
2016/03/01,1,2,12
2016/03/02,1,2,12
2016/03/03,1,2,12
2016/03/04,1,2,12
2016/03/05,1,2,11
2016/03/06,1,2,11
2016/03/07,1,2,11
2016/03/08,1,2,11
2016/03/09,1,2,12
2016/03/10,1,2,11
2016/03/11,1,2,10
2016/03/12,1,2,10
2016/03/13,1,1,10
2016/03/14,,1,11
2016/03/15,,1,12
2016/03/16,,1,12
2016/03/17,,1,12
2016/03/18,,1,12
2016/03/19,,1,12
2016/03/20,,1,11
2016/03/21,,1,10
2016/03/22,,1,10
2016/03/23,,1,10
2016/03/24,,1,10
2016/03/25,,1,11
2016/03/26,,2,10
2016/03/27,,2,8
2016/03/28,,2,7
2016/03/29,,2,7
2016/03/30,,2,10
2016/03/31,,2,11
2016/04/01,,2,11
2016/04/02,,2,11
2016/04/03,,2,12
2016/04/04,,2,11
2016/04/05,,2,11
2016/04/06,,2,11
2016/04/07,,2,11
2016/04/08,,2,10
2016/04/09,,2,10
2016/04/10,,2,10
2016/04/11,,2,10
2016/04/12,,2,10
2016/04/13,,2,10
2016/04/14,,2,9
2016/04/15,,2,9
2016/04/16,,1,10
2016/04/17,,1,10
2016/04/18,,1,10
2016/04/19,,1,11
2016/04/20,,1,10
2016/04/21,,1,11
2016/04/22,,1,11
2016/04/23,,1,11
2016/04/24,,1,10
2016/04/25,,1,11
2016/04/26,,1,11
2016/04/27,,1,11
2016/04/28,,,13
2016/04/29,,2,12
2016/04/30,,2,12
2016/05/01,,2,12
2016/05/02,,2,11
2016/05/03,,2,10
2016/05/04,,2,10
2016/05/05,,2,10
2016/05/06,,2,10
2016/05/07,,2,9
2016/05/08,,2,9
2016/05/09,,2,9
2016/05/10,,2,9
2016/05/11,,2,9
2016/05/12,,3,10
2016/05/13,,3,10
2016/05/14,,3,10
2016/05/15,,3,10
2016/05/16,,3,9
2016/05/17,,3,9
2016/05/18,,3,9
2016/05/19,,3,8
2016/05/20,,3,9
2016/05/21,,4,8
2016/05/22,,4,8
2016/05/23,,4,8
2016/05/24,,4,7
2016/05/25,,4,8
2016/05/26,,4,9
2016/05/27,,4,9
2016/05/28,,4,7
2016/05/29,,3,6
2016/05/30,,3,6
2016/05/31,,3,6
2016/06/01,,3,6
2016/06/02,,3,6
2016/06/03,,3,6
2016/06/04,,3,7
2016/06/05,,3,8
2016/06/06,,3,9
2016/06/07,,3,9
2016/06/08,,3,9
2016/06/09,,3,9
2016/06/10,,3,9
2016/06/11,,2,8
2016/06/12,,2,8
2016/06/13,,2,8
2016/06/14,,2,8
2016/06/15,,2,8
2016/06/16,,2,7
2016/06/17,,2,7
2016/06/18,,2,7
2016/06/19,,2,7
2016/06/20,,3,8
2016/06/21,,3,8
2016/06/22,,3,8
2016/06/23,,3,9
2016/06/24,,2,10
2016/06/25,,2,9
2016/06/26,,2,9
2016/06/27,,2,9
2016/06/28,,2,8
2016/06/29,,2,9
2016/06/30,,2,9
2016/07/01,,2,9
2016/07/02,,2,9
2016/07/03,,2,9
2016/07/04,,2,8
2016/07/05,,2,7
2016/07/06,,2,6
2016/07/07,,2,7
2016/07/08,,2,7
2016/07/09,,2,7
2016/07/10,,2,7
2016/07/11,,2,7
2016/07/12,1,3,9
2016/07/13,1,3,9
2016/07/14,1,3,9
2016/07/15,1,3,9
2016/07/16,1,3,11
2016/07/17,1,3,11
2016/07/18,1,3,11
2016/07/19,1,5,13
2016/07/20,1,4,11
2016/07/21,1,5,12
2016/07/22,1,6,12
2016/07/23,1,6,11
2016/07/24,1,6,10
2016/07/25,1,6,10
2016/07/26,1,6,10
2016/07/27,1,6,11
2016/07/28,1,6,11
2016/07/29,1,6,10
2016/07/30,1,6,11
2016/07/31,1,7,12
2016/08/01,2,8,15
2016/08/02,2,8,15
2016/08/03,3,8,15
2016/08/04,3,8,16
2016/08/05,3,8,17
2016/08/06,3,7,18
2016/08/07,3,7,19
2016/08/08,3,7,19
2016/08/09,3,7,19
2016/08/10,3,7,20
2016/08/11,2,6,19
2016/08/12,2,6,20
2016/08/13,2,6,20
2016/08/14,3,6,22
2016/08/15,3,6,23
2016/08/16,3,6,23
2016/08/17,3,6,23
2016/08/18,3,6,23
2016/08/19,3,6,23
2016/08/20,3,6,23
2016/08/21,3,5,22
2016/08/22,3,4,22
2016/08/23,3,4,22
2016/08/24,3,4,22
2016/08/25,3,4,23
2016/08/26,3,4,22
2016/08/27,3,4,23
2016/08/28,3,5,23
2016/08/29,3,5,22
2016/08/30,3,5,22
2016/08/31,2,5,20
2016/09/01,2,5,20
2016/09/02,2,4,19
2016/09/03,2,4,18
2016/09/04,2,4,17
2016/09/05,2,4,18
2016/09/06,2,4,17
2016/09/07,2,4,18
2016/09/08,2,4,19
2016/09/09,2,4,19
2016/09/10,2,4,18
2016/09/11,2,4,17
2016/09/12,2,4,18
2016/09/13,2,4,16
2016/09/14,1,4,15
2016/09/15,1,4,15
2016/09/16,1,4,15
2016/09/17,1,4,14
2016/09/18,1,4,14
2016/09/19,1,3,13
2016/09/20,1,3,15
2016/09/21,1,3,15
2016/09/22,1,3,15
2016/09/23,1,3,14
2016/09/24,1,3,13
2016/09/25,1,3,13
2016/09/26,,3,12
2016/09/27,,3,13
2016/09/28,,2,12
2016/09/29,,2,12
2016/09/30,,2,12
2016/10/01,,2,12
2016/10/02,,2,12
2016/10/03,1,2,12
2016/10/04,1,2,12
2016/10/05,1,2,10
2016/10/06,2,3,12
2016/10/07,2,3,11
2016/10/08,2,3,11
2016/10/09,2,3,11
2016/10/10,2,3,11
2016/10/11,2,3,12
2016/10/12,2,3,12
2016/10/13,2,3,14
2016/10/14,2,3,14
2016/10/15,2,3,15
2016/10/16,2,3,15
2016/10/17,2,3,15
2016/10/18,2,4,16
2016/10/19,2,4,16
2016/10/20,2,5,14
2016/10/21,2,5,14
2016/10/22,2,5,14
2016/10/23,2,5,14
2016/10/24,2,5,14
2016/10/25,2,5,14
2016/10/26,2,5,14
2016/10/27,2,5,13
2016/10/28,2,5,13
2016/10/29,2,5,13
2016/10/30,2,5,12
2016/10/31,2,6,12
2016/11/01,2,6,12
2016/11/02,2,6,12
2016/11/03,2,6,13
2016/11/04,2,6,13
2016/11/05,2,6,12
2016/11/06,2,6,12
2016/11/07,2,7,14
2016/11/08,2,8,13
2016/11/09,2,8,13
2016/11/10,2,8,13
2016/11/11,3,8,12
2016/11/12,3,8,12
2016/11/13,2,8,12
2016/11/14,2,8,10
2016/11/15,2,7,10
2016/11/16,2,7,9
2016/11/17,2,6,8
2016/11/18,2,6,8
2016/11/19,2,6,9
2016/11/20,2,5,9
2016/11/21,2,5,9
2016/11/22,2,5,9
2016/11/23,2,6,10
2016/11/24,2,7,12
2016/11/25,2,7,12
